	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.369261477046	0.678642714571	0.51996007984	0.673652694611	0.649700598802	0.408183632735	0.431137724551	0.439121756487	0.439121756487	0.658682634731	0.681636726547	0.560878243513	0.667664670659	0.375249500998	0.297405189621	0.922155688623	0.900199600798	0.923153692615	0.918163672655	0.779441117764	0.750499001996	0.947105788423	0.926147704591	0.825349301397	0.874251497006	0.86127744511	0.839321357285	0.825349301397	0.860279441118	0.869261477046	0.869261477046	0.546906187625	0.528942115768	0.568862275449	0.487025948104	0.615768463074	0.543912175649	0.596806387226	0.544910179641	0.625748502994	0.567864271457	0.626746506986	0.510978043912	0.547904191617	0.515968063872	0.545908183633	0.715568862275	0.697604790419	0.682634730539	0.687624750499	0.588822355289	0.649700598802	0.635728542914	0.719560878244	0.637724550898	0.545908183633	0.617764471058	0.630738522954	0.687624750499	0.651696606786	0.719560878244	0.695608782435	0.925149700599	0.942115768463	0.897205588822	0.73253493014	0.930139720559	0.903193612774	0.733532934132	0.913173652695	0.867265469062	0.924151696607	0.740518962076	0.89121756487	0.962075848303	0.940119760479	0.708582834331	0.728542914172	0.699600798403	0.63373253493	0.634730538922	0.576846307385	0.590818363273	0.530938123752	0.534930139721	0.758483033932	0.72255489022	0.677644710579	0.696606786427	0.724550898204
CA8	0.369261477046	0.0	0.666666666667	0.508982035928	0.63373253493	0.615768463074	0.360279441118	0.448103792415	0.458083832335	0.39620758483	0.626746506986	0.639720558882	0.550898203593	0.660678642715	0.289421157685	0.37125748503	0.868263473054	0.854291417166	0.903193612774	0.90618762475	0.754491017964	0.717564870259	0.900199600798	0.878243512974	0.784431137725	0.834331337325	0.820359281437	0.804391217565	0.780439121756	0.841317365269	0.86127744511	0.845309381238	0.540918163673	0.51996007984	0.572854291417	0.507984031936	0.626746506986	0.546906187625	0.597804391218	0.541916167665	0.61876247505	0.557884231537	0.629740518962	0.51996007984	0.556886227545	0.517964071856	0.535928143713	0.713572854291	0.705588822355	0.659680638723	0.661676646707	0.60878243513	0.629740518962	0.626746506986	0.704590818363	0.630738522954	0.535928143713	0.634730538922	0.647704590818	0.668662674651	0.647704590818	0.715568862275	0.685628742515	0.914171656687	0.941117764471	0.895209580838	0.704590818363	0.936127744511	0.895209580838	0.7375249501	0.898203592814	0.86626746507	0.908183632735	0.731536926148	0.882235528942	0.961077844311	0.932135728543	0.684630738523	0.721556886228	0.680638722555	0.636726546906	0.642714570858	0.535928143713	0.545908183633	0.489021956088	0.487025948104	0.7624750499	0.689620758483	0.625748502994	0.682634730539	0.702594810379
CB7	0.678642714571	0.666666666667	0.0	0.562874251497	0.675648702595	0.677644710579	0.671656686627	0.688622754491	0.676646706587	0.660678642715	0.664670658683	0.666666666667	0.535928143713	0.425149700599	0.655688622754	0.671656686627	0.836327345309	0.801397205589	0.87624750499	0.844311377246	0.756487025948	0.731536926148	0.796407185629	0.783433133733	0.683632734531	0.72255489022	0.77744510978	0.746506986028	0.736526946108	0.77245508982	0.816367265469	0.802395209581	0.75249500998	0.754491017964	0.704590818363	0.751497005988	0.690618762475	0.74251497006	0.750499001996	0.751497005988	0.750499001996	0.755489021956	0.692614770459	0.739520958084	0.700598802395	0.750499001996	0.75249500998	0.758483033932	0.713572854291	0.794411177645	0.786427145709	0.694610778443	0.74750499002	0.691616766467	0.753493013972	0.694610778443	0.64870259481	0.740518962076	0.697604790419	0.778443113772	0.775449101796	0.759481037924	0.802395209581	0.883233532934	0.808383233533	0.877245508982	0.760479041916	0.803393213573	0.889221556886	0.779441117764	0.878243512974	0.817365269461	0.892215568862	0.778443113772	0.854291417166	0.829341317365	0.897205588822	0.850299401198	0.808383233533	0.86127744511	0.704590818363	0.692614770459	0.724550898204	0.731536926148	0.729540918164	0.721556886228	0.899201596806	0.864271457086	0.815369261477	0.855289421158	0.887225548902
CB8	0.51996007984	0.508982035928	0.562874251497	0.0	0.61876247505	0.59880239521	0.508982035928	0.589820359281	0.596806387226	0.533932135729	0.607784431138	0.607784431138	0.428143712575	0.540918163673	0.494011976048	0.522954091816	0.850299401198	0.825349301397	0.887225548902	0.858283433134	0.699600798403	0.666666666667	0.854291417166	0.829341317365	0.741516966068	0.786427145709	0.789421157685	0.758483033932	0.714570858283	0.76746506986	0.842315369261	0.818363273453	0.630738522954	0.64371257485	0.61876247505	0.652694610778	0.610778443114	0.651696606786	0.665668662675	0.665668662675	0.657684630739	0.661676646707	0.62375249501	0.645708582834	0.620758483034	0.635728542914	0.635728542914	0.689620758483	0.673652694611	0.704590818363	0.690618762475	0.61377245509	0.681636726547	0.634730538922	0.716566866267	0.630738522954	0.535928143713	0.660678642715	0.63872255489	0.699600798403	0.703592814371	0.704590818363	0.711576846307	0.892215568862	0.911177644711	0.884231536926	0.724550898204	0.909181636727	0.877245508982	0.72255489022	0.893213572854	0.867265469062	0.90618762475	0.723552894212	0.86626746507	0.923153692615	0.904191616766	0.74251497006	0.729540918164	0.746506986028	0.641716566866	0.622754491018	0.601796407186	0.596806387226	0.560878243513	0.562874251497	0.781437125749	0.745508982036	0.702594810379	0.749500998004	0.771457085828
CC7	0.673652694611	0.63373253493	0.675648702595	0.61876247505	0.0	0.500998003992	0.652694610778	0.778443113772	0.785429141717	0.701596806387	0.471057884232	0.412175648703	0.61377245509	0.65369261477	0.629740518962	0.678642714571	0.781437125749	0.760479041916	0.88123752495	0.86626746507	0.748502994012	0.692614770459	0.678642714571	0.660678642715	0.602794411178	0.620758483034	0.728542914172	0.711576846307	0.7375249501	0.801397205589	0.810379241517	0.780439121756	0.801397205589	0.817365269461	0.831337325349	0.822355289421	0.824351297405	0.827345309381	0.840319361277	0.831337325349	0.829341317365	0.827345309381	0.833333333333	0.823353293413	0.832335329341	0.811377245509	0.801397205589	0.710578842315	0.714570858283	0.688622754491	0.685628742515	0.677644710579	0.671656686627	0.713572854291	0.718562874251	0.707584830339	0.694610778443	0.677644710579	0.717564870259	0.687624750499	0.663672654691	0.716566866267	0.704590818363	0.932135728543	0.939121756487	0.911177644711	0.744510978044	0.933133732535	0.911177644711	0.758483033932	0.920159680639	0.845309381238	0.931137724551	0.749500998004	0.90119760479	0.969061876248	0.946107784431	0.715568862275	0.724550898204	0.739520958084	0.838323353293	0.808383233533	0.711576846307	0.716566866267	0.709580838323	0.717564870259	0.790419161677	0.731536926148	0.724550898204	0.734530938124	0.761477045908
CC8	0.649700598802	0.615768463074	0.677644710579	0.59880239521	0.500998003992	0.0	0.620758483034	0.74251497006	0.75249500998	0.661676646707	0.443113772455	0.464071856287	0.599800399202	0.652694610778	0.590818363273	0.654690618762	0.781437125749	0.779441117764	0.88123752495	0.867265469062	0.729540918164	0.668662674651	0.755489021956	0.7375249501	0.635728542914	0.686626746507	0.725548902196	0.712574850299	0.746506986028	0.801397205589	0.817365269461	0.788423153693	0.778443113772	0.795409181637	0.805389221557	0.796407185629	0.797405189621	0.801397205589	0.815369261477	0.806387225549	0.804391217565	0.803393213573	0.809381237525	0.796407185629	0.811377245509	0.784431137725	0.779441117764	0.699600798403	0.704590818363	0.682634730539	0.683632734531	0.657684630739	0.641716566866	0.687624750499	0.698602794411	0.683632734531	0.676646706587	0.658682634731	0.701596806387	0.674650698603	0.661676646707	0.710578842315	0.705588822355	0.914171656687	0.917165668663	0.882235528942	0.719560878244	0.910179640719	0.894211576846	0.728542914172	0.897205588822	0.849301397206	0.899201596806	0.731536926148	0.873253493014	0.940119760479	0.930139720559	0.678642714571	0.721556886228	0.696606786427	0.803393213573	0.779441117764	0.666666666667	0.678642714571	0.672654690619	0.666666666667	0.780439121756	0.696606786427	0.680638722555	0.708582834331	0.750499001996
CD7	0.408183632735	0.360279441118	0.671656686627	0.508982035928	0.652694610778	0.620758483034	0.0	0.441117764471	0.463073852295	0.348303393214	0.635728542914	0.64870259481	0.557884231537	0.664670658683	0.369261477046	0.419161676647	0.870259481038	0.862275449102	0.915169660679	0.908183632735	0.749500998004	0.729540918164	0.915169660679	0.895209580838	0.796407185629	0.849301397206	0.821357285429	0.808383233533	0.786427145709	0.850299401198	0.86127744511	0.845309381238	0.545908183633	0.535928143713	0.576846307385	0.543912175649	0.624750499002	0.550898203593	0.597804391218	0.546906187625	0.616766467066	0.563872255489	0.630738522954	0.538922155689	0.553892215569	0.523952095808	0.539920159681	0.666666666667	0.655688622754	0.64371257485	0.636726546906	0.563872255489	0.614770459082	0.592814371257	0.700598802395	0.621756487026	0.520958083832	0.595808383234	0.602794411178	0.649700598802	0.622754491018	0.671656686627	0.662674650699	0.922155688623	0.945109780439	0.894211576846	0.735528942116	0.939121756487	0.902195608782	0.756487025948	0.904191616766	0.87125748503	0.915169660679	0.759481037924	0.890219560878	0.961077844311	0.937125748503	0.699600798403	0.724550898204	0.651696606786	0.582834331337	0.592814371257	0.517964071856	0.5249500998	0.457085828343	0.463073852295	0.735528942116	0.702594810379	0.647704590818	0.649700598802	0.712574850299
CD8	0.431137724551	0.448103792415	0.688622754491	0.589820359281	0.778443113772	0.74251497006	0.441117764471	0.0	0.352295409182	0.411177644711	0.754491017964	0.765469061876	0.63872255489	0.678642714571	0.458083832335	0.422155688623	0.915169660679	0.902195608782	0.914171656687	0.918163672655	0.782435129741	0.782435129741	0.953093812375	0.935129740519	0.824351297405	0.87125748503	0.858283433134	0.838323353293	0.806387225549	0.864271457086	0.877245508982	0.865269461078	0.581836327345	0.546906187625	0.566866267465	0.501996007984	0.635728542914	0.547904191617	0.600798403194	0.555888223553	0.629740518962	0.570858283433	0.622754491018	0.523952095808	0.553892215569	0.538922155689	0.574850299401	0.72255489022	0.710578842315	0.731536926148	0.734530938124	0.637724550898	0.700598802395	0.640718562874	0.712574850299	0.652694610778	0.564870259481	0.675648702595	0.639720558882	0.730538922156	0.713572854291	0.72255489022	0.749500998004	0.908183632735	0.919161676647	0.867265469062	0.804391217565	0.918163672655	0.885229540918	0.818363273453	0.882235528942	0.845309381238	0.888223552894	0.818363273453	0.855289421158	0.935129740519	0.916167664671	0.786427145709	0.77744510978	0.755489021956	0.581836327345	0.576846307385	0.616766467066	0.620758483034	0.572854291417	0.561876247505	0.813373253493	0.793413173653	0.74750499002	0.760479041916	0.806387225549
CE7	0.439121756487	0.458083832335	0.676646706587	0.596806387226	0.785429141717	0.75249500998	0.463073852295	0.352295409182	0.0	0.430139720559	0.761477045908	0.782435129741	0.641716566866	0.669660678643	0.462075848303	0.428143712575	0.90119760479	0.897205588822	0.924151696607	0.914171656687	0.774451097804	0.76746506986	0.952095808383	0.936127744511	0.820359281437	0.867265469062	0.855289421158	0.834331337325	0.785429141717	0.855289421158	0.877245508982	0.860279441118	0.586826347305	0.553892215569	0.579840319361	0.50998003992	0.63373253493	0.562874251497	0.604790419162	0.558882235529	0.634730538922	0.581836327345	0.622754491018	0.528942115768	0.551896207585	0.547904191617	0.575848303393	0.743512974052	0.726546906188	0.76746506986	0.7624750499	0.667664670659	0.714570858283	0.657684630739	0.723552894212	0.666666666667	0.569860279441	0.701596806387	0.657684630739	0.761477045908	0.735528942116	0.744510978044	0.778443113772	0.888223552894	0.907185628743	0.843313373253	0.801397205589	0.907185628743	0.868263473054	0.818363273453	0.863273453094	0.839321357285	0.872255489022	0.825349301397	0.840319361277	0.918163672655	0.899201596806	0.782435129741	0.787425149701	0.773453093812	0.589820359281	0.60379241517	0.639720558882	0.640718562874	0.605788423154	0.579840319361	0.828343313373	0.789421157685	0.751497005988	0.780439121756	0.820359281437
CE8	0.439121756487	0.39620758483	0.660678642715	0.533932135729	0.701596806387	0.661676646707	0.348303393214	0.411177644711	0.430139720559	0.0	0.670658682635	0.677644710579	0.564870259481	0.656686626747	0.398203592814	0.440119760479	0.873253493014	0.859281437126	0.912175648703	0.910179640719	0.7375249501	0.706586826347	0.917165668663	0.897205588822	0.786427145709	0.838323353293	0.821357285429	0.803393213573	0.783433133733	0.847305389222	0.858283433134	0.844311377246	0.550898203593	0.522954091816	0.572854291417	0.522954091816	0.625748502994	0.547904191617	0.595808383234	0.543912175649	0.621756487026	0.564870259481	0.627744510978	0.518962075848	0.550898203593	0.510978043912	0.545908183633	0.669660678643	0.651696606786	0.682634730539	0.683632734531	0.586826347305	0.644710578842	0.580838323353	0.680638722555	0.606786427146	0.517964071856	0.619760479042	0.590818363273	0.680638722555	0.656686626747	0.662674650699	0.699600798403	0.915169660679	0.931137724551	0.878243512974	0.766467065868	0.919161676647	0.89121756487	0.77245508982	0.883233532934	0.857285429142	0.888223552894	0.781437125749	0.86626746507	0.943113772455	0.926147704591	0.734530938124	0.738522954092	0.688622754491	0.582834331337	0.586826347305	0.548902195609	0.552894211577	0.502994011976	0.491017964072	0.761477045908	0.741516966068	0.689620758483	0.685628742515	0.75249500998
