	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.8038647343	0.885438233264	0.933816425121	0.835472739821	0.823395445135	0.923188405797	0.879158040028	0.891304347826	0.763285024155	0.761352657005	0.886680469289	0.954934437543	0.962525879917	0.992063492063	0.910213940649	0.934368530021	0.943547273982	0.902001380262	0.907867494824	0.810213940649	0.828640441684	0.987508626639	0.909937888199	0.9005521049	0.892546583851
CR95	0.8038647343	0.0	0.84237405107	0.920358868185	0.677639751553	0.794202898551	0.869082125604	0.854589371981	0.871911663216	0.838440303658	0.83602484472	0.878881987578	0.893029675638	0.925258799172	0.991856452726	0.881918564527	0.898205659075	0.925948930297	0.875707384403	0.880676328502	0.89806763285	0.879365079365	0.986611456177	0.848309178744	0.84375431332	0.811663216011
CR334	0.885438233264	0.84237405107	0.0	0.855072463768	0.884195997239	0.840579710145	0.821256038647	0.81663216011	0.852173913043	0.95900621118	0.985369220152	0.85624568668	0.932919254658	0.946721877157	0.963354037267	0.874258109041	0.888888888889	0.932160110421	0.87867494824	0.871635610766	0.961283643892	0.973982056591	0.96149068323	0.83823326432	0.85762594893	0.862180814355
CR348	0.933816425121	0.920358868185	0.855072463768	0.0	0.954175293306	0.953623188406	0.957142857143	0.865562456867	0.882470669427	0.983022774327	0.991235334714	0.870876466529	0.965079365079	0.967149758454	0.97867494824	0.899792960663	0.937750172533	0.946307798482	0.90082815735	0.905521048999	0.976052449965	0.986473429952	0.966942719117	0.946100759144	0.941062801932	0.946238785369
CR457	0.835472739821	0.677639751553	0.884195997239	0.954175293306	0.0	0.524568668047	0.848309178744	0.916011042098	0.938095238095	0.755693581781	0.864734299517	0.948930296756	0.945134575569	0.960869565217	0.992546583851	0.954865424431	0.93988957902	0.973844030366	0.948999309869	0.947826086957	0.881366459627	0.907177363699	0.986128364389	0.864665286404	0.905452035887	0.818426501035
CR458	0.823395445135	0.794202898551	0.840579710145	0.953623188406	0.524568668047	0.0	0.731677018634	0.904830917874	0.931953071084	0.727950310559	0.850379572119	0.934575569358	0.948654244306	0.965493443754	0.980193236715	0.94044168392	0.91884057971	0.967563837129	0.936991028295	0.920703933747	0.837060041408	0.875155279503	0.969220151829	0.737474120083	0.894409937888	0.805935127674
CR464	0.923188405797	0.869082125604	0.821256038647	0.957142857143	0.848309178744	0.731677018634	0.0	0.873982056591	0.918150448585	0.98364389234	0.991994478951	0.897101449275	0.935817805383	0.953209109731	0.964596273292	0.92270531401	0.902553485162	0.952795031056	0.910559006211	0.899033816425	0.975983436853	0.985783298827	0.964872325742	0.353071083506	0.845686680469	0.786473429952
CR469	0.879158040028	0.854589371981	0.81663216011	0.865562456867	0.916011042098	0.904830917874	0.873982056591	0.0	0.72160110421	0.989371980676	0.996204278813	0.819461697723	0.918219461698	0.947964113182	0.990338164251	0.816149068323	0.869013112491	0.90138026225	0.812974465148	0.832091097308	0.978536922015	0.982608695652	0.983160800552	0.865079365079	0.809316770186	0.85873015873
CR470	0.891304347826	0.871911663216	0.852173913043	0.882470669427	0.938095238095	0.931953071084	0.918150448585	0.72160110421	0.0	0.991925465839	0.995583160801	0.82049689441	0.906280193237	0.919254658385	0.993926846101	0.810351966874	0.872601794341	0.873982056591	0.807453416149	0.857694962043	0.979848171153	0.983022774327	0.988750862664	0.888198757764	0.862180814355	0.902346445825
CR2528	0.763285024155	0.838440303658	0.95900621118	0.983022774327	0.755693581781	0.727950310559	0.98364389234	0.989371980676	0.991925465839	0.0	0.501311249137	0.989648033126	0.992753623188	0.991787439614	0.99751552795	0.990821256039	0.989302967564	0.992960662526	0.990338164251	0.991442374051	0.648930296756	0.720565907522	0.992615596963	0.987922705314	0.986818495514	0.914699792961
CR2530	0.761352657005	0.83602484472	0.985369220152	0.991235334714	0.864734299517	0.850379572119	0.991994478951	0.996204278813	0.995583160801	0.501311249137	0.0	0.9966873706	0.996894409938	0.995307108351	0.999033816425	0.997377501725	0.996825396825	0.995721187026	0.995859213251	0.997308488613	0.613319530711	0.664320220842	0.995445134576	0.995859213251	0.993098688751	0.947688060732
GM173	0.886680469289	0.878881987578	0.85624568668	0.870876466529	0.948930296756	0.934575569358	0.897101449275	0.819461697723	0.82049689441	0.989648033126	0.9966873706	0.0	0.937888198758	0.93988957902	0.988267770876	0.824775707384	0.876535541753	0.895307108351	0.809523809524	0.828157349896	0.98033126294	0.983988957902	0.989855072464	0.872463768116	0.872739820566	0.900069013112
KSG242	0.954934437543	0.893029675638	0.932919254658	0.965079365079	0.945134575569	0.948654244306	0.935817805383	0.918219461698	0.906280193237	0.992753623188	0.996894409938	0.937888198758	0.0	0.462732919255	0.995583160801	0.938164251208	0.939475500345	0.920841959972	0.923395445135	0.943892339545	0.984679089027	0.985507246377	0.975017253278	0.906280193237	0.797308488613	0.843961352657
KSG246	0.962525879917	0.925258799172	0.946721877157	0.967149758454	0.960869565217	0.965493443754	0.953209109731	0.947964113182	0.919254658385	0.991787439614	0.995307108351	0.93988957902	0.462732919255	0.0	0.992063492063	0.946376811594	0.951414768806	0.919599723948	0.936438923395	0.950586611456	0.983850931677	0.984541062802	0.979089026915	0.934506556246	0.856038647343	0.918150448585
KSG477	0.992063492063	0.991856452726	0.963354037267	0.97867494824	0.992546583851	0.980193236715	0.964596273292	0.990338164251	0.993926846101	0.99751552795	0.999033816425	0.988267770876	0.995583160801	0.992063492063	0.0	0.991649413389	0.991925465839	0.993443754313	0.990269151139	0.989855072464	0.9983436853	0.997584541063	0.921118012422	0.970255348516	0.985852311939	0.988612836439
KSG0645	0.910213940649	0.881918564527	0.874258109041	0.899792960663	0.954865424431	0.94044168392	0.92270531401	0.816149068323	0.810351966874	0.990821256039	0.997377501725	0.824775707384	0.938164251208	0.946376811594	0.991649413389	0.0	0.603657694962	0.603450655625	0.507867494824	0.570324361629	0.976535541753	0.965355417529	0.985162180814	0.89806763285	0.836714975845	0.880193236715
KSG0647	0.934368530021	0.898205659075	0.888888888889	0.937750172533	0.93988957902	0.91884057971	0.902553485162	0.869013112491	0.872601794341	0.989302967564	0.996825396825	0.876535541753	0.939475500345	0.951414768806	0.991925465839	0.603657694962	0.0	0.694064872326	0.618426501035	0.53685300207	0.98226363009	0.967011732229	0.98253968254	0.883574879227	0.871704623879	0.88226363009
KSG0652	0.943547273982	0.925948930297	0.932160110421	0.946307798482	0.973844030366	0.967563837129	0.952795031056	0.90138026225	0.873982056591	0.992960662526	0.995721187026	0.895307108351	0.920841959972	0.919599723948	0.993443754313	0.603450655625	0.694064872326	0.0	0.605521048999	0.709661835749	0.975017253278	0.953968253968	0.987853692202	0.934299516908	0.901725327812	0.924361628709
KSG0660	0.902001380262	0.875707384403	0.87867494824	0.90082815735	0.948999309869	0.936991028295	0.910559006211	0.812974465148	0.807453416149	0.990338164251	0.995859213251	0.809523809524	0.923395445135	0.936438923395	0.990269151139	0.507867494824	0.618426501035	0.605521048999	0.0	0.552726017943	0.975845410628	0.963561076605	0.97757073844	0.880952380952	0.826984126984	0.883712905452
KSG0673	0.907867494824	0.880676328502	0.871635610766	0.905521048999	0.947826086957	0.920703933747	0.899033816425	0.832091097308	0.857694962043	0.991442374051	0.997308488613	0.828157349896	0.943892339545	0.950586611456	0.989855072464	0.570324361629	0.53685300207	0.709661835749	0.552726017943	0.0	0.978191856453	0.967218771567	0.98115942029	0.875293305728	0.852933057281	0.880262249827
KSG1471	0.810213940649	0.89806763285	0.961283643892	0.976052449965	0.881366459627	0.837060041408	0.975983436853	0.978536922015	0.979848171153	0.648930296756	0.613319530711	0.98033126294	0.984679089027	0.983850931677	0.9983436853	0.976535541753	0.98226363009	0.975017253278	0.975845410628	0.978191856453	0.0	0.493512767426	0.995790200138	0.989993098689	0.978881987578	0.945341614907
KSG1507	0.828640441684	0.879365079365	0.973982056591	0.986473429952	0.907177363699	0.875155279503	0.985783298827	0.982608695652	0.983022774327	0.720565907522	0.664320220842	0.983988957902	0.985507246377	0.984541062802	0.997584541063	0.965355417529	0.967011732229	0.953968253968	0.963561076605	0.967218771567	0.493512767426	0.0	0.993305728088	0.986611456177	0.983229813665	0.955969634231
US1AZ	0.987508626639	0.986611456177	0.96149068323	0.966942719117	0.986128364389	0.969220151829	0.964872325742	0.983160800552	0.988750862664	0.992615596963	0.995445134576	0.989855072464	0.975017253278	0.979089026915	0.921118012422	0.985162180814	0.98253968254	0.987853692202	0.97757073844	0.98115942029	0.995790200138	0.993305728088	0.0	0.967563837129	0.982677708765	0.979917184265
WCR464	0.909937888199	0.848309178744	0.83823326432	0.946100759144	0.864665286404	0.737474120083	0.353071083506	0.865079365079	0.888198757764	0.987922705314	0.995859213251	0.872463768116	0.906280193237	0.934506556246	0.970255348516	0.89806763285	0.883574879227	0.934299516908	0.880952380952	0.875293305728	0.989993098689	0.986611456177	0.967563837129	0.0	0.814975845411	0.786404416839
WLK3	0.9005521049	0.84375431332	0.85762594893	0.941062801932	0.905452035887	0.894409937888	0.845686680469	0.809316770186	0.862180814355	0.986818495514	0.993098688751	0.872739820566	0.797308488613	0.856038647343	0.985852311939	0.836714975845	0.871704623879	0.901725327812	0.826984126984	0.852933057281	0.978881987578	0.983229813665	0.982677708765	0.814975845411	0.0	0.634437543133
WLK12	0.892546583851	0.811663216011	0.862180814355	0.946238785369	0.818426501035	0.805935127674	0.786473429952	0.85873015873	0.902346445825	0.914699792961	0.947688060732	0.900069013112	0.843961352657	0.918150448585	0.988612836439	0.880193236715	0.88226363009	0.924361628709	0.883712905452	0.880262249827	0.945341614907	0.955969634231	0.979917184265	0.786404416839	0.634437543133	0.0
