	DA5	DB5	DC5	DD5	DE5	DF5	DG5	DH5	DA2	DB2	DC2	DD2	DE2	DF2	DG2	DH2	DA1	DB1	DC1	DD1	DE1	DF1	DG1	DH1	DA4	DB4	DC4	DD4	DE4	DF4	DG4	DH4	DA6	DB6	DC6	DD6	DE6	DF6	DG6	DH6	DA7	DB7	DC7	DD7	DE7	DF7	DG7	DH7	DA8	DB8	DC8	DD8	DF8	DG8	DH8	DA3	DB3	DC3	DD3	DE3	DF3	DG3	DH3
DA5	0.0	0.377777777778	0.459649122807	0.348538011696	0.385964912281	0.432748538012	0.47134502924	0.374269005848	0.53216374269	0.584795321637	0.570760233918	0.715789473684	0.777777777778	0.804678362573	0.615204678363	0.533333333333	0.783625730994	0.771929824561	0.754385964912	0.625730994152	0.60701754386	0.66432748538	0.688888888889	0.778947368421	0.836257309942	0.815204678363	0.718128654971	0.707602339181	0.718128654971	0.716959064327	0.690058479532	0.72514619883	0.906432748538	0.900584795322	0.916959064327	0.92514619883	0.909941520468	0.934502923977	0.916959064327	0.926315789474	0.953216374269	0.946198830409	0.950877192982	0.92514619883	0.947368421053	0.93567251462	0.93918128655	0.953216374269	0.978947368421	0.966081871345	0.981286549708	0.969590643275	0.973099415205	0.970760233918	0.975438596491	0.707602339181	0.590643274854	0.72514619883	0.704093567251	0.621052631579	0.614035087719	0.686549707602	0.663157894737
DB5	0.377777777778	0.0	0.444444444444	0.367251461988	0.431578947368	0.387134502924	0.415204678363	0.387134502924	0.536842105263	0.633918128655	0.631578947368	0.73918128655	0.789473684211	0.830409356725	0.65730994152	0.541520467836	0.80350877193	0.791812865497	0.774269005848	0.656140350877	0.630409356725	0.684210526316	0.712280701754	0.798830409357	0.859649122807	0.847953216374	0.690058479532	0.730994152047	0.722807017544	0.677192982456	0.656140350877	0.687719298246	0.912280701754	0.899415204678	0.914619883041	0.93216374269	0.911111111111	0.938011695906	0.916959064327	0.92865497076	0.961403508772	0.962573099415	0.970760233918	0.943859649123	0.959064327485	0.950877192982	0.955555555556	0.963742690058	0.984795321637	0.971929824561	0.980116959064	0.971929824561	0.974269005848	0.974269005848	0.977777777778	0.684210526316	0.568421052632	0.704093567251	0.688888888889	0.625730994152	0.628070175439	0.659649122807	0.642105263158
DC5	0.459649122807	0.444444444444	0.0	0.437426900585	0.500584795322	0.390643274854	0.461988304094	0.47485380117	0.575438596491	0.691228070175	0.647953216374	0.760233918129	0.822222222222	0.79649122807	0.708771929825	0.610526315789	0.760233918129	0.809356725146	0.750877192982	0.621052631579	0.615204678363	0.656140350877	0.721637426901	0.743859649123	0.886549707602	0.876023391813	0.741520467836	0.722807017544	0.730994152047	0.746198830409	0.701754385965	0.757894736842	0.887719298246	0.891228070175	0.898245614035	0.912280701754	0.890058479532	0.916959064327	0.904093567251	0.918128654971	0.93216374269	0.92865497076	0.93216374269	0.878362573099	0.894736842105	0.905263157895	0.909941520468	0.929824561404	0.963742690058	0.955555555556	0.976608187135	0.949707602339	0.949707602339	0.954385964912	0.962573099415	0.658479532164	0.563742690058	0.679532163743	0.663157894737	0.610526315789	0.635087719298	0.659649122807	0.610526315789
DD5	0.348538011696	0.367251461988	0.437426900585	0.0	0.360233918129	0.40701754386	0.459649122807	0.389473684211	0.530994152047	0.577777777778	0.571929824561	0.745029239766	0.797660818713	0.810526315789	0.617543859649	0.52865497076	0.783625730994	0.805847953216	0.759064327485	0.649122807018	0.629239766082	0.669005847953	0.721637426901	0.776608187135	0.876023391813	0.863157894737	0.73567251462	0.715789473684	0.727485380117	0.738011695906	0.695906432749	0.746198830409	0.902923976608	0.898245614035	0.916959064327	0.921637426901	0.899415204678	0.929824561404	0.911111111111	0.926315789474	0.956725146199	0.953216374269	0.953216374269	0.926315789474	0.946198830409	0.940350877193	0.947368421053	0.955555555556	0.976608187135	0.966081871345	0.981286549708	0.966081871345	0.967251461988	0.966081871345	0.977777777778	0.698245614035	0.588304093567	0.716959064327	0.692397660819	0.616374269006	0.616374269006	0.687719298246	0.649122807018
DE5	0.385964912281	0.431578947368	0.500584795322	0.360233918129	0.0	0.469005847953	0.514619883041	0.402339181287	0.526315789474	0.549707602339	0.562573099415	0.741520467836	0.802339181287	0.809356725146	0.612865497076	0.519298245614	0.783625730994	0.802339181287	0.773099415205	0.665497076023	0.633918128655	0.658479532164	0.715789473684	0.783625730994	0.866666666667	0.852631578947	0.768421052632	0.73918128655	0.764912280702	0.769590643275	0.727485380117	0.778947368421	0.905263157895	0.901754385965	0.913450292398	0.933333333333	0.909941520468	0.933333333333	0.920467836257	0.929824561404	0.963742690058	0.954385964912	0.956725146199	0.93216374269	0.954385964912	0.945029239766	0.940350877193	0.956725146199	0.975438596491	0.966081871345	0.977777777778	0.964912280702	0.962573099415	0.968421052632	0.974269005848	0.745029239766	0.633918128655	0.768421052632	0.743859649123	0.659649122807	0.623391812865	0.730994152047	0.699415204678
DF5	0.432748538012	0.387134502924	0.390643274854	0.40701754386	0.469005847953	0.0	0.439766081871	0.440935672515	0.559064327485	0.656140350877	0.632748538012	0.757894736842	0.809356725146	0.80350877193	0.672514619883	0.582456140351	0.761403508772	0.809356725146	0.757894736842	0.640935672515	0.623391812865	0.656140350877	0.73567251462	0.756725146199	0.881871345029	0.870175438596	0.722807017544	0.716959064327	0.73216374269	0.711111111111	0.663157894737	0.713450292398	0.902923976608	0.887719298246	0.905263157895	0.916959064327	0.900584795322	0.920467836257	0.898245614035	0.920467836257	0.954385964912	0.952046783626	0.948538011696	0.909941520468	0.921637426901	0.921637426901	0.933333333333	0.947368421053	0.969590643275	0.962573099415	0.975438596491	0.963742690058	0.961403508772	0.957894736842	0.962573099415	0.638596491228	0.53567251462	0.663157894737	0.658479532164	0.604678362573	0.624561403509	0.625730994152	0.589473684211
DG5	0.47134502924	0.415204678363	0.461988304094	0.459649122807	0.514619883041	0.439766081871	0.0	0.488888888889	0.555555555556	0.693567251462	0.685380116959	0.729824561404	0.785964912281	0.814035087719	0.707602339181	0.590643274854	0.780116959064	0.791812865497	0.752046783626	0.647953216374	0.629239766082	0.673684210526	0.709941520468	0.773099415205	0.851461988304	0.842105263158	0.693567251462	0.713450292398	0.708771929825	0.681871345029	0.567251461988	0.67485380117	0.911111111111	0.906432748538	0.915789473684	0.930994152047	0.905263157895	0.92865497076	0.916959064327	0.92514619883	0.964912280702	0.961403508772	0.961403508772	0.934502923977	0.950877192982	0.940350877193	0.947368421053	0.967251461988	0.971929824561	0.967251461988	0.975438596491	0.967251461988	0.966081871345	0.963742690058	0.963742690058	0.578947368421	0.560233918129	0.681871345029	0.678362573099	0.621052631579	0.683040935673	0.573099415205	0.609356725146
DH5	0.374269005848	0.387134502924	0.47485380117	0.389473684211	0.402339181287	0.440935672515	0.488888888889	0.0	0.508771929825	0.585964912281	0.570760233918	0.698245614035	0.767251461988	0.788304093567	0.605847953216	0.519298245614	0.768421052632	0.775438596491	0.748538011696	0.638596491228	0.621052631579	0.654970760234	0.683040935673	0.769590643275	0.817543859649	0.810526315789	0.714619883041	0.693567251462	0.707602339181	0.716959064327	0.679532163743	0.727485380117	0.914619883041	0.895906432749	0.901754385965	0.938011695906	0.914619883041	0.919298245614	0.92514619883	0.923976608187	0.960233918129	0.962573099415	0.955555555556	0.943859649123	0.962573099415	0.947368421053	0.93567251462	0.967251461988	0.962573099415	0.959064327485	0.982456140351	0.961403508772	0.975438596491	0.947368421053	0.955555555556	0.712280701754	0.618713450292	0.721637426901	0.701754385965	0.619883040936	0.612865497076	0.709941520468	0.645614035088
DA2	0.53216374269	0.536842105263	0.575438596491	0.530994152047	0.526315789474	0.559064327485	0.555555555556	0.508771929825	0.0	0.597660818713	0.555555555556	0.644444444444	0.720467836257	0.733333333333	0.617543859649	0.422222222222	0.722807017544	0.706432748538	0.721637426901	0.589473684211	0.59649122807	0.661988304094	0.587134502924	0.72514619883	0.74269005848	0.746198830409	0.687719298246	0.678362573099	0.690058479532	0.704093567251	0.663157894737	0.701754385965	0.926315789474	0.918128654971	0.911111111111	0.922807017544	0.891228070175	0.87485380117	0.934502923977	0.915789473684	0.901754385965	0.900584795322	0.901754385965	0.906432748538	0.941520467836	0.870175438596	0.891228070175	0.900584795322	0.915789473684	0.921637426901	0.953216374269	0.913450292398	0.929824561404	0.894736842105	0.888888888889	0.714619883041	0.625730994152	0.698245614035	0.691228070175	0.615204678363	0.602339181287	0.715789473684	0.639766081871
DB2	0.584795321637	0.633918128655	0.691228070175	0.577777777778	0.549707602339	0.656140350877	0.693567251462	0.585964912281	0.597660818713	0.0	0.485380116959	0.626900584795	0.663157894737	0.665497076023	0.447953216374	0.626900584795	0.752046783626	0.825730994152	0.720467836257	0.73216374269	0.754385964912	0.748538011696	0.721637426901	0.698245614035	0.826900584795	0.819883040936	0.880701754386	0.763742690058	0.795321637427	0.895906432749	0.79649122807	0.898245614035	0.918128654971	0.921637426901	0.900584795322	0.946198830409	0.919298245614	0.885380116959	0.93918128655	0.922807017544	0.989473684211	0.963742690058	0.963742690058	0.959064327485	0.980116959064	0.956725146199	0.929824561404	0.977777777778	0.912280701754	0.93216374269	0.954385964912	0.918128654971	0.950877192982	0.884210526316	0.844444444444	0.849122807018	0.749707602339	0.749707602339	0.734502923977	0.65730994152	0.679532163743	0.839766081871	0.721637426901
