No	Tree1	Tree2	Triples	NodalSplitted	MatchingCluster	R-F_Cluster
1	1	2	243.0000	34.6987	47.0000	12.0000
2	2	3	242.0000	24.4949	27.0000	6.0000
3	3	4	3.0000	5.2915	2.0000	1.0000
4	4	5	10.0000	8.7178	7.0000	1.0000
5	5	6	0.0000	0.0000	0.0000	0.0000
6	6	7	26.0000	14.6287	12.0000	4.0000
7	7	8	15.0000	8.2462	5.0000	2.0000
8	8	9	4.0000	7.4833	4.0000	2.0000
9	9	10	3.0000	7.0711	4.0000	1.0000
10	10	11	10.0000	6.3246	3.0000	1.0000
11	11	12	22.0000	11.4018	6.0000	2.0000
12	12	13	0.0000	0.0000	0.0000	0.0000
13	13	14	17.0000	9.5917	5.0000	2.0000
14	14	15	17.0000	9.5917	5.0000	2.0000
15	15	16	22.0000	11.4018	6.0000	2.0000
16	16	17	37.0000	9.6954	16.0000	2.0000
17	17	18	37.0000	9.6954	16.0000	2.0000
18	18	19	12.0000	6.3246	3.0000	1.0000
19	19	20	27.0000	15.2315	12.0000	2.0000
20	20	21	0.0000	0.0000	0.0000	0.0000
21	21	22	52.0000	18.3848	26.0000	3.0000
22	22	23	0.0000	0.0000	0.0000	0.0000
23	23	24	35.0000	9.6954	16.0000	2.0000
24	24	25	25.0000	9.3808	7.0000	2.0000
25	25	26	25.0000	10.0000	8.0000	2.0000
26	26	27	7.0000	8.3666	8.0000	1.0000
27	27	28	7.0000	8.3666	8.0000	1.0000
28	28	29	7.0000	8.3666	8.0000	1.0000
29	29	30	7.0000	8.3666	8.0000	1.0000
30	30	31	0.0000	0.0000	0.0000	0.0000
31	31	32	0.0000	0.0000	0.0000	0.0000
32	32	33	0.0000	0.0000	0.0000	0.0000
33	33	34	0.0000	0.0000	0.0000	0.0000
34	34	35	0.0000	0.0000	0.0000	0.0000
35	35	36	22.0000	11.4018	6.0000	2.0000
36	36	37	0.0000	0.0000	0.0000	0.0000
37	37	38	22.0000	11.4018	6.0000	2.0000
38	38	39	25.0000	10.0000	8.0000	2.0000
39	39	40	25.0000	9.3808	7.0000	2.0000
40	40	41	42.0000	10.4881	12.0000	3.0000
41	41	42	42.0000	10.4881	12.0000	3.0000
42	42	43	0.0000	0.0000	0.0000	0.0000
43	43	44	0.0000	0.0000	0.0000	0.0000
44	44	45	10.0000	8.7178	7.0000	1.0000
45	45	46	0.0000	0.0000	0.0000	0.0000
46	46	47	0.0000	0.0000	0.0000	0.0000
47	47	48	10.0000	8.0000	6.0000	1.0000
48	48	49	0.0000	0.0000	0.0000	0.0000
49	49	50	10.0000	8.0000	6.0000	1.0000
50	50	51	10.0000	8.0000	6.0000	1.0000
51	51	52	0.0000	0.0000	0.0000	0.0000
52	52	53	10.0000	6.3246	3.0000	1.0000
53	53	54	10.0000	6.3246	3.0000	1.0000
54	54	55	7.0000	8.3666	8.0000	1.0000
55	55	56	0.0000	0.0000	0.0000	0.0000
56	56	57	7.0000	8.3666	8.0000	1.0000
57	57	58	0.0000	0.0000	0.0000	0.0000
58	58	59	0.0000	0.0000	0.0000	0.0000
59	59	60	0.0000	0.0000	0.0000	0.0000
60	60	61	0.0000	0.0000	0.0000	0.0000
61	61	62	0.0000	0.0000	0.0000	0.0000
62	62	63	0.0000	0.0000	0.0000	0.0000
63	63	64	10.0000	8.0000	6.0000	1.0000
64	64	65	10.0000	8.0000	6.0000	1.0000
65	65	66	10.0000	6.3246	3.0000	1.0000
66	66	67	10.0000	6.3246	3.0000	1.0000
67	67	68	0.0000	0.0000	0.0000	0.0000
68	68	69	0.0000	0.0000	0.0000	0.0000
69	69	70	0.0000	0.0000	0.0000	0.0000
70	70	71	0.0000	0.0000	0.0000	0.0000
71	71	72	10.0000	6.3246	3.0000	1.0000
72	72	73	10.0000	6.3246	3.0000	1.0000
73	73	74	10.0000	6.3246	3.0000	1.0000
74	74	75	0.0000	0.0000	0.0000	0.0000
75	75	76	10.0000	6.3246	3.0000	1.0000
76	76	77	0.0000	0.0000	0.0000	0.0000
77	77	78	0.0000	0.0000	0.0000	0.0000
78	78	79	0.0000	0.0000	0.0000	0.0000
79	79	80	0.0000	0.0000	0.0000	0.0000
80	80	81	10.0000	8.0000	6.0000	1.0000
81	81	82	10.0000	8.0000	6.0000	1.0000
82	82	83	10.0000	6.3246	3.0000	1.0000
83	83	84	0.0000	0.0000	0.0000	0.0000
84	84	85	10.0000	6.3246	3.0000	1.0000
85	85	86	0.0000	0.0000	0.0000	0.0000
86	86	87	0.0000	0.0000	0.0000	0.0000
87	87	88	0.0000	0.0000	0.0000	0.0000
88	88	89	10.0000	6.3246	3.0000	1.0000
89	89	90	10.0000	6.3246	3.0000	1.0000
90	90	91	0.0000	0.0000	0.0000	0.0000
91	91	92	0.0000	0.0000	0.0000	0.0000
92	92	93	0.0000	0.0000	0.0000	0.0000
93	93	94	0.0000	0.0000	0.0000	0.0000
94	94	95	0.0000	0.0000	0.0000	0.0000
95	95	96	0.0000	0.0000	0.0000	0.0000
96	96	97	0.0000	0.0000	0.0000	0.0000
97	97	98	10.0000	6.3246	3.0000	1.0000
98	98	99	12.0000	6.3246	3.0000	1.0000
99	99	100	0.0000	0.0000	0.0000	0.0000
