Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	8.0000	0.8844	0.8737
2	9.0000	0.9949	0.9830
3	9.0000	0.9949	0.9830
4	9.0000	0.9949	0.9830
5	10.0000	1.1055	1.0922
6	8.0000	0.8844	0.8737
7	7.0000	0.7738	0.7645
8	8.0000	0.8844	0.8737
9	9.0000	0.9949	0.9830
10	7.0000	0.7738	0.7645
11	7.0000	0.7738	0.7645
12	9.0000	0.9949	0.9830
13	7.0000	0.7738	0.7645
14	8.0000	0.8844	0.8737
15	8.0000	0.8844	0.8737
16	9.0000	0.9949	0.9830
17	9.0000	0.9949	0.9830
18	9.0000	0.9949	0.9830
19	7.0000	0.7738	0.7645
20	9.0000	0.9949	0.9830
21	9.0000	0.9949	0.9830
22	11.0000	1.2160	1.2014
23	9.0000	0.9949	0.9830
24	12.0000	1.3266	1.3106
25	9.0000	0.9949	0.9830
26	11.0000	1.2160	1.2014
27	8.0000	0.8844	0.8737
28	7.0000	0.7738	0.7645
29	7.0000	0.7738	0.7645
30	11.0000	1.2160	1.2014
31	6.0000	0.6633	0.6553
32	5.0000	0.5527	0.5461
33	9.0000	0.9949	0.9830
34	8.0000	0.8844	0.8737
35	8.0000	0.8844	0.8737
36	10.0000	1.1055	1.0922
37	9.0000	0.9949	0.9830
38	9.0000	0.9949	0.9830
39	10.0000	1.1055	1.0922
40	9.0000	0.9949	0.9830
41	12.0000	1.3266	1.3106
42	10.0000	1.1055	1.0922
43	8.0000	0.8844	0.8737
44	10.0000	1.1055	1.0922
45	11.0000	1.2160	1.2014
46	6.0000	0.6633	0.6553
47	10.0000	1.1055	1.0922
48	10.0000	1.1055	1.0922
49	6.0000	0.6633	0.6553
50	10.0000	1.1055	1.0922
51	9.0000	0.9949	0.9830
52	8.0000	0.8844	0.8737
53	6.0000	0.6633	0.6553
54	7.0000	0.7738	0.7645
55	9.0000	0.9949	0.9830
56	7.0000	0.7738	0.7645
57	9.0000	0.9949	0.9830
58	9.0000	0.9949	0.9830
59	8.0000	0.8844	0.8737
60	9.0000	0.9949	0.9830
61	9.0000	0.9949	0.9830
62	10.0000	1.1055	1.0922
63	9.0000	0.9949	0.9830
64	9.0000	0.9949	0.9830
65	12.0000	1.3266	1.3106
66	7.0000	0.7738	0.7645
67	10.0000	1.1055	1.0922
68	11.0000	1.2160	1.2014
69	9.0000	0.9949	0.9830
70	10.0000	1.1055	1.0922
71	7.0000	0.7738	0.7645
72	11.0000	1.2160	1.2014
73	11.0000	1.2160	1.2014
74	9.0000	0.9949	0.9830
75	10.0000	1.1055	1.0922
76	10.0000	1.1055	1.0922
77	12.0000	1.3266	1.3106
78	7.0000	0.7738	0.7645
79	11.0000	1.2160	1.2014
80	8.0000	0.8844	0.8737
81	10.0000	1.1055	1.0922
82	12.0000	1.3266	1.3106
83	13.0000	1.4371	1.4198
84	9.0000	0.9949	0.9830
85	9.0000	0.9949	0.9830
86	10.0000	1.1055	1.0922
87	9.0000	0.9949	0.9830
88	10.0000	1.1055	1.0922
89	7.0000	0.7738	0.7645
90	10.0000	1.1055	1.0922
91	5.0000	0.5527	0.5461
92	10.0000	1.1055	1.0922
93	9.0000	0.9949	0.9830
94	10.0000	1.1055	1.0922
95	8.0000	0.8844	0.8737
96	7.0000	0.7738	0.7645
97	7.0000	0.7738	0.7645
98	8.0000	0.8844	0.8737
99	10.0000	1.1055	1.0922
100	10.0000	1.1055	1.0922
101	8.0000	0.8844	0.8737
102	6.0000	0.6633	0.6553
103	10.0000	1.1055	1.0922
104	9.0000	0.9949	0.9830
105	13.0000	1.4371	1.4198
106	9.0000	0.9949	0.9830
107	9.0000	0.9949	0.9830
108	13.0000	1.4371	1.4198
109	7.0000	0.7738	0.7645
110	9.0000	0.9949	0.9830
111	9.0000	0.9949	0.9830
112	9.0000	0.9949	0.9830
113	7.0000	0.7738	0.7645
114	11.0000	1.2160	1.2014
115	7.0000	0.7738	0.7645
116	7.0000	0.7738	0.7645
117	11.0000	1.2160	1.2014
118	7.0000	0.7738	0.7645
119	5.0000	0.5527	0.5461
120	9.0000	0.9949	0.9830
121	9.0000	0.9949	0.9830
122	11.0000	1.2160	1.2014
123	9.0000	0.9949	0.9830
124	7.0000	0.7738	0.7645
125	10.0000	1.1055	1.0922
126	7.0000	0.7738	0.7645
127	7.0000	0.7738	0.7645
128	9.0000	0.9949	0.9830
129	10.0000	1.1055	1.0922
130	5.0000	0.5527	0.5461
131	9.0000	0.9949	0.9830
132	13.0000	1.4371	1.4198
133	10.0000	1.1055	1.0922
134	11.0000	1.2160	1.2014
135	7.0000	0.7738	0.7645
136	11.0000	1.2160	1.2014
137	6.0000	0.6633	0.6553
138	8.0000	0.8844	0.8737
139	9.0000	0.9949	0.9830
140	9.0000	0.9949	0.9830
141	11.0000	1.2160	1.2014
142	7.0000	0.7738	0.7645
143	10.0000	1.1055	1.0922
144	7.0000	0.7738	0.7645
145	12.0000	1.3266	1.3106
146	9.0000	0.9949	0.9830
147	11.0000	1.2160	1.2014
148	8.0000	0.8844	0.8737
149	9.0000	0.9949	0.9830
150	11.0000	1.2160	1.2014
151	9.0000	0.9949	0.9830
152	12.0000	1.3266	1.3106
153	9.0000	0.9949	0.9830
154	7.0000	0.7738	0.7645
155	10.0000	1.1055	1.0922
156	11.0000	1.2160	1.2014
157	9.0000	0.9949	0.9830
158	11.0000	1.2160	1.2014
159	5.0000	0.5527	0.5461
160	7.0000	0.7738	0.7645
161	7.0000	0.7738	0.7645
162	9.0000	0.9949	0.9830
163	8.0000	0.8844	0.8737
164	7.0000	0.7738	0.7645
165	7.0000	0.7738	0.7645
166	11.0000	1.2160	1.2014
167	11.0000	1.2160	1.2014
168	10.0000	1.1055	1.0922
169	9.0000	0.9949	0.9830
170	10.0000	1.1055	1.0922
171	7.0000	0.7738	0.7645
172	7.0000	0.7738	0.7645
173	9.0000	0.9949	0.9830
174	9.0000	0.9949	0.9830
175	10.0000	1.1055	1.0922
176	5.0000	0.5527	0.5461
177	9.0000	0.9949	0.9830
178	7.0000	0.7738	0.7645
179	9.0000	0.9949	0.9830
180	11.0000	1.2160	1.2014
181	9.0000	0.9949	0.9830
182	9.0000	0.9949	0.9830
183	10.0000	1.1055	1.0922
184	9.0000	0.9949	0.9830
185	9.0000	0.9949	0.9830
186	9.0000	0.9949	0.9830
187	9.0000	0.9949	0.9830
188	11.0000	1.2160	1.2014
189	9.0000	0.9949	0.9830
190	5.0000	0.5527	0.5461
191	13.0000	1.4371	1.4198
192	7.0000	0.7738	0.7645
193	9.0000	0.9949	0.9830
194	8.0000	0.8844	0.8737
195	12.0000	1.3266	1.3106
196	10.0000	1.1055	1.0922
197	9.0000	0.9949	0.9830
198	7.0000	0.7738	0.7645
199	9.0000	0.9949	0.9830
200	9.0000	0.9949	0.9830
201	12.0000	1.3266	1.3106
202	11.0000	1.2160	1.2014
203	8.0000	0.8844	0.8737
204	9.0000	0.9949	0.9830
205	8.0000	0.8844	0.8737
206	9.0000	0.9949	0.9830
207	9.0000	0.9949	0.9830
208	9.0000	0.9949	0.9830
209	7.0000	0.7738	0.7645
210	7.0000	0.7738	0.7645
211	10.0000	1.1055	1.0922
212	6.0000	0.6633	0.6553
213	9.0000	0.9949	0.9830
214	10.0000	1.1055	1.0922
215	10.0000	1.1055	1.0922
216	9.0000	0.9949	0.9830
217	9.0000	0.9949	0.9830
218	8.0000	0.8844	0.8737
219	9.0000	0.9949	0.9830
220	10.0000	1.1055	1.0922
221	6.0000	0.6633	0.6553
222	10.0000	1.1055	1.0922
223	9.0000	0.9949	0.9830
224	7.0000	0.7738	0.7645
225	5.0000	0.5527	0.5461
226	9.0000	0.9949	0.9830
227	9.0000	0.9949	0.9830
228	10.0000	1.1055	1.0922
229	4.0000	0.4422	0.4369
230	11.0000	1.2160	1.2014
231	10.0000	1.1055	1.0922
232	11.0000	1.2160	1.2014
233	11.0000	1.2160	1.2014
234	10.0000	1.1055	1.0922
235	7.0000	0.7738	0.7645
236	10.0000	1.1055	1.0922
237	9.0000	0.9949	0.9830
238	10.0000	1.1055	1.0922
239	6.0000	0.6633	0.6553
240	7.0000	0.7738	0.7645
241	3.0000	0.3316	0.3277
242	8.0000	0.8844	0.8737
243	8.0000	0.8844	0.8737
244	7.0000	0.7738	0.7645
245	9.0000	0.9949	0.9830
246	10.0000	1.1055	1.0922
247	12.0000	1.3266	1.3106
248	7.0000	0.7738	0.7645
249	7.0000	0.7738	0.7645
250	6.0000	0.6633	0.6553
251	11.0000	1.2160	1.2014
252	10.0000	1.1055	1.0922
253	10.0000	1.1055	1.0922
254	9.0000	0.9949	0.9830
255	10.0000	1.1055	1.0922
256	8.0000	0.8844	0.8737
257	9.0000	0.9949	0.9830
258	9.0000	0.9949	0.9830
259	7.0000	0.7738	0.7645
260	13.0000	1.4371	1.4198
261	9.0000	0.9949	0.9830
262	9.0000	0.9949	0.9830
263	13.0000	1.4371	1.4198
264	11.0000	1.2160	1.2014
265	9.0000	0.9949	0.9830
266	7.0000	0.7738	0.7645
267	12.0000	1.3266	1.3106
268	7.0000	0.7738	0.7645
269	11.0000	1.2160	1.2014
270	10.0000	1.1055	1.0922
271	7.0000	0.7738	0.7645
272	7.0000	0.7738	0.7645
273	11.0000	1.2160	1.2014
274	9.0000	0.9949	0.9830
275	10.0000	1.1055	1.0922
276	9.0000	0.9949	0.9830
277	9.0000	0.9949	0.9830
278	12.0000	1.3266	1.3106
279	8.0000	0.8844	0.8737
280	5.0000	0.5527	0.5461
281	8.0000	0.8844	0.8737
282	10.0000	1.1055	1.0922
283	9.0000	0.9949	0.9830
284	9.0000	0.9949	0.9830
285	6.0000	0.6633	0.6553
286	8.0000	0.8844	0.8737
287	9.0000	0.9949	0.9830
288	10.0000	1.1055	1.0922
289	10.0000	1.1055	1.0922
290	7.0000	0.7738	0.7645
291	8.0000	0.8844	0.8737
292	9.0000	0.9949	0.9830
293	9.0000	0.9949	0.9830
294	10.0000	1.1055	1.0922
295	8.0000	0.8844	0.8737
296	7.0000	0.7738	0.7645
297	12.0000	1.3266	1.3106
298	10.0000	1.1055	1.0922
299	4.0000	0.4422	0.4369
300	8.0000	0.8844	0.8737
301	12.0000	1.3266	1.3106
302	13.0000	1.4371	1.4198
303	8.0000	0.8844	0.8737
304	11.0000	1.2160	1.2014
305	8.0000	0.8844	0.8737
306	8.0000	0.8844	0.8737
307	9.0000	0.9949	0.9830
308	8.0000	0.8844	0.8737
309	9.0000	0.9949	0.9830
310	9.0000	0.9949	0.9830
311	8.0000	0.8844	0.8737
312	9.0000	0.9949	0.9830
313	7.0000	0.7738	0.7645
314	8.0000	0.8844	0.8737
315	9.0000	0.9949	0.9830
316	7.0000	0.7738	0.7645
317	7.0000	0.7738	0.7645
318	8.0000	0.8844	0.8737
319	10.0000	1.1055	1.0922
320	9.0000	0.9949	0.9830
321	9.0000	0.9949	0.9830
322	7.0000	0.7738	0.7645
323	10.0000	1.1055	1.0922
324	7.0000	0.7738	0.7645
325	9.0000	0.9949	0.9830
326	10.0000	1.1055	1.0922
327	9.0000	0.9949	0.9830
328	11.0000	1.2160	1.2014
329	8.0000	0.8844	0.8737
330	12.0000	1.3266	1.3106
331	10.0000	1.1055	1.0922
332	9.0000	0.9949	0.9830
333	6.0000	0.6633	0.6553
334	7.0000	0.7738	0.7645
335	9.0000	0.9949	0.9830
336	8.0000	0.8844	0.8737
337	6.0000	0.6633	0.6553
338	9.0000	0.9949	0.9830
339	7.0000	0.7738	0.7645
340	11.0000	1.2160	1.2014
341	5.0000	0.5527	0.5461
342	9.0000	0.9949	0.9830
343	9.0000	0.9949	0.9830
344	11.0000	1.2160	1.2014
345	7.0000	0.7738	0.7645
346	8.0000	0.8844	0.8737
347	7.0000	0.7738	0.7645
348	8.0000	0.8844	0.8737
349	9.0000	0.9949	0.9830
350	9.0000	0.9949	0.9830
351	11.0000	1.2160	1.2014
352	9.0000	0.9949	0.9830
353	10.0000	1.1055	1.0922
354	7.0000	0.7738	0.7645
355	7.0000	0.7738	0.7645
356	9.0000	0.9949	0.9830
357	8.0000	0.8844	0.8737
358	5.0000	0.5527	0.5461
359	12.0000	1.3266	1.3106
360	9.0000	0.9949	0.9830
361	9.0000	0.9949	0.9830
362	9.0000	0.9949	0.9830
363	9.0000	0.9949	0.9830
364	3.0000	0.3316	0.3277
365	10.0000	1.1055	1.0922
366	10.0000	1.1055	1.0922
367	9.0000	0.9949	0.9830
368	7.0000	0.7738	0.7645
369	5.0000	0.5527	0.5461
370	7.0000	0.7738	0.7645
371	9.0000	0.9949	0.9830
372	11.0000	1.2160	1.2014
373	9.0000	0.9949	0.9830
374	11.0000	1.2160	1.2014
375	4.0000	0.4422	0.4369
376	13.0000	1.4371	1.4198
377	7.0000	0.7738	0.7645
378	7.0000	0.7738	0.7645
379	8.0000	0.8844	0.8737
380	11.0000	1.2160	1.2014
381	7.0000	0.7738	0.7645
382	11.0000	1.2160	1.2014
383	8.0000	0.8844	0.8737
384	7.0000	0.7738	0.7645
385	13.0000	1.4371	1.4198
386	11.0000	1.2160	1.2014
387	8.0000	0.8844	0.8737
388	9.0000	0.9949	0.9830
389	7.0000	0.7738	0.7645
390	9.0000	0.9949	0.9830
391	8.0000	0.8844	0.8737
392	10.0000	1.1055	1.0922
393	9.0000	0.9949	0.9830
394	11.0000	1.2160	1.2014
395	9.0000	0.9949	0.9830
396	6.0000	0.6633	0.6553
397	12.0000	1.3266	1.3106
398	8.0000	0.8844	0.8737
399	7.0000	0.7738	0.7645
400	9.0000	0.9949	0.9830
401	7.0000	0.7738	0.7645
402	7.0000	0.7738	0.7645
403	11.0000	1.2160	1.2014
404	9.0000	0.9949	0.9830
405	6.0000	0.6633	0.6553
406	11.0000	1.2160	1.2014
407	6.0000	0.6633	0.6553
408	9.0000	0.9949	0.9830
409	12.0000	1.3266	1.3106
410	9.0000	0.9949	0.9830
411	10.0000	1.1055	1.0922
412	7.0000	0.7738	0.7645
413	9.0000	0.9949	0.9830
414	11.0000	1.2160	1.2014
