Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	5.0000	0.9950	0.9768
2	5.0000	0.9950	0.9768
3	5.0000	0.9950	0.9768
4	4.0000	0.7960	0.7814
5	7.0000	1.3930	1.3675
6	3.0000	0.5970	0.5861
7	3.0000	0.5970	0.5861
8	5.0000	0.9950	0.9768
9	7.0000	1.3930	1.3675
10	6.0000	1.1940	1.1721
11	6.0000	1.1940	1.1721
12	5.0000	0.9950	0.9768
13	3.0000	0.5970	0.5861
14	5.0000	0.9950	0.9768
15	7.0000	1.3930	1.3675
16	7.0000	1.3930	1.3675
17	6.0000	1.1940	1.1721
18	3.0000	0.5970	0.5861
19	6.0000	1.1940	1.1721
20	6.0000	1.1940	1.1721
21	7.0000	1.3930	1.3675
22	3.0000	0.5970	0.5861
23	5.0000	0.9950	0.9768
24	5.0000	0.9950	0.9768
25	5.0000	0.9950	0.9768
26	7.0000	1.3930	1.3675
27	7.0000	1.3930	1.3675
28	4.0000	0.7960	0.7814
29	3.0000	0.5970	0.5861
30	3.0000	0.5970	0.5861
31	5.0000	0.9950	0.9768
32	3.0000	0.5970	0.5861
33	4.0000	0.7960	0.7814
34	3.0000	0.5970	0.5861
35	7.0000	1.3930	1.3675
36	5.0000	0.9950	0.9768
37	4.0000	0.7960	0.7814
38	7.0000	1.3930	1.3675
39	7.0000	1.3930	1.3675
40	4.0000	0.7960	0.7814
41	3.0000	0.5970	0.5861
42	3.0000	0.5970	0.5861
43	5.0000	0.9950	0.9768
44	7.0000	1.3930	1.3675
45	7.0000	1.3930	1.3675
46	3.0000	0.5970	0.5861
47	7.0000	1.3930	1.3675
48	7.0000	1.3930	1.3675
49	3.0000	0.5970	0.5861
50	7.0000	1.3930	1.3675
51	5.0000	0.9950	0.9768
52	7.0000	1.3930	1.3675
53	3.0000	0.5970	0.5861
54	4.0000	0.7960	0.7814
55	5.0000	0.9950	0.9768
56	3.0000	0.5970	0.5861
57	6.0000	1.1940	1.1721
58	4.0000	0.7960	0.7814
59	5.0000	0.9950	0.9768
60	4.0000	0.7960	0.7814
61	7.0000	1.3930	1.3675
62	3.0000	0.5970	0.5861
63	3.0000	0.5970	0.5861
64	5.0000	0.9950	0.9768
65	3.0000	0.5970	0.5861
66	4.0000	0.7960	0.7814
67	5.0000	0.9950	0.9768
68	7.0000	1.3930	1.3675
69	6.0000	1.1940	1.1721
70	7.0000	1.3930	1.3675
71	4.0000	0.7960	0.7814
72	4.0000	0.7960	0.7814
73	4.0000	0.7960	0.7814
74	3.0000	0.5970	0.5861
75	5.0000	0.9950	0.9768
76	7.0000	1.3930	1.3675
77	3.0000	0.5970	0.5861
78	4.0000	0.7960	0.7814
79	3.0000	0.5970	0.5861
80	5.0000	0.9950	0.9768
81	7.0000	1.3930	1.3675
82	5.0000	0.9950	0.9768
83	5.0000	0.9950	0.9768
84	4.0000	0.7960	0.7814
85	7.0000	1.3930	1.3675
86	7.0000	1.3930	1.3675
87	5.0000	0.9950	0.9768
88	5.0000	0.9950	0.9768
89	4.0000	0.7960	0.7814
90	7.0000	1.3930	1.3675
91	3.0000	0.5970	0.5861
92	7.0000	1.3930	1.3675
93	4.0000	0.7960	0.7814
94	7.0000	1.3930	1.3675
95	3.0000	0.5970	0.5861
96	5.0000	0.9950	0.9768
97	4.0000	0.7960	0.7814
98	3.0000	0.5970	0.5861
99	7.0000	1.3930	1.3675
100	3.0000	0.5970	0.5861
101	7.0000	1.3930	1.3675
102	3.0000	0.5970	0.5861
103	7.0000	1.3930	1.3675
104	7.0000	1.3930	1.3675
105	3.0000	0.5970	0.5861
106	5.0000	0.9950	0.9768
107	6.0000	1.1940	1.1721
108	5.0000	0.9950	0.9768
109	6.0000	1.1940	1.1721
110	7.0000	1.3930	1.3675
111	5.0000	0.9950	0.9768
112	5.0000	0.9950	0.9768
113	5.0000	0.9950	0.9768
114	7.0000	1.3930	1.3675
115	3.0000	0.5970	0.5861
116	3.0000	0.5970	0.5861
117	7.0000	1.3930	1.3675
118	6.0000	1.1940	1.1721
119	0.0000	0.0000	0.0000
120	5.0000	0.9950	0.9768
121	6.0000	1.1940	1.1721
122	7.0000	1.3930	1.3675
123	5.0000	0.9950	0.9768
124	4.0000	0.7960	0.7814
125	7.0000	1.3930	1.3675
126	6.0000	1.1940	1.1721
127	4.0000	0.7960	0.7814
128	6.0000	1.1940	1.1721
129	7.0000	1.3930	1.3675
130	5.0000	0.9950	0.9768
131	5.0000	0.9950	0.9768
132	3.0000	0.5970	0.5861
133	7.0000	1.3930	1.3675
134	7.0000	1.3930	1.3675
135	4.0000	0.7960	0.7814
136	7.0000	1.3930	1.3675
137	3.0000	0.5970	0.5861
138	7.0000	1.3930	1.3675
139	6.0000	1.1940	1.1721
140	5.0000	0.9950	0.9768
