Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	3.0000	1.1610	1.1385
2	3.0000	1.1610	1.1385
3	3.0000	1.1610	1.1385
4	2.0000	0.7740	0.7590
5	3.0000	1.1610	1.1385
6	2.0000	0.7740	0.7590
7	2.0000	0.7740	0.7590
8	3.0000	1.1610	1.1385
9	3.0000	1.1610	1.1385
10	3.0000	1.1610	1.1385
11	3.0000	1.1610	1.1385
12	3.0000	1.1610	1.1385
13	2.0000	0.7740	0.7590
14	3.0000	1.1610	1.1385
15	3.0000	1.1610	1.1385
16	3.0000	1.1610	1.1385
17	3.0000	1.1610	1.1385
18	1.0000	0.3870	0.3795
19	3.0000	1.1610	1.1385
20	3.0000	1.1610	1.1385
21	3.0000	1.1610	1.1385
22	2.0000	0.7740	0.7590
23	3.0000	1.1610	1.1385
24	3.0000	1.1610	1.1385
25	3.0000	1.1610	1.1385
26	3.0000	1.1610	1.1385
27	3.0000	1.1610	1.1385
28	2.0000	0.7740	0.7590
29	2.0000	0.7740	0.7590
30	2.0000	0.7740	0.7590
31	3.0000	1.1610	1.1385
32	1.0000	0.3870	0.3795
33	2.0000	0.7740	0.7590
34	2.0000	0.7740	0.7590
35	3.0000	1.1610	1.1385
36	3.0000	1.1610	1.1385
37	2.0000	0.7740	0.7590
38	3.0000	1.1610	1.1385
39	3.0000	1.1610	1.1385
40	2.0000	0.7740	0.7590
41	1.0000	0.3870	0.3795
42	2.0000	0.7740	0.7590
43	3.0000	1.1610	1.1385
44	3.0000	1.1610	1.1385
45	3.0000	1.1610	1.1385
46	2.0000	0.7740	0.7590
47	3.0000	1.1610	1.1385
48	3.0000	1.1610	1.1385
49	2.0000	0.7740	0.7590
50	3.0000	1.1610	1.1385
51	3.0000	1.1610	1.1385
52	3.0000	1.1610	1.1385
53	2.0000	0.7740	0.7590
54	2.0000	0.7740	0.7590
55	3.0000	1.1610	1.1385
56	2.0000	0.7740	0.7590
57	3.0000	1.1610	1.1385
58	2.0000	0.7740	0.7590
59	3.0000	1.1610	1.1385
60	2.0000	0.7740	0.7590
61	3.0000	1.1610	1.1385
62	2.0000	0.7740	0.7590
63	1.0000	0.3870	0.3795
64	3.0000	1.1610	1.1385
65	1.0000	0.3870	0.3795
66	2.0000	0.7740	0.7590
67	3.0000	1.1610	1.1385
68	3.0000	1.1610	1.1385
69	3.0000	1.1610	1.1385
70	3.0000	1.1610	1.1385
71	2.0000	0.7740	0.7590
72	2.0000	0.7740	0.7590
73	2.0000	0.7740	0.7590
74	1.0000	0.3870	0.3795
75	3.0000	1.1610	1.1385
76	3.0000	1.1610	1.1385
77	2.0000	0.7740	0.7590
78	2.0000	0.7740	0.7590
79	2.0000	0.7740	0.7590
80	3.0000	1.1610	1.1385
81	3.0000	1.1610	1.1385
82	3.0000	1.1610	1.1385
83	3.0000	1.1610	1.1385
84	2.0000	0.7740	0.7590
85	3.0000	1.1610	1.1385
86	3.0000	1.1610	1.1385
87	3.0000	1.1610	1.1385
88	3.0000	1.1610	1.1385
89	2.0000	0.7740	0.7590
90	3.0000	1.1610	1.1385
91	1.0000	0.3870	0.3795
92	3.0000	1.1610	1.1385
93	2.0000	0.7740	0.7590
94	3.0000	1.1610	1.1385
95	2.0000	0.7740	0.7590
96	3.0000	1.1610	1.1385
97	2.0000	0.7740	0.7590
98	2.0000	0.7740	0.7590
99	3.0000	1.1610	1.1385
100	2.0000	0.7740	0.7590
101	3.0000	1.1610	1.1385
102	2.0000	0.7740	0.7590
103	3.0000	1.1610	1.1385
104	3.0000	1.1610	1.1385
105	2.0000	0.7740	0.7590
106	3.0000	1.1610	1.1385
107	3.0000	1.1610	1.1385
108	3.0000	1.1610	1.1385
109	3.0000	1.1610	1.1385
110	3.0000	1.1610	1.1385
111	3.0000	1.1610	1.1385
112	3.0000	1.1610	1.1385
113	3.0000	1.1610	1.1385
114	3.0000	1.1610	1.1385
115	2.0000	0.7740	0.7590
116	2.0000	0.7740	0.7590
117	3.0000	1.1610	1.1385
118	3.0000	1.1610	1.1385
119	0.0000	0.0000	0.0000
120	3.0000	1.1610	1.1385
121	3.0000	1.1610	1.1385
122	3.0000	1.1610	1.1385
123	3.0000	1.1610	1.1385
124	2.0000	0.7740	0.7590
125	3.0000	1.1610	1.1385
126	3.0000	1.1610	1.1385
127	2.0000	0.7740	0.7590
128	3.0000	1.1610	1.1385
129	3.0000	1.1610	1.1385
130	3.0000	1.1610	1.1385
131	3.0000	1.1610	1.1385
132	2.0000	0.7740	0.7590
133	3.0000	1.1610	1.1385
134	3.0000	1.1610	1.1385
135	2.0000	0.7740	0.7590
136	3.0000	1.1610	1.1385
137	1.0000	0.3870	0.3795
138	3.0000	1.1610	1.1385
139	3.0000	1.1610	1.1385
140	3.0000	1.1610	1.1385
141	3.0000	1.1610	1.1385
142	3.0000	1.1610	1.1385
143	3.0000	1.1610	1.1385
144	2.0000	0.7740	0.7590
145	2.0000	0.7740	0.7590
146	3.0000	1.1610	1.1385
147	3.0000	1.1610	1.1385
148	2.0000	0.7740	0.7590
149	2.0000	0.7740	0.7590
150	3.0000	1.1610	1.1385
151	1.0000	0.3870	0.3795
152	3.0000	1.1610	1.1385
153	3.0000	1.1610	1.1385
154	2.0000	0.7740	0.7590
155	2.0000	0.7740	0.7590
156	3.0000	1.1610	1.1385
157	3.0000	1.1610	1.1385
158	3.0000	1.1610	1.1385
159	1.0000	0.3870	0.3795
160	2.0000	0.7740	0.7590
161	3.0000	1.1610	1.1385
162	3.0000	1.1610	1.1385
163	3.0000	1.1610	1.1385
164	3.0000	1.1610	1.1385
165	2.0000	0.7740	0.7590
166	2.0000	0.7740	0.7590
167	2.0000	0.7740	0.7590
168	3.0000	1.1610	1.1385
169	3.0000	1.1610	1.1385
170	3.0000	1.1610	1.1385
171	3.0000	1.1610	1.1385
172	2.0000	0.7740	0.7590
173	3.0000	1.1610	1.1385
174	3.0000	1.1610	1.1385
175	2.0000	0.7740	0.7590
176	2.0000	0.7740	0.7590
177	2.0000	0.7740	0.7590
178	2.0000	0.7740	0.7590
179	1.0000	0.3870	0.3795
180	3.0000	1.1610	1.1385
181	3.0000	1.1610	1.1385
182	3.0000	1.1610	1.1385
183	3.0000	1.1610	1.1385
184	2.0000	0.7740	0.7590
185	3.0000	1.1610	1.1385
186	3.0000	1.1610	1.1385
187	3.0000	1.1610	1.1385
188	2.0000	0.7740	0.7590
189	3.0000	1.1610	1.1385
190	0.0000	0.0000	0.0000
191	3.0000	1.1610	1.1385
192	2.0000	0.7740	0.7590
193	3.0000	1.1610	1.1385
194	3.0000	1.1610	1.1385
195	3.0000	1.1610	1.1385
196	2.0000	0.7740	0.7590
197	2.0000	0.7740	0.7590
198	2.0000	0.7740	0.7590
199	3.0000	1.1610	1.1385
200	3.0000	1.1610	1.1385
201	1.0000	0.3870	0.3795
202	3.0000	1.1610	1.1385
203	2.0000	0.7740	0.7590
204	3.0000	1.1610	1.1385
205	3.0000	1.1610	1.1385
206	3.0000	1.1610	1.1385
207	1.0000	0.3870	0.3795
208	2.0000	0.7740	0.7590
209	3.0000	1.1610	1.1385
210	2.0000	0.7740	0.7590
211	3.0000	1.1610	1.1385
212	3.0000	1.1610	1.1385
213	3.0000	1.1610	1.1385
214	2.0000	0.7740	0.7590
215	3.0000	1.1610	1.1385
216	3.0000	1.1610	1.1385
217	3.0000	1.1610	1.1385
218	3.0000	1.1610	1.1385
219	3.0000	1.1610	1.1385
220	3.0000	1.1610	1.1385
221	2.0000	0.7740	0.7590
222	3.0000	1.1610	1.1385
223	1.0000	0.3870	0.3795
224	2.0000	0.7740	0.7590
225	2.0000	0.7740	0.7590
226	3.0000	1.1610	1.1385
227	3.0000	1.1610	1.1385
228	3.0000	1.1610	1.1385
229	2.0000	0.7740	0.7590
230	2.0000	0.7740	0.7590
231	3.0000	1.1610	1.1385
232	3.0000	1.1610	1.1385
233	2.0000	0.7740	0.7590
234	3.0000	1.1610	1.1385
235	2.0000	0.7740	0.7590
236	3.0000	1.1610	1.1385
237	3.0000	1.1610	1.1385
238	3.0000	1.1610	1.1385
239	3.0000	1.1610	1.1385
240	3.0000	1.1610	1.1385
241	1.0000	0.3870	0.3795
242	3.0000	1.1610	1.1385
243	3.0000	1.1610	1.1385
244	3.0000	1.1610	1.1385
245	3.0000	1.1610	1.1385
246	2.0000	0.7740	0.7590
247	1.0000	0.3870	0.3795
248	2.0000	0.7740	0.7590
249	2.0000	0.7740	0.7590
250	3.0000	1.1610	1.1385
251	2.0000	0.7740	0.7590
252	3.0000	1.1610	1.1385
253	2.0000	0.7740	0.7590
254	2.0000	0.7740	0.7590
255	3.0000	1.1610	1.1385
256	2.0000	0.7740	0.7590
257	2.0000	0.7740	0.7590
258	3.0000	1.1610	1.1385
259	3.0000	1.1610	1.1385
260	3.0000	1.1610	1.1385
261	3.0000	1.1610	1.1385
262	3.0000	1.1610	1.1385
263	3.0000	1.1610	1.1385
264	2.0000	0.7740	0.7590
265	2.0000	0.7740	0.7590
266	2.0000	0.7740	0.7590
267	2.0000	0.7740	0.7590
268	2.0000	0.7740	0.7590
269	3.0000	1.1610	1.1385
270	3.0000	1.1610	1.1385
271	3.0000	1.1610	1.1385
272	2.0000	0.7740	0.7590
273	3.0000	1.1610	1.1385
274	1.0000	0.3870	0.3795
275	3.0000	1.1610	1.1385
276	3.0000	1.1610	1.1385
277	3.0000	1.1610	1.1385
278	3.0000	1.1610	1.1385
279	2.0000	0.7740	0.7590
280	0.0000	0.0000	0.0000
281	3.0000	1.1610	1.1385
282	3.0000	1.1610	1.1385
283	3.0000	1.1610	1.1385
284	3.0000	1.1610	1.1385
285	2.0000	0.7740	0.7590
286	2.0000	0.7740	0.7590
287	3.0000	1.1610	1.1385
288	3.0000	1.1610	1.1385
289	3.0000	1.1610	1.1385
290	3.0000	1.1610	1.1385
291	3.0000	1.1610	1.1385
292	2.0000	0.7740	0.7590
293	3.0000	1.1610	1.1385
294	3.0000	1.1610	1.1385
295	3.0000	1.1610	1.1385
296	3.0000	1.1610	1.1385
297	2.0000	0.7740	0.7590
298	3.0000	1.1610	1.1385
299	2.0000	0.7740	0.7590
300	3.0000	1.1610	1.1385
301	1.0000	0.3870	0.3795
302	3.0000	1.1610	1.1385
303	2.0000	0.7740	0.7590
304	3.0000	1.1610	1.1385
305	3.0000	1.1610	1.1385
306	3.0000	1.1610	1.1385
307	3.0000	1.1610	1.1385
308	2.0000	0.7740	0.7590
309	2.0000	0.7740	0.7590
310	3.0000	1.1610	1.1385
311	3.0000	1.1610	1.1385
312	3.0000	1.1610	1.1385
313	3.0000	1.1610	1.1385
314	2.0000	0.7740	0.7590
315	3.0000	1.1610	1.1385
316	2.0000	0.7740	0.7590
317	3.0000	1.1610	1.1385
318	2.0000	0.7740	0.7590
319	3.0000	1.1610	1.1385
320	3.0000	1.1610	1.1385
321	3.0000	1.1610	1.1385
322	3.0000	1.1610	1.1385
323	3.0000	1.1610	1.1385
324	2.0000	0.7740	0.7590
325	2.0000	0.7740	0.7590
326	3.0000	1.1610	1.1385
327	3.0000	1.1610	1.1385
328	2.0000	0.7740	0.7590
329	3.0000	1.1610	1.1385
330	3.0000	1.1610	1.1385
331	3.0000	1.1610	1.1385
332	3.0000	1.1610	1.1385
333	2.0000	0.7740	0.7590
334	3.0000	1.1610	1.1385
335	3.0000	1.1610	1.1385
336	3.0000	1.1610	1.1385
337	2.0000	0.7740	0.7590
338	3.0000	1.1610	1.1385
339	3.0000	1.1610	1.1385
340	3.0000	1.1610	1.1385
341	1.0000	0.3870	0.3795
342	3.0000	1.1610	1.1385
343	3.0000	1.1610	1.1385
344	2.0000	0.7740	0.7590
345	2.0000	0.7740	0.7590
346	3.0000	1.1610	1.1385
347	2.0000	0.7740	0.7590
348	2.0000	0.7740	0.7590
349	3.0000	1.1610	1.1385
350	1.0000	0.3870	0.3795
351	2.0000	0.7740	0.7590
352	3.0000	1.1610	1.1385
