Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	8.0000	0.6340	0.6315
2	12.0000	0.9510	0.9472
3	12.0000	0.9510	0.9472
4	11.0000	0.8718	0.8683
5	12.0000	0.9510	0.9472
6	13.0000	1.0303	1.0261
7	13.0000	1.0303	1.0261
8	11.0000	0.8718	0.8683
9	12.0000	0.9510	0.9472
10	10.0000	0.7925	0.7893
11	13.0000	1.0303	1.0261
12	16.0000	1.2680	1.2629
13	10.0000	0.7925	0.7893
14	14.0000	1.1095	1.1051
15	11.0000	0.8718	0.8683
16	12.0000	0.9510	0.9472
17	12.0000	0.9510	0.9472
18	14.0000	1.1095	1.1051
19	12.0000	0.9510	0.9472
20	14.0000	1.1095	1.1051
21	12.0000	0.9510	0.9472
22	12.0000	0.9510	0.9472
23	12.0000	0.9510	0.9472
24	12.0000	0.9510	0.9472
25	12.0000	0.9510	0.9472
26	12.0000	0.9510	0.9472
27	14.0000	1.1095	1.1051
28	10.0000	0.7925	0.7893
29	11.0000	0.8718	0.8683
30	10.0000	0.7925	0.7893
31	12.0000	0.9510	0.9472
32	14.0000	1.1095	1.1051
33	13.0000	1.0303	1.0261
34	12.0000	0.9510	0.9472
35	12.0000	0.9510	0.9472
36	14.0000	1.1095	1.1051
37	14.0000	1.1095	1.1051
38	12.0000	0.9510	0.9472
39	12.0000	0.9510	0.9472
40	10.0000	0.7925	0.7893
41	10.0000	0.7925	0.7893
42	12.0000	0.9510	0.9472
43	12.0000	0.9510	0.9472
44	11.0000	0.8718	0.8683
45	14.0000	1.1095	1.1051
46	8.0000	0.6340	0.6315
47	14.0000	1.1095	1.1051
48	12.0000	0.9510	0.9472
49	13.0000	1.0303	1.0261
50	12.0000	0.9510	0.9472
51	12.0000	0.9510	0.9472
52	12.0000	0.9510	0.9472
53	16.0000	1.2680	1.2629
54	12.0000	0.9510	0.9472
55	11.0000	0.8718	0.8683
56	12.0000	0.9510	0.9472
57	13.0000	1.0303	1.0261
58	18.0000	1.4265	1.4208
59	14.0000	1.1095	1.1051
60	13.0000	1.0303	1.0261
61	12.0000	0.9510	0.9472
62	12.0000	0.9510	0.9472
63	12.0000	0.9510	0.9472
64	14.0000	1.1095	1.1051
65	10.0000	0.7925	0.7893
66	11.0000	0.8718	0.8683
67	13.0000	1.0303	1.0261
68	14.0000	1.1095	1.1051
69	12.0000	0.9510	0.9472
70	16.0000	1.2680	1.2629
71	14.0000	1.1095	1.1051
72	16.0000	1.2680	1.2629
73	10.0000	0.7925	0.7893
74	12.0000	0.9510	0.9472
75	14.0000	1.1095	1.1051
76	10.0000	0.7925	0.7893
77	14.0000	1.1095	1.1051
78	12.0000	0.9510	0.9472
79	12.0000	0.9510	0.9472
80	14.0000	1.1095	1.1051
81	14.0000	1.1095	1.1051
82	12.0000	0.9510	0.9472
83	12.0000	0.9510	0.9472
84	12.0000	0.9510	0.9472
85	14.0000	1.1095	1.1051
86	11.0000	0.8718	0.8683
87	13.0000	1.0303	1.0261
88	10.0000	0.7925	0.7893
89	13.0000	1.0303	1.0261
90	12.0000	0.9510	0.9472
91	12.0000	0.9510	0.9472
92	14.0000	1.1095	1.1051
93	12.0000	0.9510	0.9472
94	14.0000	1.1095	1.1051
95	12.0000	0.9510	0.9472
96	12.0000	0.9510	0.9472
97	11.0000	0.8718	0.8683
98	14.0000	1.1095	1.1051
99	11.0000	0.8718	0.8683
100	12.0000	0.9510	0.9472
101	12.0000	0.9510	0.9472
102	14.0000	1.1095	1.1051
103	10.0000	0.7925	0.7893
104	10.0000	0.7925	0.7893
105	12.0000	0.9510	0.9472
106	16.0000	1.2680	1.2629
107	12.0000	0.9510	0.9472
108	13.0000	1.0303	1.0261
109	13.0000	1.0303	1.0261
110	11.0000	0.8718	0.8683
111	13.0000	1.0303	1.0261
112	10.0000	0.7925	0.7893
113	13.0000	1.0303	1.0261
114	12.0000	0.9510	0.9472
115	2.0000	0.1585	0.1579
116	8.0000	0.6340	0.6315
117	12.0000	0.9510	0.9472
118	8.0000	0.6340	0.6315
119	12.0000	0.9510	0.9472
120	12.0000	0.9510	0.9472
121	11.0000	0.8718	0.8683
122	11.0000	0.8718	0.8683
123	10.0000	0.7925	0.7893
124	10.0000	0.7925	0.7893
125	8.0000	0.6340	0.6315
126	16.0000	1.2680	1.2629
127	11.0000	0.8718	0.8683
