Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	14.0000	0.8546	0.8227
2	17.0000	1.0377	0.9989
3	15.0000	0.9156	0.8814
4	17.0000	1.0377	0.9989
5	18.0000	1.0988	1.0577
6	19.0000	1.1598	1.1165
7	16.0000	0.9767	0.9402
8	18.0000	1.0988	1.0577
9	17.0000	1.0377	0.9989
10	16.0000	0.9767	0.9402
11	14.0000	0.8546	0.8227
12	20.0000	1.2209	1.1752
13	18.0000	1.0988	1.0577
14	14.0000	0.8546	0.8227
15	14.0000	0.8546	0.8227
16	17.0000	1.0377	0.9989
17	15.0000	0.9156	0.8814
18	12.0000	0.7325	0.7051
19	12.0000	0.7325	0.7051
20	15.0000	0.9156	0.8814
21	13.0000	0.7936	0.7639
22	18.0000	1.0988	1.0577
23	14.0000	0.8546	0.8227
24	16.0000	0.9767	0.9402
25	11.0000	0.6715	0.6464
26	18.0000	1.0988	1.0577
27	15.0000	0.9156	0.8814
28	14.0000	0.8546	0.8227
29	16.0000	0.9767	0.9402
30	18.0000	1.0988	1.0577
31	16.0000	0.9767	0.9402
32	18.0000	1.0988	1.0577
33	15.0000	0.9156	0.8814
34	15.0000	0.9156	0.8814
35	18.0000	1.0988	1.0577
36	16.0000	0.9767	0.9402
37	18.0000	1.0988	1.0577
38	16.0000	0.9767	0.9402
39	14.0000	0.8546	0.8227
40	22.0000	1.3429	1.2927
41	11.0000	0.6715	0.6464
42	11.0000	0.6715	0.6464
43	17.0000	1.0377	0.9989
44	10.0000	0.6104	0.5876
45	14.0000	0.8546	0.8227
46	13.0000	0.7936	0.7639
47	18.0000	1.0988	1.0577
48	17.0000	1.0377	0.9989
49	19.0000	1.1598	1.1165
50	17.0000	1.0377	0.9989
51	11.0000	0.6715	0.6464
52	14.0000	0.8546	0.8227
53	18.0000	1.0988	1.0577
54	16.0000	0.9767	0.9402
55	15.0000	0.9156	0.8814
56	16.0000	0.9767	0.9402
57	15.0000	0.9156	0.8814
58	13.0000	0.7936	0.7639
59	16.0000	0.9767	0.9402
60	16.0000	0.9767	0.9402
61	20.0000	1.2209	1.1752
62	16.0000	0.9767	0.9402
63	18.0000	1.0988	1.0577
64	15.0000	0.9156	0.8814
65	15.0000	0.9156	0.8814
66	18.0000	1.0988	1.0577
67	16.0000	0.9767	0.9402
68	10.0000	0.6104	0.5876
69	17.0000	1.0377	0.9989
70	16.0000	0.9767	0.9402
71	14.0000	0.8546	0.8227
72	16.0000	0.9767	0.9402
73	12.0000	0.7325	0.7051
74	15.0000	0.9156	0.8814
75	17.0000	1.0377	0.9989
76	15.0000	0.9156	0.8814
77	17.0000	1.0377	0.9989
78	13.0000	0.7936	0.7639
79	14.0000	0.8546	0.8227
80	18.0000	1.0988	1.0577
81	15.0000	0.9156	0.8814
82	19.0000	1.1598	1.1165
