Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	5.0000	0.8749	0.8676
2	6.0000	1.0499	1.0411
3	5.0000	0.8749	0.8676
4	6.0000	1.0499	1.0411
5	6.0000	1.0499	1.0411
6	6.0000	1.0499	1.0411
7	6.0000	1.0499	1.0411
8	6.0000	1.0499	1.0411
9	6.0000	1.0499	1.0411
10	6.0000	1.0499	1.0411
11	6.0000	1.0499	1.0411
12	6.0000	1.0499	1.0411
13	5.0000	0.8749	0.8676
14	6.0000	1.0499	1.0411
15	4.0000	0.6999	0.6941
16	5.0000	0.8749	0.8676
17	6.0000	1.0499	1.0411
18	5.0000	0.8749	0.8676
19	5.0000	0.8749	0.8676
20	5.0000	0.8749	0.8676
21	6.0000	1.0499	1.0411
22	6.0000	1.0499	1.0411
23	6.0000	1.0499	1.0411
24	6.0000	1.0499	1.0411
25	6.0000	1.0499	1.0411
26	6.0000	1.0499	1.0411
27	6.0000	1.0499	1.0411
28	6.0000	1.0499	1.0411
29	6.0000	1.0499	1.0411
30	6.0000	1.0499	1.0411
31	6.0000	1.0499	1.0411
32	6.0000	1.0499	1.0411
33	6.0000	1.0499	1.0411
34	6.0000	1.0499	1.0411
35	6.0000	1.0499	1.0411
36	6.0000	1.0499	1.0411
37	6.0000	1.0499	1.0411
38	6.0000	1.0499	1.0411
39	6.0000	1.0499	1.0411
40	6.0000	1.0499	1.0411
41	6.0000	1.0499	1.0411
42	6.0000	1.0499	1.0411
43	6.0000	1.0499	1.0411
44	3.0000	0.5249	0.5206
45	5.0000	0.8749	0.8676
46	5.0000	0.8749	0.8676
47	6.0000	1.0499	1.0411
48	6.0000	1.0499	1.0411
49	6.0000	1.0499	1.0411
50	6.0000	1.0499	1.0411
51	6.0000	1.0499	1.0411
52	5.0000	0.8749	0.8676
53	6.0000	1.0499	1.0411
54	6.0000	1.0499	1.0411
55	6.0000	1.0499	1.0411
56	6.0000	1.0499	1.0411
57	6.0000	1.0499	1.0411
58	5.0000	0.8749	0.8676
59	6.0000	1.0499	1.0411
