Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	4.0000	0.8647	0.8491
2	5.0000	1.0808	1.0613
3	4.0000	0.8647	0.8491
4	5.0000	1.0808	1.0613
5	5.0000	1.0808	1.0613
6	5.0000	1.0808	1.0613
7	5.0000	1.0808	1.0613
8	5.0000	1.0808	1.0613
9	5.0000	1.0808	1.0613
10	5.0000	1.0808	1.0613
11	5.0000	1.0808	1.0613
12	5.0000	1.0808	1.0613
13	4.0000	0.8647	0.8491
14	5.0000	1.0808	1.0613
15	3.0000	0.6485	0.6368
16	4.0000	0.8647	0.8491
17	5.0000	1.0808	1.0613
18	4.0000	0.8647	0.8491
19	4.0000	0.8647	0.8491
20	4.0000	0.8647	0.8491
21	5.0000	1.0808	1.0613
22	5.0000	1.0808	1.0613
23	5.0000	1.0808	1.0613
24	5.0000	1.0808	1.0613
25	5.0000	1.0808	1.0613
26	5.0000	1.0808	1.0613
27	5.0000	1.0808	1.0613
28	5.0000	1.0808	1.0613
29	5.0000	1.0808	1.0613
30	5.0000	1.0808	1.0613
31	5.0000	1.0808	1.0613
32	5.0000	1.0808	1.0613
33	5.0000	1.0808	1.0613
34	5.0000	1.0808	1.0613
35	5.0000	1.0808	1.0613
36	4.0000	0.8647	0.8491
37	5.0000	1.0808	1.0613
38	5.0000	1.0808	1.0613
39	5.0000	1.0808	1.0613
40	5.0000	1.0808	1.0613
41	5.0000	1.0808	1.0613
42	5.0000	1.0808	1.0613
43	5.0000	1.0808	1.0613
44	3.0000	0.6485	0.6368
45	4.0000	0.8647	0.8491
46	4.0000	0.8647	0.8491
47	5.0000	1.0808	1.0613
48	5.0000	1.0808	1.0613
49	5.0000	1.0808	1.0613
50	5.0000	1.0808	1.0613
51	5.0000	1.0808	1.0613
52	4.0000	0.8647	0.8491
53	5.0000	1.0808	1.0613
54	5.0000	1.0808	1.0613
55	5.0000	1.0808	1.0613
56	5.0000	1.0808	1.0613
57	5.0000	1.0808	1.0613
58	4.0000	0.8647	0.8491
59	5.0000	1.0808	1.0613
60	5.0000	1.0808	1.0613
61	5.0000	1.0808	1.0613
62	5.0000	1.0808	1.0613
63	5.0000	1.0808	1.0613
64	3.0000	0.6485	0.6368
65	5.0000	1.0808	1.0613
66	5.0000	1.0808	1.0613
67	5.0000	1.0808	1.0613
68	4.0000	0.8647	0.8491
69	5.0000	1.0808	1.0613
70	5.0000	1.0808	1.0613
71	5.0000	1.0808	1.0613
72	5.0000	1.0808	1.0613
73	5.0000	1.0808	1.0613
74	5.0000	1.0808	1.0613
75	5.0000	1.0808	1.0613
76	5.0000	1.0808	1.0613
77	5.0000	1.0808	1.0613
78	5.0000	1.0808	1.0613
79	4.0000	0.8647	0.8491
80	5.0000	1.0808	1.0613
81	4.0000	0.8647	0.8491
82	5.0000	1.0808	1.0613
83	5.0000	1.0808	1.0613
84	5.0000	1.0808	1.0613
85	5.0000	1.0808	1.0613
86	5.0000	1.0808	1.0613
87	5.0000	1.0808	1.0613
88	4.0000	0.8647	0.8491
89	3.0000	0.6485	0.6368
90	4.0000	0.8647	0.8491
91	4.0000	0.8647	0.8491
92	5.0000	1.0808	1.0613
93	4.0000	0.8647	0.8491
94	5.0000	1.0808	1.0613
95	4.0000	0.8647	0.8491
96	5.0000	1.0808	1.0613
97	5.0000	1.0808	1.0613
98	4.0000	0.8647	0.8491
99	5.0000	1.0808	1.0613
100	4.0000	0.8647	0.8491
101	5.0000	1.0808	1.0613
102	5.0000	1.0808	1.0613
103	2.0000	0.4323	0.4245
104	5.0000	1.0808	1.0613
105	5.0000	1.0808	1.0613
106	5.0000	1.0808	1.0613
107	5.0000	1.0808	1.0613
108	4.0000	0.8647	0.8491
109	5.0000	1.0808	1.0613
110	3.0000	0.6485	0.6368
111	4.0000	0.8647	0.8491
112	5.0000	1.0808	1.0613
113	5.0000	1.0808	1.0613
114	4.0000	0.8647	0.8491
115	5.0000	1.0808	1.0613
116	5.0000	1.0808	1.0613
117	5.0000	1.0808	1.0613
118	4.0000	0.8647	0.8491
119	5.0000	1.0808	1.0613
120	5.0000	1.0808	1.0613
121	4.0000	0.8647	0.8491
122	5.0000	1.0808	1.0613
123	5.0000	1.0808	1.0613
124	5.0000	1.0808	1.0613
125	4.0000	0.8647	0.8491
126	4.0000	0.8647	0.8491
127	5.0000	1.0808	1.0613
128	4.0000	0.8647	0.8491
129	2.0000	0.4323	0.4245
130	5.0000	1.0808	1.0613
131	5.0000	1.0808	1.0613
132	5.0000	1.0808	1.0613
133	4.0000	0.8647	0.8491
134	4.0000	0.8647	0.8491
135	5.0000	1.0808	1.0613
136	5.0000	1.0808	1.0613
137	5.0000	1.0808	1.0613
138	5.0000	1.0808	1.0613
139	5.0000	1.0808	1.0613
140	5.0000	1.0808	1.0613
141	4.0000	0.8647	0.8491
142	5.0000	1.0808	1.0613
143	5.0000	1.0808	1.0613
144	4.0000	0.8647	0.8491
145	5.0000	1.0808	1.0613
146	5.0000	1.0808	1.0613
147	5.0000	1.0808	1.0613
148	4.0000	0.8647	0.8491
149	5.0000	1.0808	1.0613
150	5.0000	1.0808	1.0613
151	3.0000	0.6485	0.6368
152	5.0000	1.0808	1.0613
153	4.0000	0.8647	0.8491
154	5.0000	1.0808	1.0613
155	5.0000	1.0808	1.0613
156	5.0000	1.0808	1.0613
157	5.0000	1.0808	1.0613
158	4.0000	0.8647	0.8491
159	5.0000	1.0808	1.0613
160	5.0000	1.0808	1.0613
161	5.0000	1.0808	1.0613
162	5.0000	1.0808	1.0613
163	5.0000	1.0808	1.0613
164	5.0000	1.0808	1.0613
165	5.0000	1.0808	1.0613
166	3.0000	0.6485	0.6368
167	5.0000	1.0808	1.0613
168	4.0000	0.8647	0.8491
169	4.0000	0.8647	0.8491
170	5.0000	1.0808	1.0613
171	5.0000	1.0808	1.0613
172	5.0000	1.0808	1.0613
173	5.0000	1.0808	1.0613
174	4.0000	0.8647	0.8491
175	5.0000	1.0808	1.0613
176	5.0000	1.0808	1.0613
177	5.0000	1.0808	1.0613
178	5.0000	1.0808	1.0613
179	4.0000	0.8647	0.8491
180	5.0000	1.0808	1.0613
181	5.0000	1.0808	1.0613
182	5.0000	1.0808	1.0613
183	5.0000	1.0808	1.0613
184	5.0000	1.0808	1.0613
185	5.0000	1.0808	1.0613
186	5.0000	1.0808	1.0613
187	4.0000	0.8647	0.8491
188	5.0000	1.0808	1.0613
189	5.0000	1.0808	1.0613
190	4.0000	0.8647	0.8491
191	5.0000	1.0808	1.0613
192	5.0000	1.0808	1.0613
193	5.0000	1.0808	1.0613
194	2.0000	0.4323	0.4245
195	5.0000	1.0808	1.0613
196	5.0000	1.0808	1.0613
197	5.0000	1.0808	1.0613
198	5.0000	1.0808	1.0613
199	5.0000	1.0808	1.0613
200	5.0000	1.0808	1.0613
201	5.0000	1.0808	1.0613
202	5.0000	1.0808	1.0613
203	5.0000	1.0808	1.0613
204	5.0000	1.0808	1.0613
205	5.0000	1.0808	1.0613
206	4.0000	0.8647	0.8491
207	5.0000	1.0808	1.0613
208	5.0000	1.0808	1.0613
209	5.0000	1.0808	1.0613
210	5.0000	1.0808	1.0613
211	5.0000	1.0808	1.0613
212	5.0000	1.0808	1.0613
213	5.0000	1.0808	1.0613
214	3.0000	0.6485	0.6368
215	5.0000	1.0808	1.0613
216	5.0000	1.0808	1.0613
217	4.0000	0.8647	0.8491
218	4.0000	0.8647	0.8491
219	5.0000	1.0808	1.0613
220	4.0000	0.8647	0.8491
221	5.0000	1.0808	1.0613
222	4.0000	0.8647	0.8491
223	5.0000	1.0808	1.0613
224	4.0000	0.8647	0.8491
225	5.0000	1.0808	1.0613
226	5.0000	1.0808	1.0613
227	5.0000	1.0808	1.0613
228	3.0000	0.6485	0.6368
229	4.0000	0.8647	0.8491
230	5.0000	1.0808	1.0613
231	5.0000	1.0808	1.0613
232	5.0000	1.0808	1.0613
233	5.0000	1.0808	1.0613
234	4.0000	0.8647	0.8491
235	5.0000	1.0808	1.0613
236	5.0000	1.0808	1.0613
237	5.0000	1.0808	1.0613
238	5.0000	1.0808	1.0613
239	5.0000	1.0808	1.0613
240	5.0000	1.0808	1.0613
241	5.0000	1.0808	1.0613
242	5.0000	1.0808	1.0613
243	5.0000	1.0808	1.0613
244	4.0000	0.8647	0.8491
245	5.0000	1.0808	1.0613
246	5.0000	1.0808	1.0613
247	5.0000	1.0808	1.0613
248	5.0000	1.0808	1.0613
249	5.0000	1.0808	1.0613
250	5.0000	1.0808	1.0613
251	5.0000	1.0808	1.0613
252	3.0000	0.6485	0.6368
253	5.0000	1.0808	1.0613
254	5.0000	1.0808	1.0613
255	5.0000	1.0808	1.0613
256	5.0000	1.0808	1.0613
257	5.0000	1.0808	1.0613
258	5.0000	1.0808	1.0613
259	5.0000	1.0808	1.0613
260	5.0000	1.0808	1.0613
261	3.0000	0.6485	0.6368
262	4.0000	0.8647	0.8491
263	5.0000	1.0808	1.0613
264	4.0000	0.8647	0.8491
265	5.0000	1.0808	1.0613
266	5.0000	1.0808	1.0613
267	3.0000	0.6485	0.6368
268	5.0000	1.0808	1.0613
269	5.0000	1.0808	1.0613
270	5.0000	1.0808	1.0613
271	5.0000	1.0808	1.0613
272	5.0000	1.0808	1.0613
273	5.0000	1.0808	1.0613
274	5.0000	1.0808	1.0613
275	4.0000	0.8647	0.8491
276	3.0000	0.6485	0.6368
277	5.0000	1.0808	1.0613
278	5.0000	1.0808	1.0613
279	5.0000	1.0808	1.0613
280	5.0000	1.0808	1.0613
281	5.0000	1.0808	1.0613
282	5.0000	1.0808	1.0613
283	5.0000	1.0808	1.0613
284	5.0000	1.0808	1.0613
285	5.0000	1.0808	1.0613
286	5.0000	1.0808	1.0613
287	4.0000	0.8647	0.8491
288	4.0000	0.8647	0.8491
289	4.0000	0.8647	0.8491
290	5.0000	1.0808	1.0613
291	5.0000	1.0808	1.0613
292	5.0000	1.0808	1.0613
293	5.0000	1.0808	1.0613
294	5.0000	1.0808	1.0613
295	4.0000	0.8647	0.8491
296	5.0000	1.0808	1.0613
297	5.0000	1.0808	1.0613
298	5.0000	1.0808	1.0613
299	4.0000	0.8647	0.8491
300	4.0000	0.8647	0.8491
301	4.0000	0.8647	0.8491
302	5.0000	1.0808	1.0613
303	5.0000	1.0808	1.0613
304	5.0000	1.0808	1.0613
