Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	1.0000	1.4184	1.4514
2	0.0000	0.0000	0.0000
3	1.0000	1.4184	1.4514
4	1.0000	1.4184	1.4514
5	1.0000	1.4184	1.4514
6	1.0000	1.4184	1.4514
7	1.0000	1.4184	1.4514
8	1.0000	1.4184	1.4514
9	1.0000	1.4184	1.4514
10	0.0000	0.0000	0.0000
11	1.0000	1.4184	1.4514
12	1.0000	1.4184	1.4514
13	0.0000	0.0000	0.0000
14	0.0000	0.0000	0.0000
15	1.0000	1.4184	1.4514
16	0.0000	0.0000	0.0000
17	1.0000	1.4184	1.4514
18	1.0000	1.4184	1.4514
19	1.0000	1.4184	1.4514
20	0.0000	0.0000	0.0000
21	0.0000	0.0000	0.0000
22	0.0000	0.0000	0.0000
23	1.0000	1.4184	1.4514
24	1.0000	1.4184	1.4514
25	1.0000	1.4184	1.4514
26	1.0000	1.4184	1.4514
27	0.0000	0.0000	0.0000
28	0.0000	0.0000	0.0000
29	0.0000	0.0000	0.0000
30	1.0000	1.4184	1.4514
31	1.0000	1.4184	1.4514
32	1.0000	1.4184	1.4514
33	0.0000	0.0000	0.0000
34	1.0000	1.4184	1.4514
35	1.0000	1.4184	1.4514
36	1.0000	1.4184	1.4514
37	1.0000	1.4184	1.4514
38	1.0000	1.4184	1.4514
39	1.0000	1.4184	1.4514
40	1.0000	1.4184	1.4514
41	1.0000	1.4184	1.4514
42	0.0000	0.0000	0.0000
43	1.0000	1.4184	1.4514
44	1.0000	1.4184	1.4514
45	1.0000	1.4184	1.4514
46	0.0000	0.0000	0.0000
47	1.0000	1.4184	1.4514
48	1.0000	1.4184	1.4514
49	0.0000	0.0000	0.0000
50	1.0000	1.4184	1.4514
51	0.0000	0.0000	0.0000
52	1.0000	1.4184	1.4514
53	0.0000	0.0000	0.0000
54	1.0000	1.4184	1.4514
55	1.0000	1.4184	1.4514
56	1.0000	1.4184	1.4514
57	1.0000	1.4184	1.4514
58	1.0000	1.4184	1.4514
59	1.0000	1.4184	1.4514
60	0.0000	0.0000	0.0000
61	1.0000	1.4184	1.4514
62	1.0000	1.4184	1.4514
63	1.0000	1.4184	1.4514
64	1.0000	1.4184	1.4514
65	0.0000	0.0000	0.0000
66	0.0000	0.0000	0.0000
67	1.0000	1.4184	1.4514
68	1.0000	1.4184	1.4514
69	0.0000	0.0000	0.0000
70	1.0000	1.4184	1.4514
71	1.0000	1.4184	1.4514
72	1.0000	1.4184	1.4514
73	1.0000	1.4184	1.4514
74	1.0000	1.4184	1.4514
75	1.0000	1.4184	1.4514
76	1.0000	1.4184	1.4514
77	1.0000	1.4184	1.4514
78	1.0000	1.4184	1.4514
79	1.0000	1.4184	1.4514
80	1.0000	1.4184	1.4514
81	1.0000	1.4184	1.4514
82	0.0000	0.0000	0.0000
83	0.0000	0.0000	0.0000
84	1.0000	1.4184	1.4514
85	1.0000	1.4184	1.4514
86	0.0000	0.0000	0.0000
87	1.0000	1.4184	1.4514
88	1.0000	1.4184	1.4514
89	1.0000	1.4184	1.4514
90	0.0000	0.0000	0.0000
91	0.0000	0.0000	0.0000
92	0.0000	0.0000	0.0000
93	1.0000	1.4184	1.4514
94	0.0000	0.0000	0.0000
95	1.0000	1.4184	1.4514
96	1.0000	1.4184	1.4514
97	1.0000	1.4184	1.4514
98	1.0000	1.4184	1.4514
99	1.0000	1.4184	1.4514
100	1.0000	1.4184	1.4514
101	1.0000	1.4184	1.4514
102	0.0000	0.0000	0.0000
103	0.0000	0.0000	0.0000
104	0.0000	0.0000	0.0000
105	1.0000	1.4184	1.4514
106	0.0000	0.0000	0.0000
107	1.0000	1.4184	1.4514
108	1.0000	1.4184	1.4514
109	0.0000	0.0000	0.0000
110	1.0000	1.4184	1.4514
111	1.0000	1.4184	1.4514
112	1.0000	1.4184	1.4514
113	1.0000	1.4184	1.4514
114	0.0000	0.0000	0.0000
115	0.0000	0.0000	0.0000
116	0.0000	0.0000	0.0000
117	1.0000	1.4184	1.4514
118	1.0000	1.4184	1.4514
119	0.0000	0.0000	0.0000
120	1.0000	1.4184	1.4514
121	1.0000	1.4184	1.4514
122	1.0000	1.4184	1.4514
123	1.0000	1.4184	1.4514
124	0.0000	0.0000	0.0000
125	1.0000	1.4184	1.4514
126	0.0000	0.0000	0.0000
127	0.0000	0.0000	0.0000
128	1.0000	1.4184	1.4514
129	1.0000	1.4184	1.4514
130	1.0000	1.4184	1.4514
131	1.0000	1.4184	1.4514
132	0.0000	0.0000	0.0000
133	1.0000	1.4184	1.4514
134	0.0000	0.0000	0.0000
135	0.0000	0.0000	0.0000
136	1.0000	1.4184	1.4514
137	0.0000	0.0000	0.0000
138	1.0000	1.4184	1.4514
139	1.0000	1.4184	1.4514
140	0.0000	0.0000	0.0000
141	1.0000	1.4184	1.4514
142	0.0000	0.0000	0.0000
143	1.0000	1.4184	1.4514
144	1.0000	1.4184	1.4514
145	1.0000	1.4184	1.4514
146	1.0000	1.4184	1.4514
147	1.0000	1.4184	1.4514
148	1.0000	1.4184	1.4514
149	0.0000	0.0000	0.0000
150	1.0000	1.4184	1.4514
151	1.0000	1.4184	1.4514
152	0.0000	0.0000	0.0000
153	0.0000	0.0000	0.0000
154	1.0000	1.4184	1.4514
155	0.0000	0.0000	0.0000
156	1.0000	1.4184	1.4514
157	1.0000	1.4184	1.4514
158	1.0000	1.4184	1.4514
159	1.0000	1.4184	1.4514
160	1.0000	1.4184	1.4514
161	1.0000	1.4184	1.4514
162	1.0000	1.4184	1.4514
163	1.0000	1.4184	1.4514
164	0.0000	0.0000	0.0000
165	0.0000	0.0000	0.0000
166	1.0000	1.4184	1.4514
167	0.0000	0.0000	0.0000
168	0.0000	0.0000	0.0000
