Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	8.0000	0.8844	0.8737
2	6.0000	0.6633	0.6553
3	8.0000	0.8844	0.8737
4	8.0000	0.8844	0.8737
5	12.0000	1.3266	1.3106
6	8.0000	0.8844	0.8737
7	6.0000	0.6633	0.6553
8	11.0000	1.2160	1.2014
9	8.0000	0.8844	0.8737
10	8.0000	0.8844	0.8737
11	9.0000	0.9949	0.9830
12	12.0000	1.3266	1.3106
13	7.0000	0.7738	0.7645
14	8.0000	0.8844	0.8737
15	8.0000	0.8844	0.8737
16	7.0000	0.7738	0.7645
17	8.0000	0.8844	0.8737
18	12.0000	1.3266	1.3106
19	9.0000	0.9949	0.9830
20	10.0000	1.1055	1.0922
21	4.0000	0.4422	0.4369
22	7.0000	0.7738	0.7645
23	11.0000	1.2160	1.2014
24	7.0000	0.7738	0.7645
25	6.0000	0.6633	0.6553
26	8.0000	0.8844	0.8737
27	7.0000	0.7738	0.7645
28	6.0000	0.6633	0.6553
29	8.0000	0.8844	0.8737
30	10.0000	1.1055	1.0922
31	11.0000	1.2160	1.2014
32	9.0000	0.9949	0.9830
33	8.0000	0.8844	0.8737
34	10.0000	1.1055	1.0922
35	10.0000	1.1055	1.0922
36	8.0000	0.8844	0.8737
37	9.0000	0.9949	0.9830
38	8.0000	0.8844	0.8737
39	6.0000	0.6633	0.6553
40	9.0000	0.9949	0.9830
41	7.0000	0.7738	0.7645
42	7.0000	0.7738	0.7645
43	6.0000	0.6633	0.6553
44	10.0000	1.1055	1.0922
45	4.0000	0.4422	0.4369
46	8.0000	0.8844	0.8737
47	9.0000	0.9949	0.9830
48	10.0000	1.1055	1.0922
49	6.0000	0.6633	0.6553
50	6.0000	0.6633	0.6553
51	8.0000	0.8844	0.8737
52	9.0000	0.9949	0.9830
53	8.0000	0.8844	0.8737
54	10.0000	1.1055	1.0922
55	8.0000	0.8844	0.8737
56	7.0000	0.7738	0.7645
57	11.0000	1.2160	1.2014
58	10.0000	1.1055	1.0922
59	12.0000	1.3266	1.3106
60	4.0000	0.4422	0.4369
61	8.0000	0.8844	0.8737
62	5.0000	0.5527	0.5461
63	8.0000	0.8844	0.8737
64	8.0000	0.8844	0.8737
65	4.0000	0.4422	0.4369
66	8.0000	0.8844	0.8737
67	8.0000	0.8844	0.8737
68	7.0000	0.7738	0.7645
69	8.0000	0.8844	0.8737
70	7.0000	0.7738	0.7645
71	7.0000	0.7738	0.7645
72	10.0000	1.1055	1.0922
73	10.0000	1.1055	1.0922
74	7.0000	0.7738	0.7645
75	11.0000	1.2160	1.2014
76	6.0000	0.6633	0.6553
77	12.0000	1.3266	1.3106
78	9.0000	0.9949	0.9830
79	7.0000	0.7738	0.7645
80	12.0000	1.3266	1.3106
81	10.0000	1.1055	1.0922
82	11.0000	1.2160	1.2014
83	8.0000	0.8844	0.8737
84	7.0000	0.7738	0.7645
85	10.0000	1.1055	1.0922
86	8.0000	0.8844	0.8737
87	9.0000	0.9949	0.9830
88	11.0000	1.2160	1.2014
89	8.0000	0.8844	0.8737
90	8.0000	0.8844	0.8737
91	6.0000	0.6633	0.6553
92	10.0000	1.1055	1.0922
93	10.0000	1.1055	1.0922
94	7.0000	0.7738	0.7645
95	4.0000	0.4422	0.4369
96	8.0000	0.8844	0.8737
97	4.0000	0.4422	0.4369
98	12.0000	1.3266	1.3106
99	6.0000	0.6633	0.6553
100	10.0000	1.1055	1.0922
101	8.0000	0.8844	0.8737
102	7.0000	0.7738	0.7645
103	11.0000	1.2160	1.2014
104	7.0000	0.7738	0.7645
105	10.0000	1.1055	1.0922
106	7.0000	0.7738	0.7645
107	9.0000	0.9949	0.9830
108	6.0000	0.6633	0.6553
109	8.0000	0.8844	0.8737
110	4.0000	0.4422	0.4369
111	8.0000	0.8844	0.8737
112	7.0000	0.7738	0.7645
113	7.0000	0.7738	0.7645
114	8.0000	0.8844	0.8737
