Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	6.0000	1.1940	1.1721
2	2.0000	0.3980	0.3907
3	7.0000	1.3930	1.3675
4	7.0000	1.3930	1.3675
5	6.0000	1.1940	1.1721
6	4.0000	0.7960	0.7814
7	4.0000	0.7960	0.7814
8	4.0000	0.7960	0.7814
9	4.0000	0.7960	0.7814
10	5.0000	0.9950	0.9768
11	6.0000	1.1940	1.1721
12	4.0000	0.7960	0.7814
13	6.0000	1.1940	1.1721
14	6.0000	1.1940	1.1721
15	7.0000	1.3930	1.3675
16	4.0000	0.7960	0.7814
17	6.0000	1.1940	1.1721
18	2.0000	0.3980	0.3907
19	5.0000	0.9950	0.9768
20	4.0000	0.7960	0.7814
21	4.0000	0.7960	0.7814
22	6.0000	1.1940	1.1721
23	6.0000	1.1940	1.1721
24	5.0000	0.9950	0.9768
25	6.0000	1.1940	1.1721
26	6.0000	1.1940	1.1721
27	6.0000	1.1940	1.1721
28	6.0000	1.1940	1.1721
29	3.0000	0.5970	0.5861
30	6.0000	1.1940	1.1721
31	6.0000	1.1940	1.1721
32	6.0000	1.1940	1.1721
33	4.0000	0.7960	0.7814
34	7.0000	1.3930	1.3675
35	4.0000	0.7960	0.7814
36	4.0000	0.7960	0.7814
37	6.0000	1.1940	1.1721
38	6.0000	1.1940	1.1721
39	5.0000	0.9950	0.9768
40	3.0000	0.5970	0.5861
41	6.0000	1.1940	1.1721
42	4.0000	0.7960	0.7814
43	6.0000	1.1940	1.1721
44	6.0000	1.1940	1.1721
45	4.0000	0.7960	0.7814
46	6.0000	1.1940	1.1721
47	6.0000	1.1940	1.1721
48	6.0000	1.1940	1.1721
49	4.0000	0.7960	0.7814
50	5.0000	0.9950	0.9768
51	0.0000	0.0000	0.0000
52	7.0000	1.3930	1.3675
53	5.0000	0.9950	0.9768
54	3.0000	0.5970	0.5861
55	6.0000	1.1940	1.1721
56	4.0000	0.7960	0.7814
57	5.0000	0.9950	0.9768
58	5.0000	0.9950	0.9768
59	6.0000	1.1940	1.1721
60	7.0000	1.3930	1.3675
61	6.0000	1.1940	1.1721
62	2.0000	0.3980	0.3907
63	6.0000	1.1940	1.1721
64	6.0000	1.1940	1.1721
65	6.0000	1.1940	1.1721
66	6.0000	1.1940	1.1721
67	6.0000	1.1940	1.1721
68	3.0000	0.5970	0.5861
69	4.0000	0.7960	0.7814
70	4.0000	0.7960	0.7814
71	6.0000	1.1940	1.1721
72	3.0000	0.5970	0.5861
73	6.0000	1.1940	1.1721
74	5.0000	0.9950	0.9768
75	6.0000	1.1940	1.1721
76	6.0000	1.1940	1.1721
77	6.0000	1.1940	1.1721
78	4.0000	0.7960	0.7814
79	4.0000	0.7960	0.7814
80	2.0000	0.3980	0.3907
81	6.0000	1.1940	1.1721
82	7.0000	1.3930	1.3675
83	6.0000	1.1940	1.1721
84	3.0000	0.5970	0.5861
85	6.0000	1.1940	1.1721
86	4.0000	0.7960	0.7814
87	6.0000	1.1940	1.1721
88	6.0000	1.1940	1.1721
89	7.0000	1.3930	1.3675
90	6.0000	1.1940	1.1721
91	7.0000	1.3930	1.3675
92	6.0000	1.1940	1.1721
93	6.0000	1.1940	1.1721
94	4.0000	0.7960	0.7814
95	6.0000	1.1940	1.1721
96	6.0000	1.1940	1.1721
97	6.0000	1.1940	1.1721
98	6.0000	1.1940	1.1721
99	7.0000	1.3930	1.3675
100	4.0000	0.7960	0.7814
101	6.0000	1.1940	1.1721
102	4.0000	0.7960	0.7814
103	4.0000	0.7960	0.7814
104	6.0000	1.1940	1.1721
105	4.0000	0.7960	0.7814
106	4.0000	0.7960	0.7814
107	4.0000	0.7960	0.7814
108	4.0000	0.7960	0.7814
109	6.0000	1.1940	1.1721
110	4.0000	0.7960	0.7814
111	6.0000	1.1940	1.1721
112	7.0000	1.3930	1.3675
113	5.0000	0.9950	0.9768
114	4.0000	0.7960	0.7814
115	6.0000	1.1940	1.1721
116	6.0000	1.1940	1.1721
117	3.0000	0.5970	0.5861
118	7.0000	1.3930	1.3675
119	7.0000	1.3930	1.3675
120	3.0000	0.5970	0.5861
121	3.0000	0.5970	0.5861
122	5.0000	0.9950	0.9768
123	6.0000	1.1940	1.1721
124	5.0000	0.9950	0.9768
125	6.0000	1.1940	1.1721
126	6.0000	1.1940	1.1721
127	6.0000	1.1940	1.1721
128	6.0000	1.1940	1.1721
129	6.0000	1.1940	1.1721
130	6.0000	1.1940	1.1721
131	4.0000	0.7960	0.7814
