Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	3.0000	1.1610	1.1385
2	1.0000	0.3870	0.3795
3	3.0000	1.1610	1.1385
4	3.0000	1.1610	1.1385
5	3.0000	1.1610	1.1385
6	3.0000	1.1610	1.1385
7	2.0000	0.7740	0.7590
8	2.0000	0.7740	0.7590
9	2.0000	0.7740	0.7590
10	3.0000	1.1610	1.1385
11	3.0000	1.1610	1.1385
12	2.0000	0.7740	0.7590
13	3.0000	1.1610	1.1385
14	3.0000	1.1610	1.1385
15	3.0000	1.1610	1.1385
16	2.0000	0.7740	0.7590
17	3.0000	1.1610	1.1385
18	1.0000	0.3870	0.3795
19	3.0000	1.1610	1.1385
20	3.0000	1.1610	1.1385
21	3.0000	1.1610	1.1385
22	3.0000	1.1610	1.1385
23	3.0000	1.1610	1.1385
24	3.0000	1.1610	1.1385
25	3.0000	1.1610	1.1385
26	3.0000	1.1610	1.1385
27	3.0000	1.1610	1.1385
28	3.0000	1.1610	1.1385
29	2.0000	0.7740	0.7590
30	3.0000	1.1610	1.1385
31	3.0000	1.1610	1.1385
32	3.0000	1.1610	1.1385
33	3.0000	1.1610	1.1385
34	3.0000	1.1610	1.1385
35	3.0000	1.1610	1.1385
36	2.0000	0.7740	0.7590
37	3.0000	1.1610	1.1385
38	3.0000	1.1610	1.1385
39	3.0000	1.1610	1.1385
40	2.0000	0.7740	0.7590
41	3.0000	1.1610	1.1385
42	3.0000	1.1610	1.1385
43	3.0000	1.1610	1.1385
44	3.0000	1.1610	1.1385
45	3.0000	1.1610	1.1385
46	3.0000	1.1610	1.1385
47	3.0000	1.1610	1.1385
48	3.0000	1.1610	1.1385
49	2.0000	0.7740	0.7590
50	3.0000	1.1610	1.1385
51	0.0000	0.0000	0.0000
52	3.0000	1.1610	1.1385
53	3.0000	1.1610	1.1385
54	2.0000	0.7740	0.7590
55	3.0000	1.1610	1.1385
56	2.0000	0.7740	0.7590
57	3.0000	1.1610	1.1385
58	3.0000	1.1610	1.1385
59	3.0000	1.1610	1.1385
60	3.0000	1.1610	1.1385
61	3.0000	1.1610	1.1385
62	1.0000	0.3870	0.3795
63	3.0000	1.1610	1.1385
64	3.0000	1.1610	1.1385
65	3.0000	1.1610	1.1385
66	3.0000	1.1610	1.1385
67	3.0000	1.1610	1.1385
68	1.0000	0.3870	0.3795
69	2.0000	0.7740	0.7590
70	2.0000	0.7740	0.7590
71	3.0000	1.1610	1.1385
72	2.0000	0.7740	0.7590
73	3.0000	1.1610	1.1385
74	3.0000	1.1610	1.1385
75	3.0000	1.1610	1.1385
76	3.0000	1.1610	1.1385
77	3.0000	1.1610	1.1385
78	2.0000	0.7740	0.7590
79	2.0000	0.7740	0.7590
80	1.0000	0.3870	0.3795
81	3.0000	1.1610	1.1385
82	3.0000	1.1610	1.1385
83	3.0000	1.1610	1.1385
84	1.0000	0.3870	0.3795
85	3.0000	1.1610	1.1385
86	2.0000	0.7740	0.7590
87	3.0000	1.1610	1.1385
88	3.0000	1.1610	1.1385
89	3.0000	1.1610	1.1385
90	3.0000	1.1610	1.1385
91	3.0000	1.1610	1.1385
92	3.0000	1.1610	1.1385
93	3.0000	1.1610	1.1385
94	3.0000	1.1610	1.1385
95	3.0000	1.1610	1.1385
96	3.0000	1.1610	1.1385
97	3.0000	1.1610	1.1385
98	3.0000	1.1610	1.1385
99	3.0000	1.1610	1.1385
100	2.0000	0.7740	0.7590
101	3.0000	1.1610	1.1385
102	2.0000	0.7740	0.7590
103	3.0000	1.1610	1.1385
104	3.0000	1.1610	1.1385
105	2.0000	0.7740	0.7590
106	3.0000	1.1610	1.1385
107	2.0000	0.7740	0.7590
108	2.0000	0.7740	0.7590
109	3.0000	1.1610	1.1385
110	2.0000	0.7740	0.7590
111	3.0000	1.1610	1.1385
112	3.0000	1.1610	1.1385
113	3.0000	1.1610	1.1385
114	2.0000	0.7740	0.7590
115	3.0000	1.1610	1.1385
116	3.0000	1.1610	1.1385
117	1.0000	0.3870	0.3795
118	3.0000	1.1610	1.1385
119	3.0000	1.1610	1.1385
120	2.0000	0.7740	0.7590
121	2.0000	0.7740	0.7590
122	3.0000	1.1610	1.1385
123	3.0000	1.1610	1.1385
124	3.0000	1.1610	1.1385
125	3.0000	1.1610	1.1385
126	3.0000	1.1610	1.1385
127	3.0000	1.1610	1.1385
128	3.0000	1.1610	1.1385
129	3.0000	1.1610	1.1385
130	3.0000	1.1610	1.1385
131	2.0000	0.7740	0.7590
132	2.0000	0.7740	0.7590
133	3.0000	1.1610	1.1385
134	2.0000	0.7740	0.7590
135	3.0000	1.1610	1.1385
136	3.0000	1.1610	1.1385
137	1.0000	0.3870	0.3795
138	3.0000	1.1610	1.1385
139	3.0000	1.1610	1.1385
140	3.0000	1.1610	1.1385
141	3.0000	1.1610	1.1385
142	3.0000	1.1610	1.1385
143	3.0000	1.1610	1.1385
144	3.0000	1.1610	1.1385
145	2.0000	0.7740	0.7590
146	2.0000	0.7740	0.7590
147	1.0000	0.3870	0.3795
148	2.0000	0.7740	0.7590
149	3.0000	1.1610	1.1385
150	3.0000	1.1610	1.1385
151	2.0000	0.7740	0.7590
152	3.0000	1.1610	1.1385
153	3.0000	1.1610	1.1385
154	3.0000	1.1610	1.1385
155	3.0000	1.1610	1.1385
156	3.0000	1.1610	1.1385
157	2.0000	0.7740	0.7590
158	1.0000	0.3870	0.3795
159	3.0000	1.1610	1.1385
160	3.0000	1.1610	1.1385
161	2.0000	0.7740	0.7590
162	3.0000	1.1610	1.1385
163	3.0000	1.1610	1.1385
164	1.0000	0.3870	0.3795
165	0.0000	0.0000	0.0000
166	3.0000	1.1610	1.1385
167	0.0000	0.0000	0.0000
168	3.0000	1.1610	1.1385
169	3.0000	1.1610	1.1385
170	3.0000	1.1610	1.1385
171	3.0000	1.1610	1.1385
172	3.0000	1.1610	1.1385
173	3.0000	1.1610	1.1385
174	3.0000	1.1610	1.1385
175	3.0000	1.1610	1.1385
176	2.0000	0.7740	0.7590
177	3.0000	1.1610	1.1385
178	2.0000	0.7740	0.7590
179	3.0000	1.1610	1.1385
180	3.0000	1.1610	1.1385
181	3.0000	1.1610	1.1385
182	3.0000	1.1610	1.1385
183	0.0000	0.0000	0.0000
184	3.0000	1.1610	1.1385
185	1.0000	0.3870	0.3795
186	3.0000	1.1610	1.1385
187	2.0000	0.7740	0.7590
188	3.0000	1.1610	1.1385
189	3.0000	1.1610	1.1385
190	2.0000	0.7740	0.7590
191	3.0000	1.1610	1.1385
192	3.0000	1.1610	1.1385
193	2.0000	0.7740	0.7590
194	3.0000	1.1610	1.1385
195	2.0000	0.7740	0.7590
196	2.0000	0.7740	0.7590
197	3.0000	1.1610	1.1385
198	3.0000	1.1610	1.1385
199	2.0000	0.7740	0.7590
200	3.0000	1.1610	1.1385
201	3.0000	1.1610	1.1385
202	3.0000	1.1610	1.1385
203	2.0000	0.7740	0.7590
204	3.0000	1.1610	1.1385
205	2.0000	0.7740	0.7590
206	3.0000	1.1610	1.1385
207	2.0000	0.7740	0.7590
208	3.0000	1.1610	1.1385
209	2.0000	0.7740	0.7590
210	2.0000	0.7740	0.7590
211	2.0000	0.7740	0.7590
212	3.0000	1.1610	1.1385
213	3.0000	1.1610	1.1385
214	3.0000	1.1610	1.1385
215	3.0000	1.1610	1.1385
216	2.0000	0.7740	0.7590
217	3.0000	1.1610	1.1385
218	3.0000	1.1610	1.1385
219	1.0000	0.3870	0.3795
220	3.0000	1.1610	1.1385
221	2.0000	0.7740	0.7590
222	3.0000	1.1610	1.1385
223	3.0000	1.1610	1.1385
224	3.0000	1.1610	1.1385
225	3.0000	1.1610	1.1385
226	3.0000	1.1610	1.1385
227	3.0000	1.1610	1.1385
228	3.0000	1.1610	1.1385
229	3.0000	1.1610	1.1385
230	3.0000	1.1610	1.1385
231	1.0000	0.3870	0.3795
232	3.0000	1.1610	1.1385
233	3.0000	1.1610	1.1385
234	3.0000	1.1610	1.1385
235	3.0000	1.1610	1.1385
236	3.0000	1.1610	1.1385
237	3.0000	1.1610	1.1385
