No	Tree1	Tree2	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	1	2	58.0000	1.1425	1.0114	14.0000	1.0180	1.0130
2	2	3	54.0000	1.0637	0.9417	14.0000	1.0180	1.0130
3	3	4	24.0000	0.4728	0.4185	10.0000	0.7271	0.7235
4	4	5	8.0000	0.1576	0.1395	2.0000	0.1454	0.1447
5	5	6	10.0000	0.1970	0.1744	6.0000	0.4363	0.4341
6	6	7	9.0000	0.1773	0.1569	2.0000	0.1454	0.1447
7	7	8	13.0000	0.2561	0.2267	4.0000	0.2908	0.2894
8	8	9	13.0000	0.2561	0.2267	6.0000	0.4363	0.4341
9	9	10	14.0000	0.2758	0.2441	6.0000	0.4363	0.4341
10	10	11	9.0000	0.1773	0.1569	3.0000	0.2181	0.2171
