No	Tree1	Tree2	R-F
1	1	2	12.0000
2	1	3	12.0000
3	1	4	12.0000
4	1	5	12.0000
5	2	3	6.0000
6	2	4	7.0000
7	2	5	7.0000
8	3	4	1.0000
9	3	5	2.0000
10	4	5	1.0000
11	6	7	4.0000
12	6	8	2.0000
13	6	9	2.0000
14	6	10	2.0000
15	7	8	2.0000
16	7	9	2.0000
17	7	10	3.0000
18	8	9	2.0000
19	8	10	2.0000
20	9	10	1.0000
21	11	12	2.0000
22	11	13	2.0000
23	11	14	2.0000
24	11	15	0.0000
25	12	13	0.0000
26	12	14	2.0000
27	12	15	2.0000
28	13	14	2.0000
29	13	15	2.0000
30	14	15	2.0000
31	16	17	2.0000
32	16	18	0.0000
33	16	19	1.0000
34	16	20	2.0000
35	17	18	2.0000
36	17	19	1.0000
37	17	20	3.0000
38	18	19	1.0000
39	18	20	2.0000
40	19	20	2.0000
41	21	22	3.0000
42	21	23	3.0000
43	21	24	2.0000
44	21	25	2.0000
45	22	23	0.0000
46	22	24	2.0000
47	22	25	3.0000
48	23	24	2.0000
49	23	25	3.0000
50	24	25	2.0000
51	26	27	1.0000
52	26	28	0.0000
53	26	29	1.0000
54	26	30	0.0000
55	27	28	1.0000
56	27	29	0.0000
57	27	30	1.0000
58	28	29	1.0000
59	28	30	0.0000
60	29	30	1.0000
61	31	32	0.0000
62	31	33	0.0000
63	31	34	0.0000
64	31	35	0.0000
65	32	33	0.0000
66	32	34	0.0000
67	32	35	0.0000
68	33	34	0.0000
69	33	35	0.0000
70	34	35	0.0000
71	36	37	0.0000
72	36	38	2.0000
73	36	39	2.0000
74	36	40	1.0000
75	37	38	2.0000
76	37	39	2.0000
77	37	40	1.0000
78	38	39	2.0000
79	38	40	1.0000
80	39	40	2.0000
81	41	42	3.0000
82	41	43	3.0000
83	41	44	3.0000
84	41	45	3.0000
85	42	43	0.0000
86	42	44	0.0000
87	42	45	1.0000
88	43	44	0.0000
89	43	45	1.0000
90	44	45	1.0000
91	46	47	0.0000
92	46	48	1.0000
93	46	49	1.0000
94	46	50	0.0000
95	47	48	1.0000
96	47	49	1.0000
97	47	50	0.0000
98	48	49	0.0000
99	48	50	1.0000
100	49	50	1.0000
101	51	52	0.0000
102	51	53	1.0000
103	51	54	0.0000
104	51	55	1.0000
105	52	53	1.0000
106	52	54	0.0000
107	52	55	1.0000
108	53	54	1.0000
109	53	55	2.0000
110	54	55	1.0000
111	56	57	1.0000
112	56	58	1.0000
113	56	59	1.0000
114	56	60	1.0000
115	57	58	0.0000
116	57	59	0.0000
117	57	60	0.0000
118	58	59	0.0000
119	58	60	0.0000
120	59	60	0.0000
121	61	62	0.0000
122	61	63	0.0000
123	61	64	1.0000
124	61	65	0.0000
125	62	63	0.0000
126	62	64	1.0000
127	62	65	0.0000
128	63	64	1.0000
129	63	65	0.0000
130	64	65	1.0000
131	66	67	1.0000
132	66	68	1.0000
133	66	69	1.0000
134	66	70	1.0000
135	67	68	0.0000
136	67	69	0.0000
137	67	70	0.0000
138	68	69	0.0000
139	68	70	0.0000
140	69	70	0.0000
141	71	72	1.0000
142	71	73	0.0000
143	71	74	1.0000
144	71	75	1.0000
145	72	73	1.0000
146	72	74	0.0000
147	72	75	0.0000
148	73	74	1.0000
149	73	75	1.0000
150	74	75	0.0000
151	76	77	0.0000
152	76	78	0.0000
153	76	79	0.0000
154	76	80	0.0000
155	77	78	0.0000
156	77	79	0.0000
157	77	80	0.0000
158	78	79	0.0000
159	78	80	0.0000
160	79	80	0.0000
161	81	82	1.0000
162	81	83	1.0000
163	81	84	1.0000
164	81	85	1.0000
165	82	83	1.0000
166	82	84	1.0000
167	82	85	0.0000
168	83	84	0.0000
169	83	85	1.0000
170	84	85	1.0000
171	86	87	0.0000
172	86	88	0.0000
173	86	89	1.0000
174	86	90	0.0000
175	87	88	0.0000
176	87	89	1.0000
177	87	90	0.0000
178	88	89	1.0000
179	88	90	0.0000
180	89	90	1.0000
181	91	92	0.0000
182	91	93	0.0000
183	91	94	0.0000
184	91	95	0.0000
185	92	93	0.0000
186	92	94	0.0000
187	92	95	0.0000
188	93	94	0.0000
189	93	95	0.0000
190	94	95	0.0000
191	96	97	0.0000
192	96	98	1.0000
193	96	99	2.0000
194	96	100	2.0000
195	97	98	1.0000
196	97	99	2.0000
197	97	100	2.0000
198	98	99	1.0000
199	98	100	1.0000
200	99	100	0.0000
