Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	11.0000	1.2160	1.2014
2	10.0000	1.1055	1.0922
3	9.0000	0.9949	0.9830
4	12.0000	1.3266	1.3106
5	9.0000	0.9949	0.9830
6	8.0000	0.8844	0.8737
7	6.0000	0.6633	0.6553
8	7.0000	0.7738	0.7645
9	11.0000	1.2160	1.2014
10	7.0000	0.7738	0.7645
11	9.0000	0.9949	0.9830
12	9.0000	0.9949	0.9830
13	7.0000	0.7738	0.7645
14	9.0000	0.9949	0.9830
15	10.0000	1.1055	1.0922
16	11.0000	1.2160	1.2014
17	6.0000	0.6633	0.6553
18	10.0000	1.1055	1.0922
19	7.0000	0.7738	0.7645
20	7.0000	0.7738	0.7645
21	8.0000	0.8844	0.8737
22	8.0000	0.8844	0.8737
23	7.0000	0.7738	0.7645
24	9.0000	0.9949	0.9830
25	9.0000	0.9949	0.9830
26	7.0000	0.7738	0.7645
27	13.0000	1.4371	1.4198
28	12.0000	1.3266	1.3106
29	10.0000	1.1055	1.0922
30	4.0000	0.4422	0.4369
31	10.0000	1.1055	1.0922
32	8.0000	0.8844	0.8737
33	10.0000	1.1055	1.0922
34	7.0000	0.7738	0.7645
35	8.0000	0.8844	0.8737
36	10.0000	1.1055	1.0922
37	9.0000	0.9949	0.9830
38	7.0000	0.7738	0.7645
39	10.0000	1.1055	1.0922
40	9.0000	0.9949	0.9830
41	10.0000	1.1055	1.0922
42	11.0000	1.2160	1.2014
43	9.0000	0.9949	0.9830
44	9.0000	0.9949	0.9830
45	6.0000	0.6633	0.6553
46	7.0000	0.7738	0.7645
47	5.0000	0.5527	0.5461
48	6.0000	0.6633	0.6553
49	10.0000	1.1055	1.0922
50	11.0000	1.2160	1.2014
51	9.0000	0.9949	0.9830
52	7.0000	0.7738	0.7645
53	9.0000	0.9949	0.9830
54	4.0000	0.4422	0.4369
55	9.0000	0.9949	0.9830
56	11.0000	1.2160	1.2014
57	7.0000	0.7738	0.7645
58	8.0000	0.8844	0.8737
59	8.0000	0.8844	0.8737
60	8.0000	0.8844	0.8737
61	10.0000	1.1055	1.0922
62	10.0000	1.1055	1.0922
63	7.0000	0.7738	0.7645
64	6.0000	0.6633	0.6553
65	7.0000	0.7738	0.7645
66	7.0000	0.7738	0.7645
67	10.0000	1.1055	1.0922
68	10.0000	1.1055	1.0922
69	8.0000	0.8844	0.8737
70	10.0000	1.1055	1.0922
71	6.0000	0.6633	0.6553
72	11.0000	1.2160	1.2014
73	10.0000	1.1055	1.0922
74	10.0000	1.1055	1.0922
75	11.0000	1.2160	1.2014
76	10.0000	1.1055	1.0922
77	9.0000	0.9949	0.9830
78	10.0000	1.1055	1.0922
79	8.0000	0.8844	0.8737
