Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	4.0000	0.7960	0.7814
2	7.0000	1.3930	1.3675
3	6.0000	1.1940	1.1721
4	5.0000	0.9950	0.9768
5	7.0000	1.3930	1.3675
6	3.0000	0.5970	0.5861
7	3.0000	0.5970	0.5861
8	4.0000	0.7960	0.7814
9	3.0000	0.5970	0.5861
10	6.0000	1.1940	1.1721
11	6.0000	1.1940	1.1721
12	6.0000	1.1940	1.1721
13	6.0000	1.1940	1.1721
14	6.0000	1.1940	1.1721
15	5.0000	0.9950	0.9768
16	3.0000	0.5970	0.5861
17	5.0000	0.9950	0.9768
18	7.0000	1.3930	1.3675
19	6.0000	1.1940	1.1721
20	6.0000	1.1940	1.1721
21	3.0000	0.5970	0.5861
22	3.0000	0.5970	0.5861
23	4.0000	0.7960	0.7814
24	7.0000	1.3930	1.3675
25	5.0000	0.9950	0.9768
26	4.0000	0.7960	0.7814
27	3.0000	0.5970	0.5861
28	5.0000	0.9950	0.9768
29	7.0000	1.3930	1.3675
30	3.0000	0.5970	0.5861
31	7.0000	1.3930	1.3675
32	5.0000	0.9950	0.9768
33	7.0000	1.3930	1.3675
34	6.0000	1.1940	1.1721
35	5.0000	0.9950	0.9768
36	7.0000	1.3930	1.3675
37	5.0000	0.9950	0.9768
38	4.0000	0.7960	0.7814
39	7.0000	1.3930	1.3675
40	4.0000	0.7960	0.7814
41	7.0000	1.3930	1.3675
42	4.0000	0.7960	0.7814
43	7.0000	1.3930	1.3675
44	6.0000	1.1940	1.1721
45	3.0000	0.5970	0.5861
46	3.0000	0.5970	0.5861
47	0.0000	0.0000	0.0000
48	3.0000	0.5970	0.5861
49	3.0000	0.5970	0.5861
50	3.0000	0.5970	0.5861
51	7.0000	1.3930	1.3675
52	6.0000	1.1940	1.1721
53	7.0000	1.3930	1.3675
54	3.0000	0.5970	0.5861
55	6.0000	1.1940	1.1721
56	7.0000	1.3930	1.3675
57	6.0000	1.1940	1.1721
58	3.0000	0.5970	0.5861
59	3.0000	0.5970	0.5861
60	5.0000	0.9950	0.9768
61	7.0000	1.3930	1.3675
62	7.0000	1.3930	1.3675
63	6.0000	1.1940	1.1721
64	3.0000	0.5970	0.5861
65	6.0000	1.1940	1.1721
66	3.0000	0.5970	0.5861
67	7.0000	1.3930	1.3675
68	7.0000	1.3930	1.3675
69	3.0000	0.5970	0.5861
70	7.0000	1.3930	1.3675
71	3.0000	0.5970	0.5861
72	4.0000	0.7960	0.7814
73	3.0000	0.5970	0.5861
74	7.0000	1.3930	1.3675
75	3.0000	0.5970	0.5861
76	7.0000	1.3930	1.3675
77	5.0000	0.9950	0.9768
78	7.0000	1.3930	1.3675
79	5.0000	0.9950	0.9768
80	3.0000	0.5970	0.5861
81	5.0000	0.9950	0.9768
82	7.0000	1.3930	1.3675
83	7.0000	1.3930	1.3675
84	7.0000	1.3930	1.3675
85	3.0000	0.5970	0.5861
86	3.0000	0.5970	0.5861
87	0.0000	0.0000	0.0000
88	4.0000	0.7960	0.7814
89	3.0000	0.5970	0.5861
90	6.0000	1.1940	1.1721
91	4.0000	0.7960	0.7814
92	5.0000	0.9950	0.9768
93	3.0000	0.5970	0.5861
94	3.0000	0.5970	0.5861
95	6.0000	1.1940	1.1721
96	6.0000	1.1940	1.1721
97	5.0000	0.9950	0.9768
98	3.0000	0.5970	0.5861
99	5.0000	0.9950	0.9768
100	7.0000	1.3930	1.3675
101	6.0000	1.1940	1.1721
102	5.0000	0.9950	0.9768
103	5.0000	0.9950	0.9768
104	5.0000	0.9950	0.9768
105	3.0000	0.5970	0.5861
106	4.0000	0.7960	0.7814
107	7.0000	1.3930	1.3675
108	3.0000	0.5970	0.5861
109	3.0000	0.5970	0.5861
110	7.0000	1.3930	1.3675
111	7.0000	1.3930	1.3675
112	3.0000	0.5970	0.5861
113	5.0000	0.9950	0.9768
114	3.0000	0.5970	0.5861
115	3.0000	0.5970	0.5861
116	7.0000	1.3930	1.3675
117	7.0000	1.3930	1.3675
118	3.0000	0.5970	0.5861
119	7.0000	1.3930	1.3675
120	3.0000	0.5970	0.5861
121	7.0000	1.3930	1.3675
122	3.0000	0.5970	0.5861
123	3.0000	0.5970	0.5861
124	3.0000	0.5970	0.5861
125	6.0000	1.1940	1.1721
126	7.0000	1.3930	1.3675
127	7.0000	1.3930	1.3675
128	3.0000	0.5970	0.5861
129	5.0000	0.9950	0.9768
130	7.0000	1.3930	1.3675
131	3.0000	0.5970	0.5861
132	3.0000	0.5970	0.5861
133	3.0000	0.5970	0.5861
