Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	2.0000	0.7740	0.7590
2	3.0000	1.1610	1.1385
3	3.0000	1.1610	1.1385
4	3.0000	1.1610	1.1385
5	3.0000	1.1610	1.1385
6	2.0000	0.7740	0.7590
7	1.0000	0.3870	0.3795
8	2.0000	0.7740	0.7590
9	2.0000	0.7740	0.7590
10	3.0000	1.1610	1.1385
11	3.0000	1.1610	1.1385
12	3.0000	1.1610	1.1385
13	3.0000	1.1610	1.1385
14	3.0000	1.1610	1.1385
15	3.0000	1.1610	1.1385
16	2.0000	0.7740	0.7590
17	3.0000	1.1610	1.1385
18	3.0000	1.1610	1.1385
19	3.0000	1.1610	1.1385
20	3.0000	1.1610	1.1385
21	2.0000	0.7740	0.7590
22	2.0000	0.7740	0.7590
23	2.0000	0.7740	0.7590
24	3.0000	1.1610	1.1385
25	3.0000	1.1610	1.1385
26	2.0000	0.7740	0.7590
27	2.0000	0.7740	0.7590
28	3.0000	1.1610	1.1385
29	3.0000	1.1610	1.1385
30	2.0000	0.7740	0.7590
31	3.0000	1.1610	1.1385
32	3.0000	1.1610	1.1385
33	3.0000	1.1610	1.1385
34	3.0000	1.1610	1.1385
35	3.0000	1.1610	1.1385
36	3.0000	1.1610	1.1385
37	3.0000	1.1610	1.1385
38	2.0000	0.7740	0.7590
39	3.0000	1.1610	1.1385
40	2.0000	0.7740	0.7590
41	3.0000	1.1610	1.1385
42	2.0000	0.7740	0.7590
43	3.0000	1.1610	1.1385
44	3.0000	1.1610	1.1385
45	1.0000	0.3870	0.3795
46	2.0000	0.7740	0.7590
47	0.0000	0.0000	0.0000
48	1.0000	0.3870	0.3795
49	2.0000	0.7740	0.7590
50	2.0000	0.7740	0.7590
51	3.0000	1.1610	1.1385
52	3.0000	1.1610	1.1385
53	3.0000	1.1610	1.1385
54	2.0000	0.7740	0.7590
55	3.0000	1.1610	1.1385
56	3.0000	1.1610	1.1385
57	3.0000	1.1610	1.1385
58	2.0000	0.7740	0.7590
59	2.0000	0.7740	0.7590
60	3.0000	1.1610	1.1385
61	3.0000	1.1610	1.1385
