Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	4.0000	1.0908	1.0902
2	4.0000	1.0908	1.0902
3	4.0000	1.0908	1.0902
4	4.0000	1.0908	1.0902
5	4.0000	1.0908	1.0902
6	3.0000	0.8181	0.8177
7	2.0000	0.5454	0.5451
8	3.0000	0.8181	0.8177
9	4.0000	1.0908	1.0902
10	4.0000	1.0908	1.0902
11	4.0000	1.0908	1.0902
12	4.0000	1.0908	1.0902
13	4.0000	1.0908	1.0902
14	4.0000	1.0908	1.0902
15	4.0000	1.0908	1.0902
16	4.0000	1.0908	1.0902
17	4.0000	1.0908	1.0902
18	4.0000	1.0908	1.0902
19	4.0000	1.0908	1.0902
20	4.0000	1.0908	1.0902
21	3.0000	0.8181	0.8177
22	3.0000	0.8181	0.8177
23	3.0000	0.8181	0.8177
24	4.0000	1.0908	1.0902
25	4.0000	1.0908	1.0902
26	3.0000	0.8181	0.8177
27	4.0000	1.0908	1.0902
28	4.0000	1.0908	1.0902
29	4.0000	1.0908	1.0902
30	3.0000	0.8181	0.8177
31	4.0000	1.0908	1.0902
32	4.0000	1.0908	1.0902
33	4.0000	1.0908	1.0902
34	4.0000	1.0908	1.0902
35	4.0000	1.0908	1.0902
36	4.0000	1.0908	1.0902
37	4.0000	1.0908	1.0902
38	3.0000	0.8181	0.8177
39	4.0000	1.0908	1.0902
40	3.0000	0.8181	0.8177
41	4.0000	1.0908	1.0902
42	4.0000	1.0908	1.0902
43	4.0000	1.0908	1.0902
44	4.0000	1.0908	1.0902
45	2.0000	0.5454	0.5451
46	3.0000	0.8181	0.8177
47	1.0000	0.2727	0.2726
48	2.0000	0.5454	0.5451
49	3.0000	0.8181	0.8177
50	4.0000	1.0908	1.0902
51	4.0000	1.0908	1.0902
52	4.0000	1.0908	1.0902
53	4.0000	1.0908	1.0902
54	3.0000	0.8181	0.8177
55	4.0000	1.0908	1.0902
56	4.0000	1.0908	1.0902
57	4.0000	1.0908	1.0902
58	3.0000	0.8181	0.8177
59	3.0000	0.8181	0.8177
60	4.0000	1.0908	1.0902
61	4.0000	1.0908	1.0902
62	4.0000	1.0908	1.0902
63	4.0000	1.0908	1.0902
64	3.0000	0.8181	0.8177
65	4.0000	1.0908	1.0902
66	3.0000	0.8181	0.8177
67	4.0000	1.0908	1.0902
68	4.0000	1.0908	1.0902
69	3.0000	0.8181	0.8177
70	4.0000	1.0908	1.0902
71	3.0000	0.8181	0.8177
72	4.0000	1.0908	1.0902
73	3.0000	0.8181	0.8177
74	4.0000	1.0908	1.0902
75	4.0000	1.0908	1.0902
76	4.0000	1.0908	1.0902
77	4.0000	1.0908	1.0902
78	4.0000	1.0908	1.0902
79	4.0000	1.0908	1.0902
