Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	14.0000	1.1095	1.1051
2	14.0000	1.1095	1.1051
3	12.0000	0.9510	0.9472
4	14.0000	1.1095	1.1051
5	14.0000	1.1095	1.1051
6	14.0000	1.1095	1.1051
7	12.0000	0.9510	0.9472
8	16.0000	1.2680	1.2629
9	12.0000	0.9510	0.9472
10	14.0000	1.1095	1.1051
11	14.0000	1.1095	1.1051
12	14.0000	1.1095	1.1051
13	14.0000	1.1095	1.1051
14	12.0000	0.9510	0.9472
15	14.0000	1.1095	1.1051
16	18.0000	1.4265	1.4208
17	14.0000	1.1095	1.1051
18	16.0000	1.2680	1.2629
19	14.0000	1.1095	1.1051
20	14.0000	1.1095	1.1051
21	14.0000	1.1095	1.1051
22	10.0000	0.7925	0.7893
23	18.0000	1.4265	1.4208
24	12.0000	0.9510	0.9472
25	12.0000	0.9510	0.9472
26	16.0000	1.2680	1.2629
27	8.0000	0.6340	0.6315
28	16.0000	1.2680	1.2629
29	14.0000	1.1095	1.1051
30	20.0000	1.5850	1.5787
31	14.0000	1.1095	1.1051
32	14.0000	1.1095	1.1051
33	20.0000	1.5850	1.5787
34	8.0000	0.6340	0.6315
35	22.0000	1.7435	1.7365
36	12.0000	0.9510	0.9472
37	12.0000	0.9510	0.9472
38	12.0000	0.9510	0.9472
39	14.0000	1.1095	1.1051
40	12.0000	0.9510	0.9472
41	12.0000	0.9510	0.9472
42	16.0000	1.2680	1.2629
43	12.0000	0.9510	0.9472
44	14.0000	1.1095	1.1051
45	10.0000	0.7925	0.7893
46	12.0000	0.9510	0.9472
47	11.0000	0.8718	0.8683
48	14.0000	1.1095	1.1051
49	14.0000	1.1095	1.1051
50	13.0000	1.0303	1.0261
51	14.0000	1.1095	1.1051
52	16.0000	1.2680	1.2629
53	14.0000	1.1095	1.1051
54	11.0000	0.8718	0.8683
55	8.0000	0.6340	0.6315
56	16.0000	1.2680	1.2629
57	16.0000	1.2680	1.2629
58	13.0000	1.0303	1.0261
59	14.0000	1.1095	1.1051
60	12.0000	0.9510	0.9472
61	8.0000	0.6340	0.6315
62	11.0000	0.8718	0.8683
63	12.0000	0.9510	0.9472
64	12.0000	0.9510	0.9472
65	10.0000	0.7925	0.7893
66	12.0000	0.9510	0.9472
67	14.0000	1.1095	1.1051
68	14.0000	1.1095	1.1051
69	11.0000	0.8718	0.8683
70	10.0000	0.7925	0.7893
71	14.0000	1.1095	1.1051
72	12.0000	0.9510	0.9472
73	14.0000	1.1095	1.1051
74	16.0000	1.2680	1.2629
75	14.0000	1.1095	1.1051
76	12.0000	0.9510	0.9472
77	13.0000	1.0303	1.0261
78	14.0000	1.1095	1.1051
79	12.0000	0.9510	0.9472
80	14.0000	1.1095	1.1051
81	11.0000	0.8718	0.8683
82	14.0000	1.1095	1.1051
83	16.0000	1.2680	1.2629
84	14.0000	1.1095	1.1051
85	14.0000	1.1095	1.1051
86	11.0000	0.8718	0.8683
87	14.0000	1.1095	1.1051
88	14.0000	1.1095	1.1051
89	10.0000	0.7925	0.7893
90	14.0000	1.1095	1.1051
91	12.0000	0.9510	0.9472
92	14.0000	1.1095	1.1051
93	12.0000	0.9510	0.9472
94	11.0000	0.8718	0.8683
95	14.0000	1.1095	1.1051
96	12.0000	0.9510	0.9472
97	12.0000	0.9510	0.9472
98	14.0000	1.1095	1.1051
99	14.0000	1.1095	1.1051
100	8.0000	0.6340	0.6315
101	14.0000	1.1095	1.1051
102	13.0000	1.0303	1.0261
103	14.0000	1.1095	1.1051
104	14.0000	1.1095	1.1051
105	11.0000	0.8718	0.8683
106	16.0000	1.2680	1.2629
107	12.0000	0.9510	0.9472
108	16.0000	1.2680	1.2629
109	16.0000	1.2680	1.2629
110	13.0000	1.0303	1.0261
111	20.0000	1.5850	1.5787
112	14.0000	1.1095	1.1051
113	22.0000	1.7435	1.7365
114	12.0000	0.9510	0.9472
115	14.0000	1.1095	1.1051
116	16.0000	1.2680	1.2629
117	12.0000	0.9510	0.9472
118	12.0000	0.9510	0.9472
119	10.0000	0.7925	0.7893
120	18.0000	1.4265	1.4208
121	10.0000	0.7925	0.7893
122	14.0000	1.1095	1.1051
123	13.0000	1.0303	1.0261
124	14.0000	1.1095	1.1051
125	12.0000	0.9510	0.9472
126	13.0000	1.0303	1.0261
127	14.0000	1.1095	1.1051
128	6.0000	0.4755	0.4736
129	14.0000	1.1095	1.1051
130	16.0000	1.2680	1.2629
131	12.0000	0.9510	0.9472
132	12.0000	0.9510	0.9472
133	12.0000	0.9510	0.9472
