Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	9.0000	1.2212	1.2013
2	10.0000	1.3569	1.3348
3	8.0000	1.0855	1.0678
4	9.0000	1.2212	1.2013
5	9.0000	1.2212	1.2013
6	8.0000	1.0855	1.0678
7	8.0000	1.0855	1.0678
8	9.0000	1.2212	1.2013
9	10.0000	1.3569	1.3348
10	9.0000	1.2212	1.2013
11	6.0000	0.8141	0.8009
12	9.0000	1.2212	1.2013
13	9.0000	1.2212	1.2013
14	7.0000	0.9498	0.9343
15	9.0000	1.2212	1.2013
16	8.0000	1.0855	1.0678
17	7.0000	0.9498	0.9343
18	8.0000	1.0855	1.0678
19	8.0000	1.0855	1.0678
20	9.0000	1.2212	1.2013
21	8.0000	1.0855	1.0678
22	8.0000	1.0855	1.0678
23	4.0000	0.5427	0.5339
24	8.0000	1.0855	1.0678
25	9.0000	1.2212	1.2013
26	5.0000	0.6784	0.6674
27	7.0000	0.9498	0.9343
28	9.0000	1.2212	1.2013
29	8.0000	1.0855	1.0678
30	2.0000	0.2714	0.2670
31	10.0000	1.3569	1.3348
32	8.0000	1.0855	1.0678
33	6.0000	0.8141	0.8009
34	6.0000	0.8141	0.8009
35	0.0000	0.0000	0.0000
36	9.0000	1.2212	1.2013
37	9.0000	1.2212	1.2013
38	9.0000	1.2212	1.2013
39	9.0000	1.2212	1.2013
40	9.0000	1.2212	1.2013
41	8.0000	1.0855	1.0678
42	5.0000	0.6784	0.6674
43	7.0000	0.9498	0.9343
44	8.0000	1.0855	1.0678
45	8.0000	1.0855	1.0678
46	8.0000	1.0855	1.0678
47	7.0000	0.9498	0.9343
48	3.0000	0.4071	0.4004
49	6.0000	0.8141	0.8009
50	7.0000	0.9498	0.9343
51	7.0000	0.9498	0.9343
52	9.0000	1.2212	1.2013
53	7.0000	0.9498	0.9343
54	7.0000	0.9498	0.9343
55	6.0000	0.8141	0.8009
56	7.0000	0.9498	0.9343
57	9.0000	1.2212	1.2013
58	8.0000	1.0855	1.0678
59	10.0000	1.3569	1.3348
60	9.0000	1.2212	1.2013
61	3.0000	0.4071	0.4004
62	7.0000	0.9498	0.9343
63	8.0000	1.0855	1.0678
64	9.0000	1.2212	1.2013
65	8.0000	1.0855	1.0678
66	7.0000	0.9498	0.9343
67	9.0000	1.2212	1.2013
68	9.0000	1.2212	1.2013
69	7.0000	0.9498	0.9343
70	7.0000	0.9498	0.9343
71	8.0000	1.0855	1.0678
72	9.0000	1.2212	1.2013
73	9.0000	1.2212	1.2013
74	6.0000	0.8141	0.8009
75	9.0000	1.2212	1.2013
76	9.0000	1.2212	1.2013
77	7.0000	0.9498	0.9343
78	9.0000	1.2212	1.2013
79	8.0000	1.0855	1.0678
80	10.0000	1.3569	1.3348
81	9.0000	1.2212	1.2013
82	7.0000	0.9498	0.9343
83	4.0000	0.5427	0.5339
84	9.0000	1.2212	1.2013
85	10.0000	1.3569	1.3348
86	6.0000	0.8141	0.8009
87	8.0000	1.0855	1.0678
88	9.0000	1.2212	1.2013
89	5.0000	0.6784	0.6674
90	5.0000	0.6784	0.6674
91	9.0000	1.2212	1.2013
92	9.0000	1.2212	1.2013
93	9.0000	1.2212	1.2013
94	7.0000	0.9498	0.9343
95	7.0000	0.9498	0.9343
96	10.0000	1.3569	1.3348
97	9.0000	1.2212	1.2013
98	7.0000	0.9498	0.9343
99	9.0000	1.2212	1.2013
100	6.0000	0.8141	0.8009
101	8.0000	1.0855	1.0678
102	10.0000	1.3569	1.3348
103	7.0000	0.9498	0.9343
104	10.0000	1.3569	1.3348
105	5.0000	0.6784	0.6674
106	7.0000	0.9498	0.9343
107	9.0000	1.2212	1.2013
108	8.0000	1.0855	1.0678
109	8.0000	1.0855	1.0678
110	9.0000	1.2212	1.2013
111	8.0000	1.0855	1.0678
112	9.0000	1.2212	1.2013
113	6.0000	0.8141	0.8009
114	7.0000	0.9498	0.9343
115	3.0000	0.4071	0.4004
116	9.0000	1.2212	1.2013
117	9.0000	1.2212	1.2013
118	8.0000	1.0855	1.0678
119	9.0000	1.2212	1.2013
120	4.0000	0.5427	0.5339
121	7.0000	0.9498	0.9343
122	10.0000	1.3569	1.3348
123	9.0000	1.2212	1.2013
124	10.0000	1.3569	1.3348
125	4.0000	0.5427	0.5339
126	8.0000	1.0855	1.0678
127	10.0000	1.3569	1.3348
128	4.0000	0.5427	0.5339
129	5.0000	0.6784	0.6674
130	9.0000	1.2212	1.2013
131	10.0000	1.3569	1.3348
132	9.0000	1.2212	1.2013
133	7.0000	0.9498	0.9343
134	4.0000	0.5427	0.5339
135	6.0000	0.8141	0.8009
136	7.0000	0.9498	0.9343
137	7.0000	0.9498	0.9343
138	7.0000	0.9498	0.9343
139	4.0000	0.5427	0.5339
140	9.0000	1.2212	1.2013
141	8.0000	1.0855	1.0678
142	10.0000	1.3569	1.3348
143	8.0000	1.0855	1.0678
144	6.0000	0.8141	0.8009
145	9.0000	1.2212	1.2013
146	8.0000	1.0855	1.0678
147	7.0000	0.9498	0.9343
148	5.0000	0.6784	0.6674
149	7.0000	0.9498	0.9343
150	9.0000	1.2212	1.2013
151	7.0000	0.9498	0.9343
152	8.0000	1.0855	1.0678
153	6.0000	0.8141	0.8009
154	9.0000	1.2212	1.2013
155	7.0000	0.9498	0.9343
156	9.0000	1.2212	1.2013
157	9.0000	1.2212	1.2013
158	7.0000	0.9498	0.9343
159	9.0000	1.2212	1.2013
160	6.0000	0.8141	0.8009
161	8.0000	1.0855	1.0678
162	9.0000	1.2212	1.2013
163	9.0000	1.2212	1.2013
164	8.0000	1.0855	1.0678
165	9.0000	1.2212	1.2013
166	5.0000	0.6784	0.6674
167	9.0000	1.2212	1.2013
168	5.0000	0.6784	0.6674
169	8.0000	1.0855	1.0678
170	9.0000	1.2212	1.2013
171	9.0000	1.2212	1.2013
172	9.0000	1.2212	1.2013
173	5.0000	0.6784	0.6674
174	10.0000	1.3569	1.3348
175	7.0000	0.9498	0.9343
176	8.0000	1.0855	1.0678
177	7.0000	0.9498	0.9343
178	9.0000	1.2212	1.2013
179	8.0000	1.0855	1.0678
180	9.0000	1.2212	1.2013
181	9.0000	1.2212	1.2013
182	10.0000	1.3569	1.3348
183	9.0000	1.2212	1.2013
184	10.0000	1.3569	1.3348
185	7.0000	0.9498	0.9343
186	7.0000	0.9498	0.9343
187	4.0000	0.5427	0.5339
188	4.0000	0.5427	0.5339
189	9.0000	1.2212	1.2013
190	7.0000	0.9498	0.9343
191	9.0000	1.2212	1.2013
192	6.0000	0.8141	0.8009
193	5.0000	0.6784	0.6674
194	8.0000	1.0855	1.0678
195	9.0000	1.2212	1.2013
196	9.0000	1.2212	1.2013
197	9.0000	1.2212	1.2013
198	9.0000	1.2212	1.2013
199	6.0000	0.8141	0.8009
200	9.0000	1.2212	1.2013
201	8.0000	1.0855	1.0678
202	9.0000	1.2212	1.2013
203	6.0000	0.8141	0.8009
204	6.0000	0.8141	0.8009
205	9.0000	1.2212	1.2013
206	9.0000	1.2212	1.2013
207	5.0000	0.6784	0.6674
208	7.0000	0.9498	0.9343
209	5.0000	0.6784	0.6674
210	9.0000	1.2212	1.2013
211	8.0000	1.0855	1.0678
212	9.0000	1.2212	1.2013
213	8.0000	1.0855	1.0678
214	9.0000	1.2212	1.2013
215	9.0000	1.2212	1.2013
216	7.0000	0.9498	0.9343
217	7.0000	0.9498	0.9343
218	8.0000	1.0855	1.0678
219	6.0000	0.8141	0.8009
220	9.0000	1.2212	1.2013
221	9.0000	1.2212	1.2013
222	8.0000	1.0855	1.0678
223	7.0000	0.9498	0.9343
224	5.0000	0.6784	0.6674
225	9.0000	1.2212	1.2013
226	3.0000	0.4071	0.4004
227	6.0000	0.8141	0.8009
228	8.0000	1.0855	1.0678
229	9.0000	1.2212	1.2013
230	5.0000	0.6784	0.6674
