Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	4.0000	1.1093	1.0998
2	4.0000	1.1093	1.0998
3	4.0000	1.1093	1.0998
4	4.0000	1.1093	1.0998
5	4.0000	1.1093	1.0998
6	4.0000	1.1093	1.0998
7	4.0000	1.1093	1.0998
8	4.0000	1.1093	1.0998
9	4.0000	1.1093	1.0998
10	4.0000	1.1093	1.0998
11	3.0000	0.8319	0.8249
12	4.0000	1.1093	1.0998
13	4.0000	1.1093	1.0998
14	4.0000	1.1093	1.0998
15	4.0000	1.1093	1.0998
16	4.0000	1.1093	1.0998
17	4.0000	1.1093	1.0998
18	4.0000	1.1093	1.0998
19	4.0000	1.1093	1.0998
20	4.0000	1.1093	1.0998
21	4.0000	1.1093	1.0998
22	4.0000	1.1093	1.0998
23	2.0000	0.5546	0.5499
24	4.0000	1.1093	1.0998
25	4.0000	1.1093	1.0998
26	3.0000	0.8319	0.8249
27	4.0000	1.1093	1.0998
28	4.0000	1.1093	1.0998
29	4.0000	1.1093	1.0998
30	1.0000	0.2773	0.2750
31	4.0000	1.1093	1.0998
32	4.0000	1.1093	1.0998
33	3.0000	0.8319	0.8249
34	4.0000	1.1093	1.0998
35	0.0000	0.0000	0.0000
36	4.0000	1.1093	1.0998
37	4.0000	1.1093	1.0998
38	4.0000	1.1093	1.0998
39	4.0000	1.1093	1.0998
40	4.0000	1.1093	1.0998
41	4.0000	1.1093	1.0998
42	3.0000	0.8319	0.8249
43	4.0000	1.1093	1.0998
44	4.0000	1.1093	1.0998
45	4.0000	1.1093	1.0998
46	4.0000	1.1093	1.0998
47	4.0000	1.1093	1.0998
48	2.0000	0.5546	0.5499
49	3.0000	0.8319	0.8249
50	4.0000	1.1093	1.0998
51	4.0000	1.1093	1.0998
52	4.0000	1.1093	1.0998
53	4.0000	1.1093	1.0998
54	4.0000	1.1093	1.0998
55	3.0000	0.8319	0.8249
56	4.0000	1.1093	1.0998
57	4.0000	1.1093	1.0998
58	4.0000	1.1093	1.0998
59	4.0000	1.1093	1.0998
60	4.0000	1.1093	1.0998
61	1.0000	0.2773	0.2750
62	3.0000	0.8319	0.8249
63	4.0000	1.1093	1.0998
64	4.0000	1.1093	1.0998
65	4.0000	1.1093	1.0998
66	4.0000	1.1093	1.0998
67	4.0000	1.1093	1.0998
68	4.0000	1.1093	1.0998
69	4.0000	1.1093	1.0998
70	3.0000	0.8319	0.8249
71	4.0000	1.1093	1.0998
72	4.0000	1.1093	1.0998
73	4.0000	1.1093	1.0998
74	3.0000	0.8319	0.8249
75	4.0000	1.1093	1.0998
76	4.0000	1.1093	1.0998
77	3.0000	0.8319	0.8249
78	4.0000	1.1093	1.0998
79	4.0000	1.1093	1.0998
80	4.0000	1.1093	1.0998
81	4.0000	1.1093	1.0998
