Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	12.0000	1.1223	1.0953
2	12.0000	1.1223	1.0953
3	12.0000	1.1223	1.0953
4	10.0000	0.9353	0.9127
5	14.0000	1.3094	1.2778
6	12.0000	1.1223	1.0953
7	12.0000	1.1223	1.0953
8	14.0000	1.3094	1.2778
9	12.0000	1.1223	1.0953
10	8.0000	0.7482	0.7302
11	12.0000	1.1223	1.0953
12	11.0000	1.0288	1.0040
13	10.0000	0.9353	0.9127
14	12.0000	1.1223	1.0953
15	7.0000	0.6547	0.6389
16	10.0000	0.9353	0.9127
17	11.0000	1.0288	1.0040
18	11.0000	1.0288	1.0040
19	12.0000	1.1223	1.0953
20	14.0000	1.3094	1.2778
21	12.0000	1.1223	1.0953
22	10.0000	0.9353	0.9127
23	10.0000	0.9353	0.9127
24	11.0000	1.0288	1.0040
25	13.0000	1.2159	1.1866
26	12.0000	1.1223	1.0953
27	12.0000	1.1223	1.0953
28	9.0000	0.8418	0.8215
29	12.0000	1.1223	1.0953
30	8.0000	0.7482	0.7302
31	12.0000	1.1223	1.0953
32	10.0000	0.9353	0.9127
33	14.0000	1.3094	1.2778
34	12.0000	1.1223	1.0953
35	9.0000	0.8418	0.8215
36	12.0000	1.1223	1.0953
37	10.0000	0.9353	0.9127
38	10.0000	0.9353	0.9127
39	8.0000	0.7482	0.7302
40	12.0000	1.1223	1.0953
41	10.0000	0.9353	0.9127
42	13.0000	1.2159	1.1866
43	9.0000	0.8418	0.8215
44	10.0000	0.9353	0.9127
45	9.0000	0.8418	0.8215
46	8.0000	0.7482	0.7302
47	10.0000	0.9353	0.9127
48	13.0000	1.2159	1.1866
49	11.0000	1.0288	1.0040
50	10.0000	0.9353	0.9127
51	10.0000	0.9353	0.9127
52	8.0000	0.7482	0.7302
53	12.0000	1.1223	1.0953
54	10.0000	0.9353	0.9127
55	10.0000	0.9353	0.9127
56	12.0000	1.1223	1.0953
57	10.0000	0.9353	0.9127
58	10.0000	0.9353	0.9127
