Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	13.0000	0.7936	0.7639
2	16.0000	0.9767	0.9402
3	16.0000	0.9767	0.9402
4	11.0000	0.6715	0.6464
5	20.0000	1.2209	1.1752
6	18.0000	1.0988	1.0577
7	14.0000	0.8546	0.8227
8	17.0000	1.0377	0.9989
9	20.0000	1.2209	1.1752
10	13.0000	0.7936	0.7639
11	14.0000	0.8546	0.8227
12	16.0000	0.9767	0.9402
13	14.0000	0.8546	0.8227
14	15.0000	0.9156	0.8814
15	12.0000	0.7325	0.7051
16	15.0000	0.9156	0.8814
17	12.0000	0.7325	0.7051
18	14.0000	0.8546	0.8227
19	18.0000	1.0988	1.0577
20	18.0000	1.0988	1.0577
21	15.0000	0.9156	0.8814
22	13.0000	0.7936	0.7639
23	14.0000	0.8546	0.8227
24	14.0000	0.8546	0.8227
25	18.0000	1.0988	1.0577
26	17.0000	1.0377	0.9989
27	14.0000	0.8546	0.8227
28	14.0000	0.8546	0.8227
29	16.0000	0.9767	0.9402
30	13.0000	0.7936	0.7639
31	16.0000	0.9767	0.9402
32	14.0000	0.8546	0.8227
33	17.0000	1.0377	0.9989
34	16.0000	0.9767	0.9402
35	14.0000	0.8546	0.8227
36	16.0000	0.9767	0.9402
37	14.0000	0.8546	0.8227
38	11.0000	0.6715	0.6464
39	10.0000	0.6104	0.5876
40	18.0000	1.0988	1.0577
41	13.0000	0.7936	0.7639
42	16.0000	0.9767	0.9402
43	12.0000	0.7325	0.7051
44	13.0000	0.7936	0.7639
45	16.0000	0.9767	0.9402
46	10.0000	0.6104	0.5876
47	13.0000	0.7936	0.7639
48	16.0000	0.9767	0.9402
49	16.0000	0.9767	0.9402
50	12.0000	0.7325	0.7051
51	16.0000	0.9767	0.9402
52	11.0000	0.6715	0.6464
53	15.0000	0.9156	0.8814
54	14.0000	0.8546	0.8227
55	15.0000	0.9156	0.8814
56	16.0000	0.9767	0.9402
57	15.0000	0.9156	0.8814
58	12.0000	0.7325	0.7051
59	15.0000	0.9156	0.8814
60	16.0000	0.9767	0.9402
61	14.0000	0.8546	0.8227
62	18.0000	1.0988	1.0577
63	10.0000	0.6104	0.5876
64	17.0000	1.0377	0.9989
65	20.0000	1.2209	1.1752
66	21.0000	1.2819	1.2340
67	14.0000	0.8546	0.8227
68	16.0000	0.9767	0.9402
69	10.0000	0.6104	0.5876
70	15.0000	0.9156	0.8814
71	11.0000	0.6715	0.6464
72	18.0000	1.0988	1.0577
73	15.0000	0.9156	0.8814
74	15.0000	0.9156	0.8814
75	17.0000	1.0377	0.9989
76	16.0000	0.9767	0.9402
77	17.0000	1.0377	0.9989
78	13.0000	0.7936	0.7639
79	12.0000	0.7325	0.7051
80	16.0000	0.9767	0.9402
81	11.0000	0.6715	0.6464
82	19.0000	1.1598	1.1165
83	16.0000	0.9767	0.9402
84	18.0000	1.0988	1.0577
85	17.0000	1.0377	0.9989
86	14.0000	0.8546	0.8227
87	13.0000	0.7936	0.7639
88	16.0000	0.9767	0.9402
89	13.0000	0.7936	0.7639
90	14.0000	0.8546	0.8227
91	12.0000	0.7325	0.7051
92	11.0000	0.6715	0.6464
93	17.0000	1.0377	0.9989
94	20.0000	1.2209	1.1752
95	16.0000	0.9767	0.9402
96	10.0000	0.6104	0.5876
97	11.0000	0.6715	0.6464
98	13.0000	0.7936	0.7639
99	16.0000	0.9767	0.9402
100	17.0000	1.0377	0.9989
101	16.0000	0.9767	0.9402
102	18.0000	1.0988	1.0577
103	19.0000	1.1598	1.1165
104	15.0000	0.9156	0.8814
105	12.0000	0.7325	0.7051
106	16.0000	0.9767	0.9402
107	15.0000	0.9156	0.8814
108	17.0000	1.0377	0.9989
109	14.0000	0.8546	0.8227
110	16.0000	0.9767	0.9402
111	14.0000	0.8546	0.8227
112	18.0000	1.0988	1.0577
113	14.0000	0.8546	0.8227
114	18.0000	1.0988	1.0577
115	20.0000	1.2209	1.1752
116	16.0000	0.9767	0.9402
117	18.0000	1.0988	1.0577
118	19.0000	1.1598	1.1165
119	16.0000	0.9767	0.9402
120	12.0000	0.7325	0.7051
121	15.0000	0.9156	0.8814
122	13.0000	0.7936	0.7639
123	17.0000	1.0377	0.9989
124	17.0000	1.0377	0.9989
125	14.0000	0.8546	0.8227
126	17.0000	1.0377	0.9989
127	10.0000	0.6104	0.5876
128	16.0000	0.9767	0.9402
129	14.0000	0.8546	0.8227
130	17.0000	1.0377	0.9989
131	18.0000	1.0988	1.0577
132	19.0000	1.1598	1.1165
133	17.0000	1.0377	0.9989
134	14.0000	0.8546	0.8227
135	15.0000	0.9156	0.8814
136	16.0000	0.9767	0.9402
137	14.0000	0.8546	0.8227
138	14.0000	0.8546	0.8227
139	14.0000	0.8546	0.8227
140	13.0000	0.7936	0.7639
141	16.0000	0.9767	0.9402
142	17.0000	1.0377	0.9989
143	16.0000	0.9767	0.9402
144	14.0000	0.8546	0.8227
145	14.0000	0.8546	0.8227
146	13.0000	0.7936	0.7639
147	13.0000	0.7936	0.7639
148	14.0000	0.8546	0.8227
149	17.0000	1.0377	0.9989
150	16.0000	0.9767	0.9402
151	13.0000	0.7936	0.7639
152	12.0000	0.7325	0.7051
153	17.0000	1.0377	0.9989
154	14.0000	0.8546	0.8227
155	14.0000	0.8546	0.8227
156	12.0000	0.7325	0.7051
157	16.0000	0.9767	0.9402
158	16.0000	0.9767	0.9402
159	11.0000	0.6715	0.6464
160	16.0000	0.9767	0.9402
161	18.0000	1.0988	1.0577
162	13.0000	0.7936	0.7639
163	18.0000	1.0988	1.0577
164	17.0000	1.0377	0.9989
165	14.0000	0.8546	0.8227
166	16.0000	0.9767	0.9402
167	18.0000	1.0988	1.0577
168	18.0000	1.0988	1.0577
169	12.0000	0.7325	0.7051
170	16.0000	0.9767	0.9402
171	18.0000	1.0988	1.0577
172	17.0000	1.0377	0.9989
173	14.0000	0.8546	0.8227
174	18.0000	1.0988	1.0577
