Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	5.0000	1.0808	1.0613
2	5.0000	1.0808	1.0613
3	5.0000	1.0808	1.0613
4	5.0000	1.0808	1.0613
5	5.0000	1.0808	1.0613
6	5.0000	1.0808	1.0613
7	5.0000	1.0808	1.0613
8	5.0000	1.0808	1.0613
9	5.0000	1.0808	1.0613
10	3.0000	0.6485	0.6368
11	5.0000	1.0808	1.0613
12	5.0000	1.0808	1.0613
13	5.0000	1.0808	1.0613
14	5.0000	1.0808	1.0613
15	4.0000	0.8647	0.8491
16	5.0000	1.0808	1.0613
17	5.0000	1.0808	1.0613
18	4.0000	0.8647	0.8491
19	5.0000	1.0808	1.0613
20	5.0000	1.0808	1.0613
21	5.0000	1.0808	1.0613
22	4.0000	0.8647	0.8491
23	4.0000	0.8647	0.8491
24	5.0000	1.0808	1.0613
25	5.0000	1.0808	1.0613
26	5.0000	1.0808	1.0613
27	5.0000	1.0808	1.0613
28	4.0000	0.8647	0.8491
29	5.0000	1.0808	1.0613
30	4.0000	0.8647	0.8491
31	5.0000	1.0808	1.0613
32	5.0000	1.0808	1.0613
33	5.0000	1.0808	1.0613
34	5.0000	1.0808	1.0613
35	5.0000	1.0808	1.0613
36	5.0000	1.0808	1.0613
37	5.0000	1.0808	1.0613
38	4.0000	0.8647	0.8491
39	4.0000	0.8647	0.8491
40	5.0000	1.0808	1.0613
41	5.0000	1.0808	1.0613
42	5.0000	1.0808	1.0613
43	4.0000	0.8647	0.8491
44	4.0000	0.8647	0.8491
45	4.0000	0.8647	0.8491
46	5.0000	1.0808	1.0613
47	4.0000	0.8647	0.8491
48	5.0000	1.0808	1.0613
49	5.0000	1.0808	1.0613
50	5.0000	1.0808	1.0613
51	4.0000	0.8647	0.8491
52	5.0000	1.0808	1.0613
53	5.0000	1.0808	1.0613
54	4.0000	0.8647	0.8491
55	5.0000	1.0808	1.0613
56	5.0000	1.0808	1.0613
57	5.0000	1.0808	1.0613
58	4.0000	0.8647	0.8491
59	5.0000	1.0808	1.0613
60	5.0000	1.0808	1.0613
61	5.0000	1.0808	1.0613
62	5.0000	1.0808	1.0613
63	5.0000	1.0808	1.0613
64	5.0000	1.0808	1.0613
65	5.0000	1.0808	1.0613
66	5.0000	1.0808	1.0613
67	5.0000	1.0808	1.0613
68	5.0000	1.0808	1.0613
69	4.0000	0.8647	0.8491
70	5.0000	1.0808	1.0613
71	5.0000	1.0808	1.0613
72	5.0000	1.0808	1.0613
73	5.0000	1.0808	1.0613
74	5.0000	1.0808	1.0613
75	5.0000	1.0808	1.0613
76	5.0000	1.0808	1.0613
77	5.0000	1.0808	1.0613
78	5.0000	1.0808	1.0613
79	4.0000	0.8647	0.8491
80	5.0000	1.0808	1.0613
81	3.0000	0.6485	0.6368
82	5.0000	1.0808	1.0613
83	4.0000	0.8647	0.8491
84	5.0000	1.0808	1.0613
85	5.0000	1.0808	1.0613
86	4.0000	0.8647	0.8491
87	5.0000	1.0808	1.0613
88	5.0000	1.0808	1.0613
89	5.0000	1.0808	1.0613
90	5.0000	1.0808	1.0613
91	4.0000	0.8647	0.8491
92	4.0000	0.8647	0.8491
93	5.0000	1.0808	1.0613
94	5.0000	1.0808	1.0613
95	5.0000	1.0808	1.0613
96	4.0000	0.8647	0.8491
