Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	6.0000	1.0499	1.0411
2	6.0000	1.0499	1.0411
3	6.0000	1.0499	1.0411
4	6.0000	1.0499	1.0411
5	6.0000	1.0499	1.0411
6	6.0000	1.0499	1.0411
7	6.0000	1.0499	1.0411
8	6.0000	1.0499	1.0411
9	6.0000	1.0499	1.0411
10	4.0000	0.6999	0.6941
11	6.0000	1.0499	1.0411
12	6.0000	1.0499	1.0411
13	6.0000	1.0499	1.0411
14	6.0000	1.0499	1.0411
15	5.0000	0.8749	0.8676
16	6.0000	1.0499	1.0411
17	6.0000	1.0499	1.0411
18	5.0000	0.8749	0.8676
19	6.0000	1.0499	1.0411
20	6.0000	1.0499	1.0411
21	6.0000	1.0499	1.0411
22	5.0000	0.8749	0.8676
23	5.0000	0.8749	0.8676
24	6.0000	1.0499	1.0411
25	6.0000	1.0499	1.0411
26	6.0000	1.0499	1.0411
27	6.0000	1.0499	1.0411
28	5.0000	0.8749	0.8676
29	6.0000	1.0499	1.0411
30	5.0000	0.8749	0.8676
31	6.0000	1.0499	1.0411
32	6.0000	1.0499	1.0411
33	6.0000	1.0499	1.0411
34	6.0000	1.0499	1.0411
35	6.0000	1.0499	1.0411
36	6.0000	1.0499	1.0411
37	6.0000	1.0499	1.0411
38	5.0000	0.8749	0.8676
39	5.0000	0.8749	0.8676
40	6.0000	1.0499	1.0411
41	6.0000	1.0499	1.0411
42	6.0000	1.0499	1.0411
43	5.0000	0.8749	0.8676
44	5.0000	0.8749	0.8676
45	5.0000	0.8749	0.8676
46	6.0000	1.0499	1.0411
47	5.0000	0.8749	0.8676
48	6.0000	1.0499	1.0411
49	6.0000	1.0499	1.0411
50	6.0000	1.0499	1.0411
51	5.0000	0.8749	0.8676
52	6.0000	1.0499	1.0411
53	6.0000	1.0499	1.0411
54	5.0000	0.8749	0.8676
55	6.0000	1.0499	1.0411
56	6.0000	1.0499	1.0411
57	6.0000	1.0499	1.0411
58	5.0000	0.8749	0.8676
59	6.0000	1.0499	1.0411
60	6.0000	1.0499	1.0411
61	6.0000	1.0499	1.0411
62	6.0000	1.0499	1.0411
63	6.0000	1.0499	1.0411
64	6.0000	1.0499	1.0411
65	6.0000	1.0499	1.0411
66	6.0000	1.0499	1.0411
67	6.0000	1.0499	1.0411
68	6.0000	1.0499	1.0411
69	5.0000	0.8749	0.8676
70	6.0000	1.0499	1.0411
71	6.0000	1.0499	1.0411
72	6.0000	1.0499	1.0411
73	6.0000	1.0499	1.0411
74	6.0000	1.0499	1.0411
75	6.0000	1.0499	1.0411
76	6.0000	1.0499	1.0411
77	6.0000	1.0499	1.0411
78	6.0000	1.0499	1.0411
79	5.0000	0.8749	0.8676
80	6.0000	1.0499	1.0411
81	4.0000	0.6999	0.6941
82	6.0000	1.0499	1.0411
83	5.0000	0.8749	0.8676
84	6.0000	1.0499	1.0411
85	6.0000	1.0499	1.0411
86	5.0000	0.8749	0.8676
87	6.0000	1.0499	1.0411
88	6.0000	1.0499	1.0411
89	6.0000	1.0499	1.0411
90	6.0000	1.0499	1.0411
91	5.0000	0.8749	0.8676
92	5.0000	0.8749	0.8676
93	6.0000	1.0499	1.0411
94	6.0000	1.0499	1.0411
95	6.0000	1.0499	1.0411
96	5.0000	0.8749	0.8676
97	6.0000	1.0499	1.0411
98	5.0000	0.8749	0.8676
99	6.0000	1.0499	1.0411
100	6.0000	1.0499	1.0411
101	6.0000	1.0499	1.0411
102	6.0000	1.0499	1.0411
103	6.0000	1.0499	1.0411
104	6.0000	1.0499	1.0411
105	5.0000	0.8749	0.8676
106	6.0000	1.0499	1.0411
107	6.0000	1.0499	1.0411
108	6.0000	1.0499	1.0411
109	6.0000	1.0499	1.0411
110	6.0000	1.0499	1.0411
111	6.0000	1.0499	1.0411
112	6.0000	1.0499	1.0411
113	6.0000	1.0499	1.0411
114	6.0000	1.0499	1.0411
115	6.0000	1.0499	1.0411
116	6.0000	1.0499	1.0411
117	6.0000	1.0499	1.0411
118	6.0000	1.0499	1.0411
119	6.0000	1.0499	1.0411
120	5.0000	0.8749	0.8676
121	6.0000	1.0499	1.0411
122	5.0000	0.8749	0.8676
123	6.0000	1.0499	1.0411
124	6.0000	1.0499	1.0411
125	6.0000	1.0499	1.0411
126	6.0000	1.0499	1.0411
127	5.0000	0.8749	0.8676
128	6.0000	1.0499	1.0411
129	6.0000	1.0499	1.0411
130	6.0000	1.0499	1.0411
131	6.0000	1.0499	1.0411
132	6.0000	1.0499	1.0411
133	6.0000	1.0499	1.0411
134	6.0000	1.0499	1.0411
135	6.0000	1.0499	1.0411
136	6.0000	1.0499	1.0411
137	5.0000	0.8749	0.8676
138	6.0000	1.0499	1.0411
139	5.0000	0.8749	0.8676
140	5.0000	0.8749	0.8676
141	5.0000	0.8749	0.8676
142	6.0000	1.0499	1.0411
143	6.0000	1.0499	1.0411
144	5.0000	0.8749	0.8676
145	5.0000	0.8749	0.8676
146	6.0000	1.0499	1.0411
147	5.0000	0.8749	0.8676
148	6.0000	1.0499	1.0411
149	6.0000	1.0499	1.0411
150	6.0000	1.0499	1.0411
151	6.0000	1.0499	1.0411
152	6.0000	1.0499	1.0411
153	6.0000	1.0499	1.0411
154	6.0000	1.0499	1.0411
155	6.0000	1.0499	1.0411
156	5.0000	0.8749	0.8676
157	6.0000	1.0499	1.0411
158	5.0000	0.8749	0.8676
159	5.0000	0.8749	0.8676
160	6.0000	1.0499	1.0411
161	6.0000	1.0499	1.0411
162	5.0000	0.8749	0.8676
163	6.0000	1.0499	1.0411
164	6.0000	1.0499	1.0411
165	5.0000	0.8749	0.8676
166	6.0000	1.0499	1.0411
167	6.0000	1.0499	1.0411
168	6.0000	1.0499	1.0411
169	6.0000	1.0499	1.0411
170	6.0000	1.0499	1.0411
171	6.0000	1.0499	1.0411
172	6.0000	1.0499	1.0411
173	6.0000	1.0499	1.0411
174	6.0000	1.0499	1.0411
175	5.0000	0.8749	0.8676
176	6.0000	1.0499	1.0411
177	6.0000	1.0499	1.0411
178	6.0000	1.0499	1.0411
179	6.0000	1.0499	1.0411
180	6.0000	1.0499	1.0411
181	6.0000	1.0499	1.0411
182	6.0000	1.0499	1.0411
183	6.0000	1.0499	1.0411
184	6.0000	1.0499	1.0411
185	6.0000	1.0499	1.0411
186	6.0000	1.0499	1.0411
187	6.0000	1.0499	1.0411
188	6.0000	1.0499	1.0411
189	6.0000	1.0499	1.0411
190	6.0000	1.0499	1.0411
191	5.0000	0.8749	0.8676
192	4.0000	0.6999	0.6941
193	6.0000	1.0499	1.0411
194	6.0000	1.0499	1.0411
195	6.0000	1.0499	1.0411
196	5.0000	0.8749	0.8676
197	6.0000	1.0499	1.0411
198	6.0000	1.0499	1.0411
199	6.0000	1.0499	1.0411
200	6.0000	1.0499	1.0411
201	6.0000	1.0499	1.0411
