Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	1.0000	1.4184	1.4514
2	1.0000	1.4184	1.4514
3	1.0000	1.4184	1.4514
4	1.0000	1.4184	1.4514
5	0.0000	0.0000	0.0000
6	1.0000	1.4184	1.4514
7	1.0000	1.4184	1.4514
8	1.0000	1.4184	1.4514
9	1.0000	1.4184	1.4514
10	1.0000	1.4184	1.4514
11	0.0000	0.0000	0.0000
12	1.0000	1.4184	1.4514
13	1.0000	1.4184	1.4514
14	1.0000	1.4184	1.4514
15	1.0000	1.4184	1.4514
16	1.0000	1.4184	1.4514
17	1.0000	1.4184	1.4514
18	1.0000	1.4184	1.4514
19	0.0000	0.0000	0.0000
20	0.0000	0.0000	0.0000
21	1.0000	1.4184	1.4514
22	0.0000	0.0000	0.0000
23	1.0000	1.4184	1.4514
24	0.0000	0.0000	0.0000
25	1.0000	1.4184	1.4514
26	1.0000	1.4184	1.4514
27	1.0000	1.4184	1.4514
28	1.0000	1.4184	1.4514
29	1.0000	1.4184	1.4514
30	0.0000	0.0000	0.0000
31	1.0000	1.4184	1.4514
32	1.0000	1.4184	1.4514
33	1.0000	1.4184	1.4514
34	1.0000	1.4184	1.4514
35	0.0000	0.0000	0.0000
36	0.0000	0.0000	0.0000
37	1.0000	1.4184	1.4514
38	1.0000	1.4184	1.4514
39	0.0000	0.0000	0.0000
40	0.0000	0.0000	0.0000
41	1.0000	1.4184	1.4514
42	0.0000	0.0000	0.0000
43	1.0000	1.4184	1.4514
44	0.0000	0.0000	0.0000
45	1.0000	1.4184	1.4514
46	1.0000	1.4184	1.4514
47	1.0000	1.4184	1.4514
48	0.0000	0.0000	0.0000
49	1.0000	1.4184	1.4514
50	0.0000	0.0000	0.0000
51	0.0000	0.0000	0.0000
52	1.0000	1.4184	1.4514
53	1.0000	1.4184	1.4514
54	1.0000	1.4184	1.4514
55	1.0000	1.4184	1.4514
56	1.0000	1.4184	1.4514
57	0.0000	0.0000	0.0000
58	1.0000	1.4184	1.4514
59	0.0000	0.0000	0.0000
60	0.0000	0.0000	0.0000
61	0.0000	0.0000	0.0000
62	0.0000	0.0000	0.0000
63	0.0000	0.0000	0.0000
64	1.0000	1.4184	1.4514
65	1.0000	1.4184	1.4514
66	1.0000	1.4184	1.4514
67	1.0000	1.4184	1.4514
68	0.0000	0.0000	0.0000
69	1.0000	1.4184	1.4514
70	1.0000	1.4184	1.4514
71	1.0000	1.4184	1.4514
72	1.0000	1.4184	1.4514
73	1.0000	1.4184	1.4514
74	0.0000	0.0000	0.0000
75	0.0000	0.0000	0.0000
76	1.0000	1.4184	1.4514
77	0.0000	0.0000	0.0000
78	1.0000	1.4184	1.4514
79	0.0000	0.0000	0.0000
80	1.0000	1.4184	1.4514
81	1.0000	1.4184	1.4514
82	1.0000	1.4184	1.4514
83	1.0000	1.4184	1.4514
84	0.0000	0.0000	0.0000
85	1.0000	1.4184	1.4514
86	0.0000	0.0000	0.0000
87	0.0000	0.0000	0.0000
88	0.0000	0.0000	0.0000
89	1.0000	1.4184	1.4514
90	1.0000	1.4184	1.4514
91	1.0000	1.4184	1.4514
92	1.0000	1.4184	1.4514
93	0.0000	0.0000	0.0000
94	1.0000	1.4184	1.4514
95	0.0000	0.0000	0.0000
96	1.0000	1.4184	1.4514
97	0.0000	0.0000	0.0000
98	1.0000	1.4184	1.4514
99	1.0000	1.4184	1.4514
100	0.0000	0.0000	0.0000
101	1.0000	1.4184	1.4514
102	0.0000	0.0000	0.0000
103	1.0000	1.4184	1.4514
104	1.0000	1.4184	1.4514
105	0.0000	0.0000	0.0000
106	1.0000	1.4184	1.4514
107	0.0000	0.0000	0.0000
108	1.0000	1.4184	1.4514
109	0.0000	0.0000	0.0000
110	0.0000	0.0000	0.0000
111	0.0000	0.0000	0.0000
112	0.0000	0.0000	0.0000
113	1.0000	1.4184	1.4514
114	1.0000	1.4184	1.4514
115	1.0000	1.4184	1.4514
116	1.0000	1.4184	1.4514
117	1.0000	1.4184	1.4514
118	0.0000	0.0000	0.0000
119	1.0000	1.4184	1.4514
120	1.0000	1.4184	1.4514
121	0.0000	0.0000	0.0000
122	0.0000	0.0000	0.0000
123	0.0000	0.0000	0.0000
124	1.0000	1.4184	1.4514
125	0.0000	0.0000	0.0000
126	0.0000	0.0000	0.0000
127	1.0000	1.4184	1.4514
128	1.0000	1.4184	1.4514
129	1.0000	1.4184	1.4514
130	0.0000	0.0000	0.0000
131	0.0000	0.0000	0.0000
132	1.0000	1.4184	1.4514
133	0.0000	0.0000	0.0000
134	1.0000	1.4184	1.4514
135	1.0000	1.4184	1.4514
136	1.0000	1.4184	1.4514
137	0.0000	0.0000	0.0000
138	1.0000	1.4184	1.4514
139	1.0000	1.4184	1.4514
140	0.0000	0.0000	0.0000
141	0.0000	0.0000	0.0000
142	1.0000	1.4184	1.4514
143	1.0000	1.4184	1.4514
144	1.0000	1.4184	1.4514
145	1.0000	1.4184	1.4514
146	1.0000	1.4184	1.4514
147	1.0000	1.4184	1.4514
148	0.0000	0.0000	0.0000
149	0.0000	0.0000	0.0000
150	1.0000	1.4184	1.4514
151	1.0000	1.4184	1.4514
152	1.0000	1.4184	1.4514
153	1.0000	1.4184	1.4514
154	0.0000	0.0000	0.0000
155	1.0000	1.4184	1.4514
156	0.0000	0.0000	0.0000
157	0.0000	0.0000	0.0000
158	0.0000	0.0000	0.0000
159	0.0000	0.0000	0.0000
160	1.0000	1.4184	1.4514
161	1.0000	1.4184	1.4514
162	1.0000	1.4184	1.4514
163	1.0000	1.4184	1.4514
164	1.0000	1.4184	1.4514
165	1.0000	1.4184	1.4514
166	0.0000	0.0000	0.0000
167	0.0000	0.0000	0.0000
168	1.0000	1.4184	1.4514
169	1.0000	1.4184	1.4514
170	1.0000	1.4184	1.4514
171	0.0000	0.0000	0.0000
172	1.0000	1.4184	1.4514
173	0.0000	0.0000	0.0000
174	1.0000	1.4184	1.4514
175	1.0000	1.4184	1.4514
176	1.0000	1.4184	1.4514
177	0.0000	0.0000	0.0000
178	1.0000	1.4184	1.4514
179	1.0000	1.4184	1.4514
180	1.0000	1.4184	1.4514
181	0.0000	0.0000	0.0000
182	1.0000	1.4184	1.4514
183	1.0000	1.4184	1.4514
184	1.0000	1.4184	1.4514
185	0.0000	0.0000	0.0000
186	1.0000	1.4184	1.4514
187	1.0000	1.4184	1.4514
188	1.0000	1.4184	1.4514
189	1.0000	1.4184	1.4514
190	1.0000	1.4184	1.4514
191	0.0000	0.0000	0.0000
192	1.0000	1.4184	1.4514
193	1.0000	1.4184	1.4514
194	1.0000	1.4184	1.4514
195	0.0000	0.0000	0.0000
196	1.0000	1.4184	1.4514
197	1.0000	1.4184	1.4514
198	1.0000	1.4184	1.4514
199	0.0000	0.0000	0.0000
200	1.0000	1.4184	1.4514
201	1.0000	1.4184	1.4514
202	1.0000	1.4184	1.4514
203	0.0000	0.0000	0.0000
204	1.0000	1.4184	1.4514
205	1.0000	1.4184	1.4514
206	1.0000	1.4184	1.4514
207	1.0000	1.4184	1.4514
208	0.0000	0.0000	0.0000
209	0.0000	0.0000	0.0000
210	1.0000	1.4184	1.4514
211	1.0000	1.4184	1.4514
212	1.0000	1.4184	1.4514
213	1.0000	1.4184	1.4514
214	1.0000	1.4184	1.4514
215	1.0000	1.4184	1.4514
216	1.0000	1.4184	1.4514
217	0.0000	0.0000	0.0000
218	0.0000	0.0000	0.0000
219	0.0000	0.0000	0.0000
220	0.0000	0.0000	0.0000
221	1.0000	1.4184	1.4514
222	0.0000	0.0000	0.0000
223	1.0000	1.4184	1.4514
224	1.0000	1.4184	1.4514
225	0.0000	0.0000	0.0000
226	1.0000	1.4184	1.4514
227	0.0000	0.0000	0.0000
228	0.0000	0.0000	0.0000
229	0.0000	0.0000	0.0000
230	0.0000	0.0000	0.0000
231	0.0000	0.0000	0.0000
232	0.0000	0.0000	0.0000
233	0.0000	0.0000	0.0000
234	1.0000	1.4184	1.4514
235	0.0000	0.0000	0.0000
236	1.0000	1.4184	1.4514
237	0.0000	0.0000	0.0000
238	1.0000	1.4184	1.4514
239	1.0000	1.4184	1.4514
240	1.0000	1.4184	1.4514
241	1.0000	1.4184	1.4514
242	0.0000	0.0000	0.0000
243	0.0000	0.0000	0.0000
244	0.0000	0.0000	0.0000
245	1.0000	1.4184	1.4514
246	0.0000	0.0000	0.0000
247	1.0000	1.4184	1.4514
248	1.0000	1.4184	1.4514
249	1.0000	1.4184	1.4514
250	0.0000	0.0000	0.0000
251	1.0000	1.4184	1.4514
252	1.0000	1.4184	1.4514
253	1.0000	1.4184	1.4514
254	1.0000	1.4184	1.4514
255	0.0000	0.0000	0.0000
256	1.0000	1.4184	1.4514
257	0.0000	0.0000	0.0000
258	1.0000	1.4184	1.4514
259	1.0000	1.4184	1.4514
260	1.0000	1.4184	1.4514
261	1.0000	1.4184	1.4514
262	0.0000	0.0000	0.0000
263	1.0000	1.4184	1.4514
264	1.0000	1.4184	1.4514
265	1.0000	1.4184	1.4514
266	1.0000	1.4184	1.4514
267	0.0000	0.0000	0.0000
268	1.0000	1.4184	1.4514
269	0.0000	0.0000	0.0000
270	1.0000	1.4184	1.4514
271	1.0000	1.4184	1.4514
272	1.0000	1.4184	1.4514
273	1.0000	1.4184	1.4514
274	1.0000	1.4184	1.4514
275	1.0000	1.4184	1.4514
276	1.0000	1.4184	1.4514
277	1.0000	1.4184	1.4514
278	1.0000	1.4184	1.4514
279	1.0000	1.4184	1.4514
280	0.0000	0.0000	0.0000
281	1.0000	1.4184	1.4514
282	1.0000	1.4184	1.4514
283	1.0000	1.4184	1.4514
284	1.0000	1.4184	1.4514
285	1.0000	1.4184	1.4514
286	1.0000	1.4184	1.4514
287	0.0000	0.0000	0.0000
288	0.0000	0.0000	0.0000
289	1.0000	1.4184	1.4514
290	1.0000	1.4184	1.4514
291	0.0000	0.0000	0.0000
292	1.0000	1.4184	1.4514
293	0.0000	0.0000	0.0000
294	1.0000	1.4184	1.4514
295	0.0000	0.0000	0.0000
296	0.0000	0.0000	0.0000
297	1.0000	1.4184	1.4514
298	1.0000	1.4184	1.4514
299	1.0000	1.4184	1.4514
300	0.0000	0.0000	0.0000
301	1.0000	1.4184	1.4514
302	0.0000	0.0000	0.0000
303	1.0000	1.4184	1.4514
304	0.0000	0.0000	0.0000
305	0.0000	0.0000	0.0000
306	1.0000	1.4184	1.4514
307	1.0000	1.4184	1.4514
308	1.0000	1.4184	1.4514
309	0.0000	0.0000	0.0000
310	1.0000	1.4184	1.4514
311	0.0000	0.0000	0.0000
312	1.0000	1.4184	1.4514
313	1.0000	1.4184	1.4514
314	1.0000	1.4184	1.4514
315	1.0000	1.4184	1.4514
316	1.0000	1.4184	1.4514
317	0.0000	0.0000	0.0000
318	1.0000	1.4184	1.4514
319	1.0000	1.4184	1.4514
320	1.0000	1.4184	1.4514
321	1.0000	1.4184	1.4514
322	1.0000	1.4184	1.4514
323	1.0000	1.4184	1.4514
324	1.0000	1.4184	1.4514
325	1.0000	1.4184	1.4514
326	0.0000	0.0000	0.0000
327	1.0000	1.4184	1.4514
328	1.0000	1.4184	1.4514
329	0.0000	0.0000	0.0000
330	0.0000	0.0000	0.0000
331	0.0000	0.0000	0.0000
332	1.0000	1.4184	1.4514
333	1.0000	1.4184	1.4514
334	1.0000	1.4184	1.4514
335	1.0000	1.4184	1.4514
336	1.0000	1.4184	1.4514
337	1.0000	1.4184	1.4514
338	1.0000	1.4184	1.4514
339	1.0000	1.4184	1.4514
340	1.0000	1.4184	1.4514
341	1.0000	1.4184	1.4514
342	1.0000	1.4184	1.4514
343	1.0000	1.4184	1.4514
344	0.0000	0.0000	0.0000
345	1.0000	1.4184	1.4514
346	1.0000	1.4184	1.4514
347	1.0000	1.4184	1.4514
348	1.0000	1.4184	1.4514
349	1.0000	1.4184	1.4514
350	0.0000	0.0000	0.0000
351	1.0000	1.4184	1.4514
352	1.0000	1.4184	1.4514
353	1.0000	1.4184	1.4514
354	0.0000	0.0000	0.0000
355	1.0000	1.4184	1.4514
356	1.0000	1.4184	1.4514
357	1.0000	1.4184	1.4514
358	1.0000	1.4184	1.4514
359	1.0000	1.4184	1.4514
360	1.0000	1.4184	1.4514
361	1.0000	1.4184	1.4514
362	1.0000	1.4184	1.4514
363	1.0000	1.4184	1.4514
364	1.0000	1.4184	1.4514
365	1.0000	1.4184	1.4514
366	1.0000	1.4184	1.4514
367	1.0000	1.4184	1.4514
368	0.0000	0.0000	0.0000
369	0.0000	0.0000	0.0000
370	1.0000	1.4184	1.4514
371	1.0000	1.4184	1.4514
372	1.0000	1.4184	1.4514
373	1.0000	1.4184	1.4514
374	0.0000	0.0000	0.0000
375	0.0000	0.0000	0.0000
376	0.0000	0.0000	0.0000
377	1.0000	1.4184	1.4514
378	0.0000	0.0000	0.0000
379	1.0000	1.4184	1.4514
380	1.0000	1.4184	1.4514
381	1.0000	1.4184	1.4514
382	0.0000	0.0000	0.0000
383	1.0000	1.4184	1.4514
384	0.0000	0.0000	0.0000
385	0.0000	0.0000	0.0000
386	0.0000	0.0000	0.0000
387	0.0000	0.0000	0.0000
388	0.0000	0.0000	0.0000
389	1.0000	1.4184	1.4514
390	0.0000	0.0000	0.0000
391	1.0000	1.4184	1.4514
392	1.0000	1.4184	1.4514
393	0.0000	0.0000	0.0000
394	1.0000	1.4184	1.4514
395	1.0000	1.4184	1.4514
396	0.0000	0.0000	0.0000
397	1.0000	1.4184	1.4514
398	1.0000	1.4184	1.4514
399	0.0000	0.0000	0.0000
400	1.0000	1.4184	1.4514
401	1.0000	1.4184	1.4514
402	1.0000	1.4184	1.4514
403	1.0000	1.4184	1.4514
404	1.0000	1.4184	1.4514
405	1.0000	1.4184	1.4514
406	1.0000	1.4184	1.4514
407	1.0000	1.4184	1.4514
408	1.0000	1.4184	1.4514
409	1.0000	1.4184	1.4514
410	1.0000	1.4184	1.4514
411	0.0000	0.0000	0.0000
412	1.0000	1.4184	1.4514
413	0.0000	0.0000	0.0000
414	0.0000	0.0000	0.0000
415	1.0000	1.4184	1.4514
416	0.0000	0.0000	0.0000
417	1.0000	1.4184	1.4514
418	0.0000	0.0000	0.0000
419	0.0000	0.0000	0.0000
420	1.0000	1.4184	1.4514
421	1.0000	1.4184	1.4514
422	1.0000	1.4184	1.4514
423	1.0000	1.4184	1.4514
424	1.0000	1.4184	1.4514
425	0.0000	0.0000	0.0000
426	1.0000	1.4184	1.4514
427	1.0000	1.4184	1.4514
428	0.0000	0.0000	0.0000
429	1.0000	1.4184	1.4514
430	1.0000	1.4184	1.4514
431	1.0000	1.4184	1.4514
432	0.0000	0.0000	0.0000
433	0.0000	0.0000	0.0000
434	1.0000	1.4184	1.4514
435	0.0000	0.0000	0.0000
436	1.0000	1.4184	1.4514
437	1.0000	1.4184	1.4514
438	0.0000	0.0000	0.0000
439	1.0000	1.4184	1.4514
440	1.0000	1.4184	1.4514
441	1.0000	1.4184	1.4514
442	0.0000	0.0000	0.0000
443	0.0000	0.0000	0.0000
444	1.0000	1.4184	1.4514
445	1.0000	1.4184	1.4514
446	1.0000	1.4184	1.4514
447	1.0000	1.4184	1.4514
448	1.0000	1.4184	1.4514
449	0.0000	0.0000	0.0000
450	1.0000	1.4184	1.4514
451	1.0000	1.4184	1.4514
452	1.0000	1.4184	1.4514
453	1.0000	1.4184	1.4514
454	1.0000	1.4184	1.4514
455	0.0000	0.0000	0.0000
456	1.0000	1.4184	1.4514
457	0.0000	0.0000	0.0000
458	0.0000	0.0000	0.0000
459	1.0000	1.4184	1.4514
460	1.0000	1.4184	1.4514
461	1.0000	1.4184	1.4514
462	1.0000	1.4184	1.4514
463	1.0000	1.4184	1.4514
464	1.0000	1.4184	1.4514
465	1.0000	1.4184	1.4514
466	1.0000	1.4184	1.4514
467	1.0000	1.4184	1.4514
468	0.0000	0.0000	0.0000
469	1.0000	1.4184	1.4514
470	0.0000	0.0000	0.0000
471	0.0000	0.0000	0.0000
472	0.0000	0.0000	0.0000
473	1.0000	1.4184	1.4514
474	1.0000	1.4184	1.4514
475	0.0000	0.0000	0.0000
476	1.0000	1.4184	1.4514
477	1.0000	1.4184	1.4514
478	1.0000	1.4184	1.4514
479	1.0000	1.4184	1.4514
480	1.0000	1.4184	1.4514
481	1.0000	1.4184	1.4514
482	1.0000	1.4184	1.4514
483	1.0000	1.4184	1.4514
484	1.0000	1.4184	1.4514
485	0.0000	0.0000	0.0000
486	0.0000	0.0000	0.0000
487	1.0000	1.4184	1.4514
488	1.0000	1.4184	1.4514
489	0.0000	0.0000	0.0000
490	1.0000	1.4184	1.4514
491	1.0000	1.4184	1.4514
492	0.0000	0.0000	0.0000
493	1.0000	1.4184	1.4514
494	1.0000	1.4184	1.4514
495	1.0000	1.4184	1.4514
496	0.0000	0.0000	0.0000
497	1.0000	1.4184	1.4514
498	0.0000	0.0000	0.0000
499	0.0000	0.0000	0.0000
500	1.0000	1.4184	1.4514
501	0.0000	0.0000	0.0000
502	1.0000	1.4184	1.4514
503	1.0000	1.4184	1.4514
504	1.0000	1.4184	1.4514
505	1.0000	1.4184	1.4514
506	1.0000	1.4184	1.4514
507	1.0000	1.4184	1.4514
508	0.0000	0.0000	0.0000
509	1.0000	1.4184	1.4514
510	0.0000	0.0000	0.0000
511	0.0000	0.0000	0.0000
512	1.0000	1.4184	1.4514
513	1.0000	1.4184	1.4514
514	1.0000	1.4184	1.4514
515	1.0000	1.4184	1.4514
516	0.0000	0.0000	0.0000
517	0.0000	0.0000	0.0000
518	1.0000	1.4184	1.4514
519	1.0000	1.4184	1.4514
520	1.0000	1.4184	1.4514
521	1.0000	1.4184	1.4514
522	1.0000	1.4184	1.4514
523	0.0000	0.0000	0.0000
524	1.0000	1.4184	1.4514
525	1.0000	1.4184	1.4514
526	0.0000	0.0000	0.0000
527	1.0000	1.4184	1.4514
528	1.0000	1.4184	1.4514
529	1.0000	1.4184	1.4514
530	0.0000	0.0000	0.0000
531	0.0000	0.0000	0.0000
532	0.0000	0.0000	0.0000
533	1.0000	1.4184	1.4514
534	1.0000	1.4184	1.4514
535	1.0000	1.4184	1.4514
536	0.0000	0.0000	0.0000
537	1.0000	1.4184	1.4514
538	1.0000	1.4184	1.4514
539	1.0000	1.4184	1.4514
540	1.0000	1.4184	1.4514
541	1.0000	1.4184	1.4514
542	0.0000	0.0000	0.0000
543	0.0000	0.0000	0.0000
544	1.0000	1.4184	1.4514
545	1.0000	1.4184	1.4514
546	0.0000	0.0000	0.0000
547	1.0000	1.4184	1.4514
548	1.0000	1.4184	1.4514
549	1.0000	1.4184	1.4514
550	0.0000	0.0000	0.0000
551	1.0000	1.4184	1.4514
552	0.0000	0.0000	0.0000
553	1.0000	1.4184	1.4514
554	1.0000	1.4184	1.4514
555	1.0000	1.4184	1.4514
556	1.0000	1.4184	1.4514
557	1.0000	1.4184	1.4514
558	1.0000	1.4184	1.4514
559	1.0000	1.4184	1.4514
560	1.0000	1.4184	1.4514
561	1.0000	1.4184	1.4514
