Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	2.0000	1.4184	1.4514
2	2.0000	1.4184	1.4514
3	2.0000	1.4184	1.4514
4	2.0000	1.4184	1.4514
5	0.0000	0.0000	0.0000
6	2.0000	1.4184	1.4514
7	2.0000	1.4184	1.4514
8	2.0000	1.4184	1.4514
9	2.0000	1.4184	1.4514
10	2.0000	1.4184	1.4514
11	0.0000	0.0000	0.0000
12	2.0000	1.4184	1.4514
13	2.0000	1.4184	1.4514
14	2.0000	1.4184	1.4514
15	2.0000	1.4184	1.4514
16	2.0000	1.4184	1.4514
17	2.0000	1.4184	1.4514
18	2.0000	1.4184	1.4514
19	0.0000	0.0000	0.0000
20	0.0000	0.0000	0.0000
21	2.0000	1.4184	1.4514
22	0.0000	0.0000	0.0000
23	2.0000	1.4184	1.4514
24	0.0000	0.0000	0.0000
25	2.0000	1.4184	1.4514
26	2.0000	1.4184	1.4514
27	2.0000	1.4184	1.4514
28	2.0000	1.4184	1.4514
29	2.0000	1.4184	1.4514
30	0.0000	0.0000	0.0000
31	2.0000	1.4184	1.4514
32	2.0000	1.4184	1.4514
33	2.0000	1.4184	1.4514
34	2.0000	1.4184	1.4514
35	0.0000	0.0000	0.0000
36	0.0000	0.0000	0.0000
37	2.0000	1.4184	1.4514
38	2.0000	1.4184	1.4514
39	0.0000	0.0000	0.0000
40	0.0000	0.0000	0.0000
41	2.0000	1.4184	1.4514
42	0.0000	0.0000	0.0000
43	2.0000	1.4184	1.4514
44	0.0000	0.0000	0.0000
45	2.0000	1.4184	1.4514
46	2.0000	1.4184	1.4514
47	2.0000	1.4184	1.4514
48	0.0000	0.0000	0.0000
49	2.0000	1.4184	1.4514
50	0.0000	0.0000	0.0000
51	0.0000	0.0000	0.0000
52	2.0000	1.4184	1.4514
53	2.0000	1.4184	1.4514
54	2.0000	1.4184	1.4514
55	2.0000	1.4184	1.4514
56	2.0000	1.4184	1.4514
57	0.0000	0.0000	0.0000
58	2.0000	1.4184	1.4514
59	0.0000	0.0000	0.0000
60	0.0000	0.0000	0.0000
61	0.0000	0.0000	0.0000
62	0.0000	0.0000	0.0000
63	0.0000	0.0000	0.0000
64	2.0000	1.4184	1.4514
65	2.0000	1.4184	1.4514
66	2.0000	1.4184	1.4514
67	2.0000	1.4184	1.4514
68	0.0000	0.0000	0.0000
69	2.0000	1.4184	1.4514
70	2.0000	1.4184	1.4514
71	2.0000	1.4184	1.4514
72	2.0000	1.4184	1.4514
73	2.0000	1.4184	1.4514
74	0.0000	0.0000	0.0000
75	0.0000	0.0000	0.0000
76	2.0000	1.4184	1.4514
77	0.0000	0.0000	0.0000
78	2.0000	1.4184	1.4514
79	0.0000	0.0000	0.0000
80	2.0000	1.4184	1.4514
81	2.0000	1.4184	1.4514
82	2.0000	1.4184	1.4514
83	2.0000	1.4184	1.4514
84	0.0000	0.0000	0.0000
85	2.0000	1.4184	1.4514
86	0.0000	0.0000	0.0000
87	0.0000	0.0000	0.0000
88	0.0000	0.0000	0.0000
89	2.0000	1.4184	1.4514
90	2.0000	1.4184	1.4514
91	2.0000	1.4184	1.4514
92	2.0000	1.4184	1.4514
93	0.0000	0.0000	0.0000
94	2.0000	1.4184	1.4514
95	0.0000	0.0000	0.0000
96	2.0000	1.4184	1.4514
97	0.0000	0.0000	0.0000
98	2.0000	1.4184	1.4514
99	2.0000	1.4184	1.4514
100	0.0000	0.0000	0.0000
101	2.0000	1.4184	1.4514
102	0.0000	0.0000	0.0000
103	2.0000	1.4184	1.4514
104	2.0000	1.4184	1.4514
105	0.0000	0.0000	0.0000
106	2.0000	1.4184	1.4514
107	0.0000	0.0000	0.0000
108	2.0000	1.4184	1.4514
109	0.0000	0.0000	0.0000
110	0.0000	0.0000	0.0000
111	0.0000	0.0000	0.0000
112	0.0000	0.0000	0.0000
113	2.0000	1.4184	1.4514
114	2.0000	1.4184	1.4514
115	2.0000	1.4184	1.4514
116	2.0000	1.4184	1.4514
117	2.0000	1.4184	1.4514
118	0.0000	0.0000	0.0000
119	2.0000	1.4184	1.4514
120	2.0000	1.4184	1.4514
121	0.0000	0.0000	0.0000
122	0.0000	0.0000	0.0000
123	0.0000	0.0000	0.0000
124	2.0000	1.4184	1.4514
125	0.0000	0.0000	0.0000
126	0.0000	0.0000	0.0000
127	2.0000	1.4184	1.4514
128	2.0000	1.4184	1.4514
129	2.0000	1.4184	1.4514
130	0.0000	0.0000	0.0000
131	0.0000	0.0000	0.0000
132	2.0000	1.4184	1.4514
133	0.0000	0.0000	0.0000
134	2.0000	1.4184	1.4514
135	2.0000	1.4184	1.4514
136	2.0000	1.4184	1.4514
137	0.0000	0.0000	0.0000
138	2.0000	1.4184	1.4514
139	2.0000	1.4184	1.4514
140	0.0000	0.0000	0.0000
141	0.0000	0.0000	0.0000
142	2.0000	1.4184	1.4514
143	2.0000	1.4184	1.4514
144	2.0000	1.4184	1.4514
145	2.0000	1.4184	1.4514
146	2.0000	1.4184	1.4514
147	2.0000	1.4184	1.4514
148	0.0000	0.0000	0.0000
149	0.0000	0.0000	0.0000
150	2.0000	1.4184	1.4514
151	2.0000	1.4184	1.4514
152	2.0000	1.4184	1.4514
153	2.0000	1.4184	1.4514
154	0.0000	0.0000	0.0000
155	2.0000	1.4184	1.4514
156	0.0000	0.0000	0.0000
157	0.0000	0.0000	0.0000
158	0.0000	0.0000	0.0000
159	0.0000	0.0000	0.0000
160	2.0000	1.4184	1.4514
161	2.0000	1.4184	1.4514
162	2.0000	1.4184	1.4514
163	2.0000	1.4184	1.4514
164	2.0000	1.4184	1.4514
165	2.0000	1.4184	1.4514
166	0.0000	0.0000	0.0000
167	0.0000	0.0000	0.0000
168	2.0000	1.4184	1.4514
169	2.0000	1.4184	1.4514
170	2.0000	1.4184	1.4514
171	0.0000	0.0000	0.0000
172	2.0000	1.4184	1.4514
173	0.0000	0.0000	0.0000
174	2.0000	1.4184	1.4514
175	2.0000	1.4184	1.4514
176	2.0000	1.4184	1.4514
177	0.0000	0.0000	0.0000
178	2.0000	1.4184	1.4514
179	2.0000	1.4184	1.4514
180	2.0000	1.4184	1.4514
181	0.0000	0.0000	0.0000
182	2.0000	1.4184	1.4514
183	2.0000	1.4184	1.4514
184	2.0000	1.4184	1.4514
185	0.0000	0.0000	0.0000
186	2.0000	1.4184	1.4514
187	2.0000	1.4184	1.4514
188	2.0000	1.4184	1.4514
189	2.0000	1.4184	1.4514
190	2.0000	1.4184	1.4514
191	0.0000	0.0000	0.0000
192	2.0000	1.4184	1.4514
193	2.0000	1.4184	1.4514
194	2.0000	1.4184	1.4514
195	0.0000	0.0000	0.0000
196	2.0000	1.4184	1.4514
197	2.0000	1.4184	1.4514
198	2.0000	1.4184	1.4514
199	0.0000	0.0000	0.0000
200	2.0000	1.4184	1.4514
201	2.0000	1.4184	1.4514
202	2.0000	1.4184	1.4514
203	0.0000	0.0000	0.0000
204	2.0000	1.4184	1.4514
205	2.0000	1.4184	1.4514
206	2.0000	1.4184	1.4514
207	2.0000	1.4184	1.4514
208	0.0000	0.0000	0.0000
209	0.0000	0.0000	0.0000
210	2.0000	1.4184	1.4514
211	2.0000	1.4184	1.4514
212	2.0000	1.4184	1.4514
213	2.0000	1.4184	1.4514
214	2.0000	1.4184	1.4514
215	2.0000	1.4184	1.4514
216	2.0000	1.4184	1.4514
217	0.0000	0.0000	0.0000
218	0.0000	0.0000	0.0000
219	0.0000	0.0000	0.0000
220	0.0000	0.0000	0.0000
221	2.0000	1.4184	1.4514
222	0.0000	0.0000	0.0000
223	2.0000	1.4184	1.4514
224	2.0000	1.4184	1.4514
225	0.0000	0.0000	0.0000
226	2.0000	1.4184	1.4514
227	0.0000	0.0000	0.0000
228	0.0000	0.0000	0.0000
229	0.0000	0.0000	0.0000
230	0.0000	0.0000	0.0000
231	0.0000	0.0000	0.0000
232	0.0000	0.0000	0.0000
233	0.0000	0.0000	0.0000
234	2.0000	1.4184	1.4514
235	0.0000	0.0000	0.0000
236	2.0000	1.4184	1.4514
237	0.0000	0.0000	0.0000
238	2.0000	1.4184	1.4514
239	2.0000	1.4184	1.4514
240	2.0000	1.4184	1.4514
