Tree	R-F_Cluster	R-F_Cluster_toYuleAvg	R-F_Cluster_toUnifAvg
1	2.0000	1.2369	1.2315
2	2.0000	1.2369	1.2315
3	1.0000	0.6184	0.6158
4	1.0000	0.6184	0.6158
5	2.0000	1.2369	1.2315
6	2.0000	1.2369	1.2315
7	2.0000	1.2369	1.2315
8	2.0000	1.2369	1.2315
9	2.0000	1.2369	1.2315
10	1.0000	0.6184	0.6158
11	2.0000	1.2369	1.2315
12	2.0000	1.2369	1.2315
13	2.0000	1.2369	1.2315
14	2.0000	1.2369	1.2315
15	2.0000	1.2369	1.2315
16	2.0000	1.2369	1.2315
17	2.0000	1.2369	1.2315
18	2.0000	1.2369	1.2315
19	1.0000	0.6184	0.6158
20	1.0000	0.6184	0.6158
21	2.0000	1.2369	1.2315
22	1.0000	0.6184	0.6158
23	2.0000	1.2369	1.2315
24	0.0000	0.0000	0.0000
25	2.0000	1.2369	1.2315
26	2.0000	1.2369	1.2315
27	2.0000	1.2369	1.2315
28	1.0000	0.6184	0.6158
29	1.0000	0.6184	0.6158
30	1.0000	0.6184	0.6158
31	2.0000	1.2369	1.2315
32	2.0000	1.2369	1.2315
33	2.0000	1.2369	1.2315
34	2.0000	1.2369	1.2315
35	2.0000	1.2369	1.2315
36	1.0000	0.6184	0.6158
37	2.0000	1.2369	1.2315
38	2.0000	1.2369	1.2315
39	1.0000	0.6184	0.6158
40	2.0000	1.2369	1.2315
41	2.0000	1.2369	1.2315
42	1.0000	0.6184	0.6158
43	2.0000	1.2369	1.2315
44	1.0000	0.6184	0.6158
45	2.0000	1.2369	1.2315
46	2.0000	1.2369	1.2315
47	2.0000	1.2369	1.2315
48	0.0000	0.0000	0.0000
49	2.0000	1.2369	1.2315
50	2.0000	1.2369	1.2315
51	1.0000	0.6184	0.6158
52	2.0000	1.2369	1.2315
53	2.0000	1.2369	1.2315
54	1.0000	0.6184	0.6158
55	2.0000	1.2369	1.2315
56	1.0000	0.6184	0.6158
57	1.0000	0.6184	0.6158
58	1.0000	0.6184	0.6158
59	1.0000	0.6184	0.6158
60	1.0000	0.6184	0.6158
61	2.0000	1.2369	1.2315
62	1.0000	0.6184	0.6158
63	1.0000	0.6184	0.6158
64	2.0000	1.2369	1.2315
65	2.0000	1.2369	1.2315
66	2.0000	1.2369	1.2315
67	2.0000	1.2369	1.2315
68	1.0000	0.6184	0.6158
69	1.0000	0.6184	0.6158
70	2.0000	1.2369	1.2315
71	2.0000	1.2369	1.2315
72	2.0000	1.2369	1.2315
73	2.0000	1.2369	1.2315
74	2.0000	1.2369	1.2315
75	0.0000	0.0000	0.0000
76	2.0000	1.2369	1.2315
77	1.0000	0.6184	0.6158
78	2.0000	1.2369	1.2315
79	1.0000	0.6184	0.6158
80	2.0000	1.2369	1.2315
81	2.0000	1.2369	1.2315
82	2.0000	1.2369	1.2315
83	1.0000	0.6184	0.6158
84	1.0000	0.6184	0.6158
85	2.0000	1.2369	1.2315
86	0.0000	0.0000	0.0000
87	1.0000	0.6184	0.6158
88	1.0000	0.6184	0.6158
89	2.0000	1.2369	1.2315
90	2.0000	1.2369	1.2315
91	2.0000	1.2369	1.2315
92	2.0000	1.2369	1.2315
93	2.0000	1.2369	1.2315
94	2.0000	1.2369	1.2315
95	2.0000	1.2369	1.2315
96	2.0000	1.2369	1.2315
97	1.0000	0.6184	0.6158
98	2.0000	1.2369	1.2315
99	2.0000	1.2369	1.2315
100	1.0000	0.6184	0.6158
101	2.0000	1.2369	1.2315
102	1.0000	0.6184	0.6158
103	2.0000	1.2369	1.2315
104	2.0000	1.2369	1.2315
105	1.0000	0.6184	0.6158
106	2.0000	1.2369	1.2315
107	1.0000	0.6184	0.6158
108	2.0000	1.2369	1.2315
109	1.0000	0.6184	0.6158
110	2.0000	1.2369	1.2315
111	1.0000	0.6184	0.6158
112	1.0000	0.6184	0.6158
113	2.0000	1.2369	1.2315
114	2.0000	1.2369	1.2315
115	2.0000	1.2369	1.2315
116	2.0000	1.2369	1.2315
117	2.0000	1.2369	1.2315
118	2.0000	1.2369	1.2315
119	2.0000	1.2369	1.2315
120	2.0000	1.2369	1.2315
121	1.0000	0.6184	0.6158
122	1.0000	0.6184	0.6158
123	1.0000	0.6184	0.6158
124	2.0000	1.2369	1.2315
125	1.0000	0.6184	0.6158
126	0.0000	0.0000	0.0000
127	2.0000	1.2369	1.2315
128	2.0000	1.2369	1.2315
129	2.0000	1.2369	1.2315
130	1.0000	0.6184	0.6158
131	0.0000	0.0000	0.0000
132	2.0000	1.2369	1.2315
133	1.0000	0.6184	0.6158
134	2.0000	1.2369	1.2315
135	2.0000	1.2369	1.2315
136	2.0000	1.2369	1.2315
137	1.0000	0.6184	0.6158
138	1.0000	0.6184	0.6158
139	2.0000	1.2369	1.2315
140	2.0000	1.2369	1.2315
141	2.0000	1.2369	1.2315
142	2.0000	1.2369	1.2315
143	2.0000	1.2369	1.2315
144	2.0000	1.2369	1.2315
145	2.0000	1.2369	1.2315
146	2.0000	1.2369	1.2315
147	2.0000	1.2369	1.2315
148	1.0000	0.6184	0.6158
149	0.0000	0.0000	0.0000
150	2.0000	1.2369	1.2315
151	2.0000	1.2369	1.2315
152	2.0000	1.2369	1.2315
153	2.0000	1.2369	1.2315
154	2.0000	1.2369	1.2315
155	2.0000	1.2369	1.2315
156	2.0000	1.2369	1.2315
157	1.0000	0.6184	0.6158
158	1.0000	0.6184	0.6158
159	1.0000	0.6184	0.6158
160	2.0000	1.2369	1.2315
161	2.0000	1.2369	1.2315
162	1.0000	0.6184	0.6158
163	2.0000	1.2369	1.2315
164	2.0000	1.2369	1.2315
165	2.0000	1.2369	1.2315
166	0.0000	0.0000	0.0000
167	0.0000	0.0000	0.0000
168	2.0000	1.2369	1.2315
169	2.0000	1.2369	1.2315
170	2.0000	1.2369	1.2315
171	1.0000	0.6184	0.6158
172	2.0000	1.2369	1.2315
173	2.0000	1.2369	1.2315
174	2.0000	1.2369	1.2315
175	2.0000	1.2369	1.2315
176	2.0000	1.2369	1.2315
177	0.0000	0.0000	0.0000
178	1.0000	0.6184	0.6158
179	2.0000	1.2369	1.2315
180	2.0000	1.2369	1.2315
181	1.0000	0.6184	0.6158
182	2.0000	1.2369	1.2315
183	2.0000	1.2369	1.2315
184	2.0000	1.2369	1.2315
185	2.0000	1.2369	1.2315
186	2.0000	1.2369	1.2315
187	2.0000	1.2369	1.2315
188	2.0000	1.2369	1.2315
189	2.0000	1.2369	1.2315
190	2.0000	1.2369	1.2315
191	2.0000	1.2369	1.2315
192	2.0000	1.2369	1.2315
193	2.0000	1.2369	1.2315
194	1.0000	0.6184	0.6158
195	1.0000	0.6184	0.6158
196	2.0000	1.2369	1.2315
197	2.0000	1.2369	1.2315
198	2.0000	1.2369	1.2315
199	2.0000	1.2369	1.2315
200	2.0000	1.2369	1.2315
201	2.0000	1.2369	1.2315
202	2.0000	1.2369	1.2315
203	1.0000	0.6184	0.6158
204	2.0000	1.2369	1.2315
205	2.0000	1.2369	1.2315
206	2.0000	1.2369	1.2315
207	2.0000	1.2369	1.2315
