Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	4.0000	1.2085	1.1817
2	3.0000	0.9063	0.8863
3	2.0000	0.6042	0.5908
4	2.0000	0.6042	0.5908
5	6.0000	1.8127	1.7725
6	3.0000	0.9063	0.8863
7	3.0000	0.9063	0.8863
8	4.0000	1.2085	1.1817
9	3.0000	0.9063	0.8863
10	2.0000	0.6042	0.5908
11	6.0000	1.8127	1.7725
12	3.0000	0.9063	0.8863
13	4.0000	1.2085	1.1817
14	3.0000	0.9063	0.8863
15	4.0000	1.2085	1.1817
16	3.0000	0.9063	0.8863
17	3.0000	0.9063	0.8863
18	4.0000	1.2085	1.1817
19	2.0000	0.6042	0.5908
20	3.0000	0.9063	0.8863
21	3.0000	0.9063	0.8863
22	3.0000	0.9063	0.8863
23	4.0000	1.2085	1.1817
24	0.0000	0.0000	0.0000
25	3.0000	0.9063	0.8863
26	4.0000	1.2085	1.1817
27	3.0000	0.9063	0.8863
28	2.0000	0.6042	0.5908
29	2.0000	0.6042	0.5908
30	3.0000	0.9063	0.8863
31	3.0000	0.9063	0.8863
32	3.0000	0.9063	0.8863
33	3.0000	0.9063	0.8863
34	4.0000	1.2085	1.1817
35	6.0000	1.8127	1.7725
36	3.0000	0.9063	0.8863
37	3.0000	0.9063	0.8863
38	4.0000	1.2085	1.1817
39	3.0000	0.9063	0.8863
40	6.0000	1.8127	1.7725
41	3.0000	0.9063	0.8863
42	3.0000	0.9063	0.8863
43	3.0000	0.9063	0.8863
44	3.0000	0.9063	0.8863
45	3.0000	0.9063	0.8863
46	4.0000	1.2085	1.1817
47	3.0000	0.9063	0.8863
48	0.0000	0.0000	0.0000
49	3.0000	0.9063	0.8863
50	6.0000	1.8127	1.7725
51	3.0000	0.9063	0.8863
52	4.0000	1.2085	1.1817
53	4.0000	1.2085	1.1817
54	2.0000	0.6042	0.5908
55	4.0000	1.2085	1.1817
56	2.0000	0.6042	0.5908
57	3.0000	0.9063	0.8863
58	2.0000	0.6042	0.5908
59	2.0000	0.6042	0.5908
60	3.0000	0.9063	0.8863
61	6.0000	1.8127	1.7725
62	3.0000	0.9063	0.8863
63	3.0000	0.9063	0.8863
64	3.0000	0.9063	0.8863
65	3.0000	0.9063	0.8863
66	3.0000	0.9063	0.8863
67	3.0000	0.9063	0.8863
68	3.0000	0.9063	0.8863
69	2.0000	0.6042	0.5908
70	3.0000	0.9063	0.8863
71	3.0000	0.9063	0.8863
72	4.0000	1.2085	1.1817
73	4.0000	1.2085	1.1817
74	6.0000	1.8127	1.7725
75	0.0000	0.0000	0.0000
76	3.0000	0.9063	0.8863
77	3.0000	0.9063	0.8863
78	4.0000	1.2085	1.1817
79	3.0000	0.9063	0.8863
80	4.0000	1.2085	1.1817
81	3.0000	0.9063	0.8863
82	3.0000	0.9063	0.8863
83	2.0000	0.6042	0.5908
84	3.0000	0.9063	0.8863
85	3.0000	0.9063	0.8863
86	0.0000	0.0000	0.0000
87	3.0000	0.9063	0.8863
88	2.0000	0.6042	0.5908
89	3.0000	0.9063	0.8863
90	3.0000	0.9063	0.8863
91	4.0000	1.2085	1.1817
92	3.0000	0.9063	0.8863
93	6.0000	1.8127	1.7725
94	3.0000	0.9063	0.8863
95	6.0000	1.8127	1.7725
96	3.0000	0.9063	0.8863
97	3.0000	0.9063	0.8863
98	4.0000	1.2085	1.1817
99	4.0000	1.2085	1.1817
100	3.0000	0.9063	0.8863
101	3.0000	0.9063	0.8863
102	2.0000	0.6042	0.5908
103	3.0000	0.9063	0.8863
104	4.0000	1.2085	1.1817
105	3.0000	0.9063	0.8863
106	4.0000	1.2085	1.1817
107	3.0000	0.9063	0.8863
108	3.0000	0.9063	0.8863
109	3.0000	0.9063	0.8863
110	6.0000	1.8127	1.7725
111	3.0000	0.9063	0.8863
112	3.0000	0.9063	0.8863
113	4.0000	1.2085	1.1817
114	4.0000	1.2085	1.1817
115	3.0000	0.9063	0.8863
116	4.0000	1.2085	1.1817
117	4.0000	1.2085	1.1817
