Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
1	8.0000	0.8844	0.8737
2	9.0000	0.9949	0.9830
3	7.0000	0.7738	0.7645
4	8.0000	0.8844	0.8737
5	4.0000	0.4422	0.4369
6	7.0000	0.7738	0.7645
7	7.0000	0.7738	0.7645
8	8.0000	0.8844	0.8737
9	6.0000	0.6633	0.6553
10	12.0000	1.3266	1.3106
11	6.0000	0.6633	0.6553
12	6.0000	0.6633	0.6553
13	9.0000	0.9949	0.9830
14	10.0000	1.1055	1.0922
15	7.0000	0.7738	0.7645
16	10.0000	1.1055	1.0922
17	7.0000	0.7738	0.7645
18	8.0000	0.8844	0.8737
19	9.0000	0.9949	0.9830
20	8.0000	0.8844	0.8737
21	10.0000	1.1055	1.0922
22	10.0000	1.1055	1.0922
23	10.0000	1.1055	1.0922
24	10.0000	1.1055	1.0922
25	8.0000	0.8844	0.8737
26	6.0000	0.6633	0.6553
27	10.0000	1.1055	1.0922
28	4.0000	0.4422	0.4369
29	12.0000	1.3266	1.3106
30	9.0000	0.9949	0.9830
31	9.0000	0.9949	0.9830
32	6.0000	0.6633	0.6553
33	10.0000	1.1055	1.0922
34	12.0000	1.3266	1.3106
35	8.0000	0.8844	0.8737
36	6.0000	0.6633	0.6553
37	10.0000	1.1055	1.0922
38	11.0000	1.2160	1.2014
39	9.0000	0.9949	0.9830
40	7.0000	0.7738	0.7645
41	6.0000	0.6633	0.6553
42	3.0000	0.3316	0.3277
43	6.0000	0.6633	0.6553
44	8.0000	0.8844	0.8737
45	9.0000	0.9949	0.9830
46	9.0000	0.9949	0.9830
47	10.0000	1.1055	1.0922
48	8.0000	0.8844	0.8737
49	12.0000	1.3266	1.3106
50	7.0000	0.7738	0.7645
51	9.0000	0.9949	0.9830
52	10.0000	1.1055	1.0922
53	10.0000	1.1055	1.0922
54	8.0000	0.8844	0.8737
55	10.0000	1.1055	1.0922
56	6.0000	0.6633	0.6553
57	11.0000	1.2160	1.2014
58	7.0000	0.7738	0.7645
59	10.0000	1.1055	1.0922
60	10.0000	1.1055	1.0922
61	11.0000	1.2160	1.2014
62	9.0000	0.9949	0.9830
63	10.0000	1.1055	1.0922
64	8.0000	0.8844	0.8737
65	7.0000	0.7738	0.7645
66	11.0000	1.2160	1.2014
67	8.0000	0.8844	0.8737
68	10.0000	1.1055	1.0922
69	5.0000	0.5527	0.5461
70	6.0000	0.6633	0.6553
71	7.0000	0.7738	0.7645
72	6.0000	0.6633	0.6553
73	10.0000	1.1055	1.0922
74	9.0000	0.9949	0.9830
75	8.0000	0.8844	0.8737
76	9.0000	0.9949	0.9830
77	9.0000	0.9949	0.9830
78	9.0000	0.9949	0.9830
79	10.0000	1.1055	1.0922
80	11.0000	1.2160	1.2014
81	7.0000	0.7738	0.7645
82	6.0000	0.6633	0.6553
83	10.0000	1.1055	1.0922
84	9.0000	0.9949	0.9830
85	8.0000	0.8844	0.8737
86	11.0000	1.2160	1.2014
87	10.0000	1.1055	1.0922
88	8.0000	0.8844	0.8737
89	8.0000	0.8844	0.8737
90	7.0000	0.7738	0.7645
91	10.0000	1.1055	1.0922
92	12.0000	1.3266	1.3106
93	6.0000	0.6633	0.6553
94	5.0000	0.5527	0.5461
95	8.0000	0.8844	0.8737
96	8.0000	0.8844	0.8737
97	9.0000	0.9949	0.9830
98	8.0000	0.8844	0.8737
99	10.0000	1.1055	1.0922
100	10.0000	1.1055	1.0922
101	8.0000	0.8844	0.8737
102	10.0000	1.1055	1.0922
103	6.0000	0.6633	0.6553
104	8.0000	0.8844	0.8737
105	9.0000	0.9949	0.9830
106	8.0000	0.8844	0.8737
107	6.0000	0.6633	0.6553
108	10.0000	1.1055	1.0922
109	7.0000	0.7738	0.7645
110	8.0000	0.8844	0.8737
111	11.0000	1.2160	1.2014
112	10.0000	1.1055	1.0922
113	10.0000	1.1055	1.0922
114	11.0000	1.2160	1.2014
115	8.0000	0.8844	0.8737
116	7.0000	0.7738	0.7645
117	11.0000	1.2160	1.2014
118	8.0000	0.8844	0.8737
119	8.0000	0.8844	0.8737
120	12.0000	1.3266	1.3106
121	9.0000	0.9949	0.9830
122	3.0000	0.3316	0.3277
123	9.0000	0.9949	0.9830
124	8.0000	0.8844	0.8737
125	8.0000	0.8844	0.8737
126	8.0000	0.8844	0.8737
127	6.0000	0.6633	0.6553
128	7.0000	0.7738	0.7645
129	8.0000	0.8844	0.8737
130	9.0000	0.9949	0.9830
131	7.0000	0.7738	0.7645
132	8.0000	0.8844	0.8737
133	8.0000	0.8844	0.8737
134	6.0000	0.6633	0.6553
135	11.0000	1.2160	1.2014
136	8.0000	0.8844	0.8737
137	6.0000	0.6633	0.6553
138	12.0000	1.3266	1.3106
139	7.0000	0.7738	0.7645
140	6.0000	0.6633	0.6553
141	7.0000	0.7738	0.7645
142	10.0000	1.1055	1.0922
143	9.0000	0.9949	0.9830
144	10.0000	1.1055	1.0922
145	7.0000	0.7738	0.7645
146	8.0000	0.8844	0.8737
147	7.0000	0.7738	0.7645
148	8.0000	0.8844	0.8737
149	6.0000	0.6633	0.6553
150	7.0000	0.7738	0.7645
151	10.0000	1.1055	1.0922
152	10.0000	1.1055	1.0922
153	6.0000	0.6633	0.6553
154	10.0000	1.1055	1.0922
155	8.0000	0.8844	0.8737
156	10.0000	1.1055	1.0922
157	8.0000	0.8844	0.8737
158	7.0000	0.7738	0.7645
159	9.0000	0.9949	0.9830
160	11.0000	1.2160	1.2014
161	6.0000	0.6633	0.6553
162	10.0000	1.1055	1.0922
163	8.0000	0.8844	0.8737
164	12.0000	1.3266	1.3106
165	6.0000	0.6633	0.6553
166	9.0000	0.9949	0.9830
167	10.0000	1.1055	1.0922
168	4.0000	0.4422	0.4369
169	9.0000	0.9949	0.9830
170	8.0000	0.8844	0.8737
171	11.0000	1.2160	1.2014
172	11.0000	1.2160	1.2014
173	8.0000	0.8844	0.8737
174	6.0000	0.6633	0.6553
175	11.0000	1.2160	1.2014
176	7.0000	0.7738	0.7645
177	8.0000	0.8844	0.8737
178	8.0000	0.8844	0.8737
179	10.0000	1.1055	1.0922
180	8.0000	0.8844	0.8737
181	6.0000	0.6633	0.6553
182	10.0000	1.1055	1.0922
183	8.0000	0.8844	0.8737
184	7.0000	0.7738	0.7645
185	7.0000	0.7738	0.7645
186	11.0000	1.2160	1.2014
187	7.0000	0.7738	0.7645
188	11.0000	1.2160	1.2014
189	10.0000	1.1055	1.0922
190	6.0000	0.6633	0.6553
191	6.0000	0.6633	0.6553
192	10.0000	1.1055	1.0922
193	3.0000	0.3316	0.3277
194	8.0000	0.8844	0.8737
195	8.0000	0.8844	0.8737
196	11.0000	1.2160	1.2014
197	7.0000	0.7738	0.7645
198	10.0000	1.1055	1.0922
199	9.0000	0.9949	0.9830
200	8.0000	0.8844	0.8737
201	8.0000	0.8844	0.8737
202	8.0000	0.8844	0.8737
203	9.0000	0.9949	0.9830
204	6.0000	0.6633	0.6553
205	9.0000	0.9949	0.9830
206	7.0000	0.7738	0.7645
207	8.0000	0.8844	0.8737
208	7.0000	0.7738	0.7645
209	4.0000	0.4422	0.4369
210	7.0000	0.7738	0.7645
211	6.0000	0.6633	0.6553
212	6.0000	0.6633	0.6553
213	7.0000	0.7738	0.7645
214	10.0000	1.1055	1.0922
215	8.0000	0.8844	0.8737
216	8.0000	0.8844	0.8737
217	6.0000	0.6633	0.6553
218	10.0000	1.1055	1.0922
219	8.0000	0.8844	0.8737
220	8.0000	0.8844	0.8737
221	8.0000	0.8844	0.8737
222	8.0000	0.8844	0.8737
223	8.0000	0.8844	0.8737
224	10.0000	1.1055	1.0922
225	10.0000	1.1055	1.0922
226	10.0000	1.1055	1.0922
227	4.0000	0.4422	0.4369
228	11.0000	1.2160	1.2014
229	9.0000	0.9949	0.9830
230	9.0000	0.9949	0.9830
231	10.0000	1.1055	1.0922
232	7.0000	0.7738	0.7645
233	8.0000	0.8844	0.8737
234	8.0000	0.8844	0.8737
235	7.0000	0.7738	0.7645
236	9.0000	0.9949	0.9830
237	10.0000	1.1055	1.0922
238	7.0000	0.7738	0.7645
239	10.0000	1.1055	1.0922
240	7.0000	0.7738	0.7645
241	10.0000	1.1055	1.0922
242	11.0000	1.2160	1.2014
243	8.0000	0.8844	0.8737
244	9.0000	0.9949	0.9830
245	7.0000	0.7738	0.7645
246	8.0000	0.8844	0.8737
247	9.0000	0.9949	0.9830
248	10.0000	1.1055	1.0922
249	7.0000	0.7738	0.7645
250	8.0000	0.8844	0.8737
251	9.0000	0.9949	0.9830
252	5.0000	0.5527	0.5461
253	6.0000	0.6633	0.6553
254	6.0000	0.6633	0.6553
255	7.0000	0.7738	0.7645
256	7.0000	0.7738	0.7645
257	10.0000	1.1055	1.0922
258	9.0000	0.9949	0.9830
259	8.0000	0.8844	0.8737
260	10.0000	1.1055	1.0922
261	5.0000	0.5527	0.5461
262	7.0000	0.7738	0.7645
263	9.0000	0.9949	0.9830
264	10.0000	1.1055	1.0922
265	8.0000	0.8844	0.8737
266	10.0000	1.1055	1.0922
267	9.0000	0.9949	0.9830
268	7.0000	0.7738	0.7645
269	10.0000	1.1055	1.0922
270	8.0000	0.8844	0.8737
271	10.0000	1.1055	1.0922
272	9.0000	0.9949	0.9830
273	9.0000	0.9949	0.9830
274	7.0000	0.7738	0.7645
275	11.0000	1.2160	1.2014
276	8.0000	0.8844	0.8737
277	10.0000	1.1055	1.0922
278	4.0000	0.4422	0.4369
279	7.0000	0.7738	0.7645
280	11.0000	1.2160	1.2014
281	8.0000	0.8844	0.8737
282	8.0000	0.8844	0.8737
283	7.0000	0.7738	0.7645
284	8.0000	0.8844	0.8737
285	11.0000	1.2160	1.2014
286	10.0000	1.1055	1.0922
287	11.0000	1.2160	1.2014
288	7.0000	0.7738	0.7645
289	7.0000	0.7738	0.7645
290	8.0000	0.8844	0.8737
291	9.0000	0.9949	0.9830
292	6.0000	0.6633	0.6553
293	10.0000	1.1055	1.0922
294	6.0000	0.6633	0.6553
295	7.0000	0.7738	0.7645
296	7.0000	0.7738	0.7645
297	10.0000	1.1055	1.0922
298	12.0000	1.3266	1.3106
299	8.0000	0.8844	0.8737
300	8.0000	0.8844	0.8737
301	10.0000	1.1055	1.0922
302	9.0000	0.9949	0.9830
303	9.0000	0.9949	0.9830
304	8.0000	0.8844	0.8737
305	8.0000	0.8844	0.8737
306	8.0000	0.8844	0.8737
307	11.0000	1.2160	1.2014
308	5.0000	0.5527	0.5461
309	7.0000	0.7738	0.7645
310	11.0000	1.2160	1.2014
311	8.0000	0.8844	0.8737
312	9.0000	0.9949	0.9830
313	7.0000	0.7738	0.7645
314	7.0000	0.7738	0.7645
315	10.0000	1.1055	1.0922
316	5.0000	0.5527	0.5461
317	6.0000	0.6633	0.6553
318	6.0000	0.6633	0.6553
319	9.0000	0.9949	0.9830
320	8.0000	0.8844	0.8737
321	10.0000	1.1055	1.0922
322	10.0000	1.1055	1.0922
323	11.0000	1.2160	1.2014
324	7.0000	0.7738	0.7645
325	6.0000	0.6633	0.6553
326	11.0000	1.2160	1.2014
327	11.0000	1.2160	1.2014
328	10.0000	1.1055	1.0922
329	11.0000	1.2160	1.2014
330	7.0000	0.7738	0.7645
331	10.0000	1.1055	1.0922
332	8.0000	0.8844	0.8737
333	9.0000	0.9949	0.9830
334	6.0000	0.6633	0.6553
335	10.0000	1.1055	1.0922
336	6.0000	0.6633	0.6553
337	11.0000	1.2160	1.2014
338	6.0000	0.6633	0.6553
339	8.0000	0.8844	0.8737
340	9.0000	0.9949	0.9830
341	10.0000	1.1055	1.0922
342	8.0000	0.8844	0.8737
343	9.0000	0.9949	0.9830
344	6.0000	0.6633	0.6553
345	8.0000	0.8844	0.8737
346	12.0000	1.3266	1.3106
347	8.0000	0.8844	0.8737
348	7.0000	0.7738	0.7645
349	8.0000	0.8844	0.8737
350	8.0000	0.8844	0.8737
351	7.0000	0.7738	0.7645
352	9.0000	0.9949	0.9830
353	6.0000	0.6633	0.6553
354	10.0000	1.1055	1.0922
355	10.0000	1.1055	1.0922
356	7.0000	0.7738	0.7645
357	6.0000	0.6633	0.6553
358	11.0000	1.2160	1.2014
359	10.0000	1.1055	1.0922
360	10.0000	1.1055	1.0922
361	9.0000	0.9949	0.9830
362	8.0000	0.8844	0.8737
363	6.0000	0.6633	0.6553
364	6.0000	0.6633	0.6553
365	6.0000	0.6633	0.6553
366	7.0000	0.7738	0.7645
367	8.0000	0.8844	0.8737
368	9.0000	0.9949	0.9830
369	10.0000	1.1055	1.0922
370	8.0000	0.8844	0.8737
371	11.0000	1.2160	1.2014
372	8.0000	0.8844	0.8737
373	7.0000	0.7738	0.7645
374	7.0000	0.7738	0.7645
375	10.0000	1.1055	1.0922
376	10.0000	1.1055	1.0922
377	7.0000	0.7738	0.7645
378	7.0000	0.7738	0.7645
379	8.0000	0.8844	0.8737
380	9.0000	0.9949	0.9830
381	11.0000	1.2160	1.2014
382	7.0000	0.7738	0.7645
383	8.0000	0.8844	0.8737
384	10.0000	1.1055	1.0922
385	5.0000	0.5527	0.5461
386	6.0000	0.6633	0.6553
387	10.0000	1.1055	1.0922
388	7.0000	0.7738	0.7645
389	8.0000	0.8844	0.8737
390	10.0000	1.1055	1.0922
391	7.0000	0.7738	0.7645
392	8.0000	0.8844	0.8737
393	6.0000	0.6633	0.6553
394	9.0000	0.9949	0.9830
395	11.0000	1.2160	1.2014
396	10.0000	1.1055	1.0922
397	10.0000	1.1055	1.0922
398	10.0000	1.1055	1.0922
399	7.0000	0.7738	0.7645
400	7.0000	0.7738	0.7645
401	6.0000	0.6633	0.6553
402	9.0000	0.9949	0.9830
403	10.0000	1.1055	1.0922
404	9.0000	0.9949	0.9830
405	12.0000	1.3266	1.3106
406	6.0000	0.6633	0.6553
407	7.0000	0.7738	0.7645
408	7.0000	0.7738	0.7645
409	6.0000	0.6633	0.6553
410	7.0000	0.7738	0.7645
411	6.0000	0.6633	0.6553
412	8.0000	0.8844	0.8737
413	8.0000	0.8844	0.8737
414	10.0000	1.1055	1.0922
