Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
1	6.0000	1.1940	1.1721
2	6.0000	1.1940	1.1721
3	4.0000	0.7960	0.7814
4	3.0000	0.5970	0.5861
5	3.0000	0.5970	0.5861
6	6.0000	1.1940	1.1721
7	4.0000	0.7960	0.7814
8	5.0000	0.9950	0.9768
9	4.0000	0.7960	0.7814
10	6.0000	1.1940	1.1721
11	3.0000	0.5970	0.5861
12	5.0000	0.9950	0.9768
13	4.0000	0.7960	0.7814
14	7.0000	1.3930	1.3675
15	6.0000	1.1940	1.1721
16	7.0000	1.3930	1.3675
17	6.0000	1.1940	1.1721
18	3.0000	0.5970	0.5861
19	6.0000	1.1940	1.1721
20	6.0000	1.1940	1.1721
21	7.0000	1.3930	1.3675
22	6.0000	1.1940	1.1721
23	6.0000	1.1940	1.1721
24	7.0000	1.3930	1.3675
25	2.0000	0.3980	0.3907
26	3.0000	0.5970	0.5861
27	6.0000	1.1940	1.1721
28	0.0000	0.0000	0.0000
29	4.0000	0.7960	0.7814
30	4.0000	0.7960	0.7814
31	6.0000	1.1940	1.1721
32	6.0000	1.1940	1.1721
33	6.0000	1.1940	1.1721
34	2.0000	0.3980	0.3907
35	4.0000	0.7960	0.7814
36	6.0000	1.1940	1.1721
37	7.0000	1.3930	1.3675
38	6.0000	1.1940	1.1721
39	4.0000	0.7960	0.7814
40	4.0000	0.7960	0.7814
41	4.0000	0.7960	0.7814
42	0.0000	0.0000	0.0000
43	3.0000	0.5970	0.5861
44	6.0000	1.1940	1.1721
45	6.0000	1.1940	1.1721
46	6.0000	1.1940	1.1721
47	6.0000	1.1940	1.1721
48	6.0000	1.1940	1.1721
49	6.0000	1.1940	1.1721
50	6.0000	1.1940	1.1721
51	6.0000	1.1940	1.1721
52	7.0000	1.3930	1.3675
53	6.0000	1.1940	1.1721
54	3.0000	0.5970	0.5861
55	6.0000	1.1940	1.1721
56	3.0000	0.5970	0.5861
57	6.0000	1.1940	1.1721
58	4.0000	0.7960	0.7814
59	6.0000	1.1940	1.1721
60	6.0000	1.1940	1.1721
61	6.0000	1.1940	1.1721
62	6.0000	1.1940	1.1721
63	6.0000	1.1940	1.1721
64	4.0000	0.7960	0.7814
65	4.0000	0.7960	0.7814
66	6.0000	1.1940	1.1721
67	6.0000	1.1940	1.1721
68	6.0000	1.1940	1.1721
69	2.0000	0.3980	0.3907
70	5.0000	0.9950	0.9768
71	6.0000	1.1940	1.1721
72	5.0000	0.9950	0.9768
73	4.0000	0.7960	0.7814
74	6.0000	1.1940	1.1721
75	5.0000	0.9950	0.9768
76	4.0000	0.7960	0.7814
77	4.0000	0.7960	0.7814
78	0.0000	0.0000	0.0000
79	6.0000	1.1940	1.1721
80	6.0000	1.1940	1.1721
81	6.0000	1.1940	1.1721
82	4.0000	0.7960	0.7814
83	6.0000	1.1940	1.1721
84	6.0000	1.1940	1.1721
85	6.0000	1.1940	1.1721
86	6.0000	1.1940	1.1721
87	7.0000	1.3930	1.3675
88	5.0000	0.9950	0.9768
89	5.0000	0.9950	0.9768
90	6.0000	1.1940	1.1721
91	7.0000	1.3930	1.3675
92	6.0000	1.1940	1.1721
93	3.0000	0.5970	0.5861
94	2.0000	0.3980	0.3907
95	6.0000	1.1940	1.1721
96	7.0000	1.3930	1.3675
97	6.0000	1.1940	1.1721
98	6.0000	1.1940	1.1721
99	7.0000	1.3930	1.3675
100	7.0000	1.3930	1.3675
101	5.0000	0.9950	0.9768
102	7.0000	1.3930	1.3675
103	3.0000	0.5970	0.5861
104	5.0000	0.9950	0.9768
105	6.0000	1.1940	1.1721
106	7.0000	1.3930	1.3675
107	4.0000	0.7960	0.7814
108	6.0000	1.1940	1.1721
109	6.0000	1.1940	1.1721
110	6.0000	1.1940	1.1721
111	6.0000	1.1940	1.1721
112	6.0000	1.1940	1.1721
113	6.0000	1.1940	1.1721
114	6.0000	1.1940	1.1721
115	5.0000	0.9950	0.9768
116	6.0000	1.1940	1.1721
117	6.0000	1.1940	1.1721
118	3.0000	0.5970	0.5861
119	4.0000	0.7960	0.7814
120	6.0000	1.1940	1.1721
121	6.0000	1.1940	1.1721
122	0.0000	0.0000	0.0000
123	6.0000	1.1940	1.1721
124	3.0000	0.5970	0.5861
125	5.0000	0.9950	0.9768
126	4.0000	0.7960	0.7814
127	4.0000	0.7960	0.7814
128	4.0000	0.7960	0.7814
129	7.0000	1.3930	1.3675
130	4.0000	0.7960	0.7814
131	6.0000	1.1940	1.1721
132	4.0000	0.7960	0.7814
133	5.0000	0.9950	0.9768
134	4.0000	0.7960	0.7814
135	6.0000	1.1940	1.1721
136	2.0000	0.3980	0.3907
137	3.0000	0.5970	0.5861
138	6.0000	1.1940	1.1721
139	4.0000	0.7960	0.7814
140	3.0000	0.5970	0.5861
141	6.0000	1.1940	1.1721
142	6.0000	1.1940	1.1721
143	6.0000	1.1940	1.1721
144	6.0000	1.1940	1.1721
145	2.0000	0.3980	0.3907
146	3.0000	0.5970	0.5861
147	6.0000	1.1940	1.1721
148	6.0000	1.1940	1.1721
149	3.0000	0.5970	0.5861
150	6.0000	1.1940	1.1721
151	6.0000	1.1940	1.1721
152	6.0000	1.1940	1.1721
153	5.0000	0.9950	0.9768
154	6.0000	1.1940	1.1721
155	5.0000	0.9950	0.9768
156	7.0000	1.3930	1.3675
157	7.0000	1.3930	1.3675
