Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	3.0000	1.1610	1.1385
2	3.0000	1.1610	1.1385
3	2.0000	0.7740	0.7590
4	2.0000	0.7740	0.7590
5	1.0000	0.3870	0.3795
6	3.0000	1.1610	1.1385
7	2.0000	0.7740	0.7590
8	3.0000	1.1610	1.1385
9	2.0000	0.7740	0.7590
10	3.0000	1.1610	1.1385
11	1.0000	0.3870	0.3795
12	3.0000	1.1610	1.1385
13	2.0000	0.7740	0.7590
14	3.0000	1.1610	1.1385
15	3.0000	1.1610	1.1385
16	3.0000	1.1610	1.1385
17	3.0000	1.1610	1.1385
18	2.0000	0.7740	0.7590
19	3.0000	1.1610	1.1385
20	3.0000	1.1610	1.1385
21	3.0000	1.1610	1.1385
22	3.0000	1.1610	1.1385
23	3.0000	1.1610	1.1385
24	3.0000	1.1610	1.1385
25	1.0000	0.3870	0.3795
26	2.0000	0.7740	0.7590
27	3.0000	1.1610	1.1385
28	0.0000	0.0000	0.0000
29	3.0000	1.1610	1.1385
30	3.0000	1.1610	1.1385
31	3.0000	1.1610	1.1385
32	3.0000	1.1610	1.1385
33	3.0000	1.1610	1.1385
34	1.0000	0.3870	0.3795
35	2.0000	0.7740	0.7590
36	3.0000	1.1610	1.1385
37	3.0000	1.1610	1.1385
38	3.0000	1.1610	1.1385
39	2.0000	0.7740	0.7590
40	2.0000	0.7740	0.7590
41	2.0000	0.7740	0.7590
42	0.0000	0.0000	0.0000
43	2.0000	0.7740	0.7590
44	3.0000	1.1610	1.1385
45	3.0000	1.1610	1.1385
46	3.0000	1.1610	1.1385
47	3.0000	1.1610	1.1385
48	3.0000	1.1610	1.1385
49	3.0000	1.1610	1.1385
50	3.0000	1.1610	1.1385
51	3.0000	1.1610	1.1385
52	3.0000	1.1610	1.1385
53	3.0000	1.1610	1.1385
54	2.0000	0.7740	0.7590
55	3.0000	1.1610	1.1385
56	2.0000	0.7740	0.7590
57	3.0000	1.1610	1.1385
58	3.0000	1.1610	1.1385
59	3.0000	1.1610	1.1385
60	3.0000	1.1610	1.1385
61	3.0000	1.1610	1.1385
62	3.0000	1.1610	1.1385
63	3.0000	1.1610	1.1385
64	2.0000	0.7740	0.7590
65	2.0000	0.7740	0.7590
66	3.0000	1.1610	1.1385
67	3.0000	1.1610	1.1385
68	3.0000	1.1610	1.1385
69	1.0000	0.3870	0.3795
70	3.0000	1.1610	1.1385
71	3.0000	1.1610	1.1385
72	3.0000	1.1610	1.1385
73	3.0000	1.1610	1.1385
74	3.0000	1.1610	1.1385
75	3.0000	1.1610	1.1385
76	2.0000	0.7740	0.7590
77	2.0000	0.7740	0.7590
78	0.0000	0.0000	0.0000
79	3.0000	1.1610	1.1385
80	3.0000	1.1610	1.1385
81	3.0000	1.1610	1.1385
82	3.0000	1.1610	1.1385
83	3.0000	1.1610	1.1385
84	3.0000	1.1610	1.1385
85	3.0000	1.1610	1.1385
86	3.0000	1.1610	1.1385
87	3.0000	1.1610	1.1385
88	3.0000	1.1610	1.1385
89	3.0000	1.1610	1.1385
90	3.0000	1.1610	1.1385
91	3.0000	1.1610	1.1385
92	3.0000	1.1610	1.1385
93	2.0000	0.7740	0.7590
94	1.0000	0.3870	0.3795
95	3.0000	1.1610	1.1385
96	3.0000	1.1610	1.1385
97	3.0000	1.1610	1.1385
98	3.0000	1.1610	1.1385
99	3.0000	1.1610	1.1385
100	3.0000	1.1610	1.1385
101	3.0000	1.1610	1.1385
102	3.0000	1.1610	1.1385
103	2.0000	0.7740	0.7590
104	3.0000	1.1610	1.1385
105	3.0000	1.1610	1.1385
106	3.0000	1.1610	1.1385
107	2.0000	0.7740	0.7590
108	3.0000	1.1610	1.1385
109	3.0000	1.1610	1.1385
110	3.0000	1.1610	1.1385
111	3.0000	1.1610	1.1385
112	3.0000	1.1610	1.1385
113	3.0000	1.1610	1.1385
114	3.0000	1.1610	1.1385
115	3.0000	1.1610	1.1385
116	3.0000	1.1610	1.1385
117	3.0000	1.1610	1.1385
118	2.0000	0.7740	0.7590
119	3.0000	1.1610	1.1385
120	3.0000	1.1610	1.1385
121	3.0000	1.1610	1.1385
122	0.0000	0.0000	0.0000
123	3.0000	1.1610	1.1385
124	2.0000	0.7740	0.7590
125	3.0000	1.1610	1.1385
126	3.0000	1.1610	1.1385
127	2.0000	0.7740	0.7590
128	3.0000	1.1610	1.1385
129	3.0000	1.1610	1.1385
130	3.0000	1.1610	1.1385
131	3.0000	1.1610	1.1385
132	3.0000	1.1610	1.1385
133	3.0000	1.1610	1.1385
134	2.0000	0.7740	0.7590
135	3.0000	1.1610	1.1385
136	1.0000	0.3870	0.3795
137	1.0000	0.3870	0.3795
138	3.0000	1.1610	1.1385
139	2.0000	0.7740	0.7590
140	2.0000	0.7740	0.7590
141	3.0000	1.1610	1.1385
142	3.0000	1.1610	1.1385
143	3.0000	1.1610	1.1385
144	3.0000	1.1610	1.1385
145	1.0000	0.3870	0.3795
146	2.0000	0.7740	0.7590
147	3.0000	1.1610	1.1385
148	3.0000	1.1610	1.1385
149	2.0000	0.7740	0.7590
150	3.0000	1.1610	1.1385
151	3.0000	1.1610	1.1385
152	3.0000	1.1610	1.1385
153	3.0000	1.1610	1.1385
154	3.0000	1.1610	1.1385
155	3.0000	1.1610	1.1385
156	3.0000	1.1610	1.1385
157	3.0000	1.1610	1.1385
158	2.0000	0.7740	0.7590
159	3.0000	1.1610	1.1385
160	3.0000	1.1610	1.1385
161	2.0000	0.7740	0.7590
162	3.0000	1.1610	1.1385
163	3.0000	1.1610	1.1385
164	3.0000	1.1610	1.1385
165	2.0000	0.7740	0.7590
166	3.0000	1.1610	1.1385
167	3.0000	1.1610	1.1385
168	1.0000	0.3870	0.3795
169	3.0000	1.1610	1.1385
170	3.0000	1.1610	1.1385
171	3.0000	1.1610	1.1385
172	3.0000	1.1610	1.1385
173	3.0000	1.1610	1.1385
174	2.0000	0.7740	0.7590
175	3.0000	1.1610	1.1385
176	2.0000	0.7740	0.7590
177	3.0000	1.1610	1.1385
178	3.0000	1.1610	1.1385
179	3.0000	1.1610	1.1385
180	3.0000	1.1610	1.1385
181	1.0000	0.3870	0.3795
182	3.0000	1.1610	1.1385
183	3.0000	1.1610	1.1385
184	2.0000	0.7740	0.7590
185	3.0000	1.1610	1.1385
186	3.0000	1.1610	1.1385
187	3.0000	1.1610	1.1385
188	3.0000	1.1610	1.1385
189	3.0000	1.1610	1.1385
190	2.0000	0.7740	0.7590
191	1.0000	0.3870	0.3795
192	3.0000	1.1610	1.1385
193	0.0000	0.0000	0.0000
194	3.0000	1.1610	1.1385
195	2.0000	0.7740	0.7590
196	3.0000	1.1610	1.1385
197	2.0000	0.7740	0.7590
198	3.0000	1.1610	1.1385
199	3.0000	1.1610	1.1385
200	3.0000	1.1610	1.1385
201	3.0000	1.1610	1.1385
202	3.0000	1.1610	1.1385
203	3.0000	1.1610	1.1385
204	1.0000	0.3870	0.3795
205	3.0000	1.1610	1.1385
206	2.0000	0.7740	0.7590
207	3.0000	1.1610	1.1385
208	2.0000	0.7740	0.7590
209	2.0000	0.7740	0.7590
210	2.0000	0.7740	0.7590
211	1.0000	0.3870	0.3795
212	3.0000	1.1610	1.1385
213	2.0000	0.7740	0.7590
214	3.0000	1.1610	1.1385
215	3.0000	1.1610	1.1385
216	3.0000	1.1610	1.1385
217	2.0000	0.7740	0.7590
218	3.0000	1.1610	1.1385
219	3.0000	1.1610	1.1385
220	3.0000	1.1610	1.1385
221	3.0000	1.1610	1.1385
222	3.0000	1.1610	1.1385
223	3.0000	1.1610	1.1385
224	3.0000	1.1610	1.1385
225	3.0000	1.1610	1.1385
226	3.0000	1.1610	1.1385
227	2.0000	0.7740	0.7590
228	3.0000	1.1610	1.1385
229	3.0000	1.1610	1.1385
230	3.0000	1.1610	1.1385
231	3.0000	1.1610	1.1385
232	3.0000	1.1610	1.1385
233	3.0000	1.1610	1.1385
234	2.0000	0.7740	0.7590
235	2.0000	0.7740	0.7590
236	3.0000	1.1610	1.1385
237	3.0000	1.1610	1.1385
238	3.0000	1.1610	1.1385
239	3.0000	1.1610	1.1385
240	3.0000	1.1610	1.1385
241	3.0000	1.1610	1.1385
242	3.0000	1.1610	1.1385
243	3.0000	1.1610	1.1385
244	3.0000	1.1610	1.1385
245	3.0000	1.1610	1.1385
246	3.0000	1.1610	1.1385
247	3.0000	1.1610	1.1385
248	3.0000	1.1610	1.1385
249	2.0000	0.7740	0.7590
250	3.0000	1.1610	1.1385
251	3.0000	1.1610	1.1385
252	2.0000	0.7740	0.7590
253	3.0000	1.1610	1.1385
254	1.0000	0.3870	0.3795
255	2.0000	0.7740	0.7590
256	3.0000	1.1610	1.1385
257	3.0000	1.1610	1.1385
258	3.0000	1.1610	1.1385
259	2.0000	0.7740	0.7590
260	3.0000	1.1610	1.1385
261	2.0000	0.7740	0.7590
262	2.0000	0.7740	0.7590
263	3.0000	1.1610	1.1385
264	3.0000	1.1610	1.1385
265	2.0000	0.7740	0.7590
266	3.0000	1.1610	1.1385
267	3.0000	1.1610	1.1385
268	3.0000	1.1610	1.1385
269	3.0000	1.1610	1.1385
270	2.0000	0.7740	0.7590
271	3.0000	1.1610	1.1385
272	0.0000	0.0000	0.0000
273	3.0000	1.1610	1.1385
274	2.0000	0.7740	0.7590
275	3.0000	1.1610	1.1385
276	2.0000	0.7740	0.7590
277	3.0000	1.1610	1.1385
278	0.0000	0.0000	0.0000
279	3.0000	1.1610	1.1385
280	3.0000	1.1610	1.1385
281	3.0000	1.1610	1.1385
282	2.0000	0.7740	0.7590
283	3.0000	1.1610	1.1385
284	2.0000	0.7740	0.7590
285	3.0000	1.1610	1.1385
286	2.0000	0.7740	0.7590
287	3.0000	1.1610	1.1385
288	1.0000	0.3870	0.3795
289	3.0000	1.1610	1.1385
290	3.0000	1.1610	1.1385
291	3.0000	1.1610	1.1385
292	2.0000	0.7740	0.7590
293	3.0000	1.1610	1.1385
294	2.0000	0.7740	0.7590
295	3.0000	1.1610	1.1385
296	3.0000	1.1610	1.1385
297	3.0000	1.1610	1.1385
298	3.0000	1.1610	1.1385
299	2.0000	0.7740	0.7590
300	2.0000	0.7740	0.7590
301	3.0000	1.1610	1.1385
302	3.0000	1.1610	1.1385
303	3.0000	1.1610	1.1385
304	3.0000	1.1610	1.1385
305	3.0000	1.1610	1.1385
306	3.0000	1.1610	1.1385
307	3.0000	1.1610	1.1385
308	2.0000	0.7740	0.7590
309	3.0000	1.1610	1.1385
310	3.0000	1.1610	1.1385
311	2.0000	0.7740	0.7590
312	3.0000	1.1610	1.1385
313	3.0000	1.1610	1.1385
314	2.0000	0.7740	0.7590
315	3.0000	1.1610	1.1385
316	1.0000	0.3870	0.3795
317	2.0000	0.7740	0.7590
318	3.0000	1.1610	1.1385
319	3.0000	1.1610	1.1385
320	3.0000	1.1610	1.1385
321	3.0000	1.1610	1.1385
322	3.0000	1.1610	1.1385
323	3.0000	1.1610	1.1385
324	3.0000	1.1610	1.1385
325	3.0000	1.1610	1.1385
326	3.0000	1.1610	1.1385
327	3.0000	1.1610	1.1385
328	3.0000	1.1610	1.1385
329	3.0000	1.1610	1.1385
330	3.0000	1.1610	1.1385
331	3.0000	1.1610	1.1385
332	2.0000	0.7740	0.7590
333	3.0000	1.1610	1.1385
334	2.0000	0.7740	0.7590
335	3.0000	1.1610	1.1385
336	2.0000	0.7740	0.7590
337	3.0000	1.1610	1.1385
338	1.0000	0.3870	0.3795
339	2.0000	0.7740	0.7590
340	1.0000	0.3870	0.3795
341	3.0000	1.1610	1.1385
342	3.0000	1.1610	1.1385
343	3.0000	1.1610	1.1385
344	1.0000	0.3870	0.3795
345	3.0000	1.1610	1.1385
346	3.0000	1.1610	1.1385
347	3.0000	1.1610	1.1385
348	1.0000	0.3870	0.3795
349	3.0000	1.1610	1.1385
350	2.0000	0.7740	0.7590
351	3.0000	1.1610	1.1385
352	3.0000	1.1610	1.1385
