OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Hominid_mean	Nasonia2_mean	Mosquito_mean	Peromyscus_mean	Drosophila2_mean
k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41	276.144795241	1.51063851186e-58	3.73127712429e-56	3.73127712429e-56	0.00243418032394	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	263.74434767	7.113390115e-56	8.78503679203e-54	1.75700735841e-53	0.0023732374526	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	249.010348389	1.06353432176e-52	8.75643258253e-51	2.62692977476e-50	0.00410614667428	0.27199476295	0.0138663847011	0.0	0.00270608775885
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	242.343090268	2.90293058571e-51	1.79255963668e-49	7.1702385467e-49	0.000243999871512	0.00100427897432	0.00254523674174	0.0	0.626684289093
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	240.557979686	7.03532222239e-51	3.47544917786e-49	1.73772458893e-48	0.00408156515781	0.0	7.43829346465e-06	0.0103678175291	0.000205007635575
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	240.059124212	9.00979633667e-51	3.70903282526e-49	2.22541969516e-48	0.00230202648886	0.000167434966833	0.0592426275563	0.0	1.49548462055e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	238.592461361	1.86447825736e-50	6.57894470812e-49	4.60526129568e-48	0.0112751605988	0.0699432015978	0.0760986791531	1.99975267987e-05	0.00441507111559
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	218.96178413	3.13573876267e-46	9.68159342976e-45	7.74527474381e-44	0.00307695604304	2.90308497655e-05	0.0	0.00730445750535	0.000133465133111
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	218.616578102	3.72067201192e-46	1.02111776327e-44	9.19005986945e-44	0.00417219660621	0.0977635570236	0.0669127623576	2.70528220313e-05	0.0320182521843
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales	216.741194856	9.42210893208e-46	2.32726090622e-44	2.32726090622e-43	0.0172112566913	0.0	0.0	6.67923160455e-05	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	212.900243623	6.31693505074e-45	1.4184390523e-43	1.56028295753e-42	0.0477715611126	0.0133938258509	0.114890522254	0.0	0.00978380399241
