OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Vertebrate_mean	Invertebrate_mean
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__	238.183418034	9.79056207096e-54	1.05640164746e-50	1.05640164746e-50	0.00846732262612	8.90751841527e-05
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	208.325282237	3.18602048749e-47	1.718858053e-44	3.437716106e-44	0.00321662507115	1.73703203472e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__	192.580103543	8.69299884747e-44	3.12658191881e-41	9.37974575642e-41	0.0151492203125	0.000127166366769
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	191.583585178	1.43441877003e-43	3.86934463215e-41	1.54773785286e-40	0.00200553975746	3.93025105415e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	186.485758276	1.85973442105e-42	4.01330688063e-40	2.00665344032e-39	0.0153473487121	0.000512801449117
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	185.257489448	3.44814900012e-42	6.20092128522e-40	3.72055277113e-39	0.150294780587	0.00246485265489
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium	180.813894674	3.21896502321e-41	4.9618046572e-39	3.47326326004e-38	2.67295260818e-05	0.0235434610228
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	179.306234173	6.8690887006e-41	9.26468338493e-39	7.41174670795e-38	1.89668622037e-05	0.0169072932937
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	176.102359578	3.43940949476e-40	4.12346982761e-38	3.71112284485e-37	0.0450941528127	0.00223268260027
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	165.274172466	7.96925829061e-38	8.08068439864e-36	8.59882969557e-35	0.245060559866	0.00141371244078
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	165.208245473	8.23795443791e-38	8.08068439864e-36	8.88875283851e-35	0.00318228548992	0.000144062407642
