	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CB10	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.391361867704	0.672101167315	0.548249027237	0.718793774319	0.663463035019	0.431459143969	0.431575875486	0.432840466926	0.447042801556	0.672587548638	0.689610894942	0.578521400778	0.642684824903	0.399435797665	0.331614785992	0.923229571984	0.913871595331	0.924474708171	0.914747081712	0.743365758755	0.761089494164	0.937859922179	0.928015564202	0.821887159533	0.877957198443	0.846167315175	0.837237354086	0.82593385214	0.861809338521	0.862276264591	0.872859922179	0.543754863813	0.534513618677	0.566322957198	0.50173151751	0.613287937743	0.579143968872	0.594241245136	0.557684824903	0.623910505837	0.585914396887	0.617723735409	0.531614785992	0.556536964981	0.515972762646	0.542879377432	0.73546692607	0.706108949416	0.694416342412	0.703910505837	0.623891050584	0.678326848249	0.646926070039	0.706556420233	0.632859922179	0.556673151751	0.629708171206	0.652704280156	0.699377431907	0.690680933852	0.726439688716	0.705019455253	0.928307392996	0.937509727626	0.894747081712	0.739571984436	0.931926070039	0.908112840467	0.744688715953	0.913988326848	0.873696498054	0.918190661479	0.766342412451	0.897898832685	0.962276264591	0.929766536965	0.732548638132	0.736361867704	0.724824902724	0.772723735409	0.637315175097	0.633443579767	0.599883268482	0.616206225681	0.565	0.54939688716	0.780369649805	0.74280155642	0.703326848249	0.7196692607	0.753579766537
CA8	0.391361867704	0.0	0.662490272374	0.525544747082	0.673657587549	0.615408560311	0.393618677043	0.462840466926	0.460369649805	0.41219844358	0.631167315175	0.643287937743	0.563151750973	0.632723735409	0.344513618677	0.37560311284	0.881206225681	0.874435797665	0.922996108949	0.909649805448	0.723560311284	0.736478599222	0.898949416342	0.889474708171	0.781128404669	0.837898832685	0.813949416342	0.8053307393	0.791050583658	0.84579766537	0.846906614786	0.849143968872	0.539844357977	0.532704280156	0.573929961089	0.525038910506	0.620894941634	0.580369649805	0.590389105058	0.556692607004	0.61920233463	0.581848249027	0.624941634241	0.535894941634	0.564824902724	0.518813229572	0.538715953307	0.72546692607	0.696653696498	0.664941634241	0.670719844358	0.618929961089	0.64813229572	0.621206225681	0.68326848249	0.608151750973	0.539494163424	0.619357976654	0.651284046693	0.671011673152	0.674182879377	0.714591439689	0.678540856031	0.928968871595	0.939649805447	0.887684824903	0.713852140078	0.934280155642	0.904980544747	0.72093385214	0.903346303502	0.873560311284	0.911128404669	0.753112840467	0.889902723735	0.959143968872	0.931964980545	0.687529182879	0.723715953307	0.689708171206	0.734396887159	0.633813229572	0.631186770428	0.547840466926	0.55939688716	0.51439688716	0.497392996109	0.775194552529	0.695642023346	0.651322957198	0.683035019455	0.715272373541
CB7	0.672101167315	0.662490272374	0.0	0.569085603113	0.697490272374	0.685408560311	0.670408560311	0.693852140078	0.690155642023	0.680058365759	0.680214007782	0.676945525292	0.558287937743	0.457120622568	0.671984435798	0.675680933852	0.85	0.836906614786	0.878657587549	0.856225680934	0.76626459144	0.748579766537	0.808696498054	0.796108949416	0.686206225681	0.734844357977	0.781303501946	0.7753307393	0.739649805447	0.794280155642	0.810019455253	0.810233463035	0.750408560311	0.74560311284	0.701517509728	0.742315175097	0.693813229572	0.73673151751	0.748229571984	0.747392996109	0.749280155642	0.748404669261	0.669552529183	0.741498054475	0.700019455253	0.744766536965	0.751050583658	0.769785992218	0.735700389105	0.782937743191	0.78953307393	0.706459143969	0.763443579767	0.704221789883	0.760836575875	0.694883268483	0.66079766537	0.719182879377	0.715428015564	0.783229571984	0.787178988327	0.762704280156	0.781478599222	0.88546692607	0.814377431907	0.880272373541	0.780428015564	0.812840466926	0.882373540856	0.780077821012	0.897626459144	0.8203307393	0.892431906615	0.783307392996	0.874747081712	0.842217898833	0.892392996109	0.855953307393	0.80280155642	0.863171206226	0.901595330739	0.710525291829	0.695642023346	0.72986381323	0.740953307393	0.727373540856	0.720583657588	0.900817120623	0.870680933852	0.828093385214	0.857723735409	0.892976653696
CB8	0.548249027237	0.525544747082	0.569085603113	0.0	0.645622568093	0.618424124514	0.531653696498	0.612140077821	0.612081712062	0.554046692607	0.62673151751	0.63546692607	0.461011673152	0.525447470817	0.533949416342	0.546712062257	0.866225680934	0.854513618677	0.890428015564	0.869105058366	0.686381322957	0.700291828794	0.857859922179	0.846536964981	0.75013618677	0.800097276265	0.789727626459	0.783287937743	0.741303501945	0.792821011673	0.832120622568	0.827412451362	0.64453307393	0.649435797665	0.631673151751	0.667140077821	0.622743190662	0.658949416342	0.68107003891	0.677178988327	0.673988326848	0.671770428016	0.618910505837	0.668793774319	0.628891050584	0.645155642023	0.651245136187	0.717101167315	0.674124513619	0.701050583658	0.700564202335	0.62626459144	0.69140077821	0.636498054475	0.695953307393	0.622840466926	0.563891050584	0.640486381323	0.650719844358	0.708501945525	0.710233463035	0.703482490272	0.697898832685	0.899299610895	0.902392996109	0.883618677043	0.725389105058	0.896770428016	0.881984435798	0.728346303502	0.898657587549	0.856225680934	0.897548638132	0.736614785992	0.879435797665	0.927003891051	0.903035019455	0.751984435798	0.734182879377	0.755097276265	0.793929961089	0.653560311284	0.637529182879	0.609494163424	0.612821011673	0.587743190661	0.583171206226	0.796206225681	0.758463035019	0.71186770428	0.750719844358	0.778793774319
CC7	0.718793774319	0.673657587549	0.697490272374	0.645622568093	0.0	0.552840466926	0.690544747082	0.793521400778	0.793579766537	0.714338521401	0.538618677043	0.500194552529	0.657626459144	0.683287937743	0.676206225681	0.716595330739	0.815194552529	0.809824902724	0.89013618677	0.872723735409	0.734805447471	0.716361867704	0.695311284047	0.685097276265	0.626089494163	0.634610894942	0.721303501946	0.722470817121	0.772548638132	0.816575875486	0.796750972763	0.787898832685	0.812256809338	0.823035019455	0.842237354086	0.842373540856	0.837607003891	0.839143968872	0.848774319066	0.84640077821	0.843754863813	0.841342412451	0.838968871595	0.839610894942	0.841342412451	0.81920233463	0.820155642023	0.731206225681	0.710428015564	0.70673151751	0.709435797665	0.701926070039	0.695642023346	0.717178988327	0.708249027237	0.71079766537	0.709630350195	0.701284046693	0.717159533074	0.709435797665	0.699377431907	0.721906614786	0.710856031128	0.943035019455	0.946167315175	0.913715953307	0.773579766537	0.943424124514	0.924474708171	0.775155642023	0.929377431907	0.856089494163	0.934591439689	0.782937743191	0.914143968872	0.97953307393	0.946167315175	0.751770428016	0.725525291829	0.757743190662	0.787645914397	0.852782101167	0.825077821012	0.743949416342	0.744027237354	0.739961089494	0.744844357977	0.806984435798	0.758190661479	0.748093385214	0.756322957198	0.782295719844
CC8	0.663463035019	0.615408560311	0.685408560311	0.618424124514	0.552840466926	0.0	0.646342412451	0.750194552529	0.749182879377	0.670525291829	0.501322957198	0.515661478599	0.625525291829	0.66453307393	0.620661478599	0.660194552529	0.820058365759	0.813988326848	0.891984435798	0.872996108949	0.712062256809	0.695875486381	0.772645914397	0.763891050584	0.660291828794	0.706536964981	0.736420233463	0.734143968872	0.766031128405	0.816342412451	0.804455252918	0.795544747082	0.773326848249	0.780252918288	0.799571984436	0.798560311284	0.794766536965	0.796673151751	0.80626459144	0.805544747082	0.802373540856	0.803463035019	0.796964980545	0.798171206226	0.799143968872	0.776634241245	0.780291828794	0.725778210117	0.701517509728	0.684435797665	0.695680933852	0.66733463035	0.660739299611	0.68140077821	0.689338521401	0.674610894942	0.672003891051	0.661381322957	0.687645914397	0.684844357977	0.68140077821	0.717373540856	0.69906614786	0.927003891051	0.926517509728	0.889708171206	0.724124513619	0.923287937743	0.907470817121	0.727704280156	0.910875486381	0.854747081712	0.915719844358	0.754221789883	0.891361867704	0.958793774319	0.929805447471	0.698988326848	0.726459143969	0.720116731518	0.750972762646	0.804571984436	0.778579766537	0.668638132296	0.676225680934	0.673501945525	0.670817120623	0.797937743191	0.711575875486	0.686945525292	0.716517509728	0.757120622568
CD7	0.431459143969	0.393618677043	0.670408560311	0.531653696498	0.690544747082	0.646342412451	0.0	0.46013618677	0.455350194552	0.37593385214	0.656595330739	0.668424124514	0.566147859922	0.638813229572	0.404299610895	0.425	0.891342412451	0.886828793774	0.924883268483	0.913579766537	0.728832684825	0.747568093385	0.910583657588	0.900758754864	0.794649805447	0.850019455253	0.823579766537	0.815389105058	0.798988326848	0.850758754864	0.852412451362	0.856906614786	0.547607003891	0.542412451362	0.576322957198	0.544105058366	0.621770428016	0.583696498054	0.595544747082	0.566789883268	0.62313229572	0.586147859922	0.625914396887	0.552354085603	0.567879377432	0.530272373541	0.549007782101	0.697645914397	0.666887159533	0.661692607004	0.66640077821	0.590992217899	0.645817120623	0.597996108949	0.678229571984	0.59673151751	0.530408560311	0.59939688716	0.618638132296	0.669319066148	0.660155642023	0.684688715953	0.672568093385	0.936926070039	0.94453307393	0.892548638132	0.751945525292	0.939299610895	0.909961089494	0.75686770428	0.910252918288	0.877159533074	0.916147859922	0.770817120623	0.896750972763	0.96313229572	0.939163424125	0.721284046693	0.722237354086	0.682003891051	0.770291828794	0.597276264591	0.595700389105	0.544805447471	0.554844357977	0.505914396887	0.494338521401	0.747704280156	0.722548638132	0.670719844358	0.678015564202	0.729513618677
CD8	0.431575875486	0.462840466926	0.693852140078	0.612140077821	0.793521400778	0.750194552529	0.46013618677	0.0	0.363307392996	0.455311284047	0.761167315175	0.778190661479	0.634902723735	0.664338521401	0.471575875486	0.419299610895	0.926556420233	0.921517509728	0.937587548638	0.92766536965	0.769708171206	0.78607003891	0.960680933852	0.949552529183	0.832937743191	0.895058365759	0.866770428016	0.853774319066	0.820428015564	0.869513618677	0.869046692607	0.884182879377	0.571750972763	0.55046692607	0.569085603113	0.501303501946	0.621322957198	0.581926070039	0.596478599222	0.556789883269	0.62453307393	0.586206225681	0.621556420234	0.534105058366	0.560622568093	0.539494163424	0.563852140078	0.747587548638	0.736828793774	0.747898832685	0.750680933852	0.666459143969	0.725486381323	0.654688715953	0.716070038911	0.645389105058	0.583190661479	0.68	0.676128404669	0.751887159533	0.736789883268	0.745564202335	0.751964980545	0.921050583658	0.928210116732	0.870019455253	0.802937743191	0.926186770428	0.893832684825	0.808463035019	0.892451361868	0.861128404669	0.898677042802	0.813112840467	0.870914396887	0.944027237354	0.924027237354	0.789221789883	0.774591439689	0.771692607004	0.842451361868	0.602723735409	0.599299610895	0.632140077821	0.638618677043	0.60219844358	0.582918287938	0.822140077821	0.790972762646	0.745583657588	0.770583657588	0.80640077821
CE7	0.432840466926	0.460369649805	0.690155642023	0.612081712062	0.793579766537	0.749182879377	0.455350194552	0.363307392996	0.0	0.451089494163	0.759241245136	0.775252918288	0.630719844358	0.658482490272	0.470875486381	0.425992217899	0.922178988327	0.917840466926	0.936050583658	0.926634241245	0.760155642023	0.774280155642	0.958618677043	0.946303501945	0.829552529183	0.890739299611	0.861906614786	0.848560311284	0.814280155642	0.865252918288	0.866050583658	0.879708171206	0.5703307393	0.54873540856	0.567315175097	0.500875486381	0.618171206226	0.580992217899	0.592120622568	0.554435797665	0.623346303502	0.586575875486	0.618968871595	0.534221789883	0.558151750973	0.535194552529	0.560836575876	0.742568093385	0.734941634241	0.743015564202	0.753054474708	0.667101167315	0.718696498054	0.64986381323	0.720894941634	0.645233463035	0.582217898833	0.676284046693	0.671673151751	0.750291828794	0.741770428016	0.74060311284	0.754124513619	0.912879377432	0.920389105058	0.862178988327	0.796420233463	0.918093385214	0.88686770428	0.801128404669	0.886186770428	0.855389105058	0.892412451362	0.809727626459	0.865097276265	0.936420233463	0.915505836576	0.782101167315	0.774299610895	0.768443579767	0.838424124514	0.595291828794	0.595038910506	0.625369649805	0.634630350195	0.598871595331	0.57593385214	0.819902723735	0.784708171206	0.741342412451	0.764280155642	0.805116731517
CE8	0.447042801556	0.41219844358	0.680058365759	0.554046692607	0.714338521401	0.670525291829	0.37593385214	0.455311284047	0.451089494163	0.0	0.680311284047	0.694124513619	0.577276264591	0.646575875486	0.422276264591	0.444163424124	0.89686770428	0.893988326848	0.932062256809	0.920369649806	0.730155642023	0.749766536965	0.924105058366	0.91359922179	0.801926070039	0.859747081712	0.832256809338	0.824591439689	0.806536964981	0.857879377432	0.858346303502	0.86513618677	0.549766536965	0.54	0.579338521401	0.539319066148	0.625642023346	0.585447470817	0.595739299611	0.56513618677	0.623696498054	0.588287937743	0.628171206226	0.549260700389	0.571536964981	0.529241245136	0.546128404669	0.703852140078	0.683404669261	0.68626459144	0.695564202335	0.612159533074	0.667256809339	0.604124513619	0.682373540856	0.599922178988	0.538715953307	0.619805447471	0.627937743191	0.692607003891	0.685214007782	0.693424124514	0.697879377432	0.939105058366	0.944922178988	0.892023346304	0.769513618677	0.939552529183	0.909610894942	0.773073929961	0.909260700389	0.882081712062	0.915544747082	0.784883268483	0.892898832685	0.961342412451	0.940700389105	0.738210116731	0.734708171206	0.703443579767	0.786361867704	0.603424124514	0.601595330739	0.564844357977	0.576634241245	0.53607003891	0.512879377432	0.760369649805	0.739591439689	0.687490272374	0.69939688716	0.750836575875
