	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CB10	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.392996108949	0.673151750973	0.54766536965	0.719844357977	0.663424124514	0.431906614786	0.431906614786	0.43093385214	0.446498054475	0.673151750973	0.690661478599	0.577821011673	0.642996108949	0.400778210117	0.329766536965	0.924124513619	0.912451361868	0.925097276265	0.913424124514	0.74513618677	0.760700389105	0.93579766537	0.928015564202	0.822957198444	0.877431906615	0.848249027237	0.838521400778	0.826848249027	0.86186770428	0.862840466926	0.872568093385	0.544747081712	0.533073929961	0.568093385214	0.501945525292	0.614785992218	0.577821011673	0.592412451362	0.555447470817	0.624513618677	0.584630350195	0.619649805447	0.529182879377	0.555447470817	0.513618677043	0.539883268482	0.733463035019	0.706225680934	0.694552529183	0.70719844358	0.623540856031	0.678015564202	0.646887159533	0.706225680934	0.63326848249	0.555447470817	0.629377431907	0.655642023346	0.698443579767	0.692607003891	0.725680933852	0.708171206226	0.929961089494	0.937743190661	0.894941634241	0.741245136187	0.931906614786	0.907587548638	0.748054474708	0.91439688716	0.875486381323	0.920233463035	0.766536964981	0.896887159533	0.963035019455	0.929961089494	0.735408560311	0.736381322957	0.724708171206	0.774319066148	0.637159533074	0.635214007782	0.602140077821	0.617704280156	0.56420233463	0.548638132296	0.781128404669	0.741245136187	0.703307392996	0.719844357977	0.750972762646
CA8	0.392996108949	0.0	0.662451361868	0.527237354086	0.673151750973	0.612840466926	0.392996108949	0.464980544747	0.462062256809	0.41439688716	0.630350194553	0.645914396887	0.561284046693	0.632295719844	0.344357976654	0.374513618677	0.882295719844	0.877431906615	0.924124513619	0.910505836576	0.72373540856	0.735408560311	0.898832684825	0.891050583658	0.780155642023	0.838521400778	0.815175097276	0.805447470817	0.790856031128	0.846303501946	0.849221789883	0.848249027237	0.540856031128	0.531128404669	0.574902723735	0.525291828794	0.620622568093	0.579766536965	0.587548638132	0.556420233463	0.619649805447	0.581712062257	0.624513618677	0.535019455253	0.56420233463	0.518482490272	0.536964980545	0.725680933852	0.697470817121	0.667315175097	0.671206225681	0.620622568093	0.647859922179	0.622568093385	0.682879377432	0.608949416342	0.536964980545	0.619649805447	0.651750972763	0.673151750973	0.675097276265	0.715953307393	0.678988326848	0.928015564202	0.939688715953	0.887159533074	0.714007782101	0.933852140078	0.908560311284	0.721789883268	0.902723735409	0.873540856031	0.910505836576	0.753891050584	0.891050583658	0.959143968872	0.931906614786	0.68579766537	0.721789883268	0.690661478599	0.731517509728	0.634241245136	0.629377431907	0.548638132296	0.563229571984	0.510700389105	0.498054474708	0.775291828794	0.695525291829	0.653696498054	0.683852140078	0.715953307393
CB7	0.673151750973	0.662451361868	0.0	0.566147859922	0.698443579767	0.686770428016	0.669260700389	0.694552529183	0.686770428016	0.678988326848	0.678988326848	0.677042801556	0.559338521401	0.45719844358	0.671206225681	0.673151750973	0.850194552529	0.836575875486	0.877431906615	0.857976653696	0.766536964981	0.749027237354	0.811284046693	0.795719844358	0.68579766537	0.735408560311	0.780155642023	0.774319066148	0.739299610895	0.796692607004	0.809338521401	0.811284046693	0.75	0.743190661479	0.700389105058	0.742217898833	0.692607003891	0.735408560311	0.746108949416	0.74513618677	0.749027237354	0.748054474708	0.669260700389	0.741245136187	0.700389105058	0.743190661479	0.750972762646	0.770428015564	0.735408560311	0.785992217899	0.789883268482	0.706225680934	0.764591439689	0.704280155642	0.760700389105	0.696498054475	0.661478599222	0.721789883268	0.716926070039	0.784046692607	0.789883268482	0.763618677043	0.780155642023	0.886186770428	0.816147859922	0.879377431907	0.781128404669	0.811284046693	0.881322957198	0.782101167315	0.896887159533	0.81906614786	0.892996108949	0.784046692607	0.875486381323	0.842412451362	0.889105058366	0.856031128405	0.803501945525	0.86186770428	0.901750972763	0.710116731518	0.695525291829	0.729571984436	0.741245136187	0.727626459144	0.719844357977	0.900778210117	0.871595330739	0.827821011673	0.857976653696	0.892996108949
CB8	0.54766536965	0.527237354086	0.566147859922	0.0	0.645914396887	0.61673151751	0.532101167315	0.614785992218	0.614785992218	0.554474708171	0.624513618677	0.634241245136	0.459143968872	0.523346303502	0.535019455253	0.546692607004	0.865758754864	0.856031128405	0.891050583658	0.869649805447	0.684824902724	0.700389105058	0.856031128405	0.846303501946	0.750972762646	0.800583657588	0.789883268482	0.783073929961	0.737354085603	0.793774319066	0.832684824903	0.828793774319	0.645914396887	0.649805447471	0.636186770428	0.666342412451	0.620622568093	0.661478599222	0.681906614786	0.679961089494	0.675097276265	0.675097276265	0.620622568093	0.671206225681	0.630350194553	0.646887159533	0.651750972763	0.717898832685	0.671206225681	0.697470817121	0.701361867704	0.626459143969	0.690661478599	0.636186770428	0.695525291829	0.619649805447	0.56420233463	0.639105058366	0.650778210117	0.710116731518	0.708171206226	0.706225680934	0.698443579767	0.898832684825	0.902723735409	0.88326848249	0.726653696498	0.894941634241	0.882295719844	0.727626459144	0.898832684825	0.856031128405	0.898832684825	0.735408560311	0.881322957198	0.927042801556	0.900778210117	0.753891050584	0.736381322957	0.756809338521	0.793774319066	0.656614785992	0.63813229572	0.608949416342	0.612840466926	0.58560311284	0.582684824903	0.794747081712	0.760700389105	0.712062256809	0.751945525292	0.777237354086
CC7	0.719844357977	0.673151750973	0.698443579767	0.645914396887	0.0	0.552529182879	0.692607003891	0.790856031128	0.791828793774	0.715953307393	0.538910505837	0.5	0.65953307393	0.682879377432	0.675097276265	0.715953307393	0.815175097276	0.808365758755	0.891050583658	0.873540856031	0.736381322957	0.715953307393	0.694552529183	0.682879377432	0.626459143969	0.634241245136	0.721789883268	0.720817120623	0.772373540856	0.81906614786	0.795719844358	0.789883268482	0.813229571984	0.822957198444	0.842412451362	0.84046692607	0.838521400778	0.839494163424	0.850194552529	0.846303501946	0.846303501946	0.84046692607	0.838521400778	0.84046692607	0.84046692607	0.817120622568	0.821011673152	0.730544747082	0.710116731518	0.704280155642	0.710116731518	0.700389105058	0.696498054475	0.717898832685	0.710116731518	0.710116731518	0.70719844358	0.70233463035	0.717898832685	0.710116731518	0.700389105058	0.719844357977	0.710116731518	0.943579766537	0.946498054475	0.91439688716	0.774319066148	0.942607003891	0.924124513619	0.77626459144	0.929961089494	0.856031128405	0.933852140078	0.785019455253	0.91439688716	0.97859922179	0.945525291829	0.750972762646	0.724708171206	0.755836575875	0.787937743191	0.853112840467	0.823929961089	0.743190661479	0.744163424125	0.739299610895	0.74513618677	0.805447470817	0.759727626459	0.749027237354	0.756809338521	0.782101167315
CC8	0.663424124514	0.612840466926	0.686770428016	0.61673151751	0.552529182879	0.0	0.644941634241	0.750972762646	0.747081712062	0.668287937743	0.499027237354	0.515564202335	0.626459143969	0.666342412451	0.61673151751	0.65953307393	0.821011673152	0.813229571984	0.892996108949	0.873540856031	0.713035019455	0.696498054475	0.772373540856	0.764591439689	0.65953307393	0.70719844358	0.738326848249	0.734435797665	0.764591439689	0.817120622568	0.805447470817	0.795719844358	0.772373540856	0.780155642024	0.79766536965	0.799610894942	0.793774319066	0.79766536965	0.804474708171	0.807392996109	0.803501945525	0.803501945525	0.79766536965	0.79766536965	0.798638132296	0.77626459144	0.780155642023	0.727626459144	0.70233463035	0.683852140078	0.696498054475	0.666342412451	0.661478599222	0.682879377432	0.688715953307	0.674124513619	0.673151750973	0.65953307393	0.686770428016	0.683852140078	0.678988326848	0.715953307393	0.696498054475	0.928015564202	0.927042801556	0.889105058366	0.721789883268	0.923151750973	0.906614785992	0.727626459144	0.911478599222	0.854085603113	0.916342412451	0.75486381323	0.891050583658	0.959143968872	0.928015564202	0.698443579767	0.725680933852	0.719844357977	0.750972762646	0.803501945525	0.778210116732	0.665369649805	0.673151750973	0.673151750973	0.670233463035	0.799610894942	0.712062256809	0.686770428016	0.717898832685	0.756809338521
CD7	0.431906614786	0.392996108949	0.669260700389	0.532101167315	0.692607003891	0.644941634241	0.0	0.461089494163	0.455252918288	0.373540856031	0.655642023346	0.666342412451	0.566147859922	0.639105058366	0.402723735409	0.425097276265	0.892996108949	0.887159533074	0.925097276265	0.91439688716	0.72373540856	0.749027237354	0.912451361868	0.900778210117	0.795719844358	0.850194552529	0.822957198444	0.815175097276	0.79766536965	0.851167315175	0.852140077821	0.856031128405	0.54766536965	0.540856031128	0.575875486381	0.544747081712	0.620622568093	0.583657587549	0.595330739299	0.566147859922	0.623540856031	0.587548638132	0.624513618677	0.550583657588	0.567120622568	0.530155642023	0.549610894942	0.696498054475	0.665369649805	0.661478599222	0.663424124514	0.5953307393	0.645914396887	0.599221789883	0.677042801556	0.599221789883	0.529182879377	0.599221789883	0.618677042802	0.667315175097	0.662451361868	0.68579766537	0.671206225681	0.93579766537	0.945525291829	0.891050583658	0.752918287938	0.937743190661	0.910505836576	0.756809338521	0.911478599222	0.877431906615	0.918287937743	0.770428015564	0.896887159533	0.963035019455	0.939688715953	0.721789883268	0.722762645914	0.683852140078	0.772373540856	0.5953307393	0.598249027237	0.54280155642	0.557392996109	0.503891050584	0.492217898833	0.746108949416	0.727626459144	0.673151750973	0.679961089494	0.731517509728
CD8	0.431906614786	0.464980544747	0.694552529183	0.614785992218	0.790856031128	0.750972762646	0.461089494163	0.0	0.36186770428	0.458171206226	0.764591439689	0.778210116732	0.635214007782	0.66439688716	0.472762645914	0.421206225681	0.928015564202	0.922178988327	0.937743190661	0.928015564202	0.770428015564	0.785992217899	0.961089494163	0.951361867704	0.832684824903	0.894941634241	0.864785992218	0.854085603113	0.821011673152	0.869649805447	0.869649805447	0.88326848249	0.571984435798	0.550583657588	0.566147859922	0.502918287938	0.620622568093	0.583657587549	0.594357976654	0.558365758755	0.624513618677	0.58560311284	0.624513618677	0.533073929961	0.560311284047	0.538910505837	0.56420233463	0.749027237354	0.737354085603	0.747081712062	0.752918287938	0.666342412451	0.725680933852	0.653696498054	0.714980544747	0.642996108949	0.581712062257	0.681906614786	0.676070038911	0.75486381323	0.737354085603	0.74513618677	0.753891050584	0.920233463035	0.928015564202	0.867704280156	0.801556420233	0.926070038911	0.892996108949	0.809338521401	0.892996108949	0.859922178988	0.898832684825	0.815175097276	0.871595330739	0.945525291829	0.926070038911	0.788910505837	0.77626459144	0.773346303502	0.843385214008	0.603112840467	0.600194552529	0.63326848249	0.636186770428	0.605058365759	0.583657587549	0.821011673152	0.787937743191	0.74513618677	0.770428015564	0.806420233463
CE7	0.43093385214	0.462062256809	0.686770428016	0.614785992218	0.791828793774	0.747081712062	0.455252918288	0.36186770428	0.0	0.449416342412	0.760700389105	0.77626459144	0.63326848249	0.65953307393	0.47373540856	0.423151750973	0.922178988327	0.920233463035	0.934824902724	0.926070038911	0.760700389105	0.775291828794	0.959143968872	0.948443579767	0.830739299611	0.891050583658	0.86186770428	0.849221789883	0.815175097276	0.865758754864	0.865758754864	0.879377431907	0.570038910506	0.549610894942	0.568093385214	0.503891050584	0.61673151751	0.579766536965	0.593385214008	0.556420233463	0.624513618677	0.58560311284	0.61673151751	0.531128404669	0.556420233463	0.534046692607	0.558365758755	0.743190661479	0.733463035019	0.744163424125	0.750972762646	0.669260700389	0.719844357977	0.649805447471	0.721789883268	0.645914396887	0.584630350195	0.678988326848	0.671206225681	0.750972762646	0.740272373541	0.742217898833	0.75486381323	0.91439688716	0.919260700389	0.862840466926	0.79766536965	0.918287937743	0.885214007782	0.801556420233	0.887159533074	0.857003891051	0.892996108949	0.809338521401	0.864785992218	0.93579766537	0.91439688716	0.784046692607	0.774319066148	0.766536964981	0.838521400778	0.5953307393	0.5953307393	0.626459143969	0.635214007782	0.597276264591	0.573929961089	0.821011673152	0.783073929961	0.743190661479	0.766536964981	0.805447470817
CE8	0.446498054475	0.41439688716	0.678988326848	0.554474708171	0.715953307393	0.668287937743	0.373540856031	0.458171206226	0.449416342412	0.0	0.678988326848	0.692607003891	0.578793774319	0.645914396887	0.423151750973	0.443579766537	0.896887159533	0.894941634241	0.931906614786	0.922178988327	0.72859922179	0.749027237354	0.925097276265	0.913424124514	0.803501945525	0.86186770428	0.832684824903	0.826848249027	0.805447470817	0.859922178988	0.857976653696	0.865758754864	0.552529182879	0.538910505837	0.578793774319	0.536964980545	0.626459143969	0.584630350195	0.594357976654	0.563229571984	0.622568093385	0.586575875486	0.628404669261	0.548638132296	0.571984435798	0.529182879377	0.545719844358	0.701361867704	0.684824902724	0.684824902724	0.696498054475	0.612840466926	0.667315175097	0.605058365759	0.682879377432	0.602140077821	0.538910505837	0.619649805447	0.629377431907	0.692607003891	0.684824902724	0.692607003891	0.697470817121	0.939688715953	0.945525291829	0.891050583658	0.768482490272	0.939688715953	0.910505836576	0.770428015564	0.910505836576	0.884241245136	0.91439688716	0.784046692607	0.892996108949	0.961089494163	0.941634241245	0.739299610895	0.737354085603	0.703307392996	0.787937743191	0.605058365759	0.604085603113	0.566147859922	0.575875486381	0.538910505837	0.513618677043	0.760700389105	0.741245136187	0.688715953307	0.699416342412	0.750972762646
