	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CB10	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.0254718525732	0.0200463134677	0.0203137437573	0.0186393507477	0.0196430238327	0.0227166301322	0.023823042598	0.0204797935613	0.0205611374897	0.0194402568665	0.0204519407792	0.0215057911673	0.0203699749861	0.0257231921507	0.0192938342522	0.0111742274463	0.0113637830857	0.0116028362098	0.0112045367296	0.0191218415509	0.0165358205143	0.0113536695544	0.0111014339437	0.0162200696659	0.016148692023	0.0160367349759	0.0155574401653	0.0159686151291	0.0161125557534	0.0151833136491	0.0148889895161	0.0215075071213	0.0216795078316	0.0235385968624	0.0184914886963	0.019053944717	0.0215468660786	0.0230974414501	0.0203256188514	0.0226796768524	0.0224009644147	0.0202512175172	0.0215108154461	0.0198649850834	0.0192406353056	0.0217758431699	0.0188915514847	0.0162420952907	0.0210337378743	0.021558834446	0.021679961766	0.0211682092395	0.0175754925794	0.0186264209406	0.0224306410596	0.0223940947714	0.0220592971478	0.0235601345635	0.0209530093299	0.0171482245663	0.0186220310947	0.0201693461817	0.0111095286294	0.00948043914596	0.0107954742405	0.0187458605705	0.00901471273238	0.011276849308	0.0191530122419	0.0107842311351	0.0135816060208	0.0105251839433	0.018795224344	0.0104533926655	0.00749921140255	0.0099564525929	0.0195027727053	0.0186577701309	0.0197800131763	0.0147946421555	0.0204551977758	0.0186589873006	0.020907328459	0.0226482124738	0.0218178235957	0.0212372510702	0.0167244917834	0.0173795419722	0.0194659406441	0.0175918846451	0.0184593752651
CA8	0.0254718525732	0.0	0.0215197963899	0.0200957883441	0.0169241020369	0.0212390065416	0.0202500680143	0.022130296746	0.0226077321956	0.0180916174192	0.020809264309	0.0215178527425	0.0199308027905	0.0189837415526	0.0185686706738	0.0239462789576	0.015164667672	0.0144373707808	0.0114577400658	0.0117227222452	0.0201398895071	0.0190787995029	0.0142537314232	0.0142613639226	0.0161619178411	0.0192535851339	0.0162090514677	0.0164274699602	0.0168689496396	0.0150262580106	0.0152291141776	0.0165733634675	0.0218462306464	0.0193688646228	0.0223523838386	0.0197595942801	0.017974842835	0.02152193332	0.0223141149559	0.0182506864585	0.0235944256548	0.0234663821812	0.0212562861806	0.0177914538321	0.0193829004832	0.0170609479108	0.0209186946991	0.0169827643019	0.0194973862834	0.0202270642381	0.0202771434376	0.0210668230693	0.0173599735261	0.0190988760631	0.0175226929949	0.0216628715603	0.0226175159899	0.0200726454736	0.0252935048831	0.0199897398321	0.0183136978107	0.019655583386	0.0203488460319	0.0103002473788	0.010835650227	0.0122145990488	0.0201334703707	0.0111068196968	0.0119478698317	0.0186371168582	0.0129106676696	0.0161314318009	0.0120052626149	0.0190869813914	0.012737159591	0.0086307677093	0.010427924821	0.0198021505057	0.0192999541045	0.0180640635177	0.0132680831096	0.020163340026	0.021250364588	0.0218732683977	0.0253298950291	0.0232553350934	0.0243077327677	0.0178212134459	0.0186776912987	0.0208263552737	0.0175522182239	0.0178042140432
CB7	0.0200463134677	0.0215197963899	0.0	0.0232154161744	0.0202829666043	0.0180640739945	0.0188286144587	0.0183880857494	0.0199026761907	0.020008429464	0.0209677719061	0.0198431658298	0.0214765549131	0.0192044534999	0.0189026580568	0.0202343983621	0.0144244661705	0.0136104894788	0.0114493956805	0.0135699517451	0.0192223806208	0.0171423963947	0.0154692018001	0.0168779224858	0.0198811267664	0.0170814350775	0.0172748952204	0.0168160924607	0.0193134521097	0.0167893760265	0.0165366788714	0.0151611728993	0.0176331469605	0.0176949135012	0.0199701892926	0.0168518319175	0.0189641917803	0.0186686913884	0.0174969581626	0.0174289533352	0.0170134045455	0.0170627781223	0.0198240817294	0.018227100979	0.0186764246817	0.0178367537051	0.0176645125694	0.0167723124962	0.018959391026	0.0192484239459	0.0166870733574	0.0193210938548	0.0185980312368	0.0145653593123	0.0172599017229	0.0187055048211	0.0208205295583	0.0202488343288	0.0224180828825	0.017680062112	0.0170894104418	0.0193312291992	0.0180543908491	0.0123924157974	0.0140107406085	0.01106872244	0.018438448448	0.0146290048227	0.0114849286776	0.0170539913162	0.0118334646727	0.0176204347166	0.0122808577618	0.0173616305073	0.0126915668031	0.0137912907381	0.0124321806294	0.01345909841	0.0187226259572	0.0129023828532	0.00873616680567	0.0177145286111	0.0186776912987	0.0148584518821	0.0171744268636	0.0182975696963	0.0178241972923	0.0126503434327	0.01240401687	0.0155021135115	0.0161012759219	0.0129709646319
CB8	0.0203137437573	0.0200957883441	0.0232154161744	0.0	0.0191481105735	0.021484898346	0.0179744953815	0.0215040310724	0.0210798271382	0.0215322807991	0.0224099179826	0.021611370984	0.0204510154014	0.0218344458167	0.0191204162954	0.0208516296389	0.0141425638489	0.0161316312431	0.012140077821	0.0119616742767	0.0201397109644	0.0176139891984	0.0161228064989	0.0147585245586	0.017897257163	0.0176847606938	0.0171243363499	0.0169291893006	0.0190789582153	0.0177491094469	0.0159302647482	0.0153370955043	0.0219858045096	0.021435583653	0.0224282531844	0.0197182515579	0.0191159022852	0.0195086815002	0.0187281543669	0.0202843848149	0.0199760166727	0.0233694680798	0.0188871932011	0.0207070437798	0.0206416015976	0.0207960091503	0.0216007985506	0.0199776082467	0.0199081525891	0.0208583903074	0.0201980665394	0.0203760688417	0.0198210361163	0.0157568812836	0.0171384767181	0.0220712448837	0.0189121070241	0.0232444193861	0.0235327429181	0.0198654328467	0.0194373847908	0.0223288252193	0.0215682867786	0.0115135654199	0.0128730132277	0.0110309053704	0.0202117044785	0.0129046268774	0.0124611464473	0.0208628085132	0.0115167702728	0.0146509809833	0.0118731887564	0.0195518613046	0.0120039225826	0.0113358531666	0.0123221653252	0.0183405980789	0.0204208899931	0.0176180823758	0.0141360320058	0.0195991854826	0.0178197691273	0.0210154197554	0.022349835183	0.0203388828105	0.0200575543206	0.016128803626	0.0168518319175	0.0176271462918	0.0195089822285	0.0185377016845
CC7	0.0186393507477	0.0169241020369	0.0202829666043	0.0191481105735	0.0	0.0173375014545	0.0166380977167	0.0159121015726	0.0152708244772	0.0173382328005	0.0218477812646	0.0190452915388	0.0187477988534	0.0195102238959	0.018547408007	0.0181946769325	0.0159615974475	0.0149296091973	0.0124040168701	0.0131669955163	0.0182914455614	0.0200271867031	0.0178265649004	0.0218748690092	0.0190695125277	0.0229978782889	0.0208405174166	0.0165618375551	0.0170743427373	0.0157361128593	0.0158257570671	0.0165174524388	0.0171040333495	0.0169381861014	0.0158201116148	0.0161090903958	0.0146456967901	0.0163860821021	0.016092340448	0.0147818317923	0.0156918283885	0.016243388615	0.0147932989319	0.0175384977647	0.0155966951685	0.0186491665347	0.0167661391864	0.01900793145	0.0164755554684	0.0184888786829	0.0173760025445	0.0168336737487	0.0179354219149	0.0162347178783	0.0182753495877	0.0154650905599	0.017233829382	0.0180576191412	0.0190359086811	0.0168832478569	0.0183385341976	0.0166608315927	0.0171885370345	0.00964588221993	0.0102912771178	0.00968228733644	0.0173529077788	0.00794422562797	0.0102001202605	0.016657275789	0.00947732448154	0.0151037307194	0.00994991165145	0.0155258647486	0.00982309187001	0.00566866112107	0.00935494259846	0.0150501063223	0.0196636311495	0.0144872545099	0.0131012747895	0.012993006806	0.0134736440735	0.0147677929161	0.0160012920756	0.0170124367489	0.0157103426036	0.0137522493512	0.0148123229611	0.0158950249797	0.0145807353733	0.0160938574768
CC8	0.0196430238327	0.0212390065416	0.0180640739945	0.021484898346	0.0173375014545	0.0	0.0209658312434	0.0183787792664	0.0223839934981	0.0206507681063	0.0197063177805	0.0204129553527	0.0207113572066	0.0223646658087	0.0209737732841	0.0189071028627	0.0146664608378	0.0143386533897	0.0114785332716	0.0129317589507	0.0183230889929	0.0186544935214	0.0176604408695	0.0157275475212	0.0191155062685	0.0207756596461	0.0179399797722	0.0184042476568	0.0173634617235	0.0151351364505	0.0173806199929	0.0154913054565	0.0205646624821	0.0211165687624	0.0201114624804	0.0184495303081	0.0178129707617	0.0188635608072	0.0183544200968	0.018201582273	0.0173515989913	0.0183354379401	0.0176636554474	0.0190097235447	0.0179771590206	0.020367141094	0.0192031427849	0.015823173805	0.0176371927704	0.0188042844672	0.0173232176487	0.0202960253224	0.0183886209348	0.0205326576858	0.0173006978344	0.0204666579113	0.0195137156622	0.0186351975302	0.0205754821833	0.0181726955122	0.0174775320089	0.0162281884615	0.0168462269974	0.0109243627209	0.0104547504147	0.0115711987414	0.0190879728971	0.00893779909153	0.0108751905461	0.0179366881026	0.0115187420468	0.0142601031825	0.0114335990568	0.0163679969273	0.0106940908242	0.00744595002143	0.0108868786173	0.0146782888752	0.0192557868196	0.0154299168116	0.0120779363387	0.0184124723301	0.0183183268498	0.0180271159946	0.0197356832028	0.0186615938051	0.0183437347336	0.0156225075227	0.0160346578223	0.0174297677086	0.0156425435963	0.0153307392996
CD7	0.0227166301322	0.0202500680143	0.0188286144587	0.0179744953815	0.0166380977167	0.0209658312434	0.0	0.023847561465	0.0262932182946	0.0185547532648	0.0184783837339	0.0201533414399	0.0207451755059	0.021001537763	0.0214055442164	0.0226005653281	0.0128533569307	0.012671494631	0.0108073711067	0.00957933664688	0.0209101524967	0.0188512767187	0.0120996032871	0.0118995394914	0.0170172306969	0.0164350141858	0.0158243817717	0.0160358852638	0.0168282427205	0.0156377033933	0.0163169618389	0.0152779488696	0.020031268612	0.0212392203962	0.0224737310085	0.0246030962252	0.0185532028414	0.0201076980372	0.0221309723264	0.01945341431	0.0216946484007	0.0216208703747	0.0204161166012	0.0198521671519	0.0194238949621	0.0186675559565	0.0201146899294	0.0179897349108	0.0204633379998	0.020009413143	0.0183446735621	0.0187192595994	0.0200801867969	0.0177024735043	0.0160783158606	0.0199472422598	0.0204505249342	0.022136444622	0.0235930219193	0.0191660508974	0.0206131686971	0.017825205953	0.0196979031487	0.00856994505657	0.00975674629788	0.0115520796523	0.0179252469619	0.00933041152391	0.0106421478307	0.0178701660983	0.011593943327	0.0139943190815	0.011794120285	0.0160479304492	0.0111295440357	0.0072866350701	0.0105089165394	0.018235332902	0.0174661259983	0.0180742859741	0.0143448818841	0.01958130372	0.0219933782302	0.0195144139403	0.0221835871401	0.0229554177242	0.0233659045473	0.0156027732189	0.0167719514145	0.0177211084344	0.0175669191364	0.0167212324736
CD8	0.023823042598	0.022130296746	0.0183880857494	0.0215040310724	0.0159121015726	0.0183787792664	0.023847561465	0.0	0.0239507043688	0.0222172770055	0.0193344890064	0.0181976723417	0.0219184298885	0.0192959528823	0.0261481711465	0.0230583408077	0.0107528779833	0.0117449800474	0.010533469927	0.0101666681351	0.0176618017789	0.0164920883419	0.00837839512576	0.00920073035757	0.014907485194	0.0142138432131	0.0131822224304	0.0138329994984	0.0163227137162	0.0140030661105	0.0128159623507	0.0129533272632	0.0215721472641	0.021846819721	0.0221917756161	0.0192814316758	0.0183654290019	0.0221395221939	0.0229061871432	0.0230439155579	0.0221319984848	0.0231831115462	0.0218998752514	0.0213218477232	0.0218067611122	0.0233859909101	0.023561556323	0.0158667577286	0.0187071235552	0.0187744299507	0.0189214212465	0.0193231311431	0.0182226253224	0.0176357226497	0.0190121127414	0.0204212606953	0.0209505524059	0.0201424922927	0.0226842826186	0.0191225541388	0.0182781971742	0.0196769085341	0.0197190193735	0.0101733673601	0.0102929136703	0.0113232079077	0.0176738846274	0.0100334042149	0.0111125264264	0.0185149724809	0.0123140532188	0.0143357097487	0.0113598687011	0.0164573961228	0.0132477987283	0.00889790198262	0.0100203996381	0.0170479977154	0.0160691909594	0.0172733175703	0.0105273594206	0.0200832496507	0.0215837947244	0.0196597809559	0.0210447480709	0.0208896423948	0.0220622568094	0.0176049722585	0.0133614393872	0.017228293813	0.0178176130517	0.0154776166465
CE7	0.0204797935613	0.0226077321956	0.0199026761907	0.0210798271382	0.0152708244772	0.0223839934981	0.0262932182946	0.0239507043688	0.0	0.0225982959046	0.0182845741588	0.0164059354645	0.0232255225274	0.0204352775678	0.0268672112026	0.0210187335018	0.0117635925741	0.0112734923135	0.0109630134408	0.0105679637305	0.019600778689	0.0171581212968	0.00770317466422	0.010191284711	0.0152817141627	0.0135062619952	0.0125933658278	0.0136982665996	0.0168362031327	0.0143563948387	0.0139573644116	0.0129170426243	0.0225502663389	0.022410517575	0.0220849258019	0.0202416456815	0.0193804398147	0.0226144281493	0.0227873672668	0.0208361671477	0.0213316889731	0.0224478549278	0.0229479223494	0.0215507567466	0.0191708690036	0.0225850181405	0.0232323010995	0.0164552340565	0.0195447745816	0.0194281815547	0.0198123931925	0.0224130846619	0.0194748830928	0.0177298208041	0.0204926160322	0.0204222244894	0.0210433900984	0.021807064863	0.0210838219431	0.0206635943871	0.0201601015905	0.0205288506329	0.0181774541621	0.0114458412741	0.0130413481356	0.0144171694339	0.0169305866329	0.0121451276537	0.0129238391102	0.0188014259665	0.0123705426709	0.0155375623178	0.0130900748008	0.0169606962784	0.0142202328455	0.0101312377292	0.0114414587423	0.0176518229139	0.0180954665971	0.0182464551463	0.0137028388886	0.0211498912609	0.022157432012	0.0207840385885	0.0230739627692	0.0197820414698	0.020963800125	0.0153567275628	0.0181637892194	0.0178721146382	0.0188840666401	0.0160079140407
CE8	0.0205611374897	0.0180916174192	0.020008429464	0.0215322807991	0.0173382328005	0.0206507681063	0.0185547532648	0.0222172770055	0.0225982959046	0.0	0.0198498504644	0.0211330619513	0.0210603988999	0.0208511304422	0.0205662821193	0.0192587351118	0.0131304797707	0.0133562684719	0.00969129401729	0.0110407660395	0.0195532551117	0.0165696175689	0.0126578662466	0.0140188429093	0.0169466197541	0.0163055332446	0.0166648295454	0.0168593434056	0.0172710056145	0.0145000379811	0.013742337402	0.0146261066782	0.020743679318	0.0203441301571	0.0231453412963	0.0230136728702	0.0192954134384	0.0183884150961	0.0220511281371	0.017549630279	0.0224675406509	0.0208938547203	0.0210301835169	0.0214076395085	0.018970328189	0.0195396128234	0.0224340157148	0.0180747152745	0.0200546857176	0.0215902822997	0.0223582759633	0.0219945484816	0.022712630875	0.017163635392	0.0157301946124	0.0216321416556	0.0222071293926	0.0214822996305	0.0231952310543	0.0216627055699	0.0215856885965	0.0183585440554	0.0198220195472	0.0103149541959	0.00907830967312	0.0122814895736	0.020299680258	0.00853487111152	0.0118195104879	0.0178215214105	0.0123430355926	0.0137208369483	0.011844063332	0.015849178534	0.0117712319242	0.00700742993175	0.0101297432039	0.0178019710356	0.0186497043757	0.021305509562	0.0155901898801	0.0196906383153	0.0225522888441	0.0223947708445	0.0237957627124	0.025594448169	0.0260086681092	0.0177758739703	0.0193467304016	0.0199502306612	0.021172276756	0.0195159655804
