	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CB10	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.389105058366	0.653696498054	0.56420233463	0.714007782101	0.667315175097	0.416342412451	0.437743190661	0.451361867704	0.447470817121	0.690661478599	0.671206225681	0.5953307393	0.643968871595	0.394941634241	0.334630350195	0.918287937743	0.906614785992	0.912451361868	0.91439688716	0.756809338521	0.750972762646	0.926070038911	0.929961089494	0.807392996109	0.871595330739	0.844357976654	0.842412451362	0.795719844358	0.863813229572	0.869649805447	0.873540856031	0.568093385214	0.509727626459	0.529182879377	0.517509727626	0.61673151751	0.570038910506	0.579766536965	0.570038910506	0.626459143969	0.575875486381	0.634241245136	0.511673151751	0.603112840467	0.554474708171	0.560311284047	0.694552529183	0.704280155642	0.714007782101	0.733463035019	0.612840466926	0.694552529183	0.657587548638	0.717898832685	0.647859922179	0.531128404669	0.626459143969	0.665369649805	0.731517509728	0.714007782101	0.719844357977	0.725680933852	0.929961089494	0.939688715953	0.902723735409	0.741245136187	0.928015564202	0.900778210117	0.760700389105	0.929961089494	0.879377431907	0.926070038911	0.780155642023	0.875486381323	0.95719844358	0.924124513619	0.768482490272	0.735408560311	0.725680933852	0.801556420233	0.605058365759	0.626459143969	0.63813229572	0.612840466926	0.587548638132	0.579766536965	0.762645914397	0.764591439689	0.715953307393	0.733463035019	0.756809338521
CA8	0.389105058366	0.0	0.647859922179	0.552529182879	0.684824902724	0.630350194553	0.394941634241	0.472762645914	0.466926070039	0.433852140078	0.630350194553	0.63813229572	0.601167315175	0.661478599222	0.31906614786	0.344357976654	0.894941634241	0.871595330739	0.918287937743	0.916342412451	0.735408560311	0.741245136187	0.896887159533	0.887159533074	0.789883268482	0.842412451362	0.836575875486	0.824902723735	0.77626459144	0.850194552529	0.86186770428	0.856031128405	0.570038910506	0.515564202335	0.538910505837	0.531128404669	0.624513618677	0.568093385214	0.581712062257	0.579766536965	0.632295719844	0.583657587549	0.642023346304	0.509727626459	0.610894941634	0.556420233463	0.56420233463	0.704280155642	0.698443579767	0.694552529183	0.700389105058	0.640077821012	0.677042801556	0.642023346304	0.700389105058	0.626459143969	0.525291828794	0.61673151751	0.686770428016	0.690661478599	0.700389105058	0.731517509728	0.715953307393	0.918287937743	0.939688715953	0.892996108949	0.696498054475	0.920233463035	0.892996108949	0.72373540856	0.918287937743	0.875486381323	0.912451361868	0.762645914397	0.865758754864	0.949416342412	0.920233463035	0.704280155642	0.74513618677	0.715953307393	0.752918287938	0.618677042802	0.645914396887	0.599221789883	0.570038910506	0.54280155642	0.535019455253	0.789883268482	0.715953307393	0.665369649805	0.717898832685	0.735408560311
CB7	0.653696498054	0.647859922179	0.0	0.550583657588	0.678988326848	0.696498054475	0.657587548638	0.651750972763	0.677042801556	0.661478599222	0.694552529183	0.647859922179	0.558365758755	0.517509727626	0.626459143969	0.655642023346	0.848249027237	0.826848249027	0.873540856031	0.863813229572	0.772373540856	0.743190661479	0.79766536965	0.766536964981	0.682879377432	0.717898832685	0.770428015564	0.77626459144	0.733463035019	0.799610894942	0.805447470817	0.803501945525	0.729571984436	0.729571984436	0.684824902724	0.717898832685	0.669260700389	0.721789883268	0.731517509728	0.721789883268	0.729571984436	0.729571984436	0.657587548638	0.717898832685	0.682879377432	0.727626459144	0.733463035019	0.735408560311	0.715953307393	0.774319066148	0.785992217899	0.692607003891	0.752918287938	0.688715953307	0.721789883268	0.694552529183	0.61673151751	0.706225680934	0.706225680934	0.780155642023	0.789883268482	0.749027237354	0.778210116732	0.894941634241	0.81906614786	0.879377431907	0.752918287938	0.811284046693	0.879377431907	0.768482490272	0.896887159533	0.803501945525	0.889105058366	0.764591439689	0.842412451362	0.836575875486	0.867704280156	0.848249027237	0.782101167315	0.850194552529	0.885214007782	0.698443579767	0.682879377432	0.729571984436	0.710116731518	0.686770428016	0.688715953307	0.896887159533	0.856031128405	0.809338521401	0.846303501946	0.871595330739
CB8	0.56420233463	0.552529182879	0.550583657588	0.0	0.647859922179	0.603112840467	0.556420233463	0.636186770428	0.643968871595	0.581712062257	0.667315175097	0.626459143969	0.486381322957	0.52140077821	0.54280155642	0.562256809339	0.859922178988	0.871595330739	0.910505836576	0.889105058366	0.712062256809	0.727626459144	0.852140077821	0.854085603113	0.752918287938	0.807392996109	0.803501945525	0.813229571984	0.727626459144	0.821011673152	0.863813229572	0.842412451362	0.68093385214	0.671206225681	0.63813229572	0.700389105058	0.620622568093	0.688715953307	0.684824902724	0.696498054475	0.696498054475	0.698443579767	0.636186770428	0.698443579767	0.645914396887	0.671206225681	0.667315175097	0.682879377432	0.669260700389	0.706225680934	0.708171206226	0.632295719844	0.696498054475	0.651750972763	0.708171206226	0.640077821012	0.579766536965	0.636186770428	0.677042801556	0.721789883268	0.725680933852	0.706225680934	0.712062256809	0.924124513619	0.900778210117	0.9046692607	0.694552529183	0.889105058366	0.879377431907	0.715953307393	0.912451361868	0.867704280156	0.902723735409	0.727626459144	0.863813229572	0.912451361868	0.898832684825	0.756809338521	0.737354085603	0.747081712062	0.787937743191	0.677042801556	0.665369649805	0.626459143969	0.589494163424	0.591439688716	0.605058365759	0.778210116732	0.75486381323	0.698443579767	0.747081712062	0.770428015564
CC7	0.714007782101	0.684824902724	0.678988326848	0.647859922179	0.0	0.552529182879	0.68093385214	0.787937743191	0.801556420233	0.721789883268	0.566147859922	0.498054474708	0.677042801556	0.667315175097	0.645914396887	0.706225680934	0.830739299611	0.828793774319	0.869649805447	0.885214007782	0.747081712062	0.733463035019	0.704280155642	0.692607003891	0.634241245136	0.671206225681	0.741245136187	0.743190661479	0.774319066148	0.822957198444	0.821011673152	0.784046692607	0.826848249027	0.824902723735	0.836575875486	0.859922178988	0.826848249027	0.834630350195	0.826848249027	0.854085603113	0.844357976654	0.844357976654	0.84046692607	0.84046692607	0.84046692607	0.824902723735	0.822957198444	0.698443579767	0.700389105058	0.694552529183	0.717898832685	0.710116731518	0.690661478599	0.698443579767	0.717898832685	0.70233463035	0.70233463035	0.698443579767	0.735408560311	0.698443579767	0.694552529183	0.712062256809	0.708171206226	0.937743190661	0.955252918288	0.918287937743	0.752918287938	0.939688715953	0.91439688716	0.764591439689	0.941634241245	0.867704280156	0.933852140078	0.768482490272	0.894941634241	0.974708171206	0.939688715953	0.74513618677	0.731517509728	0.743190661479	0.785992217899	0.859922178988	0.822957198444	0.729571984436	0.735408560311	0.725680933852	0.731517509728	0.807392996109	0.749027237354	0.735408560311	0.747081712062	0.768482490272
CC8	0.667315175097	0.630350194553	0.696498054475	0.603112840467	0.552529182879	0.0	0.649805447471	0.766536964981	0.768482490272	0.694552529183	0.488326848249	0.503891050584	0.649805447471	0.624513618677	0.61673151751	0.647859922179	0.834630350195	0.848249027237	0.898832684825	0.873540856031	0.741245136187	0.715953307393	0.752918287938	0.750972762646	0.655642023346	0.706225680934	0.750972762646	0.764591439689	0.756809338521	0.805447470817	0.842412451362	0.811284046693	0.789883268482	0.791828793774	0.793774319066	0.809338521401	0.785992217899	0.79766536965	0.789883268482	0.813229571984	0.805447470817	0.817120622568	0.799610894942	0.807392996109	0.799610894942	0.787937743191	0.791828793774	0.694552529183	0.690661478599	0.663424124514	0.694552529183	0.671206225681	0.649805447471	0.682879377432	0.700389105058	0.677042801556	0.677042801556	0.649805447471	0.700389105058	0.669260700389	0.677042801556	0.719844357977	0.692607003891	0.924124513619	0.93579766537	0.896887159533	0.688715953307	0.924124513619	0.900778210117	0.715953307393	0.929961089494	0.859922178988	0.922178988327	0.762645914397	0.871595330739	0.955252918288	0.924124513619	0.698443579767	0.737354085603	0.708171206226	0.747081712062	0.807392996109	0.791828793774	0.65953307393	0.669260700389	0.651750972763	0.661478599222	0.799610894942	0.706225680934	0.663424124514	0.708171206226	0.739299610895
CD7	0.416342412451	0.394941634241	0.657587548638	0.556420233463	0.68093385214	0.649805447471	0.0	0.443579766537	0.429961089494	0.367704280156	0.682879377432	0.655642023346	0.607003891051	0.667315175097	0.367704280156	0.412451361868	0.9046692607	0.889105058366	0.941634241245	0.931906614786	0.768482490272	0.762645914397	0.912451361868	0.912451361868	0.799610894942	0.873540856031	0.842412451362	0.838521400778	0.789883268482	0.871595330739	0.881322957198	0.867704280156	0.575875486381	0.519455252918	0.546692607004	0.535019455253	0.628404669261	0.573929961089	0.587548638132	0.575875486381	0.634241245136	0.575875486381	0.649805447471	0.52140077821	0.618677042802	0.560311284047	0.566147859922	0.68093385214	0.675097276265	0.682879377432	0.684824902724	0.593385214008	0.667315175097	0.608949416342	0.690661478599	0.601167315175	0.517509727626	0.612840466926	0.655642023346	0.684824902724	0.678988326848	0.696498054475	0.696498054475	0.945525291829	0.947470817121	0.900778210117	0.735408560311	0.93579766537	0.896887159533	0.768482490272	0.926070038911	0.889105058366	0.926070038911	0.766536964981	0.875486381323	0.961089494163	0.939688715953	0.731517509728	0.74513618677	0.696498054475	0.774319066148	0.579766536965	0.607003891051	0.570038910506	0.533073929961	0.511673151751	0.511673151751	0.75486381323	0.737354085603	0.675097276265	0.692607003891	0.729571984436
CD8	0.437743190661	0.472762645914	0.651750972763	0.636186770428	0.787937743191	0.766536964981	0.443579766537	0.0	0.402723735409	0.472762645914	0.774319066148	0.760700389105	0.65953307393	0.684824902724	0.437743190661	0.43579766537	0.918287937743	0.900778210117	0.926070038911	0.920233463035	0.791828793774	0.793774319066	0.943579766537	0.941634241245	0.811284046693	0.885214007782	0.871595330739	0.877431906615	0.77626459144	0.863813229572	0.88326848249	0.881322957198	0.605058365759	0.546692607004	0.548638132296	0.529182879377	0.647859922179	0.593385214008	0.618677042802	0.583657587549	0.655642023346	0.58560311284	0.651750972763	0.527237354086	0.618677042802	0.597276264591	0.601167315175	0.731517509728	0.74513618677	0.747081712062	0.756809338521	0.65953307393	0.733463035019	0.678988326848	0.712062256809	0.673151750973	0.56420233463	0.684824902724	0.68093385214	0.752918287938	0.75486381323	0.750972762646	0.762645914397	0.910505836576	0.916342412451	0.865758754864	0.787937743191	0.91439688716	0.887159533074	0.824902723735	0.896887159533	0.856031128405	0.902723735409	0.822957198444	0.842412451362	0.928015564202	0.908560311284	0.79766536965	0.77626459144	0.77626459144	0.857976653696	0.570038910506	0.597276264591	0.653696498054	0.620622568093	0.620622568093	0.608949416342	0.836575875486	0.801556420233	0.752918287938	0.778210116732	0.805447470817
CE7	0.451361867704	0.466926070039	0.677042801556	0.643968871595	0.801556420233	0.768482490272	0.429961089494	0.402723735409	0.0	0.439688715953	0.780155642023	0.762645914397	0.663424124514	0.68093385214	0.437743190661	0.461089494163	0.933852140078	0.924124513619	0.939688715953	0.93579766537	0.795719844358	0.784046692607	0.951361867704	0.953307392996	0.830739299611	0.891050583658	0.885214007782	0.871595330739	0.789883268482	0.88326848249	0.892996108949	0.891050583658	0.58560311284	0.531128404669	0.540856031128	0.509727626459	0.636186770428	0.573929961089	0.601167315175	0.56420233463	0.632295719844	0.573929961089	0.640077821012	0.515564202335	0.605058365759	0.581712062257	0.583657587549	0.737354085603	0.739299610895	0.74513618677	0.747081712062	0.645914396887	0.727626459144	0.673151750973	0.739299610895	0.667315175097	0.577821011673	0.665369649805	0.671206225681	0.747081712062	0.743190661479	0.743190661479	0.74513618677	0.916342412451	0.918287937743	0.877431906615	0.784046692607	0.91439688716	0.871595330739	0.826848249027	0.896887159533	0.857976653696	0.900778210117	0.822957198444	0.850194552529	0.928015564202	0.916342412451	0.805447470817	0.778210116732	0.768482490272	0.856031128405	0.554474708171	0.583657587549	0.634241245136	0.601167315175	0.58560311284	0.568093385214	0.821011673152	0.791828793774	0.747081712062	0.766536964981	0.805447470817
CE8	0.447470817121	0.433852140078	0.661478599222	0.581712062257	0.721789883268	0.694552529183	0.367704280156	0.472762645914	0.439688715953	0.0	0.700389105058	0.686770428016	0.61673151751	0.665369649805	0.406614785992	0.449416342412	0.9046692607	0.900778210117	0.941634241245	0.937743190661	0.760700389105	0.768482490272	0.926070038911	0.928015564202	0.813229571984	0.887159533074	0.863813229572	0.859922178988	0.795719844358	0.881322957198	0.881322957198	0.892996108949	0.577821011673	0.531128404669	0.552529182879	0.550583657588	0.636186770428	0.579766536965	0.593385214008	0.583657587549	0.630350194553	0.589494163424	0.657587548638	0.556420233463	0.624513618677	0.560311284047	0.568093385214	0.688715953307	0.671206225681	0.682879377432	0.68093385214	0.599221789883	0.675097276265	0.610894941634	0.700389105058	0.608949416342	0.515564202335	0.607003891051	0.630350194553	0.682879377432	0.682879377432	0.684824902724	0.686770428016	0.953307392996	0.95719844358	0.906614785992	0.749027237354	0.941634241245	0.898832684825	0.785992217899	0.922178988327	0.894941634241	0.924124513619	0.801556420233	0.871595330739	0.961089494163	0.941634241245	0.749027237354	0.737354085603	0.692607003891	0.787937743191	0.568093385214	0.589494163424	0.568093385214	0.529182879377	0.519455252918	0.505836575875	0.764591439689	0.750972762646	0.692607003891	0.710116731518	0.74513618677
