	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CB10	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.380612449129	0.74697951322	0.618332551228	0.757315967356	0.814483639579	0.467372379692	0.585372047744	0.414761253339	0.497840402181	0.801028179741	0.737264971424	0.638559850374	0.657159237495	0.38189182127	0.296306033916	0.908360023531	0.89563211763	0.904978075832	0.89448441247	0.765886287625	0.827884884046	0.923064168463	0.908930204206	0.797306791569	0.854905682762	0.819486326297	0.816412381491	0.790949020382	0.829625560743	0.833926453144	0.844577887672	0.542231142331	0.475921688279	0.521386329253	0.754081911885	0.560342534972	0.55808523059	0.59073406271	0.585662916135	0.575974801781	0.578460211005	0.594050237296	0.577311637233	0.535459305093	0.617163517293	0.492305479649	0.733147002063	0.710067114094	0.763678905688	0.660391343018	0.676834421821	0.784972170686	0.881246698362	0.8125	0.707580380192	0.681615828524	0.705349794239	0.669611055706	0.707161447402	0.784202467801	0.732952614046	0.668794377107	0.91532491602	0.926141769743	0.946343484566	0.715717596943	0.919027616409	0.917082917083	0.720190174326	0.909581338804	0.870700727844	0.915025749773	0.797863474506	0.916808912047	0.947915919363	0.91844679091	0.828072926877	0.78338540415	0.746539636887	0.943931471799	0.827697105545	0.725356220315	0.768271292146	0.680089485459	0.721019457386	0.616997705152	0.775970971644	0.868263473054	0.672389791183	0.71397251033	0.716353887399
CA8	0.380612449129	0.0	0.724886687045	0.560777808497	0.68870145155	0.764134918709	0.368802318094	0.497266653169	0.432915921288	0.400722021661	0.747928579764	0.672913789702	0.593649628338	0.611781346202	0.23667090406	0.321033210332	0.851691110446	0.835832146746	0.894670487106	0.888987698236	0.726909722222	0.792092706203	0.888723851962	0.870352453352	0.744470122153	0.808215506265	0.778946759928	0.76700971984	0.738760366652	0.800612726634	0.808754440243	0.805726428811	0.637414130385	0.569655950367	0.620686185733	0.696721311475	0.579627653267	0.550246791708	0.547345071399	0.667836843865	0.579464773348	0.659706306765	0.562145603858	0.666319429976	0.634775217227	0.706679326589	0.58518283661	0.703788573174	0.676822213652	0.711670480549	0.630180842779	0.638267148014	0.729338609384	0.853917662683	0.77262967567	0.638458702065	0.616674840608	0.660107684777	0.643394199785	0.654971932638	0.738219895288	0.70032879286	0.640906062625	0.915465396908	0.932665815469	0.915014898303	0.694183062447	0.919386211368	0.910687704674	0.698410404624	0.892748975592	0.866876397053	0.902742035673	0.758877840909	0.894084384515	0.947684105298	0.920820799312	0.786621507197	0.74099355328	0.70405831792	0.929968812022	0.759308191208	0.681502086231	0.694968175814	0.586662537421	0.642920550377	0.527004298262	0.758399629258	0.837332659763	0.614552069122	0.669689641274	0.693184443589
CB7	0.74697951322	0.724886687045	0.0	0.530477759473	0.651531151003	0.679572192513	0.715027661736	0.685311361116	0.7522591126	0.719058113908	0.65693722511	0.635367523969	0.51514324693	0.479886417416	0.73607995105	0.727347611203	0.837501275901	0.810797897754	0.846574947778	0.79208220006	0.727649943418	0.736771728749	0.853863871019	0.819499220398	0.736742097081	0.762768580486	0.826973492572	0.780911270983	0.764650091457	0.765418502203	0.81738316411	0.816695773664	0.912457912458	0.879545294076	0.849426767212	0.71580296649	0.816377171216	0.84606123151	0.853025140437	0.913462010707	0.875774473358	0.914478619655	0.793648097826	0.903974158183	0.858367880061	0.920977494122	0.895812984307	0.748871391076	0.702702702703	0.770766488414	0.772715894869	0.702914947424	0.752557787041	0.787030027757	0.753123816736	0.704710891361	0.671997585999	0.689229843562	0.72985004686	0.765330004681	0.770041064096	0.741718257847	0.764245942424	0.861951717103	0.863885451653	0.912813102119	0.762355415352	0.800597854756	0.870660522273	0.769492845323	0.882491186839	0.815789473684	0.873539340431	0.759906457061	0.872801563333	0.878392793647	0.882384211576	0.862553191489	0.792866351526	0.853840682788	0.912819042157	0.709602857743	0.696568702877	0.754621848739	0.720588235294	0.707988980716	0.750245269797	0.885501066098	0.877729257642	0.80183091007	0.846468459965	0.888086642599
CB8	0.618332551228	0.560777808497	0.530477759473	0.0	0.595646190417	0.682397747972	0.540162410723	0.558306188925	0.617943458486	0.549924887331	0.649701539428	0.582608695652	0.359328272372	0.457008964955	0.562936436885	0.575478512098	0.846071140579	0.821281840592	0.852561159572	0.824461960854	0.648813995921	0.737839066525	0.870584020064	0.842993396919	0.718590635141	0.788522012579	0.782591414944	0.739248451947	0.709271317829	0.760786085385	0.787292636548	0.790165189106	0.809181919304	0.756295485284	0.771654879774	0.621684981685	0.729250494442	0.712438423645	0.72167225722	0.826191024166	0.750350238162	0.818062643382	0.699238964992	0.818315287209	0.784114267643	0.838284352661	0.781113569763	0.688860317752	0.671808214087	0.67364496702	0.680136839855	0.600991325898	0.692863595303	0.811150741506	0.736683719531	0.599305957201	0.552302302302	0.613080379431	0.609696969697	0.682233371928	0.705384063173	0.685933213509	0.677103518613	0.89914686167	0.915444076353	0.928571428571	0.73733615222	0.876613246348	0.88315976632	0.741342270345	0.887620525324	0.840218712029	0.886168100596	0.724312989736	0.891891891892	0.926742169166	0.908243465546	0.746701846966	0.716476932295	0.721236405266	0.917542774686	0.725951331047	0.632455805672	0.630306988896	0.609032602886	0.58701718314	0.552182609719	0.789277736411	0.802974628171	0.696542311192	0.728273539697	0.786681506214
CC7	0.757315967356	0.68870145155	0.651531151003	0.595646190417	0.0	0.594725111441	0.692661509513	0.769515669516	0.780640272779	0.711682743837	0.541936613553	0.372802197802	0.595223286478	0.619037223011	0.694341417023	0.739180500912	0.758233390444	0.738134566678	0.832236842105	0.807070327191	0.713230200877	0.740915208614	0.742857142857	0.696865311746	0.686335150973	0.677745544965	0.707776469774	0.655828992276	0.765610859729	0.770362985985	0.757330775555	0.733626198083	0.904408304136	0.883405056482	0.895652173913	0.831442463533	0.878498001142	0.862365242766	0.855290456432	0.914855244423	0.874018060348	0.911128284389	0.865278334001	0.912681519323	0.903482912982	0.925463812436	0.89119880493	0.766855579441	0.761947165331	0.668301946511	0.727554891367	0.704937971297	0.654584934024	0.784246575342	0.692204974128	0.70337922403	0.687610740085	0.681935571564	0.734991887507	0.680528238269	0.666561014263	0.759580475998	0.735081967213	0.924476870039	0.933128171006	0.936227113763	0.823276633841	0.937148217636	0.918825322067	0.818248042251	0.916826003824	0.848172649387	0.924146950422	0.774684748989	0.91511517829	0.976383118303	0.926132757964	0.723423923091	0.703511053316	0.731249013106	0.904194470925	0.811997073884	0.809378468368	0.649296032181	0.714453067799	0.678258043549	0.745537990821	0.810883140054	0.780632411067	0.75814182131	0.736767619587	0.804088081367
CC8	0.814483639579	0.764134918709	0.679572192513	0.682397747972	0.594725111441	0.0	0.753547031004	0.757599684169	0.824965132497	0.76057483731	0.435719989353	0.579797221179	0.676253081348	0.71832940197	0.769419460343	0.792134167946	0.836763330215	0.80412515785	0.885741414781	0.846118405897	0.767143709004	0.641604010025	0.878900052882	0.848001656658	0.833155908255	0.82850360993	0.839032593898	0.785403050109	0.855578573542	0.86515663289	0.85049833887	0.844529456771	0.932785834935	0.913763740517	0.92778441524	0.80265654649	0.911730545877	0.896176442261	0.890160183066	0.941305712492	0.907774063598	0.93888	0.901623777419	0.939646635743	0.933634808115	0.948518009836	0.923185941043	0.836714975845	0.835398013001	0.703550973654	0.800741289844	0.780791320996	0.670716588148	0.665930831494	0.679960366609	0.776673293572	0.748467397362	0.752729964834	0.807982444109	0.735863671572	0.697428833792	0.833458929917	0.813507504169	0.926418861108	0.945376899394	0.891296869625	0.852864583333	0.910400720396	0.887179487179	0.847806823217	0.892734642969	0.85963946608	0.901502245625	0.802231866088	0.879105839416	0.969688542825	0.92799188641	0.690303907381	0.773709902371	0.730075359671	0.834968777877	0.795674445077	0.811952797868	0.661450924609	0.755076923077	0.71380952381	0.779966044143	0.856422864167	0.692208628461	0.802037845706	0.765649452269	0.855132754191
CD7	0.467372379692	0.368802318094	0.715027661736	0.540162410723	0.692661509513	0.753547031004	0.0	0.44160899654	0.420303456906	0.278421872296	0.733971532939	0.665124106016	0.571832083374	0.609974536834	0.382562975751	0.414657285161	0.860844981938	0.849677248209	0.901307966706	0.890702736318	0.722497704316	0.784875183554	0.901210716126	0.879190751445	0.751705132621	0.820471559505	0.783430319755	0.774434964826	0.74177873206	0.807582594264	0.815620542083	0.817064688152	0.690787316753	0.616374269006	0.65887364921	0.687306501548	0.610987928061	0.583796773086	0.584662220934	0.716284659627	0.611962899867	0.71053549625	0.587439679195	0.712353973212	0.678574905091	0.748663701267	0.645785503444	0.66377788477	0.634373733279	0.65367965368	0.62331838565	0.579330143541	0.71320754717	0.841739130435	0.767611631585	0.623213936191	0.597490852065	0.604173187272	0.588250675499	0.604750695485	0.710236589365	0.6534914361	0.633327474073	0.92571933882	0.936004490913	0.927211172239	0.74249888043	0.922773654917	0.913199957659	0.748978046934	0.900528501321	0.868285439776	0.906758153962	0.765845401542	0.906140555685	0.951819940215	0.929278327588	0.770066780149	0.739866908651	0.659619203364	0.923723536737	0.740384615385	0.62250953794	0.667922567234	0.548194766479	0.574087329993	0.471604447975	0.709507185191	0.81641053787	0.646888567294	0.643210673553	0.708134358559
CD8	0.585372047744	0.497266653169	0.685311361116	0.558306188925	0.769515669516	0.757599684169	0.44160899654	0.0	0.48125	0.427430093209	0.75931763397	0.754380925022	0.594353063075	0.601266538505	0.507306070413	0.522518063941	0.907341970946	0.898893073148	0.925879220961	0.912773793371	0.765340364334	0.763242090295	0.953165922046	0.934478484151	0.780432784694	0.86038988678	0.882178007505	0.853365384615	0.768215417107	0.833044517478	0.862865947612	0.86726506188	0.77123105557	0.700563418991	0.737396718956	0.551948051948	0.686486486486	0.641068308512	0.628088888889	0.787586738628	0.681274900398	0.786323947807	0.648228815649	0.787350525861	0.755555555556	0.817738670632	0.730632461265	0.748688987495	0.734191439371	0.726712214631	0.736546951438	0.6379048583	0.698712294937	0.777216352779	0.708090957166	0.613660062565	0.549508476991	0.647961358147	0.645793659684	0.726764705882	0.711615487316	0.743696603459	0.749320652174	0.914109419992	0.929602733874	0.879374862426	0.798193881312	0.910496873972	0.88291551949	0.807014253563	0.875031055901	0.846343929013	0.883108859508	0.800692383778	0.864451827243	0.941776166742	0.920207253886	0.794146533098	0.753391209984	0.74995843724	0.895822588963	0.648155339806	0.570101596517	0.655600854203	0.621870680387	0.607265250171	0.543715120914	0.826220448265	0.792070856179	0.719145670802	0.756965026675	0.813028851055
CE7	0.414761253339	0.432915921288	0.7522591126	0.617943458486	0.780640272779	0.824965132497	0.420303456906	0.48125	0.0	0.417689243028	0.800918150263	0.770666666667	0.63193889333	0.653824408368	0.434000728067	0.38010409794	0.904997814367	0.897569303309	0.915899393667	0.910219399538	0.735903046625	0.808380619817	0.945036319613	0.92907227616	0.795318243374	0.862348707884	0.846781042976	0.821931169012	0.759550561798	0.823607754156	0.828356533453	0.837206752905	0.638634024079	0.552619942516	0.594466403162	0.704153354633	0.55700023218	0.531143536672	0.551663510955	0.663071222725	0.560121132949	0.661929443237	0.575549188157	0.658388407701	0.614077444517	0.695873130294	0.585502437001	0.716366879738	0.70841149546	0.724918754586	0.723298934474	0.651109945814	0.735418703161	0.862392295996	0.780914124416	0.659232827832	0.631713554987	0.667202420346	0.640593662254	0.722383439737	0.739979013641	0.711784409257	0.723524656427	0.895367361244	0.900938135538	0.901992327682	0.773453787352	0.897878535774	0.88657917425	0.781298408675	0.870383154988	0.840527288803	0.878944200843	0.780147944263	0.864825277255	0.915898431182	0.902202550321	0.802758141152	0.767552703941	0.751072961373	0.933656957929	0.755064456722	0.645569620253	0.72355852227	0.655488108269	0.658630253894	0.592371655821	0.799083327072	0.828019323671	0.74112881923	0.745868170329	0.778077470593
CE8	0.497840402181	0.400722021661	0.719058113908	0.549924887331	0.711682743837	0.76057483731	0.278421872296	0.427430093209	0.417689243028	0.0	0.740620537453	0.68097497843	0.575117136876	0.613377566574	0.41648676741	0.446870216708	0.869419107057	0.863993497697	0.909671972986	0.897846056383	0.717289281021	0.776461693548	0.916557677217	0.894883857689	0.758106309966	0.827132389557	0.7946814337	0.783330793844	0.746878937121	0.815174586506	0.822160598023	0.82581100141	0.713379114374	0.636266603416	0.677992846623	0.675324675325	0.62425	0.589503803475	0.584218289086	0.730465701153	0.612886696983	0.728762777582	0.588450645852	0.731379414689	0.696011816839	0.763925029227	0.662974858788	0.671028954687	0.660137201422	0.65684033209	0.661958656814	0.589191306051	0.710239378368	0.841536614646	0.763747964424	0.604488078541	0.589452245685	0.59888758156	0.589214203079	0.638858397366	0.710431221392	0.667618407793	0.670436187399	0.923263048738	0.932929004638	0.915073690355	0.759611001368	0.925369575584	0.909238953425	0.763218745183	0.894594594595	0.870150717917	0.90175910795	0.762454318138	0.896038415366	0.947028191776	0.92676056338	0.761924064316	0.739516628796	0.665105105105	0.921460892049	0.731903485255	0.622608695652	0.659831121834	0.566262328534	0.578688927081	0.492069947133	0.737273404519	0.806296086217	0.667686839767	0.666593066902	0.732651208846
CF7	0.801028179741	0.747928579764	0.65693722511	0.649701539428	0.541936613553	0.435719989353	0.733971532939	0.75931763397	0.800918150263	0.740620537453	0.0	0.532991332036	0.645040548971	0.68861162729	0.747299729973	0.776665908574	0.828133798851	0.791789643145	0.876745082916	0.836385836386	0.746410803127	0.654389622423	0.865501584854	0.829744616925	0.811444652908	0.811458133742	0.810207585453	0.74734406227	0.842808639746	0.849345261247	0.827434651862	0.820706128238	0.926040237769	0.905624764062	0.918664327941	0.808056350429	0.903400371537	0.887394957983	0.878281862992	0.934886591575	0.897948974487	0.932693819783	0.890403389206	0.933893614841	0.925229165418	0.941392261333	0.914952559041	0.815499012432	0.812264150943	0.682011935209	0.774886877828	0.756482183472	0.641743119266	0.699835796388	0.671402383135	0.747917648908	0.729597197898	0.726701570681	0.780782357574	0.708978328173	0.671150971599	0.805042827844	0.789179848465	0.921814493823	0.936321662178	0.894867037724	0.837367704076	0.908995596561	0.890915593705	0.831961517905	0.892894229343	0.846984461417	0.899469339623	0.784924030093	0.8777329654	0.963026998271	0.924563017479	0.683236382866	0.745670460168	0.717807054824	0.83729077462	0.792241603749	0.793227020247	0.65070275898	0.735870818916	0.706207201237	0.769342126428	0.83999054597	0.690066996796	0.784024577573	0.740393454679	0.839294117647
