	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CB10	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.543407501922	0.620141693158	0.605590873956	0.588480152327	0.609431551061	0.573250289529	0.625286925788	0.587415346573	0.585750805291	0.595566934809	0.611294225821	0.626057607188	0.617930023166	0.520316774735	0.552611592822	0.651860204462	0.648536815014	0.669329981264	0.631278533389	0.666811256879	0.670512992772	0.671265266202	0.657124016293	0.693146302602	0.654095841479	0.651649553841	0.622030795002	0.642063184713	0.627726337278	0.655703272673	0.638251687593	0.82361237614	0.791400116541	0.801542762707	0.793612585641	0.801720239731	0.792117152268	0.810230879623	0.801695841781	0.78423936893	0.795319824088	0.787360943034	0.794963923262	0.807467677791	0.733895596154	0.698648148137	0.692123514037	0.654067724736	0.681176559353	0.672204019781	0.69950450438	0.671060430627	0.633196185654	0.67918236759	0.64303083788	0.666041681954	0.657504886654	0.682980910392	0.612897717013	0.666714840266	0.669980028086	0.634940928879	0.680929797018	0.721064224405	0.717207729557	0.64949126424	0.727631793246	0.74377647446	0.676758347376	0.709697367812	0.70055639044	0.704846474369	0.687093271182	0.704050042872	0.726651292796	0.727320312979	0.706930736085	0.658268704267	0.667218203244	0.722125128165	0.676626078244	0.686131447792	0.710080858082	0.66104870466	0.678020603475	0.691507965945	0.693682048715	0.733419767824	0.690996734502	0.698616680536	0.722188993739
CA8	0.543407501922	0.0	0.620345002537	0.582792225837	0.615196120616	0.628249827538	0.599183456331	0.66402861788	0.600929571954	0.544921925341	0.632113184487	0.619500738001	0.598420120274	0.654897170231	0.525746028017	0.573756848472	0.636002759731	0.622947854542	0.636890501658	0.678285146125	0.678488488761	0.658136962468	0.64705713781	0.664797162067	0.681675014533	0.62322005386	0.646072172282	0.625433022545	0.635477268959	0.654705439825	0.638859449118	0.634142407861	0.836125310321	0.799807557343	0.823033453351	0.796736658511	0.825618180757	0.811281441088	0.813373597117	0.81619135917	0.787608691005	0.811368550904	0.805833840233	0.806708168753	0.821649568511	0.723067420591	0.724892428961	0.731307771375	0.697319357008	0.723864792667	0.716121852105	0.722747669602	0.714562739573	0.678314330452	0.732410835413	0.710790043494	0.69368326828	0.705454989636	0.715378387321	0.672176299502	0.675164011639	0.691449803875	0.65645059432	0.727168263732	0.734060827503	0.728297577	0.699341160374	0.73254995931	0.763394342158	0.693241101751	0.721605667651	0.696528032812	0.712309871765	0.714958955611	0.724685303796	0.757813852444	0.717144323536	0.716593416054	0.698337472677	0.713834404455	0.726608075673	0.678817147261	0.704842351011	0.745600872609	0.706369539538	0.701798788023	0.718884809085	0.701638301247	0.74086362119	0.691760312218	0.733121183396	0.740877971727
CB7	0.620141693158	0.620345002537	0.0	0.56602736302	0.553944288129	0.623751806859	0.585127556037	0.6592249278	0.642113627627	0.619793944772	0.604789015246	0.544700558271	0.573599639468	0.559926235602	0.59166823092	0.66566260911	0.620083057461	0.625283944338	0.697623256355	0.60407843082	0.713999678153	0.688163586247	0.576466813224	0.567779942576	0.599278284028	0.552371460825	0.640034521357	0.594006060052	0.654723680192	0.650703873841	0.638129574763	0.580388282194	0.894869638039	0.879631444431	0.88661374458	0.872787082534	0.883770442965	0.870176262486	0.874372777986	0.857888321376	0.861570998317	0.876689655343	0.868717157991	0.874902044026	0.866079836724	0.807814711464	0.799771898865	0.776793651827	0.739725467	0.760957838967	0.750584608476	0.745281416116	0.753878750422	0.715723150721	0.725697206682	0.721531893201	0.719327028072	0.740265176489	0.741892147397	0.723621236661	0.730138754145	0.756294248191	0.736029785594	0.767672889744	0.774266565293	0.775967279866	0.770067661732	0.795948634222	0.769510274949	0.753511884247	0.719790250717	0.735232031305	0.733283924848	0.722699320131	0.765764876939	0.795536204111	0.803909333297	0.769578386448	0.733726310639	0.724224922308	0.767567879256	0.749781533575	0.766424227868	0.757128365794	0.678456248245	0.74363457884	0.766545140361	0.75710653068	0.762673811262	0.782377880532	0.7347742998	0.766863709494
CB8	0.605590873956	0.582792225837	0.56602736302	0.0	0.558925546322	0.619165464989	0.576788297067	0.643695430212	0.610202964125	0.616180301238	0.611740199978	0.563786521729	0.573217730646	0.57983271477	0.582610227914	0.649383313899	0.643465397932	0.644380257871	0.695565003778	0.655496453478	0.693821339379	0.675164093643	0.636171379101	0.622439052405	0.631247568682	0.61420847271	0.666992767038	0.589584926822	0.62850266813	0.643234533276	0.634965707541	0.63098460109	0.882072798678	0.855070450871	0.867399465452	0.844732274617	0.873937518184	0.863423226354	0.862581201979	0.836806294023	0.836596520417	0.857781972165	0.864991151773	0.858423311895	0.869662116331	0.818404714332	0.775517776882	0.751976664389	0.709934496764	0.735928456421	0.733953043663	0.749567098624	0.710992958909	0.702932212141	0.694870979963	0.693697001289	0.721940902915	0.715893954984	0.700646115113	0.695205217006	0.719124681648	0.728008005273	0.730232796163	0.732329896727	0.77760329825	0.776487257852	0.725358186892	0.790774075296	0.79034737849	0.735437926947	0.743654572854	0.749384889463	0.731877772949	0.696686797893	0.78711519534	0.780083648163	0.779956698252	0.716131666832	0.710644390092	0.687204468713	0.738774133626	0.714969439782	0.743876210373	0.732175073795	0.682215163897	0.724571687534	0.706510072091	0.723303007998	0.746076695391	0.724090829976	0.694586387081	0.724279645892
CC7	0.588480152327	0.615196120616	0.553944288129	0.558925546322	0.0	0.543476054253	0.551086431079	0.669687274702	0.647491453589	0.589466732449	0.535920803417	0.422425997777	0.593755226039	0.607290100857	0.580202202313	0.636227488078	0.633300005679	0.614073404215	0.661935044945	0.629820366551	0.693512708987	0.665131737487	0.575946055985	0.571243942523	0.598849249539	0.564954525718	0.629870803562	0.599567728907	0.602144978766	0.603057119717	0.618229986577	0.607391426896	0.879297271886	0.869182444652	0.883863926679	0.866737260992	0.886436746206	0.868334734246	0.878612567496	0.853288063237	0.837592942176	0.859297561337	0.865001602589	0.863097823411	0.873628538448	0.810783827051	0.80082959483	0.754020885384	0.728098734165	0.727628650354	0.73378613019	0.731115943259	0.72173530836	0.667126302801	0.687879338357	0.684593582436	0.684908906622	0.68850463185	0.700773434226	0.682898865054	0.722399323159	0.721361716095	0.72677781307	0.744861025119	0.740570550483	0.748884568339	0.723204605161	0.781336982953	0.768777747522	0.743267012756	0.729851580695	0.72498239639	0.727098019362	0.702942918852	0.760641052167	0.778568244019	0.781905793388	0.724847558929	0.727446436565	0.673758558969	0.728036018724	0.723414458171	0.738231871831	0.702580095316	0.667036741987	0.726627435381	0.723674788553	0.753367348228	0.741883093874	0.748210418663	0.675576340189	0.718942286985
CC8	0.609431551061	0.628249827538	0.623751806859	0.619165464989	0.543476054253	0.0	0.576839563296	0.684916288753	0.647399474746	0.598395602078	0.508454808546	0.547135588167	0.641103494118	0.639414080337	0.580240974152	0.671676639337	0.642093088828	0.653963517975	0.700591570758	0.678841945556	0.683765420414	0.66764049867	0.643429779587	0.62209318131	0.640497074218	0.628882646009	0.608609260188	0.624218745856	0.631668610079	0.616680579106	0.619091878331	0.614250550008	0.887757438969	0.880196105181	0.888725501866	0.870856375519	0.894964225771	0.881218936081	0.880678616015	0.867313999296	0.858712967715	0.874111722398	0.8780591759	0.880695566284	0.883017414582	0.825482175317	0.813958681542	0.725679290069	0.704438832025	0.718586744788	0.727497443257	0.733671696712	0.706328186094	0.690807476372	0.691829629887	0.663015973131	0.687629598433	0.658724810278	0.690122754579	0.682335138031	0.717649846878	0.682667081589	0.734539085976	0.777571844231	0.750232691233	0.737202756158	0.705766551683	0.778321763274	0.737140347238	0.73951246075	0.715848784814	0.686094937621	0.707154542699	0.674861915298	0.747827707556	0.782891488065	0.802376423673	0.715678623118	0.684176667259	0.687711860245	0.701778625175	0.727409878573	0.727509338154	0.726735775733	0.681257146865	0.743630403053	0.731160651917	0.752569946046	0.70115017445	0.751270130686	0.689351845312	0.699385121881
CD7	0.573250289529	0.599183456331	0.585127556037	0.576788297067	0.551086431079	0.576839563296	0.0	0.589499287268	0.566868573137	0.534773529228	0.581091507139	0.532379647148	0.572993312093	0.599065508323	0.558315897176	0.602781505539	0.62974908519	0.634334592196	0.674585105809	0.626082894528	0.683324015825	0.676285182474	0.658978519342	0.594609112482	0.636474415271	0.569615798563	0.619525819552	0.594744574557	0.61871228129	0.617266110726	0.623985057371	0.590201967923	0.843837042901	0.834271111583	0.828324549334	0.809956303431	0.848773186213	0.831037183907	0.821712053253	0.804370102197	0.799224396008	0.83131868842	0.830510260874	0.830902973805	0.829613172769	0.779143432417	0.730832446893	0.728660265959	0.674214534321	0.727679560113	0.702430101366	0.704783590847	0.695268239935	0.662936742245	0.680932414923	0.685372484425	0.686734127636	0.692358784311	0.692053067982	0.630928483931	0.672763997305	0.693529937996	0.684335414184	0.709950413573	0.756977573717	0.748006974045	0.685733541832	0.75568907791	0.782040757083	0.710966800515	0.720114674674	0.715516395687	0.728453714722	0.684362048651	0.756896281039	0.766657420386	0.750728045244	0.687543284419	0.692697403838	0.662859540554	0.697452328964	0.686548028372	0.700055758542	0.722741176053	0.637582794414	0.655895787128	0.684123397324	0.705389126454	0.711183737631	0.702109603378	0.663289855843	0.701519320928
CD8	0.625286925788	0.66402861788	0.6592249278	0.643695430212	0.669687274702	0.684916288753	0.589499287268	0.0	0.552840543494	0.621274657036	0.698052946197	0.655370719489	0.686081853488	0.668077814266	0.634591043949	0.617698936793	0.723110314218	0.728336388376	0.763071287509	0.664406235031	0.724471551049	0.717698369733	0.725800410498	0.732649912063	0.735937738413	0.694035997671	0.667690376498	0.676050180445	0.673788559222	0.632798992012	0.690199590239	0.678902746459	0.83247989909	0.809155005746	0.819338867466	0.795108333905	0.830166458339	0.79636730201	0.814118091205	0.785160354072	0.745204541498	0.80499837618	0.799400468079	0.802243296423	0.792223358355	0.73035371959	0.740826265371	0.701586431502	0.67778970306	0.710118999811	0.676381916221	0.695174266945	0.704792778754	0.681354243674	0.679633258993	0.681595295372	0.687124297392	0.646540775065	0.679263230151	0.640286499197	0.655608190602	0.68791205816	0.649233997041	0.693604607442	0.7338550514	0.735540056452	0.701518123179	0.747793463358	0.708139761892	0.705231599457	0.693388116878	0.709886610593	0.719944092309	0.664788176812	0.724530751374	0.753082135696	0.717298977226	0.728902793865	0.687178335878	0.653283587366	0.723911454537	0.671406794075	0.680660460429	0.681332576002	0.609687579944	0.655885518215	0.667980833033	0.680770847763	0.7351198873	0.700372336471	0.660232800841	0.692943188866
CE7	0.587415346573	0.600929571954	0.642113627627	0.610202964125	0.647491453589	0.647399474746	0.566868573137	0.552840543494	0.0	0.509982017904	0.63407290193	0.626077412909	0.627855430393	0.677563347269	0.54550686992	0.566597110761	0.657136309171	0.687302400371	0.697510205931	0.677584379874	0.689134299435	0.673359034568	0.6980405647	0.695072767346	0.698535107205	0.671020634454	0.665490553889	0.659538989415	0.610845393185	0.668824830835	0.684603297965	0.675156104624	0.835820115292	0.818084459519	0.827605064643	0.801293832221	0.838787464962	0.808634723423	0.824683380364	0.80469634901	0.7803983505	0.815222870225	0.819204878292	0.820091240358	0.813143315094	0.733651512821	0.71964508282	0.655672366954	0.624392022856	0.663073452566	0.670345802937	0.682572036261	0.662542803752	0.658845326789	0.642679689204	0.663557009864	0.677164905125	0.619756498811	0.649705827507	0.62616663734	0.633354326241	0.63655768817	0.635934285278	0.706083181729	0.709176876731	0.731955767769	0.697959542066	0.694728873696	0.763135130971	0.67222964539	0.736877808001	0.698397351659	0.718492702143	0.703976223215	0.727858286676	0.731345106763	0.727016194197	0.722999797631	0.632046579723	0.704679185728	0.732224607085	0.631439979156	0.645995223629	0.650072327201	0.595173334623	0.669502623509	0.683382391705	0.706044535531	0.723115194737	0.698376872709	0.716153277407	0.700992657813
CE8	0.585750805291	0.544921925341	0.619793944772	0.616180301238	0.589466732449	0.598395602078	0.534773529228	0.621274657036	0.509982017904	0.0	0.593724293984	0.592414631767	0.589467214147	0.648221587478	0.546579558404	0.607188628966	0.660398750046	0.65746097633	0.656310003248	0.678391426785	0.668036275915	0.644791715749	0.68673421398	0.686254674115	0.678302746817	0.63607837922	0.638751746604	0.646205151816	0.607582553189	0.628669808074	0.632806864039	0.644933146724	0.851692515201	0.82025346338	0.835894878431	0.816316147598	0.845573158769	0.83473740683	0.8286210864	0.830735974241	0.793172986987	0.824846265432	0.822136135508	0.827350666941	0.838088096428	0.748633459907	0.743198287784	0.682143887305	0.679431312584	0.680360714139	0.664242022886	0.676935625405	0.678774213726	0.623202035622	0.627890472075	0.64963513666	0.656623784821	0.630686086617	0.632806829043	0.6416342069	0.673913008706	0.628979949484	0.654839052997	0.748447500003	0.706705285106	0.714878156085	0.696487252313	0.729256608229	0.735726314385	0.704406746251	0.727437920383	0.715353889012	0.709147964802	0.699594546181	0.707791294284	0.760468046793	0.768759120513	0.677870229557	0.64560569888	0.673386004591	0.689287774911	0.612277763609	0.637297108806	0.607311434613	0.607417514563	0.661391533876	0.6786138976	0.662941943447	0.670493678671	0.699048749095	0.68274787615	0.671573340958
