	CA7	CA8	CB7	CB8	CC7	CC8	CD7	CD8	CE7	CE8	CF7	CF8	CG7	CG8	CH7	CH8	CA1	CA2	CB1	CB2	CC1	CC2	CD1	CD2	CE1	CE2	CF1	CF2	CG1	CG2	CH1	CH2	CA5	CA6	CB5	CB6	CC5	CC6	CD6	CE5	CE6	CF5	CF6	CG5	CG6	CH5	CH6	CA11	CA12	CB11	CB12	CC11	CC12	CD11	CD12	CE11	CE12	CF11	CF12	CG11	CG12	CH11	CH12	CA3	CA4	CB3	CB4	CC4	CD3	CD4	CE4	CF3	CF4	CG3	CG4	CH3	CH4	CA9	CA10	CB9	CB10	CC9	CC10	CD9	CD10	CE9	CE10	CF9	CG9	CG10	CH9	CH10
CA7	0.0	0.478201498603	0.635159793698	0.590062009491	0.588826609194	0.628328769753	0.597836361739	0.643364489501	0.617848027327	0.586678703154	0.598881799454	0.586796021096	0.590970404224	0.595812151828	0.510151164172	0.467763388926	0.66829024402	0.703154695981	0.661514535368	0.674131430788	0.730341528818	0.697257025706	0.697009304151	0.709447302018	0.630883563372	0.660270877337	0.624790364876	0.651496318404	0.628628271972	0.650937990886	0.700687448858	0.642112028986	0.776516857565	0.763770510508	0.79154390349	0.84026079197	0.815239629388	0.800323464538	0.790327857554	0.762392618383	0.810439545607	0.775913904848	0.833886148101	0.739069283463	0.766500478833	0.749842264644	0.774569343738	0.71583814704	0.690103563229	0.70570698184	0.715239127309	0.722977283755	0.722298794795	0.767043658602	0.73144391278	0.722677913532	0.718466069088	0.723104782526	0.699471579147	0.692147143982	0.737258350288	0.692756434085	0.712180040636	0.803902346636	0.775320063328	0.841555899865	0.732090330721	0.775894251079	0.797579417063	0.733501927997	0.7720143028	0.763832904777	0.774399155086	0.743086519679	0.836154655144	0.822093752984	0.800072933298	0.760853075483	0.71509038275	0.717967323512	0.797946208411	0.751055387301	0.711118495792	0.717151399468	0.714958522787	0.752545154513	0.725876078628	0.75376916964	0.764071376772	0.74647630176	0.716557409819	0.718786695022
CA8	0.478201498603	0.0	0.62550115433	0.611677203579	0.609855699549	0.614373724135	0.638523899565	0.639171868632	0.630544030443	0.614314109407	0.629200862705	0.608411872836	0.622761445203	0.63456123834	0.438591779604	0.469061051723	0.675974761324	0.672141667507	0.688874248639	0.67891469551	0.726274330883	0.686292774114	0.707251768775	0.707654910823	0.670057034367	0.686191687757	0.643246513838	0.64283867022	0.655791277143	0.660309849894	0.672588003777	0.661888824786	0.769561892356	0.748467940438	0.78826008068	0.82057145944	0.807746290884	0.78956506669	0.783345429344	0.770530833897	0.79196965702	0.766912173562	0.825722709923	0.736692644067	0.765542020684	0.758891454685	0.772487719414	0.736730213217	0.706914223889	0.712775031401	0.718690703584	0.705620861197	0.726609269885	0.751404317697	0.727102524801	0.713092451242	0.705698492177	0.698616056208	0.699193278448	0.701527997831	0.723098893856	0.706074028207	0.70442270445	0.781745216347	0.767580919907	0.811281007651	0.70051872284	0.778802508692	0.780019755454	0.699535152742	0.759277910567	0.746518131336	0.762537051262	0.702670268939	0.813782775305	0.79857643866	0.777583746395	0.737209696412	0.728931035656	0.714535346404	0.767165041212	0.74594739575	0.703381965025	0.726588522383	0.707309236291	0.738361614828	0.717059930343	0.742398254945	0.750270871548	0.720895567662	0.724676445614	0.721694091081
CB7	0.635159793698	0.62550115433	0.0	0.522076021581	0.586762951854	0.620881180726	0.643761437723	0.632135982015	0.621603442126	0.623497856013	0.635837456217	0.622269888523	0.530119713718	0.503737484169	0.674485139633	0.64141160964	0.666935075812	0.672817686875	0.665973664233	0.658363959034	0.741842340377	0.676590980916	0.672630747193	0.654487509912	0.629094818339	0.653350130879	0.640909598449	0.637148380985	0.652198242931	0.654118550237	0.67559114478	0.663674467136	0.820813039999	0.800354903574	0.842950122959	0.845014502698	0.845765679676	0.822831773493	0.820762574338	0.836365316867	0.845629783663	0.819014467365	0.861472614156	0.784332861185	0.827682153264	0.807675764002	0.817227547904	0.760169517928	0.736065530744	0.753534292131	0.751946718001	0.752350602967	0.751574929755	0.7452287454	0.734424123099	0.740031907702	0.728747469809	0.731782766412	0.732338904181	0.73899847031	0.743477268115	0.73094718779	0.739028519381	0.802628479762	0.805671721797	0.823011805801	0.749467727492	0.791706416182	0.807428957435	0.748225146957	0.796646583075	0.775827625092	0.791739634734	0.746540941114	0.817187775982	0.825710735122	0.792097498717	0.766406705862	0.758468101708	0.742891603277	0.788409147211	0.781178368448	0.747568911464	0.731744120795	0.717638892461	0.77373616246	0.757584184334	0.766585223114	0.756053483101	0.755023183067	0.736740155896	0.743607544463
CB8	0.590062009491	0.611677203579	0.522076021581	0.0	0.557738154449	0.613626958521	0.603304162738	0.629069925669	0.588712753511	0.584158779957	0.590234285655	0.578152921215	0.447341635782	0.442099976362	0.626102834304	0.626841574702	0.660193161959	0.675116774806	0.641683387013	0.652308839248	0.727178709041	0.680955515457	0.638683590291	0.663302260901	0.613496684585	0.618638508906	0.607694726104	0.630332234524	0.595917090928	0.624926980602	0.663120870219	0.619265552305	0.801046324268	0.786891938434	0.812584271725	0.836109920216	0.83714417061	0.809294729487	0.795386020939	0.799809441956	0.827029730341	0.801170186161	0.848472403653	0.755592006175	0.80681981227	0.777941891902	0.7908475316	0.722034870294	0.702226520084	0.721482546866	0.712676077854	0.746030474939	0.727245562955	0.759587125208	0.732791921097	0.731772027606	0.713197597689	0.71260300317	0.718721318277	0.700002041313	0.729167720478	0.700036550265	0.711535672116	0.798288662708	0.770036394605	0.823047428524	0.738833032404	0.768697652688	0.807248848842	0.735143858573	0.786789551722	0.756669011679	0.787117435712	0.741128615888	0.818904841005	0.8141816202	0.79255691651	0.763509367271	0.724864433347	0.725780377007	0.798828396835	0.745657320406	0.710702543836	0.712582695321	0.714081176826	0.764391259562	0.74298606387	0.756264406341	0.75462646478	0.741875128392	0.722804056002	0.718595436817
CC7	0.588826609194	0.609855699549	0.586762951854	0.557738154449	0.0	0.532468744478	0.606251766908	0.647271598868	0.609589539123	0.586740397518	0.487485969247	0.417427248007	0.566577766824	0.570172513687	0.642636340563	0.636405895276	0.630961379419	0.656119988671	0.608679892592	0.632427121896	0.747031108824	0.693365476748	0.597051264608	0.625959732807	0.563629728194	0.590160476042	0.600964368269	0.644884439701	0.612975626479	0.628951867773	0.666870744582	0.616894992453	0.824965115788	0.793496316751	0.844616832243	0.850379256664	0.858674208671	0.832535352406	0.8240741644	0.822777019182	0.842536518382	0.81843452259	0.871663450962	0.784186091583	0.824601630039	0.801301543658	0.823446387502	0.748397686786	0.728286108127	0.737116152043	0.734039176215	0.746453579262	0.732263898674	0.75890275396	0.742242077803	0.7393312127	0.731503976203	0.735366491473	0.731489371499	0.722089870419	0.749785825755	0.719585328925	0.73416694844	0.816685674735	0.776903868712	0.827265316213	0.754228884293	0.771225032472	0.794449438117	0.752390799967	0.778037696102	0.755542404557	0.77612018074	0.747656365392	0.828790804605	0.823312137004	0.813775006171	0.779449198724	0.736302967099	0.733249844472	0.806257958176	0.759011457429	0.745904231152	0.719367178778	0.715974028963	0.784432469877	0.768745354532	0.785713870341	0.775999766579	0.779676661411	0.733810338655	0.742213403305
CC8	0.628328769753	0.614373724135	0.620881180726	0.613626958521	0.532468744478	0.0	0.597963692711	0.601088734661	0.633212290585	0.621401853591	0.469550467965	0.515085449872	0.62407779196	0.628664744481	0.613260152374	0.618548216859	0.631289037663	0.626710206495	0.652395048751	0.623470005713	0.716893917909	0.638155431564	0.671218327576	0.67628314099	0.635044720263	0.65007433624	0.632579697558	0.636154161877	0.643186758759	0.657897224052	0.654068568627	0.656519722506	0.811593484983	0.776539800375	0.840148034005	0.82614100001	0.858260971837	0.819196235948	0.807752770547	0.805330205672	0.831195275201	0.811628369322	0.865216425129	0.769328494205	0.827825761884	0.788275525987	0.808349998986	0.729188833642	0.71509728666	0.70527300707	0.717063873057	0.715524703576	0.703882398075	0.706200418754	0.720349965702	0.710230766933	0.702314819061	0.705550506194	0.711608126876	0.695847618173	0.714164791362	0.717785412588	0.698962570755	0.798357732238	0.768204170058	0.784982133377	0.701907431366	0.758582535462	0.736643716119	0.706679053745	0.73565690255	0.73011499058	0.736013943618	0.698262067487	0.785884910325	0.792366724514	0.790238939288	0.738219501595	0.704572500477	0.710131657596	0.7461222658	0.748860664753	0.720407601961	0.696678889153	0.684087661409	0.739136871576	0.737952295501	0.750004970922	0.726261401061	0.726510681814	0.720048512201	0.732951253597
CD7	0.597836361739	0.638523899565	0.643761437723	0.603304162738	0.606251766908	0.597963692711	0.0	0.529967018478	0.466125762437	0.422250013351	0.571531528436	0.609434357965	0.616737460675	0.630434380849	0.628403179508	0.636389655099	0.656497669711	0.672337939876	0.672355167922	0.667345016173	0.708573701225	0.675158268867	0.693368450113	0.716376776365	0.644372351124	0.671617612231	0.642739623935	0.667629136375	0.632524574527	0.658351124754	0.671596587834	0.654991469745	0.785557136182	0.74805608973	0.797080623211	0.81248813168	0.821529147204	0.792923467601	0.769381656785	0.76629877812	0.809465489953	0.775264698197	0.831505491051	0.742667209816	0.784805978627	0.74504648323	0.767880121232	0.685868701562	0.685213652404	0.690284984749	0.672578749684	0.697392487998	0.681036340338	0.697821157416	0.697593246773	0.704883997964	0.683543952044	0.679890893641	0.683828518894	0.66230491758	0.691000688486	0.689632998154	0.672974710973	0.795128233721	0.755210286088	0.810533336849	0.715276139258	0.74063792929	0.756846067664	0.713522396245	0.742945566889	0.732862028658	0.737468281011	0.712261153405	0.806219148682	0.798180500452	0.789251000577	0.721407885238	0.692669750231	0.672504421793	0.757194203301	0.705154881701	0.685706177164	0.648483947532	0.659649286977	0.729778170969	0.715001135324	0.722940248899	0.70454960451	0.718431788897	0.673143136411	0.669860333268
CD8	0.643364489501	0.639171868632	0.632135982015	0.629069925669	0.647271598868	0.601088734661	0.529967018478	0.0	0.473855068039	0.515796092516	0.60787033518	0.652286179165	0.660983768247	0.644933463842	0.62073834645	0.620037922649	0.699232987441	0.699566968214	0.717093872818	0.676647321291	0.688678470451	0.652926335289	0.740431150258	0.745301704939	0.699056881073	0.714655346275	0.680961213535	0.664017819493	0.676772253857	0.688248813451	0.680968482728	0.700499115982	0.757089758151	0.727358521716	0.763940057352	0.770761134402	0.794961249458	0.759214689554	0.747722029269	0.739525311061	0.768694823088	0.746598115876	0.809561134306	0.705648169318	0.763066736221	0.735445674708	0.734041715886	0.687925666695	0.682958432506	0.681361624568	0.668956876486	0.674809536294	0.657571735925	0.661523142275	0.645058890307	0.668376673484	0.647832556619	0.649925562892	0.66946619369	0.644719507934	0.672806789777	0.685477293515	0.645986931817	0.763507596517	0.748518573725	0.769703442343	0.687552205917	0.727249339918	0.717741941422	0.680190389211	0.705364404885	0.710466880391	0.697045742679	0.673478037891	0.769969060911	0.7887406173	0.755292985806	0.708516403707	0.682813086418	0.666963206523	0.732372726643	0.68866618141	0.669258180205	0.649827429205	0.6302370284	0.694090525792	0.683396584142	0.703872194858	0.695718917957	0.695744275914	0.670984946829	0.657235362455
CE7	0.617848027327	0.630544030443	0.621603442126	0.588712753511	0.609589539123	0.633212290585	0.466125762437	0.473855068039	0.0	0.446914953831	0.59152833266	0.631835101375	0.61888319624	0.611786588046	0.632290603234	0.626597763082	0.670657928983	0.69576364659	0.692238877693	0.690809660521	0.686747487193	0.675709663411	0.712791247389	0.729497379029	0.655450681401	0.682257262622	0.642277724288	0.665685209079	0.626898521818	0.66286651719	0.659395631571	0.654048829179	0.768850224335	0.738435887333	0.772304812735	0.815884801565	0.801219476668	0.7777875728	0.761215517711	0.746939374074	0.78028556487	0.760341080468	0.818548944871	0.723659551462	0.770094950198	0.733795302655	0.750653066797	0.685316322218	0.672953428355	0.686368179882	0.664124228668	0.699097878213	0.681839019759	0.70723390267	0.681266610439	0.693547654396	0.661927215623	0.667215719428	0.674724918686	0.666538855644	0.687090495448	0.681277768756	0.663786948089	0.779873352368	0.74201738395	0.803099357346	0.70219965222	0.728686203141	0.759075996981	0.691788555639	0.734611706036	0.71095913085	0.732609583678	0.703588471388	0.799816751613	0.799007536105	0.767167924314	0.725461701166	0.683856779583	0.681668579227	0.770028413147	0.707282435541	0.672610075519	0.669537405324	0.667210208845	0.73888608681	0.708428772853	0.731700372455	0.72036522113	0.714595493977	0.676328776036	0.679206775229
CE8	0.586678703154	0.614314109407	0.623497856013	0.584158779957	0.586740397518	0.621401853591	0.422250013351	0.515796092516	0.446914953831	0.0	0.584406392198	0.600801530833	0.607142484313	0.606711163013	0.632353133117	0.638429357343	0.671721313848	0.69369791286	0.661644843044	0.683311176759	0.706341459206	0.68155749702	0.683962638492	0.702324115491	0.633324643786	0.648541336881	0.614498468963	0.646519233946	0.624330905177	0.654678920976	0.677005002293	0.636230252044	0.794350877224	0.760201368811	0.798441514572	0.824670389047	0.817129266648	0.800016541586	0.785085606234	0.771276114664	0.805555184132	0.776413244331	0.836136164634	0.746532131015	0.7852445597	0.750121089633	0.773898602734	0.686527375795	0.684702983905	0.705260391041	0.683397565511	0.697535084234	0.691237153216	0.722381877725	0.693316577375	0.693582879396	0.679121053168	0.675193511655	0.675787430666	0.668619478372	0.697238472226	0.675044250351	0.679555428097	0.793002895042	0.761280689591	0.820131499385	0.72130262249	0.746155784192	0.775206633807	0.715280808604	0.748111334823	0.733681551081	0.745285446806	0.713519903058	0.81684430967	0.816539127962	0.784616552375	0.728214683049	0.697820246172	0.678512269868	0.768754956173	0.723742134414	0.691433457197	0.680534860548	0.674700515348	0.746989141087	0.714058797132	0.738151654158	0.727563577283	0.735555646953	0.674511405929	0.674865537137
