	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.805136645963	0.882428571429	0.93528847481	0.834355417529	0.827147688061	0.921977915804	0.87627605245	0.890299516908	0.766139406487	0.76552173913	0.881847481021	0.954273291925	0.962735679779	0.992309178744	0.908304347826	0.93287094548	0.943267080745	0.898610075914	0.905672187716	0.813824016563	0.831206349206	0.988354037267	0.910261559696	0.898185645273	0.890693581781
CR95	0.805136645963	0.0	0.844966873706	0.917805383023	0.678378191856	0.797068322981	0.869082815735	0.857804002761	0.870959282264	0.836730848861	0.834055900621	0.878504485852	0.898635610766	0.926757073844	0.99175431332	0.88320220842	0.900273982057	0.928037267081	0.87855831608	0.88255831608	0.900984126984	0.875962732919	0.986611456177	0.850445134576	0.844757763975	0.813567977916
CR334	0.882428571429	0.844966873706	0.0	0.853229813665	0.883261559696	0.84032505176	0.819729468599	0.819458937198	0.85304278813	0.958815044859	0.984452035887	0.853113871636	0.933661145618	0.948144927536	0.963008281574	0.875032436163	0.888763285024	0.933939958592	0.879548654244	0.871550724638	0.962524499655	0.971093857833	0.962091097309	0.836878536922	0.859143547274	0.86108005521
CR348	0.93528847481	0.917805383023	0.853229813665	0.0	0.952858523119	0.953696342305	0.957101449275	0.864697032436	0.881691511387	0.983247066943	0.99077294686	0.871966183575	0.964291925466	0.965913733609	0.979216701173	0.902977225673	0.935216701173	0.946948930297	0.901973775017	0.903848861284	0.97796342305	0.98649689441	0.965585231194	0.944026915114	0.940950310559	0.945144237405
CR457	0.834355417529	0.678378191856	0.883261559696	0.952858523119	0.0	0.523	0.849530020704	0.917640441684	0.938824706694	0.75561352657	0.867127674258	0.947790890269	0.947095928226	0.961857832988	0.992970324361	0.956309868875	0.941828847481	0.9747605245	0.95065010352	0.948769496204	0.883032436163	0.90637405107	0.985783298827	0.864788819876	0.907064182195	0.820763975155
CR458	0.827147688061	0.797068322981	0.84032505176	0.953696342305	0.523	0.0	0.733215320911	0.905770186335	0.933304347826	0.732361628709	0.853664596273	0.93371773637	0.950187025535	0.965966183575	0.982425120773	0.937976535542	0.916629399586	0.967175983437	0.935844720497	0.919985507246	0.839529330573	0.878563146998	0.971795721187	0.735897860593	0.894345065562	0.80493236715
CR464	0.921977915804	0.869082815735	0.819729468599	0.957101449275	0.849530020704	0.733215320911	0.0	0.877256038647	0.919991028295	0.983798481712	0.991808143547	0.895726017943	0.935228433402	0.95317184265	0.965476190476	0.921118702553	0.904311249137	0.953481021394	0.912101449275	0.900246376812	0.976837819186	0.985986887509	0.965848171152	0.355529330573	0.844941338854	0.785946859903
CR469	0.87627605245	0.857804002761	0.819458937198	0.864697032436	0.917640441684	0.905770186335	0.877256038647	0.0	0.723433402346	0.988993098689	0.995174603175	0.820277432712	0.919772256729	0.949465838509	0.990657004831	0.816678398896	0.870500345066	0.900813664596	0.813191166322	0.83177294686	0.978882677709	0.981556245687	0.982952380952	0.867146307799	0.811187025535	0.856972394755
CR470	0.890299516908	0.870959282264	0.85304278813	0.881691511387	0.938824706694	0.933304347826	0.919991028295	0.723433402346	0.0	0.991088336784	0.994719806763	0.820345755694	0.90614699793	0.92030089717	0.994099378882	0.812004830918	0.87407384403	0.874733609386	0.80944168392	0.853284334023	0.979581780538	0.982823326432	0.988853692201	0.891485852312	0.863916494134	0.902924085576
CR2528	0.766139406487	0.836730848861	0.958815044859	0.983247066943	0.75561352657	0.732361628709	0.983798481712	0.988993098689	0.991088336784	0.0	0.504103519669	0.988939268461	0.992764665286	0.99139268461	0.997378881987	0.990841269841	0.989009661836	0.992238785369	0.990800552105	0.991866804693	0.650824016563	0.721746031746	0.9925831608	0.987728778468	0.987057280883	0.914063492063
CR2530	0.76552173913	0.834055900621	0.984452035887	0.99077294686	0.867127674258	0.853664596273	0.991808143547	0.995174603175	0.994719806763	0.504103519669	0.0	0.99622705314	0.996298826777	0.994523119393	0.998944099379	0.996512767426	0.996010351967	0.994944099379	0.995382332643	0.996725327812	0.612561076604	0.658055900621	0.995612836439	0.995106970324	0.992495514148	0.949269151139
GM173	0.881847481021	0.878504485852	0.853113871636	0.871966183575	0.947790890269	0.93371773637	0.895726017943	0.820277432712	0.820345755694	0.988939268461	0.99622705314	0.0	0.935610766046	0.938771566598	0.989629399586	0.82193857833	0.875247066943	0.89325741891	0.808346445825	0.829267770876	0.980478951001	0.983027605245	0.989915113872	0.875028985507	0.874418219462	0.896648723257
KSG242	0.954273291925	0.898635610766	0.933661145618	0.964291925466	0.947095928226	0.950187025535	0.935228433402	0.919772256729	0.90614699793	0.992764665286	0.996298826777	0.935610766046	0.0	0.459766045549	0.995810213941	0.937323671498	0.94172394755	0.921694962043	0.924365769496	0.943498964803	0.984461007591	0.985182884748	0.974463077985	0.905822636301	0.797783298827	0.840187715666
KSG246	0.962735679779	0.926757073844	0.948144927536	0.965913733609	0.961857832988	0.965966183575	0.95317184265	0.949465838509	0.92030089717	0.99139268461	0.994523119393	0.938771566598	0.459766045549	0.0	0.992351276742	0.946773636991	0.952372670807	0.921241545894	0.937629399586	0.951697032436	0.982952380953	0.984910973085	0.979246376812	0.93257073844	0.856512077295	0.916906142167
KSG477	0.992309178744	0.99175431332	0.963008281574	0.979216701173	0.992970324361	0.982425120773	0.965476190476	0.990657004831	0.994099378882	0.997378881987	0.998944099379	0.989629399586	0.995810213941	0.992351276742	0.0	0.991599723948	0.992304347826	0.994266390614	0.990418219462	0.990336093858	0.998526570048	0.997665286404	0.92187094548	0.971604554865	0.98643547274	0.98863216011
KSG0645	0.908304347826	0.88320220842	0.875032436163	0.902977225673	0.956309868875	0.937976535542	0.921118702553	0.816678398896	0.812004830918	0.990841269841	0.996512767426	0.82193857833	0.937323671498	0.946773636991	0.991599723948	0.0	0.60273636991	0.60220220842	0.503357487923	0.577188405797	0.977796411318	0.965247066943	0.985811594203	0.897024844721	0.836574189096	0.880217391304
KSG0647	0.93287094548	0.900273982057	0.888763285024	0.935216701173	0.941828847481	0.916629399586	0.904311249137	0.870500345066	0.87407384403	0.989009661836	0.996010351967	0.875247066943	0.94172394755	0.952372670807	0.992304347826	0.60273636991	0.0	0.695390614217	0.623627329193	0.535305037957	0.9824478951	0.96721463078	0.981692891649	0.884101449275	0.871993098689	0.883448585231
KSG0652	0.943267080745	0.928037267081	0.933939958592	0.946948930297	0.9747605245	0.967175983437	0.953481021394	0.900813664596	0.874733609386	0.992238785369	0.994944099379	0.89325741891	0.921694962043	0.921241545894	0.994266390614	0.60220220842	0.695390614217	0.0	0.611118012422	0.711604554865	0.974349206349	0.955247066943	0.988549344375	0.93378536922	0.899599033816	0.924029675638
