	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.805383022774	0.882539682539	0.935403726708	0.834575569358	0.827501725328	0.921911663216	0.876052449965	0.890510697033	0.766080055211	0.765286404417	0.881780538302	0.954175293306	0.962525879917	0.992339544513	0.908350586612	0.932884748102	0.943064182195	0.898757763975	0.906280193237	0.813664596274	0.83115942029	0.988474810214	0.910179434093	0.897998619738	0.89071773637
CR95	0.805383022774	0.0	0.844996549344	0.917943409248	0.678157349896	0.796790890269	0.869289164941	0.858005521049	0.871083505866	0.836645962733	0.833850931677	0.878640441684	0.898688750863	0.926984126984	0.991683919945	0.883333333334	0.900241545894	0.928088336784	0.878364389234	0.882746721877	0.900862663906	0.875707384403	0.986645962733	0.850759144237	0.844824016563	0.813733609385
CR334	0.882539682539	0.844996549344	0.0	0.853105590062	0.883436853002	0.840200138026	0.819772256729	0.819530710835	0.853209109731	0.958902691511	0.984472049689	0.852864044168	0.933609385783	0.948171152518	0.962905452036	0.875224292616	0.888888888889	0.933988957902	0.879399585922	0.87187715666	0.962387853692	0.97104899931	0.961973775017	0.837025534852	0.858937198068	0.861007591442
CR348	0.935403726708	0.917943409248	0.853105590062	0.0	0.953036576949	0.953830227743	0.957177363699	0.864837819185	0.88171152519	0.983160800552	0.990752242926	0.872084195997	0.964251207729	0.965907522429	0.979192546584	0.903209109731	0.935024154589	0.946894409938	0.901966873706	0.903692201519	0.978053830228	0.986507936508	0.965527950311	0.943995859213	0.940924775707	0.945134575569
CR457	0.834575569358	0.678157349896	0.883436853002	0.953036576949	0.0	0.523567977916	0.8494478951	0.917598343685	0.93878536922	0.755590062112	0.866977225673	0.948033126294	0.947032436163	0.961835748792	0.992960662526	0.956349206349	0.941890959282	0.974775707385	0.950724637681	0.948861283644	0.883264320221	0.906176673568	0.985852311939	0.864734299517	0.906797791581	0.821014492754
CR458	0.827501725328	0.796790890269	0.840200138026	0.953830227743	0.523567977916	0.0	0.733333333333	0.905762594893	0.933264320221	0.732229123533	0.853416149068	0.933747412008	0.950310559006	0.965907522429	0.982401656315	0.93795721187	0.916735679779	0.967253278123	0.935955831608	0.919979296066	0.839302967564	0.87812284334	0.971842650104	0.736059351276	0.894133885438	0.804796411318
CR464	0.921911663216	0.869289164941	0.819772256729	0.957177363699	0.8494478951	0.733333333333	0.0	0.877260179434	0.91994478951	0.983850931677	0.991787439614	0.89568668047	0.935196687371	0.953209109731	0.965424430642	0.921187025535	0.90431331953	0.953416149068	0.912077294686	0.90027605245	0.976777087647	0.986024844721	0.965838509317	0.355831608006	0.844927536232	0.785921325052
CR469	0.876052449965	0.858005521049	0.819530710835	0.864837819185	0.917598343685	0.905762594893	0.877260179434	0.0	0.723429951691	0.988957902001	0.995169082126	0.820358868185	0.919772256729	0.949482401656	0.990683229814	0.816701173223	0.870358868185	0.900931677019	0.813285024154	0.831746031746	0.978881987578	0.98143547274	0.982884748102	0.867046238786	0.811559696343	0.856935817805
CR470	0.890510697033	0.871083505866	0.853209109731	0.88171152519	0.93878536922	0.933264320221	0.91994478951	0.723429951691	0.0	0.991097308489	0.994685990338	0.82049689441	0.906142167011	0.92049689441	0.994099378882	0.811421670117	0.87380952381	0.874706694272	0.809454796411	0.853450655625	0.979572118703	0.982884748102	0.988888888889	0.891580400276	0.863802622499	0.902829537612
CR2528	0.766080055211	0.836645962733	0.958902691511	0.983160800552	0.755590062112	0.732229123533	0.983850931677	0.988957902001	0.991097308489	0.0	0.504002760524	0.988888888889	0.992822636301	0.991373360939	0.997377501725	0.990821256039	0.989026915114	0.992236024844	0.990855762595	0.991925465839	0.650862663906	0.72215320911	0.992546583851	0.987646652864	0.987094547964	0.914009661836
