	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.0031931115731	0.0021938549879	0.00167513050218	0.0028304076328	0.00261283051462	0.00157707933564	0.00201175578581	0.00237948805251	0.00291334291207	0.00270851796516	0.0021162498195	0.00127766292169	0.00114220016255	0.000509793466921	0.00203175482249	0.00189748412103	0.00159874710483	0.00200009525392	0.00227487350197	0.00265569944541	0.0024970042791	0.000684683467831	0.00210680417095	0.00189277931987	0.00183357787647
CR95	0.0031931115731	0.0	0.00217222002938	0.00190950689726	0.00361459429667	0.00348680143744	0.00168336817369	0.00229186260297	0.00218013722222	0.00249124632392	0.00278617234789	0.00210530616411	0.00197319230124	0.00147598687512	0.000586772194003	0.00211128245251	0.00199986747042	0.00171435072542	0.00209678815736	0.00234028450609	0.00211620852076	0.00221961662844	0.000802869020664	0.00237546250993	0.00255018943114	0.00261409426741
CR334	0.0021938549879	0.00217222002938	0.0	0.00254130420516	0.00224060866632	0.00243780836596	0.00203176009687	0.00235005446536	0.00245900014777	0.00127354363949	0.000709077070541	0.00243812260247	0.00141264210878	0.00102389878095	0.00107702452384	0.00188317500297	0.00176981647796	0.00147863053647	0.00187116477624	0.00222560290067	0.00116147161532	0.00100116002391	0.000847232582858	0.00232429062692	0.00181433608928	0.00174193183617
CR348	0.00167513050218	0.00190950689726	0.00254130420516	0.0	0.00158152036275	0.00166348287851	0.000987731713618	0.00227921840615	0.00240942349584	0.000815662294907	0.000676786087631	0.002546785739	0.00111276426701	0.000949229891882	0.000855672149526	0.00215185983451	0.00143528343898	0.00139649853514	0.00195522807628	0.00201463578703	0.00105496176077	0.00083344413281	0.00106127964084	0.00174570096999	0.0011118462219	0.00107863852037
CR457	0.0028304076328	0.00361459429667	0.00224060866632	0.00158152036275	0.0	0.00421993434448	0.00216048951887	0.00191570493059	0.00191325097944	0.00256271474693	0.00221188651259	0.00149535649513	0.00137594840023	0.00111549102668	0.000511164988103	0.00150126141573	0.00164672575138	0.00103777365016	0.00150646883083	0.00149973147258	0.00220321635137	0.00205690383493	0.00079793007221	0.0024589652835	0.00186144932427	0.00204229040535
CR458	0.00261283051462	0.00348680143744	0.00243780836596	0.00166348287851	0.00421993434448	0.0	0.00252311212515	0.00202432987932	0.00203742277513	0.00317275248364	0.00272908249961	0.00182566111734	0.00134014491031	0.00107121045227	0.00103952259254	0.00175890258019	0.00194932224402	0.00125010086032	0.00149122293607	0.00180532537901	0.00314578058136	0.00248036198647	0.00122885516288	0.00329010515768	0.00206898548867	0.00273959378671
CR464	0.00157707933564	0.00168336817369	0.00203176009687	0.000987731713618	0.00216048951887	0.00252311212515	0.0	0.00158686104252	0.00163862345679	0.000528130255146	0.000379321078783	0.00165629327687	0.00082264209051	0.000489304427722	0.000839431824289	0.00110870784167	0.00134426684109	0.000739749746887	0.00101458077666	0.00130652795041	0.000781085760835	0.000546065571192	0.000599423279996	0.00323576248418	0.000962875140097	0.0017443166234
CR469	0.00201175578581	0.00229186260297	0.00235005446536	0.00227921840615	0.00191570493059	0.00202432987932	0.00158686104252	0.0	0.00316362272707	0.000637801771582	0.00038557027471	0.00261329940189	0.00129224173721	0.000972478752526	0.000481292122581	0.00235899811091	0.00208797173063	0.00166051615159	0.00226112529532	0.0022174568153	0.000835286487363	0.000731953930109	0.000622877654666	0.00200459927703	0.0020417036832	0.00179052668341
CR470	0.00237948805251	0.00218013722222	0.00245900014777	0.00240942349584	0.00191325097944	0.00203742277513	0.00163862345679	0.00316362272707	0.0	0.000633843642018	0.000467305412265	0.00283961401633	0.00166266481709	0.00163200237944	0.000498282319069	0.00302013200263	0.00213827203379	0.00202844307151	0.00303741902807	0.0025403781079	0.000838276116483	0.000779200217037	0.000571559831267	0.00218503960787	0.00200429038087	0.00175563864716
CR2528	0.00291334291207	0.00249124632392	0.00127354363949	0.000815662294907	0.00256271474693	0.00317275248364	0.000528130255146	0.000637801771582	0.000633843642018	0.0	0.00338349296563	0.000647463278665	0.000510764175931	0.000461932348805	0.000301608620706	0.000524253965254	0.000632995476084	0.000557036292403	0.000577363880653	0.000530043617885	0.00326312095242	0.00317142848435	0.000456682767411	0.000661928575231	0.000561719255401	0.00131264971881
CR2530	0.00270851796516	0.00278617234789	0.000709077070541	0.000676786087631	0.00221188651259	0.00272908249961	0.000379321078783	0.00038557027471	0.000467305412265	0.00338349296563	0.0	0.000376365778642	0.000337904295669	0.000387030063565	0.000179035497235	0.000347466457694	0.000386189262473	0.000399396954812	0.000405371414662	0.000336735195415	0.00332251364966	0.0030003938585	0.000326083122434	0.000448160333909	0.000461575463399	0.00103635063354
GM173	0.0021162498195	0.00210530616411	0.00243812260247	0.002546785739	0.00149535649513	0.00182566111734	0.00165629327687	0.00261329940189	0.00283961401633	0.000647463278665	0.000376365778642	0.0	0.00159487496254	0.00146249190698	0.000697329949099	0.00245736874627	0.00213824975964	0.0021253461703	0.00262264029256	0.0028191513497	0.00099995308517	0.000760539216434	0.000583285745877	0.00230912666379	0.00161026625875	0.00187825547344
KSG242	0.00127766292169	0.00197319230124	0.00141264210878	0.00111276426701	0.00137594840023	0.00134014491031	0.00082264209051	0.00129224173721	0.00166266481709	0.000510764175931	0.000337904295669	0.00159487496254	0.0	0.00240035691036	0.000300075330181	0.00121652637708	0.00124182111012	0.00122129890592	0.00129004023878	0.00109452707721	0.000656294017268	0.000680855540969	0.000678188945581	0.00177905724811	0.00175741806272	0.00179508080509
