pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
CR89	-0.216417677471	0.0779986392114	-0.0617262839345	0.0110216534101	-0.171085527078	0.00453207704446	0.0348455414862	-0.0432015307267	-0.133591164898	0.254534325556	0.133732542184	-0.318858424516	-0.0921156315554	-0.0294428875952	-0.232247201047	0.0904230146885	0.0509700257928	-0.000332914847985	-0.011727163976	-0.00451946076387	-0.00293818258897	-0.00843239780103	-0.0034955481143	0.00421766857273	0.00374476687275	-3.9069775809e-09
CR95	-0.119646741452	-0.0773888962397	-0.109865167968	0.103496486024	-0.142192992272	0.23223152088	0.030775700816	-0.0460857207943	-0.0364534744044	0.0804873255399	0.00149085435287	-0.0198394907419	0.439271419355	0.00547857032336	0.0597991807774	-0.0255892724888	8.1877349371e-05	-0.0026646554074	-0.000156230833725	0.0175220084924	-0.0430111759146	-0.0710847630071	0.0125789450396	-0.0636621708418	0.0186490706524	-3.9069775809e-09
CR334	0.0776218380693	-0.14461564732	-0.0835183347614	-0.163986891096	-0.155608423047	-0.00442190833981	-0.06368070624	0.0193443518587	0.155885363709	-0.0582247260045	0.479292099445	0.094223827308	-0.011667189458	-0.108764168867	0.0748915761997	-0.0140604246127	-0.00282287539787	-0.00659331550445	0.0135401535001	-0.00964628887164	0.00849142509112	0.0105072940913	-0.000889115765156	0.0107149966681	-0.0150643447009	-3.9069775809e-09
CR348	0.0738422595093	-0.00291410202721	0.0691868470515	-0.297791698608	-0.236307932271	0.0569869186372	-0.16759705005	0.133593517322	0.42258249314	-0.0174426854087	-0.205995612967	-0.148983595466	0.00306685322859	0.00422559086412	-0.0269968429789	0.0275008420828	-0.0122095425561	0.00915304635729	-0.00614013335141	-0.00317528476916	0.00499059134995	-0.00470752936574	0.00543606782408	-0.00302512592446	0.00472134585048	-3.9069775809e-09
CR457	-0.248304433689	-0.172470177214	-0.211093920351	0.109641304737	-0.00288939737468	0.379484758872	-0.0643802513476	-0.0257790975725	-0.0180612929715	-0.0636218062355	-0.0665782888353	0.106645577199	-0.0151986988057	0.00389424002699	-0.103821433422	0.0196181547079	-0.0194839470894	0.022846286324	0.00408588563943	-0.0411210048636	-0.00956514478181	0.131307027726	-0.0460922836038	0.142860149236	-0.0386037473645	-3.9069775809e-09
CR458	-0.238643002674	-0.206160473467	-0.27077137097	0.0742848054365	0.0934408335609	0.165018572959	-0.120771690946	-0.00123367470481	-0.0121853873497	-0.0951688894591	-0.0235735432613	0.0917097222279	-0.18877004114	0.0139911619824	-0.0887332670875	0.0170573634078	-0.0516095222769	0.00202129715331	-0.00767157653174	0.0464895256906	0.0621456537661	-0.0544027674984	0.0887759792744	-0.171842588496	0.0353585893274	-3.9069775809e-09
CR464	0.0468586192864	-0.382876061977	-0.247671649919	-0.0318685419628	0.200791596185	-0.255079903042	-0.133386519791	-0.00470411377141	-0.0297103003094	0.00848944385645	-0.0280635631841	-0.0680527664266	0.0470090531263	-0.0134885221914	0.0291869251193	-0.0281855213171	0.0131407150654	-0.00880168075752	-0.00893702636213	-0.0071746323565	-0.0364972354984	0.0404579042606	-0.037873339819	0.0611224558339	0.154420188614	-3.9069775809e-09
CR469	0.174550565962	-0.0512761498786	-0.0326964788294	-0.10602715259	-0.317353887075	-0.0663313234485	0.0858392852297	-0.00961685036434	-0.157465750886	-0.206197807429	-0.0206844556423	-0.0279157577746	-0.0358708680723	0.184125328231	-0.0803034255173	-0.308285698814	0.0786330621562	0.0135362041896	-0.00723624200793	-0.00379518675843	0.00052158436512	-0.000718505302884	-0.00967777128515	-0.00523130015492	-0.00674818537365	-3.9069775809e-09
CR470	0.179267481656	0.00712340886025	0.0370909610258	-0.1005118333	-0.314083552731	-0.0463795375194	-0.0224357245581	-0.0582594960265	-0.263496697286	-0.233742155937	-0.0897068473506	-0.014393504339	-0.019546411943	-0.0936261900775	0.128029235664	0.281870821233	-0.0134427874053	0.000593251346359	0.0226451472756	0.00679078999019	0.00353356697568	0.0028072458724	-0.000295740207396	0.00211614097971	0.00819587923735	-3.9069775809e-09
CR2528	-0.495225166434	0.155514649135	-0.0384507717419	0.0576717316867	0.00194234318296	0.0798853868838	0.000454376287736	-0.00127551959034	-0.00138420554798	0.0148020438928	-0.0280523035064	-0.0416937190583	-0.169867616393	-0.0162332520751	0.216211878183	-0.0828613422613	-0.0257886886751	-0.00615270078897	0.0097651545248	0.0105485370095	-0.0241696841105	-0.182465318302	-0.0823606309998	0.0849866628839	0.00588606178737	-3.9069775809e-09
CR2530	-0.497486321562	0.219875254922	0.0293991558277	0.0330623794392	-0.00581948884318	-0.0721167435651	0.0265780798768	-0.00101661364414	-0.0159620060292	0.0579186490221	-0.0138252776165	-0.113162856072	-0.00347981569987	0.00193423029486	0.240123349215	-0.0846921847791	-0.0152266248591	0.0271352690576	-0.00189859383396	-0.00970205225	0.0664454469267	0.186426366559	0.0759246910156	-0.0527368008598	-0.00626772029509	-3.9069775809e-09
GM173	0.169456824136	0.00503092133569	-0.0134589502861	-0.119724880191	-0.231559686212	-0.0922288993075	-0.0662208800948	-0.0571442757789	-0.0629055663954	0.387979299346	-0.11168225252	0.322558268959	-0.068836232038	-0.0194836566879	0.024708542624	-0.0246271977372	0.0267984825692	0.0332755332014	-0.0084636041597	-0.00211534658835	0.00431481766378	0.00226257128429	0.00985887197444	-0.00039834758547	0.00292106313096	-3.9069775809e-09
KSG242	0.0786284654977	-0.21162472204	0.487800354592	0.259329750104	0.0136205925908	0.0231134529471	-0.10424869134	-0.0127664071772	-0.00272632678232	-0.00426225389161	0.0237781100947	-0.00683638521505	-0.0102538131944	0.0387952874139	-0.00184395961956	-0.008858928572	0.0315837192163	-0.0464485963046	-0.00442084036713	-0.0525413826967	0.0146021647697	-0.0503526611513	0.193721980015	0.0937576074499	0.0144765819856	-3.9069775809e-09
KSG246	0.0613418107935	-0.170842811992	0.521686902702	0.224457284079	0.0311090904175	0.0289858555484	-0.204873800317	-0.035396548997	-0.0163351951666	0.015667462811	0.0334470857017	-0.00956054189808	-0.0240381067313	0.0354124566482	-0.0010270509676	-0.0120597136879	-0.014750952543	-0.00324218347733	-0.0109301039793	0.0495904781362	-0.00974437413932	0.0474800236455	-0.181607507069	-0.0918455212024	-0.00816217825215	-3.9069775809e-09
KSG477	-0.0347415004133	-0.053070019994	0.194467211823	-0.431881833225	0.267317914585	0.0871170926353	0.163289517564	-0.45166528674	0.0411746233594	-0.0159085631975	-0.0138620977079	-0.00729315468007	0.000807125131455	0.0211548189069	-0.0162096076262	0.00465283300838	-0.0043897919276	-0.0131278319548	-0.000760713870284	-0.00173892164443	-0.00070062009785	-0.00551058877845	0.00613056743449	-0.00536896329743	-0.00233880658959	-3.9069775809e-09
KSG0645	0.349138695793	0.290848793995	-0.0906799349693	0.0703227962971	0.0572520889362	0.0257275696992	0.00830360946562	-0.00679405602669	-8.74137126912e-05	-0.0183502013425	-0.00157820820967	-0.0084729822001	-0.00228492623049	-0.0720987597872	-0.00109275798359	-0.0331584487387	-0.0701107107331	-0.128941336645	-0.265602064351	0.114294827265	-0.00789200636097	0.0175994088333	0.0151387358578	0.0315091609792	-0.00706978837255	-3.9069775809e-09
KSG0647	0.3090643553	0.251350356383	-0.113731801183	0.0850827809693	0.167369221922	0.0489434512606	-0.025922761637	0.0129086270658	0.046143774566	-0.0111071370389	0.0615023625863	-0.00311563629387	-0.0144769944271	0.210217061797	0.0698103081154	0.117079444468	0.138558649511	0.191280439546	-0.103262890973	-0.115977285361	-0.00497203909456	-0.0221514881454	-0.0143977566783	-0.0219902447385	0.00191242969215	-3.9069775809e-09
KSG0652	0.284940829858	0.297631459412	0.0151801212943	0.0951229287478	0.153898590983	0.0337545346173	-0.0552078265067	-0.0168502068998	-0.00599462700601	-0.0651158788651	-0.055772255941	-0.0202120736348	0.00817366887938	-0.335195475818	-0.0620981862238	-0.121748737238	0.115896704865	0.138278847173	0.100265618596	0.0443899984586	-0.0191535774629	-0.00332369658635	0.0196956221024	-0.00346931668143	-0.000903912164579	-3.9069775809e-09
KSG0660	0.351147022202	0.278962904201	-0.0813814385611	0.0719500088349	0.0563677813448	0.0183508442566	-0.000565618462857	1.10101783288e-05	-0.0169859912197	0.0168997898357	-0.0170492776644	-0.0149251041759	-0.00121569290738	-0.0358020106327	-0.0237109521806	-0.0474618811502	-0.151241541501	-0.164072836293	0.0851183826364	-0.215602874372	0.0375133961981	-0.0054840373787	-0.0367011461231	-0.0403098706324	0.0100530903062	-3.9069775809e-09
KSG0673	0.330866942785	0.255010352044	-0.120278097421	0.0561170351021	0.0911605831357	0.0232454681096	-0.0188132389462	0.0111358838483	0.0334022728897	0.0480196971218	0.0496528114393	-0.0127379249564	-0.010905604667	0.235062833375	0.0248631367039	0.0599610171018	-0.0294303508571	-0.0591176623708	0.192890671797	0.17075778768	-0.0158810590971	0.0223631706081	0.0231608926012	0.0389384675044	-0.000819344538032	-3.9069775809e-09
KSG1471	-0.455387432454	0.238806668387	0.0525180082345	0.0177760663957	0.0170268505136	-0.221818377656	-0.00858017489808	0.0269490174874	0.0485968015022	-0.0958368021798	0.00500382543884	0.122955009036	0.0144435425822	0.0251702866087	-0.111135655292	0.0442893609671	-0.0269979745998	-0.0240698772452	-0.000756910125084	-0.0296118516046	-0.241996654373	0.0158616545539	0.0308681170592	-0.0321083797035	-0.0178751324421	-3.9069775809e-09
KSG1507	-0.416753208452	0.259681474091	0.0657999067154	0.018792167424	0.0340858228208	-0.234988105454	0.00324344383169	0.024791531389	0.0438370425493	-0.0916473947243	0.00562516978875	0.135605626387	0.155502082387	0.023357142261	-0.154948821321	0.0579278462396	0.027856065219	-0.00252344523657	-0.00347851378956	0.0211991065552	0.200939330432	-0.0384256026477	-0.0446411226294	0.0453543754723	0.00874308334533	-3.9069775809e-09
US1AZ	-0.0265085266913	-0.051731213652	0.210629953574	-0.395547684111	0.258693914615	0.139683721505	0.0913359623967	0.426973083333	-0.208246500892	0.0443656975273	0.0180600128464	0.0222184458642	0.0269659744533	-0.00249796794464	-0.00808765307274	0.00188804768104	-0.00728092293935	-0.00492155537043	-0.00456058623792	0.00322212139164	-0.0045261121481	-0.00388188444319	0.00206293216374	-0.0033845786987	-0.00148560377209	-3.9069775809e-09
WCR464	0.0821627724206	-0.370425429039	-0.226199375839	0.000457841886471	0.178977647316	-0.254377102711	-0.133224191635	-0.00559738450172	-0.0472365827618	0.0309041171168	-0.0641993059702	-0.0918387093564	0.0577331134491	-0.00749567423593	0.0330104823569	-0.00500521706458	-0.0299000527714	0.00709294837533	0.00166600130924	-0.00470698304782	0.0143303500643	-0.040451001381	0.00949281377576	0.00205597777236	-0.165378300644	-3.9069775809e-09
WLK3	0.152397586011	-0.197040434695	0.0693225308561	0.17842341019	-0.0574227637794	-0.0830153674863	0.381071660889	0.0476770559363	0.0913053273083	0.0131714252145	-0.00743142382289	-0.00426579627594	-0.0253375219902	-0.0168465437604	-0.0323558374077	0.0106631626585	-0.242771881061	0.176457605162	-0.00130162273491	0.0193642277619	0.00318179983893	-0.00312170082155	-0.00335952074053	0.0121321905819	0.0132713524329	-3.9069775809e-09
WLK12	0.0278279420145	-0.245398742442	-0.0515583769622	0.18033008432	0.0112687785714	-0.0163039573269	0.364171948926	0.0740027048965	0.145900784596	0.00338702487273	-0.0635301596786	0.0362419460994	-0.0591076673392	-0.05184389906	0.0439780367891	0.0636626602175	0.233938865449	-0.150660135682	0.0173278022058	-0.00274085248346	3.7738226735e-05	0.0174412751768	-0.0314547331026	-0.0343926451178	-0.0116364387253	-3.9069775809e-09


eigvals	1.73254510201	1.14646591032	0.912315019518	0.740251978428	0.674527255523	0.530001292907	0.471451024639	0.427120565248	0.406892830269	0.367892423654	0.337867451679	0.321961044446	0.308610644771	0.282153662844	0.261888868283	0.245627663676	0.192587823329	0.162389242903	0.137440377114	0.115696117631	0.113868733244	0.105011835246	0.101675227011	0.0942235141823	0.0558898252064	3.96876319259e-16
% variation explained	16.9088912946	11.1890117193	8.90380023791	7.22453933196	6.58309444624	5.17258352315	4.60115821349	4.16851209189	3.97109814203	3.59047103159	3.29744028355	3.14220062458	3.01190649452	2.75369778707	2.55592215172	2.39721982374	1.87957390867	1.5848488172	1.34135867137	1.12914409787	1.11130961615	1.02487012013	0.99230626602	0.919580769849	0.545460535367	3.87334132426e-15
