	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.807936507937	0.882884748102	0.935679779158	0.835886818496	0.828502415459	0.921739130435	0.875155279503	0.891511387164	0.770876466529	0.768046928916	0.88143547274	0.954658385093	0.96259489303	0.992477570738	0.910006901311	0.933333333333	0.94154589372	0.898757763975	0.906625258799	0.812284334023	0.833540372671	0.988957902001	0.912836438923	0.899516908213	0.892339544513
CR95	0.807936507937	0.0	0.843271221532	0.921118012422	0.680124223602	0.794824016563	0.868806073154	0.855486542443	0.872808833678	0.835541752933	0.834920634921	0.878881987578	0.8994478951	0.926155969634	0.991718426501	0.884403036577	0.900207039337	0.928433402346	0.876121463078	0.884334023464	0.900621118012	0.876121463078	0.985162180814	0.851828847481	0.841614906832	0.811249137336
CR334	0.882884748102	0.843271221532	0.0	0.851207729469	0.886404416839	0.841614906832	0.818357487923	0.821532091097	0.854037267081	0.960524499655	0.984541062802	0.851690821256	0.931469979296	0.946652864044	0.962180814355	0.875086266391	0.891511387164	0.930986887509	0.877984817115	0.873291925466	0.961904761905	0.970738440304	0.961007591442	0.834368530021	0.86011042098	0.86342305038
CR348	0.935679779158	0.921118012422	0.851207729469	0.0	0.953485162181	0.951345755694	0.957418909593	0.865700483092	0.884334023464	0.983160800552	0.989233954451	0.871980676329	0.964941338854	0.966459627329	0.978467908903	0.903726708075	0.938164251208	0.946238785369	0.901794340925	0.904485852312	0.977363699103	0.985369220152	0.965769496204	0.944444444444	0.943616287095	0.946031746032
CR457	0.835886818496	0.680124223602	0.886404416839	0.953485162181	0.0	0.522567287785	0.849482401656	0.919254658385	0.93878536922	0.749620427881	0.866321601104	0.949551414769	0.946859903382	0.963216011042	0.992960662526	0.956452726018	0.943409247757	0.975569358178	0.950034506556	0.949896480331	0.879365079365	0.905728088337	0.985231193927	0.864113181504	0.906142167012	0.818702553485
CR458	0.828502415459	0.794824016563	0.841614906832	0.951345755694	0.522567287785	0.0	0.727674258109	0.907039337474	0.934368530021	0.73602484472	0.852587991718	0.932919254658	0.950034506556	0.965355417529	0.98226363009	0.940579710145	0.91608005521	0.967494824017	0.934851621808	0.921256038647	0.834713595583	0.87729468599	0.970531400966	0.731193926846	0.895238095238	0.806073153899
CR464	0.921739130435	0.868806073154	0.818357487923	0.957418909593	0.849482401656	0.727674258109	0.0	0.878053830228	0.919806763285	0.984265010352	0.991097308489	0.897032436163	0.935955831608	0.953416149068	0.965907522429	0.92215320911	0.905106970324	0.952726017943	0.912491373361	0.900069013112	0.976259489303	0.986197377502	0.965217391304	0.361283643892	0.844927536232	0.784472049689
CR469	0.875155279503	0.855486542443	0.821532091097	0.865700483092	0.919254658385	0.907039337474	0.878053830228	0.0	0.722291235335	0.989648033126	0.994893029676	0.818771566598	0.920427881297	0.949413388544	0.990131124914	0.819806763285	0.870600414079	0.8988957902	0.810282953761	0.832298136646	0.980193236715	0.982401656315	0.981573498965	0.867011732229	0.808488612836	0.857418909593
CR470	0.891511387164	0.872808833678	0.854037267081	0.884334023464	0.93878536922	0.934368530021	0.919806763285	0.722291235335	0.0	0.992063492063	0.994340924776	0.82077294686	0.910489993099	0.92270531401	0.993719806763	0.808557625949	0.874603174603	0.871980676329	0.809868875086	0.854244306418	0.98115942029	0.983505866115	0.987439613527	0.891028295376	0.862801932367	0.903519668737
CR2528	0.770876466529	0.835541752933	0.960524499655	0.983160800552	0.749620427881	0.73602484472	0.984265010352	0.989648033126	0.992063492063	0.0	0.504347826087	0.989302967564	0.992063492063	0.990821256039	0.997308488613	0.991166321601	0.989717046239	0.992477570738	0.991097308489	0.992270531401	0.650379572119	0.724154589372	0.992063492063	0.987508626639	0.985990338164	0.913043478261
CR2530	0.768046928916	0.834920634921	0.984541062802	0.989233954451	0.866321601104	0.852587991718	0.991097308489	0.994893029676	0.994340924776	0.504347826087	0.0	0.995583160801	0.996273291925	0.994478951001	0.998688750863	0.996204278813	0.996756383713	0.994893029676	0.995307108351	0.996825396825	0.620634920635	0.663077984817	0.995583160801	0.994962042788	0.992408557626	0.947895100069
GM173	0.88143547274	0.878881987578	0.851690821256	0.871980676329	0.949551414769	0.932919254658	0.897032436163	0.818771566598	0.82077294686	0.989302967564	0.995583160801	0.0	0.936162870945	0.93823326432	0.989993098689	0.824430641822	0.878191856453	0.892960662526	0.808143547274	0.828571428571	0.98115942029	0.983712905452	0.990338164251	0.873636991028	0.872808833678	0.899240855763
KSG242	0.954658385093	0.8994478951	0.931469979296	0.964941338854	0.946859903382	0.950034506556	0.935955831608	0.920427881297	0.910489993099	0.992063492063	0.996273291925	0.936162870945	0.0	0.464182194617	0.995859213251	0.93906142167	0.941614906832	0.92077294686	0.924430641822	0.943892339545	0.984265010352	0.985438233264	0.975431331953	0.904761904762	0.798826777088	0.840510697032
KSG246	0.96259489303	0.926155969634	0.946652864044	0.966459627329	0.963216011042	0.965355417529	0.953416149068	0.949413388544	0.92270531401	0.990821256039	0.994478951001	0.93823326432	0.464182194617	0.0	0.992615596963	0.946997929607	0.951483781919	0.91966873706	0.938026224983	0.951690821256	0.983436853002	0.985093167702	0.98033126294	0.930296756384	0.856935817805	0.918150448585
KSG477	0.992477570738	0.991718426501	0.962180814355	0.978467908903	0.992960662526	0.98226363009	0.965907522429	0.990131124914	0.993719806763	0.997308488613	0.998688750863	0.989993098689	0.995859213251	0.992615596963	0.0	0.990614216701	0.991994478951	0.994340924776	0.989855072464	0.989924085576	0.998274672188	0.997860593513	0.919047619048	0.971014492754	0.986128364389	0.989164941339
KSG0645	0.910006901311	0.884403036577	0.875086266391	0.903726708075	0.956452726018	0.940579710145	0.92215320911	0.819806763285	0.808557625949	0.991166321601	0.996204278813	0.824430641822	0.93906142167	0.946997929607	0.990614216701	0.0	0.604278812974	0.602415458937	0.504554865424	0.576397515528	0.976949620428	0.965286404417	0.985231193927	0.898412698413	0.836507936508	0.879434092478
KSG0647	0.933333333333	0.900207039337	0.891511387164	0.938164251208	0.943409247757	0.91608005521	0.905106970324	0.870600414079	0.874603174603	0.989717046239	0.996756383713	0.878191856453	0.941614906832	0.951483781919	0.991994478951	0.604278812974	0.0	0.691304347826	0.625327812284	0.539199447895	0.982677708765	0.967977915804	0.981366459627	0.885024154589	0.871842650104	0.885024154589
KSG0652	0.94154589372	0.928433402346	0.930986887509	0.946238785369	0.975569358178	0.967494824017	0.952726017943	0.8988957902	0.871980676329	0.992477570738	0.994893029676	0.892960662526	0.92077294686	0.91966873706	0.994340924776	0.602415458937	0.691304347826	0.0	0.612353347136	0.706487232574	0.973844030366	0.957142857143	0.988129744651	0.931746031746	0.899654934438	0.92325741891
KSG0660	0.898757763975	0.876121463078	0.877984817115	0.901794340925	0.950034506556	0.934851621808	0.912491373361	0.810282953761	0.809868875086	0.991097308489	0.995307108351	0.808143547274	0.924430641822	0.938026224983	0.989855072464	0.504554865424	0.625327812284	0.612353347136	0.0	0.548171152519	0.975155279503	0.965424430642	0.976052449965	0.881504485852	0.824292615597	0.884955141477
KSG0673	0.906625258799	0.884334023464	0.873291925466	0.904485852312	0.949896480331	0.921256038647	0.900069013112	0.832298136646	0.854244306418	0.992270531401	0.996825396825	0.828571428571	0.943892339545	0.951690821256	0.989924085576	0.576397515528	0.539199447895	0.706487232574	0.548171152519	0.0	0.978053830228	0.967977915804	0.979917184265	0.876259489303	0.850724637681	0.881573498965
KSG1471	0.812284334023	0.900621118012	0.961904761905	0.977363699103	0.879365079365	0.834713595583	0.976259489303	0.980193236715	0.98115942029	0.650379572119	0.620634920635	0.98115942029	0.984265010352	0.983436853002	0.998274672188	0.976949620428	0.982677708765	0.973844030366	0.975155279503	0.978053830228	0.0	0.500897170462	0.995928226363	0.988750862664	0.978191856453	0.948447204969
KSG1507	0.833540372671	0.876121463078	0.970738440304	0.985369220152	0.905728088337	0.87729468599	0.986197377502	0.982401656315	0.983505866115	0.724154589372	0.663077984817	0.983712905452	0.985438233264	0.985093167702	0.997860593513	0.965286404417	0.967977915804	0.957142857143	0.965424430642	0.967977915804	0.500897170462	0.0	0.993788819876	0.987025534852	0.982125603865	0.955555555556
US1AZ	0.988957902001	0.985162180814	0.961007591442	0.965769496204	0.985231193927	0.970531400966	0.965217391304	0.981573498965	0.987439613527	0.992063492063	0.995583160801	0.990338164251	0.975431331953	0.98033126294	0.919047619048	0.985231193927	0.981366459627	0.988129744651	0.976052449965	0.979917184265	0.995928226363	0.993788819876	0.0	0.967218771567	0.98115942029	0.980124223602
WCR464	0.912836438923	0.851828847481	0.834368530021	0.944444444444	0.864113181504	0.731193926846	0.361283643892	0.867011732229	0.891028295376	0.987508626639	0.994962042788	0.873636991028	0.904761904762	0.930296756384	0.971014492754	0.898412698413	0.885024154589	0.931746031746	0.881504485852	0.876259489303	0.988750862664	0.987025534852	0.967218771567	0.0	0.812836438923	0.78309178744
