	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.774090548142	0.889670732796	0.930449653379	0.803617664415	0.841244492193	0.949456121698	0.881839982559	0.880003562487	0.764030328987	0.778963072283	0.865401711842	0.958180452556	0.968765850663	0.994866374755	0.899694199395	0.932723488699	0.943970725896	0.895249539374	0.900166228233	0.808682284041	0.817549016441	0.989099583834	0.900469571249	0.916052575639	0.913727660237
CR95	0.774090548142	0.0	0.854746412336	0.91073371856	0.670134342894	0.796752301556	0.909230458493	0.856540159183	0.861306343317	0.875874536116	0.882730768216	0.863027676824	0.911628883291	0.938650669929	0.992864471167	0.87242635761	0.886278919455	0.923314583001	0.868356076516	0.868170022054	0.911416899591	0.908769379415	0.987075648866	0.837812542746	0.865077884983	0.843893954164
CR334	0.889670732796	0.854746412336	0.0	0.850063843082	0.884643981137	0.906216436205	0.804944012147	0.81207334072	0.896732854003	0.957348822023	0.98369287664	0.877093676054	0.930037546934	0.94964707998	0.963758938488	0.871008469672	0.883263486402	0.930994175618	0.874918772722	0.866333541537	0.959452182392	0.969434265797	0.96320821002	0.851279363183	0.854530913292	0.855294560985
CR348	0.930449653379	0.91073371856	0.850063843082	0.0	0.950446003142	0.958711596429	0.960925092642	0.862633662833	0.885726275482	0.981226058649	0.98929156511	0.86760822138	0.964460414276	0.971074511803	0.982677142734	0.896738048139	0.938067257399	0.95049694471	0.901907356948	0.902355679326	0.976277225447	0.984563785509	0.963899912661	0.938621933838	0.948790851222	0.948835941994
CR457	0.803617664415	0.670134342894	0.884643981137	0.950446003142	0.0	0.578335089905	0.855480926447	0.913437699228	0.935169079943	0.786114354701	0.864982036409	0.941862356961	0.943877270074	0.963753763724	0.991314873015	0.951946179721	0.939071723134	0.973248269896	0.94871743487	0.945356738392	0.877368468226	0.903244742222	0.986863784121	0.848447483466	0.909097116326	0.862160283359
CR458	0.841244492193	0.796752301556	0.906216436205	0.958711596429	0.578335089905	0.0	0.885331975707	0.933910488181	0.926923076923	0.844359566362	0.889291692573	0.936725684123	0.968578491348	0.977285546595	0.988930795372	0.951474213212	0.928716767444	0.974881638636	0.954483760586	0.932418162619	0.871854271675	0.928864345738	0.983339355253	0.74228678234	0.944597046392	0.906853067161
CR464	0.949456121698	0.909230458493	0.804944012147	0.960925092642	0.855480926447	0.885331975707	0.0	0.87702159484	0.940418852493	0.9837860649	0.992708930414	0.922017469401	0.936784584412	0.953250734449	0.961261237648	0.928540483845	0.904533271181	0.956157919284	0.921177088807	0.903417706754	0.978213507625	0.985318527177	0.96467142054	0.654299115635	0.844298589957	0.786622730952
CR469	0.881839982559	0.856540159183	0.81207334072	0.862633662833	0.913437699228	0.933910488181	0.87702159484	0.0	0.804376682412	0.987999116082	0.994566447815	0.834262159175	0.91967226614	0.952307078587	0.990454011817	0.809444531155	0.865035002028	0.898398169336	0.806165870604	0.825483933582	0.976638546398	0.980594192397	0.983194336491	0.877269593197	0.821551403098	0.856824098178
CR470	0.880003562487	0.861306343317	0.896732854003	0.885726275482	0.935169079943	0.926923076923	0.940418852493	0.804376682412	0.0	0.993945406533	0.996698064535	0.825480754671	0.940220605048	0.954773502784	0.995499784973	0.854384932313	0.90716317942	0.922575323705	0.861652629719	0.891230878691	0.983089660032	0.988801376467	0.992134117273	0.885201894038	0.921892402305	0.940517452372
CR2528	0.764030328987	0.875874536116	0.957348822023	0.981226058649	0.786114354701	0.844359566362	0.9837860649	0.987999116082	0.993945406533	0.0	0.488534263108	0.990795101198	0.992127688886	0.991300124586	0.997121452559	0.989982971051	0.988124724324	0.991160220994	0.99006855041	0.991104471531	0.634981838502	0.711541077258	0.992134515831	0.988080655799	0.98600785231	0.923060212888
CR2530	0.778963072283	0.882730768216	0.98369287664	0.98929156511	0.864982036409	0.889291692573	0.992708930414	0.994566447815	0.996698064535	0.488534263108	0.0	0.996464214428	0.995789729369	0.994123919998	0.998863334975	0.996204479398	0.995585526087	0.994322853451	0.994794698812	0.996452050506	0.603175055578	0.649352006689	0.995498657857	0.994634473508	0.992124967725	0.951166995064
GM173	0.865401711842	0.863027676824	0.877093676054	0.86760822138	0.941862356961	0.936725684123	0.922017469401	0.834262159175	0.825480754671	0.990795101198	0.996464214428	0.0	0.932310034251	0.939980895776	0.990439468211	0.827109660248	0.884965215891	0.902967370108	0.819103029751	0.832338222606	0.980260845992	0.986549202511	0.988877043811	0.867502634539	0.900162048931	0.908919853539
KSG242	0.958180452556	0.911628883291	0.930037546934	0.964460414276	0.943877270074	0.968578491348	0.936784584412	0.91967226614	0.940220605048	0.992127688886	0.995789729369	0.932310034251	0.0	0.442054764985	0.995676020118	0.94098096485	0.941223584499	0.920022728887	0.925499929374	0.9449571455	0.982617770313	0.983114716966	0.973676897815	0.902908199488	0.800536791475	0.837163232964
KSG246	0.968765850663	0.938650669929	0.94964707998	0.971074511803	0.963753763724	0.977285546595	0.953250734449	0.952307078587	0.954773502784	0.991300124586	0.994123919998	0.939980895776	0.442054764985	0.0	0.992343221281	0.954320105648	0.957470324278	0.920068071062	0.942433247294	0.956105223567	0.980854629966	0.982974572702	0.978688660707	0.928957680801	0.854756122539	0.917032223125
KSG477	0.994866374755	0.992864471167	0.963758938488	0.982677142734	0.991314873015	0.988930795372	0.961261237648	0.990454011817	0.995499784973	0.997121452559	0.998863334975	0.990439468211	0.995676020118	0.992343221281	0.0	0.991627064947	0.992011675244	0.994037702762	0.990215338119	0.990083788147	0.998609179416	0.997343395064	0.921662632657	0.972729835713	0.986931291754	0.988393081545
KSG0645	0.899694199395	0.87242635761	0.871008469672	0.896738048139	0.951946179721	0.951474213212	0.928540483845	0.809444531155	0.854384932313	0.989982971051	0.996204479398	0.827109660248	0.94098096485	0.954320105648	0.991627064947	0.0	0.586050536518	0.613163432312	0.483186685765	0.560062348459	0.974578918965	0.963607979185	0.985987836949	0.888604934438	0.835609401087	0.889147177134
KSG0647	0.932723488699	0.886278919455	0.883263486402	0.938067257399	0.939071723134	0.928716767444	0.904533271181	0.865035002028	0.90716317942	0.988124724324	0.995585526087	0.884965215891	0.941223584499	0.957470324278	0.992011675244	0.586050536518	0.0	0.686810132613	0.607744574638	0.51662323026	0.979643546112	0.965395604783	0.981726739313	0.88754137173	0.875802997859	0.884993507698
KSG0652	0.943970725896	0.923314583001	0.930994175618	0.95049694471	0.973248269896	0.974881638636	0.956157919284	0.898398169336	0.922575323705	0.991160220994	0.994322853451	0.902967370108	0.920022728887	0.920068071062	0.994037702762	0.613163432312	0.686810132613	0.0	0.610117885862	0.694587936104	0.970034599879	0.949046614386	0.988076773943	0.931586532163	0.894734164335	0.922259467941
KSG0660	0.895249539374	0.868356076516	0.874918772722	0.901907356948	0.94871743487	0.954483760586	0.921177088807	0.806165870604	0.861652629719	0.99006855041	0.994794698812	0.819103029751	0.925499929374	0.942433247294	0.990215338119	0.483186685765	0.607744574638	0.610117885862	0.0	0.532193158954	0.971617893809	0.963135401828	0.974930018113	0.879115361626	0.827278576024	0.893283113622
KSG0673	0.900166228233	0.868170022054	0.866333541537	0.902355679326	0.945356738392	0.932418162619	0.903417706754	0.825483933582	0.891230878691	0.991104471531	0.996452050506	0.832338222606	0.9449571455	0.956105223567	0.990083788147	0.560062348459	0.51662323026	0.694587936104	0.532193158954	0.0	0.975915415862	0.966253662325	0.978817114094	0.87126870181	0.856580501247	0.884403556179
KSG1471	0.808682284041	0.911416899591	0.959452182392	0.976277225447	0.877368468226	0.871854271675	0.978213507625	0.976638546398	0.983089660032	0.634981838502	0.603175055578	0.980260845992	0.982617770313	0.980854629966	0.998609179416	0.974578918965	0.979643546112	0.970034599879	0.971617893809	0.975915415862	0.0	0.478826515895	0.99665308016	0.988283378747	0.977397260274	0.94920936013
KSG1507	0.817549016441	0.908769379415	0.969434265797	0.984563785509	0.903244742222	0.928864345738	0.985318527177	0.980594192397	0.988801376467	0.711541077258	0.649352006689	0.986549202511	0.983114716966	0.982974572702	0.997343395064	0.963607979185	0.965395604783	0.949046614386	0.963135401828	0.966253662325	0.478826515895	0.0	0.993948308468	0.987466124661	0.981374353581	0.951641902085
US1AZ	0.989099583834	0.987075648866	0.96320821002	0.963899912661	0.986863784121	0.983339355253	0.96467142054	0.983194336491	0.992134117273	0.992134515831	0.995498657857	0.988877043811	0.973676897815	0.978688660707	0.921662632657	0.985987836949	0.981726739313	0.988076773943	0.974930018113	0.978817114094	0.99665308016	0.993948308468	0.0	0.973533483536	0.981613835998	0.978990637132
