	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.694958935719	0.711725341933	0.720331321073	0.70111971562	0.710153579409	0.737217707109	0.71911052779	0.717884221416	0.648601170658	0.694844683148	0.713759150863	0.723213790144	0.707242926395	0.802755533335	0.706410159746	0.695427354199	0.713325836861	0.662702395096	0.695953391962	0.666238476119	0.687764887644	0.697199948819	0.706973853604	0.686831049083	0.733687192401
CR95	0.694958935719	0.0	0.652116925757	0.671078529955	0.681558079128	0.693141075724	0.734476545241	0.681728437599	0.692962059841	0.717111460566	0.753517153426	0.708697988262	0.68408111082	0.716601664108	0.74458045815	0.679243779087	0.670142812775	0.706178522923	0.663226600036	0.661875852913	0.687543616097	0.751081593527	0.765087626871	0.665288573407	0.652753621193	0.679819023684
CR334	0.711725341933	0.652116925757	0.0	0.667813768007	0.700293936156	0.656122746155	0.665018878975	0.675398678226	0.677111992048	0.753154656392	0.786083872701	0.675511997012	0.68447925636	0.70859744098	0.761720197591	0.66783417907	0.679173993578	0.701415114949	0.662383091231	0.617657071047	0.734871188102	0.769996771819	0.774528446205	0.652835529189	0.675909519867	0.663015367964
CR348	0.720331321073	0.671078529955	0.667813768007	0.0	0.7160056502	0.729254006272	0.738505593663	0.707616214849	0.685583507575	0.751054767508	0.758742409315	0.683352352705	0.736807275562	0.756266700003	0.784545167514	0.633049045653	0.699328743617	0.693070878964	0.660621047007	0.65612372355	0.702605401288	0.746533635154	0.730746378674	0.692551173644	0.704406728379	0.74602602482
CR457	0.70111971562	0.681558079128	0.700293936156	0.7160056502	0.0	0.616210721315	0.7012259701	0.720373691243	0.714526439636	0.721274684087	0.747458175963	0.734324703131	0.747536017709	0.691970618245	0.770024891987	0.709812962853	0.706693232297	0.732932960267	0.718333601488	0.684117552889	0.738844481087	0.721630264248	0.738906383485	0.677785395704	0.71058640281	0.675165254953
CR458	0.710153579409	0.693141075724	0.656122746155	0.729254006272	0.616210721315	0.0	0.625481765901	0.715669871724	0.699969524486	0.737930506922	0.796678661902	0.705276237111	0.69928554642	0.710997367555	0.780405274699	0.721213423175	0.677517987948	0.715893122306	0.709780523966	0.695348543133	0.733642249378	0.710942077422	0.762791747583	0.640065489106	0.677121928412	0.690250522779
CR464	0.737217707109	0.734476545241	0.665018878975	0.738505593663	0.7012259701	0.625481765901	0.0	0.699962187767	0.732466744553	0.758512620438	0.799026840684	0.71007682375	0.68883044127	0.689709618403	0.729727425015	0.724225574365	0.713479936635	0.713701114707	0.735820357421	0.718722402109	0.771457345663	0.761279221808	0.758280104016	0.572063778201	0.655823733124	0.669262911766
CR469	0.71911052779	0.681728437599	0.675398678226	0.707616214849	0.720373691243	0.715669871724	0.699962187767	0.0	0.668132218222	0.759369105213	0.805424539185	0.653687223319	0.713479306481	0.686662455256	0.776066721835	0.683354269743	0.661543584002	0.703136031771	0.668248571778	0.66759500017	0.755173146624	0.792976484422	0.760792265965	0.693367252214	0.683971191234	0.697832392517
CR470	0.717884221416	0.692962059841	0.677111992048	0.685583507575	0.714526439636	0.699969524486	0.732466744553	0.668132218222	0.0	0.777017841471	0.782714323701	0.635698354525	0.701591603464	0.69498679662	0.783604906501	0.668956480468	0.658853661557	0.67344401179	0.658585535072	0.679336192149	0.737958116633	0.748238594877	0.753704532559	0.698409349654	0.701526369258	0.713081264264
CR2528	0.648601170658	0.717111460566	0.753154656392	0.751054767508	0.721274684087	0.737930506922	0.758512620438	0.759369105213	0.777017841471	0.0	0.549446885011	0.775544456333	0.771940485835	0.773380876636	0.74291924913	0.746806312133	0.751772481452	0.74453558262	0.750797087373	0.738485977083	0.611299894133	0.710331467989	0.734463838658	0.728327583165	0.734111261271	0.743009173044
CR2530	0.694844683148	0.753517153426	0.786083872701	0.758742409315	0.747458175963	0.796678661902	0.799026840684	0.805424539185	0.782714323701	0.549446885011	0.0	0.79660337442	0.798383172376	0.803629664913	0.776765904123	0.780491660856	0.792769548232	0.780331621641	0.805156104169	0.773630376578	0.666635189289	0.701094838679	0.779619538557	0.774473826187	0.779892924023	0.782696519516
GM173	0.713759150863	0.708697988262	0.675511997012	0.683352352705	0.734324703131	0.705276237111	0.71007682375	0.653687223319	0.635698354525	0.775544456333	0.79660337442	0.0	0.681044363412	0.660076364015	0.753722121575	0.654667337568	0.652712636224	0.68576514467	0.653180477501	0.658150945034	0.729578277635	0.746580770327	0.715281558905	0.69953634881	0.67941217184	0.715305953872
KSG242	0.723213790144	0.68408111082	0.68447925636	0.736807275562	0.747536017709	0.69928554642	0.68883044127	0.713479306481	0.701591603464	0.771940485835	0.798383172376	0.681044363412	0.0	0.54982371489	0.742389949378	0.691082857319	0.696999258771	0.712507532272	0.715423210583	0.682703866653	0.738344973722	0.732461905523	0.769166834687	0.686466770439	0.591876555271	0.67965534661
KSG246	0.707242926395	0.716601664108	0.70859744098	0.756266700003	0.691970618245	0.710997367555	0.689709618403	0.686662455256	0.69498679662	0.773380876636	0.803629664913	0.660076364015	0.54982371489	0.0	0.720635178587	0.692200618479	0.687984447895	0.695646593846	0.690835840052	0.683287606647	0.770325181774	0.744590054454	0.732789502323	0.700930772155	0.605738638196	0.697584294184
KSG477	0.802755533335	0.74458045815	0.761720197591	0.784545167514	0.770024891987	0.780405274699	0.729727425015	0.776066721835	0.783604906501	0.74291924913	0.776765904123	0.753722121575	0.742389949378	0.720635178587	0.0	0.786391353509	0.760351648001	0.742179631956	0.756380545305	0.755271970334	0.775238101383	0.775308294698	0.759938417527	0.731456992834	0.695428710042	0.722462319108
KSG0645	0.706410159746	0.679243779087	0.66783417907	0.633049045653	0.709812962853	0.721213423175	0.724225574365	0.683354269743	0.668956480468	0.746806312133	0.780491660856	0.654667337568	0.691082857319	0.692200618479	0.786391353509	0.0	0.599596914678	0.608957003287	0.574179423817	0.572965016651	0.703371745657	0.753484233515	0.7387483161	0.673756983267	0.65476614353	0.728187070016
KSG0647	0.695427354199	0.670142812775	0.679173993578	0.699328743617	0.706693232297	0.677517987948	0.713479936635	0.661543584002	0.658853661557	0.751772481452	0.792769548232	0.652712636224	0.696999258771	0.687984447895	0.760351648001	0.599596914678	0.0	0.642574076969	0.559367497512	0.602966606678	0.734714167465	0.75374183568	0.715502169302	0.663663578327	0.642930364789	0.687391639555
KSG0652	0.713325836861	0.706178522923	0.701415114949	0.693070878964	0.732932960267	0.715893122306	0.713701114707	0.703136031771	0.67344401179	0.74453558262	0.780331621641	0.68576514467	0.712507532272	0.695646593846	0.742179631956	0.608957003287	0.642574076969	0.0	0.60756387377	0.628990401815	0.715266928493	0.715427180994	0.748548862452	0.693915914077	0.674213190488	0.705229395883
KSG0660	0.662702395096	0.663226600036	0.662383091231	0.660621047007	0.718333601488	0.709780523966	0.735820357421	0.668248571778	0.658585535072	0.750797087373	0.805156104169	0.653180477501	0.715423210583	0.690835840052	0.756380545305	0.574179423817	0.559367497512	0.60756387377	0.0	0.568614852106	0.696911013243	0.722737844292	0.698659539221	0.668426729479	0.661902854032	0.674835442951
KSG0673	0.695953391962	0.661875852913	0.617657071047	0.65612372355	0.684117552889	0.695348543133	0.718722402109	0.66759500017	0.679336192149	0.738485977083	0.773630376578	0.658150945034	0.682703866653	0.683287606647	0.755271970334	0.572965016651	0.602966606678	0.628990401815	0.568614852106	0.0	0.707717337673	0.732205285038	0.708499543847	0.656223145067	0.652303389223	0.705821315713
KSG1471	0.666238476119	0.687543616097	0.734871188102	0.702605401288	0.738844481087	0.733642249378	0.771457345663	0.755173146624	0.737958116633	0.611299894133	0.666635189289	0.729578277635	0.738344973722	0.770325181774	0.775238101383	0.703371745657	0.734714167465	0.715266928493	0.696911013243	0.707717337673	0.0	0.603314582045	0.717674451109	0.731246613363	0.731291277322	0.764028845867
KSG1507	0.687764887644	0.751081593527	0.769996771819	0.746533635154	0.721630264248	0.710942077422	0.761279221808	0.792976484422	0.748238594877	0.710331467989	0.701094838679	0.746580770327	0.732461905523	0.744590054454	0.775308294698	0.753484233515	0.75374183568	0.715427180994	0.722737844292	0.732205285038	0.603314582045	0.0	0.738658033648	0.753246830295	0.735606474354	0.756373622618
