	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.596402333019	0.701794068872	0.671972709179	0.677236738098	0.61258189407	0.808385873335	0.715649206921	0.64404401466	0.646646874025	0.674000195156	0.68509221909	0.739513899807	0.772596416104	0.828826081931	0.691185321546	0.681943003675	0.754611229683	0.701743164878	0.681349845919	0.645173022833	0.732063764054	0.751671168607	0.662378021666	0.759133340702	0.762314183835
CR95	0.596402333019	0.0	0.632335287291	0.629525361253	0.640334624678	0.592703937343	0.767300299954	0.675851534888	0.594059962375	0.674728216813	0.706791371503	0.6326230158	0.67046461834	0.751054626223	0.779950569663	0.648889794326	0.654930809554	0.728373789047	0.677684582533	0.631482079792	0.667896202525	0.726448090798	0.72805913123	0.591035644134	0.708567099859	0.715545168298
CR334	0.701794068872	0.632335287291	0.0	0.617568079078	0.666068577317	0.667838332008	0.679600341723	0.627605785865	0.649877815143	0.714197460114	0.761350279948	0.612627581075	0.669314512923	0.699302626926	0.757789451738	0.650613587106	0.63943846903	0.685875674109	0.651114633065	0.600451291383	0.711862575529	0.736339314614	0.725845346024	0.632480526154	0.672482114832	0.651954152561
CR348	0.671972709179	0.629525361253	0.617568079078	0.0	0.684782205271	0.655381788541	0.763718374494	0.65224546547	0.612834934467	0.726024791639	0.738909530315	0.629987623775	0.714250339084	0.769339927891	0.796127494899	0.648988402761	0.656468091579	0.711906598505	0.653886908501	0.615941797234	0.685604336266	0.725775606337	0.706782740996	0.651345761036	0.720821605	0.737234937694
CR457	0.677236738098	0.640334624678	0.666068577317	0.684782205271	0.0	0.591927285213	0.732280840079	0.693441018138	0.703508573152	0.696688819898	0.724831436243	0.663029894252	0.697006408759	0.727128646047	0.76390289965	0.683740696434	0.665985228649	0.715753271662	0.676673098585	0.669590758569	0.690424034828	0.734706029004	0.730916562762	0.646837427678	0.717571350058	0.659695635119
CR458	0.61258189407	0.592703937343	0.667838332008	0.655381788541	0.591927285213	0.0	0.765789544173	0.691410043589	0.638620105992	0.694439420547	0.696759952168	0.661993606729	0.736912255195	0.776177473178	0.811044293132	0.70027322042	0.669542656446	0.761755911049	0.703479342959	0.672565417188	0.692874907341	0.749025437545	0.73551259609	0.619356773499	0.751948768135	0.737004799137
CR464	0.808385873335	0.767300299954	0.679600341723	0.763718374494	0.732280840079	0.765789544173	0.0	0.707505602543	0.79441024774	0.756290839523	0.792450740409	0.725545641171	0.704049354963	0.685736448971	0.715503424906	0.748819265202	0.739216558363	0.713491409502	0.746399865072	0.73827523607	0.774457727297	0.764965706348	0.755462376669	0.649840052961	0.662104603173	0.658373750953
CR469	0.715649206921	0.675851534888	0.627605785865	0.65224546547	0.693441018138	0.691410043589	0.707505602543	0.0	0.63995711743	0.754273689292	0.745304572455	0.609523933877	0.665379819186	0.679919572358	0.780046254679	0.639402516628	0.616369332136	0.686601945614	0.655197101497	0.635308050297	0.718398330326	0.753131146241	0.715440005561	0.668778506233	0.683795527708	0.705154061317
CR470	0.64404401466	0.594059962375	0.649877815143	0.612834934467	0.703508573152	0.638620105992	0.79441024774	0.63995711743	0.0	0.724905812268	0.732360997046	0.617706658405	0.717304427357	0.764447050977	0.796756161248	0.654802236966	0.656278132603	0.735128673617	0.663255557283	0.632346637433	0.697585046401	0.767178717385	0.734887304474	0.631263620244	0.738058371478	0.738936348576
CR2528	0.646646874025	0.674728216813	0.714197460114	0.726024791639	0.696688819898	0.694439420547	0.756290839523	0.754273689292	0.724905812268	0.0	0.549758371681	0.731626199098	0.739913992818	0.757969330935	0.753514341348	0.740099226077	0.727933191793	0.752961239673	0.744653013265	0.712849200069	0.574964426363	0.662017202232	0.69551291957	0.683740219422	0.741285442963	0.727054656056
CR2530	0.674000195156	0.706791371503	0.761350279948	0.738909530315	0.724831436243	0.696759952168	0.792450740409	0.745304572455	0.732360997046	0.549758371681	0.0	0.748073453353	0.749364827417	0.781814474002	0.780584004585	0.762357949413	0.757857758509	0.766959304065	0.759693536427	0.732389286364	0.577816437314	0.673703616678	0.721160089233	0.73521582301	0.76809430276	0.76554100195
GM173	0.68509221909	0.6326230158	0.612627581075	0.629987623775	0.663029894252	0.661993606729	0.725545641171	0.609523933877	0.617706658405	0.731626199098	0.748073453353	0.0	0.677554820037	0.697267725631	0.773663285129	0.634562794331	0.616250725342	0.706051896229	0.633408544024	0.612784179131	0.699433626505	0.732886139062	0.705400334725	0.632400450962	0.678037957302	0.696011586793
KSG242	0.739513899807	0.67046461834	0.669314512923	0.714250339084	0.697006408759	0.736912255195	0.704049354963	0.665379819186	0.717304427357	0.739913992818	0.749364827417	0.677554820037	0.0	0.580594539737	0.748891840838	0.64204553223	0.675620044955	0.67434108143	0.68820559786	0.664006219055	0.70723062439	0.714709838156	0.73099163113	0.666105380035	0.604217572943	0.655988235195
KSG246	0.772596416104	0.751054626223	0.699302626926	0.769339927891	0.727128646047	0.776177473178	0.685736448971	0.679919572358	0.764447050977	0.757969330935	0.781814474002	0.697267725631	0.580594539737	0.0	0.69907751902	0.695424472529	0.692520769675	0.686788957191	0.711804399685	0.703941086551	0.75170730775	0.750999022687	0.713197487802	0.730922805751	0.610973614723	0.672880066929
KSG477	0.828826081931	0.779950569663	0.757789451738	0.796127494899	0.76390289965	0.811044293132	0.715503424906	0.780046254679	0.796756161248	0.753514341348	0.780584004585	0.773663285129	0.748891840838	0.69907751902	0.0	0.786126381977	0.774263622914	0.728948647407	0.758235844254	0.770907328556	0.780614392132	0.773180667853	0.717261214857	0.727854675659	0.694301416199	0.727927639563
KSG0645	0.691185321546	0.648889794326	0.650613587106	0.648988402761	0.683740696434	0.70027322042	0.748819265202	0.639402516628	0.654802236966	0.740099226077	0.762357949413	0.634562794331	0.64204553223	0.695424472529	0.786126381977	0.0	0.552164875334	0.595803774891	0.559013986208	0.550841495444	0.694851854828	0.72728691746	0.726864234223	0.657496953319	0.656154645463	0.713850734154
KSG0647	0.681943003675	0.654930809554	0.63943846903	0.656468091579	0.665985228649	0.669542656446	0.739216558363	0.616369332136	0.656278132603	0.727933191793	0.757857758509	0.616250725342	0.675620044955	0.692520769675	0.774263622914	0.552164875334	0.0	0.634705387505	0.546292726282	0.555878703125	0.713566730606	0.716838391895	0.693528598386	0.640288928982	0.669112878742	0.68426396026
KSG0652	0.754611229683	0.728373789047	0.685875674109	0.711906598505	0.715753271662	0.761755911049	0.713491409502	0.686601945614	0.735128673617	0.752961239673	0.766959304065	0.706051896229	0.67434108143	0.686788957191	0.728948647407	0.595803774891	0.634705387505	0.0	0.576498071942	0.6067754502	0.721679343883	0.703469915014	0.739875316154	0.7088995369	0.673106009026	0.696311122787
KSG0660	0.701743164878	0.677684582533	0.651114633065	0.653886908501	0.676673098585	0.703479342959	0.746399865072	0.655197101497	0.663255557283	0.744653013265	0.759693536427	0.633408544024	0.68820559786	0.711804399685	0.758235844254	0.559013986208	0.546292726282	0.576498071942	0.0	0.549070985816	0.693064302141	0.709663298088	0.68037225691	0.670737258644	0.680403587243	0.669840156508
KSG0673	0.681349845919	0.631482079792	0.600451291383	0.615941797234	0.669590758569	0.672565417188	0.73827523607	0.635308050297	0.632346637433	0.712849200069	0.732389286364	0.612784179131	0.664006219055	0.703941086551	0.770907328556	0.550841495444	0.555878703125	0.6067754502	0.549070985816	0.0	0.676498656427	0.706167057843	0.706360051716	0.637034849839	0.680089759783	0.691713733236
KSG1471	0.645173022833	0.667896202525	0.711862575529	0.685604336266	0.690424034828	0.692874907341	0.774457727297	0.718398330326	0.697585046401	0.574964426363	0.577816437314	0.699433626505	0.70723062439	0.75170730775	0.780614392132	0.694851854828	0.713566730606	0.721679343883	0.693064302141	0.676498656427	0.0	0.579218885277	0.704548763017	0.699666171733	0.742606264406	0.745405472704
KSG1507	0.732063764054	0.726448090798	0.736339314614	0.725775606337	0.734706029004	0.749025437545	0.764965706348	0.753131146241	0.767178717385	0.662017202232	0.673703616678	0.732886139062	0.714709838156	0.750999022687	0.773180667853	0.72728691746	0.716838391895	0.703469915014	0.709663298088	0.706167057843	0.579218885277	0.0	0.714479433393	0.748748234584	0.729379744952	0.744855715171
US1AZ	0.751671168607	0.72805913123	0.725845346024	0.706782740996	0.730916562762	0.73551259609	0.755462376669	0.715440005561	0.734887304474	0.69551291957	0.721160089233	0.705400334725	0.73099163113	0.713197487802	0.717261214857	0.726864234223	0.693528598386	0.739875316154	0.68037225691	0.706360051716	0.704548763017	0.714479433393	0.0	0.68862326203	0.734593156677	0.761563046647
