	CR89	CR95	CR334	CR348	CR457	CR458	CR464	CR469	CR470	CR2528	CR2530	GM173	KSG242	KSG246	KSG477	KSG0645	KSG0647	KSG0652	KSG0660	KSG0673	KSG1471	KSG1507	US1AZ	WCR464	WLK3	WLK12
CR89	0.0	0.752497927677	0.994211016485	1.32390193879	0.996317430654	0.95144002144	1.14121682526	1.29664982605	1.12983004664	0.693283733133	0.83380387799	1.48862414876	3.85369800735	4.65270992594	4.0740969486	1.35485126521	1.37204396945	1.22653322811	1.32597676091	1.35989279766	0.802177390483	0.717278200067	1.29084369887	1.21582151086	2.00753379922	0.9609016381
CR95	0.752497927677	0.0	0.666957466099	1.06548184664	0.68847830796	0.671565458667	0.799596086087	1.02393498078	0.850669249347	0.859898814431	1.14711692181	1.19547949622	3.45750283808	4.27545723997	3.74507208576	1.04787829321	1.08507189915	0.987685735546	1.0473570936	1.07536005522	1.02475918911	1.01617453337	1.05096618586	0.821873880015	1.59057240199	0.713457381207
CR334	0.994211016485	0.666957466099	0.0	0.884085825291	0.880087897441	0.800761103884	0.7983098755	0.805425046736	0.822000596374	1.20642742182	1.48574722414	1.03564132178	3.59125027423	4.30648185524	3.73224617199	0.891266950521	0.973605288563	0.885716814799	0.884774594023	0.890832953327	1.3057554122	1.30498582138	0.959751910509	0.805341700479	1.55122427234	0.856513773317
CR348	1.32390193879	1.06548184664	0.884085825291	0.0	1.29733600593	1.2255372823	1.05341256654	0.861015313747	0.945385707999	1.49893313356	1.70839217893	1.17034636078	3.85540727344	4.60209042647	4.07802807312	0.987556467049	1.14782083957	1.01053897975	0.872690819742	0.954698395572	1.47823922822	1.52604905583	1.22787275046	1.02812683815	1.76421000224	1.22293398421
CR457	0.996317430654	0.68847830796	0.880087897441	1.29733600593	0.0	0.383693837857	0.874156860089	1.15306413886	1.18094943251	0.852295499027	1.2659767687	1.48019724043	3.63673508636	4.41557986931	3.8112527701	1.25263164116	1.25894575437	1.06015893864	1.16894569289	1.25823431932	1.13459681024	1.12107606997	1.01931047301	1.10094146835	1.84033798048	0.954040460963
CR458	0.95144002144	0.671565458667	0.800761103884	1.2255372823	0.383693837857	0.0	0.771878827439	1.07901992924	1.08516094573	0.840243187221	1.25586384467	1.41124702215	3.5770551963	4.38620813778	3.7925524527	1.17773081319	1.19410327201	1.03982470407	1.10086121874	1.19448933213	1.1131570808	1.11380866251	0.986408136694	0.945151139353	1.7652731461	0.870409775225
CR464	1.14121682526	0.799596086087	0.7983098755	1.05341256654	0.874156860089	0.771878827439	0.0	0.874507015278	1.01304557689	1.23101579812	1.50500396223	1.32260615198	3.70887498563	4.47815586329	3.83867142579	1.00649349904	0.91330402578	0.942247411387	0.912112281761	0.897523391976	1.37262164594	1.33125612285	0.895915839717	0.404482274886	1.47416847363	0.691741773069
CR469	1.29664982605	1.02393498078	0.805425046736	0.861015313747	1.15306413886	1.07901992924	0.874507015278	0.0	0.843846456728	1.53750764961	1.7739708883	1.11517464833	3.75820593415	4.44105026748	3.93653898908	0.749147083268	0.86769087254	0.86397523428	0.654026357637	0.714094335294	1.58366457896	1.57849151946	1.0658892735	0.866282739981	1.51387430421	1.05623266011
CR470	1.12983004664	0.850669249347	0.822000596374	0.945385707999	1.18094943251	1.08516094573	1.01304557689	0.843846456728	0.0	1.3904016284	1.6416606544	0.956404298237	3.65548886227	4.43482805696	3.95063819904	0.831564410085	1.11419650194	0.832259782206	0.810934382824	1.01827805459	1.42092272529	1.44984066343	1.24692409293	1.01866718372	1.68494434357	1.02629245132
CR2528	0.693283733133	0.859898814431	1.20642742182	1.49893313356	0.852295499027	0.840243187221	1.23101579812	1.53750764961	1.3904016284	0.0	0.603633234973	1.70984022055	3.89607238275	4.71864984422	4.08084173964	1.56600862451	1.58761461805	1.42154612966	1.55760187783	1.58961290688	0.663030214282	0.636966397966	1.33853618603	1.36500490758	2.18865798305	1.08563354556
