	DA5	DB5	DC5	DD5	DE5	DF5	DG5	DH5	DA2	DB2	DC2	DD2	DE2	DF2	DG2	DH2	DA1	DB1	DC1	DD1	DE1	DF1	DG1	DH1	DA4	DB4	DC4	DD4	DE4	DF4	DG4	DH4	DA6	DB6	DC6	DD6	DE6	DF6	DG6	DH6	DA7	DB7	DC7	DD7	DE7	DF7	DG7	DH7	DA8	DB8	DC8	DD8	DF8	DG8	DH8	DA3	DB3	DC3	DD3	DE3	DF3	DG3	DH3
DA5	0.0	0.393757503001	0.477791116447	0.334933973589	0.374549819928	0.469387755102	0.46818727491	0.351740696279	0.543817527011	0.570228091236	0.563025210084	0.713085234094	0.785114045618	0.806722689076	0.654261704682	0.582232893157	0.787515006002	0.776710684274	0.791116446579	0.627851140456	0.648259303721	0.699879951981	0.735894357743	0.785114045618	0.829531812725	0.841536614646	0.719087635054	0.75150060024	0.709483793517	0.72268907563	0.691476590636	0.71668667467	0.918367346939	0.906362545018	0.915966386555	0.938775510204	0.927971188475	0.939975990396	0.929171668667	0.927971188475	0.963985594238	0.954381752701	0.948379351741	0.944777911164	0.957983193277	0.943577430972	0.950780312125	0.960384153661	0.972388955582	0.966386554622	0.979591836735	0.974789915966	0.97118847539	0.966386554622	0.974789915966	0.709483793517	0.582232893157	0.710684273709	0.71668667467	0.636254501801	0.636254501801	0.698679471789	0.641056422569
DB5	0.393757503001	0.0	0.424969987995	0.372148859544	0.435774309724	0.422569027611	0.396158463385	0.399759903962	0.501800720288	0.620648259304	0.612244897959	0.699879951981	0.78631452581	0.807923169268	0.662665066026	0.542617046819	0.789915966387	0.765906362545	0.781512605042	0.62424969988	0.627851140456	0.675870348139	0.710684273709	0.775510204082	0.812725090036	0.822328931573	0.665066026411	0.728691476591	0.684273709484	0.672268907563	0.648259303721	0.666266506603	0.919567827131	0.888355342137	0.906362545018	0.924369747899	0.915966386555	0.933973589436	0.908763505402	0.918367346939	0.961584633854	0.954381752701	0.951980792317	0.931572629052	0.951980792317	0.94237695078	0.944777911164	0.962785114046	0.966386554622	0.962785114046	0.972388955582	0.968787515006	0.966386554622	0.966386554622	0.972388955582	0.680672268908	0.549819927971	0.677070828331	0.683073229292	0.608643457383	0.632653061224	0.669867947179	0.613445378151
DC5	0.477791116447	0.424969987995	0.0	0.441776710684	0.499399759904	0.396158463385	0.424969987995	0.475390156062	0.590636254502	0.671068427371	0.647058823529	0.741896758703	0.810324129652	0.791116446579	0.707082833133	0.631452581032	0.746698679472	0.813925570228	0.77430972389	0.623049219688	0.641056422569	0.669867947179	0.765906362545	0.738295318127	0.870348139256	0.8787515006	0.732292917167	0.747899159664	0.698679471789	0.746698679472	0.691476590636	0.737094837935	0.903961584634	0.883553421369	0.90156062425	0.923169267707	0.90756302521	0.924369747899	0.908763505402	0.91356542617	0.953181272509	0.94237695078	0.937575030012	0.902761104442	0.915966386555	0.923169267707	0.931572629052	0.950780312125	0.961584633854	0.956782713085	0.97118847539	0.960384153661	0.954381752701	0.959183673469	0.963985594238	0.665066026411	0.565426170468	0.657863145258	0.672268907563	0.594237695078	0.642256902761	0.657863145258	0.59543817527
DD5	0.334933973589	0.372148859544	0.441776710684	0.0	0.333733493397	0.444177671068	0.438175270108	0.334933973589	0.504201680672	0.536614645858	0.554621848739	0.708283313325	0.771908763505	0.794717887155	0.643457382953	0.555822328932	0.771908763505	0.782713085234	0.764705882353	0.619447779112	0.642256902761	0.671068427371	0.732292917167	0.763505402161	0.842737094838	0.84993997599	0.729891956783	0.737094837935	0.703481392557	0.743097238896	0.696278511405	0.734693877551	0.906362545018	0.903961584634	0.906362545018	0.935174069628	0.908763505402	0.929171668667	0.911164465786	0.921968787515	0.957983193277	0.947178871549	0.941176470588	0.93637454982	0.949579831933	0.927971188475	0.94237695078	0.954381752701	0.961584633854	0.963985594238	0.974789915966	0.969987995198	0.959183673469	0.962785114046	0.97118847539	0.71668667467	0.58943577431	0.699879951981	0.71668667467	0.626650660264	0.629051620648	0.697478991597	0.632653061224
DE5	0.374549819928	0.435774309724	0.499399759904	0.333733493397	0.0	0.493397358944	0.494597839136	0.36974789916	0.53181272509	0.535414165666	0.567827130852	0.732292917167	0.794717887155	0.810324129652	0.654261704682	0.576230492197	0.798319327731	0.794717887155	0.794717887155	0.660264105642	0.666266506603	0.699879951981	0.768307322929	0.788715486194	0.860744297719	0.864345738295	0.75150060024	0.750300120048	0.735894357743	0.755102040816	0.727490996399	0.75150060024	0.925570228091	0.90756302521	0.921968787515	0.950780312125	0.941176470588	0.939975990396	0.924369747899	0.941176470588	0.959183673469	0.969987995198	0.96518607443	0.963985594238	0.972388955582	0.963985594238	0.954381752701	0.973589435774	0.97118847539	0.972388955582	0.985594237695	0.981992797119	0.980792316927	0.968787515006	0.974789915966	0.739495798319	0.623049219688	0.738295318127	0.749099639856	0.663865546218	0.651860744298	0.741896758703	0.673469387755
DF5	0.469387755102	0.422569027611	0.396158463385	0.444177671068	0.493397358944	0.0	0.402160864346	0.476590636255	0.573829531813	0.672268907563	0.65306122449	0.735894357743	0.806722689076	0.791116446579	0.713085234094	0.615846338535	0.756302521008	0.799519807923	0.761104441777	0.62424969988	0.650660264106	0.647058823529	0.75150060024	0.743097238896	0.867947178872	0.876350540216	0.720288115246	0.738295318127	0.691476590636	0.711884753902	0.644657863145	0.703481392557	0.908763505402	0.882352941176	0.897959183673	0.924369747899	0.900360144058	0.924369747899	0.905162064826	0.911164465786	0.953181272509	0.933973589436	0.935174069628	0.915966386555	0.93037214886	0.914765906363	0.923169267707	0.938775510204	0.962785114046	0.951980792317	0.973589435774	0.963985594238	0.955582232893	0.959183673469	0.966386554622	0.633853541417	0.543817527011	0.641056422569	0.657863145258	0.60144057623	0.648259303721	0.627851140456	0.5606242497
DG5	0.46818727491	0.396158463385	0.424969987995	0.438175270108	0.494597839136	0.402160864346	0.0	0.460984393758	0.564225690276	0.655462184874	0.654261704682	0.720288115246	0.789915966387	0.804321728691	0.691476590636	0.599039615846	0.770708283313	0.789915966387	0.77430972389	0.63025210084	0.645858343337	0.686674669868	0.753901560624	0.773109243697	0.848739495798	0.855942376951	0.69387755102	0.741896758703	0.68787515006	0.684273709484	0.619447779112	0.679471788715	0.924369747899	0.905162064826	0.909963985594	0.944777911164	0.924369747899	0.929171668667	0.918367346939	0.93037214886	0.96518607443	0.96518607443	0.956782713085	0.937575030012	0.951980792317	0.94237695078	0.954381752701	0.97118847539	0.959183673469	0.963985594238	0.974789915966	0.967587034814	0.974789915966	0.956782713085	0.966386554622	0.637454981993	0.535414165666	0.665066026411	0.667466986795	0.619447779112	0.657863145258	0.641056422569	0.567827130852
DH5	0.351740696279	0.399759903962	0.475390156062	0.334933973589	0.36974789916	0.476590636255	0.460984393758	0.0	0.53181272509	0.563025210084	0.545018007203	0.699879951981	0.765906362545	0.781512605042	0.635054021609	0.56662665066	0.77430972389	0.77430972389	0.775510204082	0.633853541417	0.649459783914	0.668667466987	0.744297719088	0.75150060024	0.829531812725	0.828331332533	0.729891956783	0.721488595438	0.702280912365	0.738295318127	0.69387755102	0.737094837935	0.918367346939	0.895558223289	0.899159663866	0.93637454982	0.920768307323	0.918367346939	0.921968787515	0.921968787515	0.954381752701	0.956782713085	0.944777911164	0.950780312125	0.966386554622	0.950780312125	0.939975990396	0.962785114046	0.959183673469	0.957983193277	0.977190876351	0.966386554622	0.968787515006	0.954381752701	0.963985594238	0.710684273709	0.60144057623	0.713085234094	0.719087635054	0.635054021609	0.629051620648	0.713085234094	0.641056422569
DA2	0.543817527011	0.501800720288	0.590636254502	0.504201680672	0.53181272509	0.573829531813	0.564225690276	0.53181272509	0.0	0.59543817527	0.548619447779	0.65906362545	0.735894357743	0.728691476591	0.605042016807	0.426170468187	0.723889555822	0.739495798319	0.733493397359	0.596638655462	0.631452581032	0.669867947179	0.669867947179	0.759903961585	0.78031212485	0.782713085234	0.734693877551	0.710684273709	0.709483793517	0.753901560624	0.68787515006	0.74549819928	0.926770708283	0.90756302521	0.919567827131	0.925570228091	0.909963985594	0.911164465786	0.939975990396	0.918367346939	0.91356542617	0.900360144058	0.893157262905	0.909963985594	0.937575030012	0.879951980792	0.906362545018	0.908763505402	0.917166866747	0.927971188475	0.947178871549	0.926770708283	0.93637454982	0.90756302521	0.897959183673	0.737094837935	0.625450180072	0.684273709484	0.709483793517	0.627851140456	0.5606242497	0.737094837935	0.635054021609
DB2	0.570228091236	0.620648259304	0.671068427371	0.536614645858	0.535414165666	0.672268907563	0.655462184874	0.563025210084	0.59543817527	0.0	0.495798319328	0.631452581032	0.683073229292	0.675870348139	0.510204081633	0.645858343337	0.746698679472	0.840336134454	0.734693877551	0.715486194478	0.77430972389	0.759903961585	0.785114045618	0.733493397359	0.829531812725	0.835534213685	0.883553421369	0.773109243697	0.798319327731	0.899159663866	0.819927971188	0.890756302521	0.918367346939	0.909963985594	0.897959183673	0.945978391357	0.917166866747	0.90156062425	0.931572629052	0.908763505402	0.986794717887	0.96518607443	0.954381752701	0.956782713085	0.978391356543	0.949579831933	0.941176470588	0.975990396158	0.912364945978	0.94237695078	0.959183673469	0.923169267707	0.957983193277	0.884753901561	0.860744297719	0.839135654262	0.721488595438	0.741896758703	0.753901560624	0.666266506603	0.689075630252	0.842737094838	0.696278511405
