	DA5	DB5	DC5	DD5	DE5	DF5	DG5	DH5	DA2	DB2	DC2	DD2	DE2	DF2	DG2	DH2	DA1	DB1	DC1	DD1	DE1	DF1	DG1	DH1	DA4	DB4	DC4	DD4	DE4	DF4	DG4	DH4	DA6	DB6	DC6	DD6	DE6	DF6	DG6	DH6	DA7	DB7	DC7	DD7	DE7	DF7	DG7	DH7	DA8	DB8	DC8	DD8	DF8	DG8	DH8	DA3	DB3	DC3	DD3	DE3	DF3	DG3	DH3
DA5	0.0	0.372150338879	0.63422459893	0.360786525909	0.365026099925	0.572452636969	0.498520184681	0.349968513854	0.560497470489	0.577955555556	0.571401188422	0.699137800635	0.750947386975	0.745581822355	0.687774294671	0.660898725687	0.792232028304	0.78701714785	0.742247568613	0.653835776599	0.629578369828	0.639367066597	0.706815816857	0.753859385078	0.824554571123	0.827414710758	0.778178854215	0.778859019584	0.787325728771	0.768847352025	0.625063265513	0.776265060241	0.916562409778	0.87314439946	0.895562933897	0.9131268578	0.904063678257	0.908012980529	0.898548126904	0.906063988095	0.948089106887	0.940643863179	0.941506724115	0.914455740144	0.930979769933	0.924265842349	0.938260869565	0.940497563478	0.962726304579	0.960565993969	0.971942665447	0.96449390567	0.963105882353	0.974807116989	0.964526330263	0.664758948492	0.549343213203	0.733923758183	0.709712851091	0.646386280114	0.613636363636	0.64589962024	0.671318835876
DB5	0.372150338879	0.0	0.580282594733	0.438379492695	0.411777121148	0.509451219512	0.398193189715	0.450401676563	0.510684798446	0.656131226245	0.63319538227	0.691896407686	0.74323922734	0.7896884273	0.746148652796	0.60019345478	0.812579181822	0.790806790006	0.747865339642	0.720194415325	0.697033563412	0.653896631461	0.757656335962	0.761487069945	0.828140592083	0.830149867764	0.78862094951	0.761802267183	0.770412774932	0.776996891472	0.63138982265	0.784206411259	0.919815668203	0.875141456054	0.899389892943	0.91347935055	0.904773384764	0.917411318711	0.897637795276	0.909894736842	0.953831731896	0.951343283582	0.952239737787	0.918696800704	0.940421486294	0.939803439803	0.945113314448	0.955392606172	0.969329073482	0.96960651289	0.970413511939	0.967280813215	0.970126960418	0.973720337321	0.973094170404	0.683559677597	0.604856927711	0.759385903699	0.733426135375	0.733434019256	0.701865988126	0.654928748086	0.753394452826
DC5	0.63422459893	0.580282594733	0.0	0.68108776267	0.638958160155	0.390516039052	0.489163459591	0.701109419186	0.65306122449	0.787338501292	0.709705372617	0.827429983526	0.823146612224	0.852996120132	0.858211613823	0.622306717364	0.881770293998	0.89155570397	0.841403682807	0.858073472875	0.848812870044	0.810958306047	0.862943643244	0.864370726766	0.881674308534	0.878254307634	0.893604566076	0.720653789004	0.705936073059	0.889792663477	0.766368346679	0.895034377387	0.933997220936	0.884495566739	0.89174055063	0.895938719468	0.886054985094	0.924564487774	0.90219665272	0.907207953604	0.94741873805	0.931112111661	0.929621595565	0.884986830553	0.900814211695	0.900329102022	0.915634218289	0.93703358209	0.953523238381	0.950312989045	0.961751224909	0.947003467063	0.958959943781	0.955649419219	0.958543715121	0.744962494484	0.770260578532	0.84029158383	0.797314854916	0.856231203697	0.837174095879	0.715064976737	0.868055555556
DD5	0.360786525909	0.438379492695	0.68108776267	0.0	0.354243846217	0.634059148521	0.558889114129	0.327763223111	0.588154396259	0.535717104744	0.610056525774	0.720510894065	0.774557418142	0.759006738473	0.624762708289	0.713995943205	0.778555637436	0.78328602091	0.74878905879	0.59851206831	0.60831408776	0.642030848329	0.704938120328	0.751317175975	0.847733105218	0.84751552795	0.776283947298	0.804771784232	0.810076270276	0.769878069724	0.632855372632	0.775570231422	0.899824332237	0.879924670433	0.907906321535	0.919986495611	0.904805325066	0.90357163332	0.899499085633	0.910442855969	0.952699687639	0.948991569736	0.943159286186	0.918397469689	0.936985081274	0.933572906458	0.94181993028	0.949875230552	0.965737319449	0.964346180659	0.968727789623	0.964759674362	0.953835934905	0.978378378378	0.967786470318	0.672578444748	0.560135389244	0.726839597671	0.707024355807	0.611679775886	0.546346393959	0.647912560473	0.660386837478
DE5	0.365026099925	0.411777121148	0.638958160155	0.354243846217	0.0	0.566622516556	0.491508857666	0.384825590741	0.548666811186	0.529850746269	0.565670467951	0.714351851852	0.768335588633	0.750320400792	0.653069490251	0.670234950646	0.833222043285	0.796949090241	0.76281158074	0.678558427375	0.657268766588	0.663351185922	0.718708885186	0.77175662158	0.85133379958	0.852844003929	0.826179496275	0.774846086192	0.785002621919	0.819483151761	0.701154206093	0.825315216061	0.917153996101	0.885975504571	0.908442699184	0.922297629586	0.914279560629	0.917776931861	0.905102790015	0.917635843661	0.954430911382	0.951365409623	0.944572123834	0.931060994362	0.947952335297	0.938949613436	0.944862910515	0.953821656051	0.968	0.966746411483	0.970339425587	0.96678561625	0.96584000772	0.976022335359	0.968335472828	0.734249029561	0.608231444808	0.784856396867	0.767862864467	0.667081334044	0.632448143744	0.714376120662	0.693810359965
DF5	0.572452636969	0.509451219512	0.390516039052	0.634059148521	0.566622516556	0.0	0.412791801101	0.647281125341	0.585736925515	0.755698711596	0.677232635061	0.801672640382	0.800220345207	0.830456140351	0.83893645159	0.584755669862	0.868251785477	0.87171147433	0.811190085657	0.832633788038	0.81868292969	0.780177619893	0.838378758926	0.839019773871	0.875652051318	0.872992876977	0.867552507501	0.697798929209	0.702037351443	0.86000621504	0.721235636472	0.865742810311	0.930583958191	0.879926250288	0.887886407336	0.899324231141	0.881004709576	0.920130780009	0.903759398496	0.903617639292	0.948244552058	0.933808127357	0.92948002678	0.900163666121	0.919726339795	0.906236371566	0.916711445459	0.934632034632	0.956160590678	0.954812637766	0.963958552335	0.95652173913	0.961326708742	0.958398991491	0.957997557998	0.708035338662	0.721315244884	0.802805546598	0.760451505017	0.821124239169	0.797578137784	0.6761614623	0.834204337601
DG5	0.498520184681	0.398193189715	0.489163459591	0.558889114129	0.491508857666	0.412791801101	0.0	0.566774923728	0.570914326854	0.71700930286	0.681916106957	0.771326903268	0.767151294866	0.827477326167	0.811758432209	0.584283387622	0.841746483735	0.838870165303	0.791647168928	0.791723787763	0.772161917684	0.725628823929	0.821743579748	0.808227114716	0.855848861284	0.858264184795	0.819995899679	0.712574850299	0.716476528895	0.812245502332	0.63985823337	0.816746105143	0.933000712758	0.886180607753	0.898053001622	0.913771240172	0.901498929336	0.924634671018	0.906674405107	0.910585942258	0.958856827282	0.953041227584	0.944096950743	0.921781640413	0.942231075697	0.92989848688	0.943998163874	0.956993339676	0.961762930167	0.965125843066	0.968741431313	0.95964035964	0.96585003712	0.963235294118	0.961945031712	0.667010043781	0.670202507232	0.76148477644	0.729295305302	0.781369863014	0.756086178735	0.6375	0.800288527881
DH5	0.349968513854	0.450401676563	0.701109419186	0.327763223111	0.384825590741	0.647281125341	0.566774923728	0.0	0.58007498661	0.529774760876	0.583964438591	0.676888055704	0.73141413368	0.736809110856	0.62490264292	0.709892027484	0.75950428285	0.770398547	0.721725284503	0.60036740147	0.598268398268	0.616597247852	0.688514004359	0.727422003284	0.799249061327	0.800379506641	0.748120698782	0.772521389029	0.793835901708	0.752870975006	0.617872854309	0.758872993338	0.91020625889	0.874723655122	0.89564918905	0.921930330231	0.911561001598	0.88668395535	0.905376009944	0.908069950265	0.952	0.949306848748	0.947508801878	0.925153374233	0.9452409184	0.933741295632	0.945669839796	0.951009251472	0.960979839584	0.958397832817	0.973162496754	0.964154610235	0.957533025367	0.975697458153	0.939245576944	0.667803376861	0.575570272259	0.711840888067	0.686721991701	0.59622421382	0.565034474699	0.66605568648	0.641188118812
DA2	0.560497470489	0.510684798446	0.65306122449	0.588154396259	0.548666811186	0.585736925515	0.570914326854	0.58007498661	0.0	0.599302421009	0.553963278101	0.642832764505	0.677399695277	0.734145422579	0.693573521162	0.512178733412	0.824683100045	0.793799345272	0.72762860451	0.741705246914	0.73912114902	0.677607770935	0.747333271496	0.75598767986	0.751853118942	0.764635003514	0.807196631364	0.679416579848	0.690670006262	0.817156997525	0.664080219649	0.82196317393	0.912966804979	0.88294378984	0.896882778239	0.904783241851	0.889386030326	0.892852224212	0.916735708368	0.897297297297	0.905842588122	0.90480620155	0.916842618158	0.899451553931	0.939613925095	0.861066751836	0.9273805113	0.908513341804	0.914808652246	0.915449438202	0.942891421716	0.920939464109	0.920420914173	0.916271396164	0.871079535609	0.726354036562	0.677462887989	0.755255681818	0.736926360726	0.751550412378	0.698373866743	0.716053876957	0.753297220914
DB2	0.577955555556	0.656131226245	0.787338501292	0.535717104744	0.529850746269	0.755698711596	0.71700930286	0.529774760876	0.599302421009	0.0	0.482139517486	0.598279187064	0.63711553373	0.658299412031	0.50901432182	0.707323395982	0.829336823063	0.837703321672	0.755465098749	0.711707707352	0.747010882827	0.711756980529	0.724489795918	0.77308101212	0.823188681037	0.818786792936	0.883574214269	0.784931022285	0.803680981595	0.905702023299	0.782029785975	0.909252669039	0.911035072712	0.883294816771	0.891754093539	0.93638319768	0.915375203915	0.846229427659	0.918549658434	0.901017072285	0.98327692614	0.973453482708	0.963631771688	0.960365121307	0.984660616132	0.958374875374	0.965083798883	0.977661950856	0.919969119918	0.929520378293	0.950282262058	0.92699795082	0.934772622876	0.931024050824	0.880260188504	0.839719935661	0.718852999341	0.748137861381	0.734122712594	0.622593805666	0.649808429119	0.836249125262	0.685052811266
