	DA5	DB5	DC5	DD5	DE5	DF5	DG5	DH5	DA2	DB2	DC2	DD2	DE2	DF2	DG2	DH2	DA1	DB1	DC1	DD1	DE1	DF1	DG1	DH1	DA4	DB4	DC4	DD4	DE4	DF4	DG4	DH4	DA6	DB6	DC6	DD6	DE6	DF6	DG6	DH6	DA7	DB7	DC7	DD7	DE7	DF7	DG7	DH7	DA8	DB8	DC8	DD8	DF8	DG8	DH8	DA3	DB3	DC3	DD3	DE3	DF3	DG3	DH3
DA5	0.0	0.580859984393	0.578931200195	0.509269577246	0.526943245625	0.563737028381	0.565903581295	0.51166344733	0.579476467294	0.616246271771	0.646018438344	0.642299963716	0.640737998721	0.643532861075	0.669493414158	0.593678741395	0.644599408181	0.653617944368	0.605700937246	0.599392589716	0.554181449689	0.596513684806	0.610668363902	0.631279791689	0.628815866979	0.649531694698	0.647131755529	0.64120458201	0.645369290185	0.622964209215	0.627075780759	0.647004847636	0.658845259524	0.657132425684	0.667288444107	0.686173188889	0.668426718948	0.663999692525	0.690807334659	0.697087069197	0.767772006841	0.691789486132	0.714752640963	0.732780176108	0.758553353379	0.715967488478	0.706960867797	0.744927292877	0.74511208568	0.712344736935	0.741720144723	0.731764435212	0.736002635475	0.749770879967	0.740278652003	0.601663566291	0.612699122424	0.680701781453	0.63727672575	0.654717962497	0.62370378421	0.611453539415	0.599940212865
DB5	0.580859984393	0.0	0.574369182269	0.569358678572	0.55765471576	0.568045777658	0.522085010832	0.603085739054	0.62790167912	0.654640545884	0.654591311339	0.667334961814	0.669626328489	0.697459977342	0.660304730389	0.59389393263	0.666846035307	0.673757558763	0.636329865443	0.647488247978	0.619740782414	0.599528667524	0.609919118605	0.639792011797	0.653983024625	0.645407603487	0.6603209823	0.651730009717	0.640656159926	0.636068615768	0.629650200278	0.639321343932	0.712365067057	0.679443337715	0.719747348683	0.671108596285	0.697866311237	0.661245165272	0.715143666498	0.717848949481	0.759416769288	0.695482490596	0.712395505369	0.725411757889	0.737935787622	0.707238399679	0.725452514779	0.730052654313	0.728448596694	0.748392889829	0.718822654005	0.722699965813	0.733361328786	0.751265509413	0.754317024482	0.651919754156	0.661738995729	0.693344627849	0.698085700825	0.706749601208	0.662251081193	0.637594927435	0.668080526985
DC5	0.578931200195	0.574369182269	0.0	0.522679871117	0.498933333957	0.510188759382	0.524209559542	0.559705976223	0.600913372599	0.620106242327	0.616610529651	0.611378594908	0.628666725023	0.656802463094	0.675990677258	0.586489270239	0.629593742108	0.64360374217	0.61537915038	0.591231952632	0.571903956708	0.593866323073	0.564457872957	0.615460613771	0.642614829739	0.632123322403	0.659570415516	0.626469539168	0.637765473165	0.617697337772	0.592946588691	0.660229113235	0.652593941842	0.659807385067	0.627522981145	0.644753221527	0.656161489606	0.623709622937	0.673918429153	0.676827375241	0.741834309667	0.673807455358	0.692080267008	0.679354240592	0.708393785617	0.625179464003	0.665254604917	0.694567940089	0.704210187215	0.698825329946	0.707365074173	0.700885839901	0.695895738605	0.738545587601	0.712799063136	0.584323291878	0.603167750415	0.657307486151	0.633602991709	0.6557590557	0.611962495178	0.612339891144	0.610354066882
DD5	0.509269577246	0.569358678572	0.522679871117	0.0	0.504534175962	0.512338076699	0.55918422611	0.537899178875	0.593001331817	0.61174049366	0.648300372802	0.626409382631	0.661571619549	0.667952834586	0.660562183153	0.57181123447	0.672050468733	0.640585101094	0.617841775735	0.583337882005	0.554106669805	0.602223637734	0.593399566359	0.622920525447	0.653244526561	0.646355811049	0.650971155085	0.61573401446	0.632875463626	0.644678448855	0.618671848027	0.67906042644	0.659358556119	0.65095611458	0.666097677292	0.666692560965	0.658075163556	0.65397305124	0.695377702079	0.693354773106	0.745709794798	0.68658997968	0.683940740352	0.676585621768	0.732889015736	0.675699500096	0.719497628768	0.700747322107	0.732529795759	0.718606310074	0.708796136862	0.736593304036	0.710478824533	0.73453152854	0.754946466508	0.585025775155	0.591957753413	0.679349263336	0.651757492974	0.661846240519	0.609745774791	0.59892843493	0.599748936622
DE5	0.526943245625	0.55765471576	0.498933333957	0.504534175962	0.0	0.498242655011	0.550222125002	0.543598462602	0.542572952408	0.595664364301	0.610807870789	0.59345317691	0.620230260736	0.634435638641	0.647949035374	0.555355146396	0.60807577486	0.614689769442	0.60166648788	0.585215776248	0.534611862404	0.547403593467	0.553947925474	0.605688111097	0.597999158092	0.608689641387	0.637267508023	0.612097206406	0.598289603469	0.637134495808	0.587980355442	0.652207696361	0.659751149398	0.678070215844	0.646933572057	0.65888211155	0.64695979897	0.61086800013	0.645797380622	0.694653454264	0.723589325752	0.673227777175	0.67858178643	0.692563288428	0.710673554758	0.638087833029	0.681875138367	0.704414528095	0.701212324513	0.7108808396	0.734040590064	0.710902352205	0.690630311647	0.717154214738	0.72652459589	0.58567747468	0.605907212008	0.639548016917	0.610550080218	0.649816482497	0.566843146031	0.610744591194	0.563538248293
DF5	0.563737028381	0.568045777658	0.510188759382	0.512338076699	0.498242655011	0.0	0.563881938605	0.570516873797	0.553534076364	0.612324965073	0.597451584717	0.594868157453	0.649416176683	0.655949325764	0.655051198498	0.532563125736	0.617628039686	0.635423065649	0.587964343338	0.599255662791	0.551507253684	0.585880828519	0.567930033638	0.620350840878	0.624819901771	0.589994336062	0.640542497376	0.614131137362	0.601747484274	0.618857140223	0.605689217219	0.663119070768	0.692395140758	0.649410354976	0.665096242461	0.647082906783	0.640519667689	0.638319649596	0.685130198212	0.679973781603	0.732217509977	0.686641405829	0.687804453285	0.678044722169	0.714752645791	0.630163616907	0.671856246223	0.696115089854	0.703771633154	0.6749709166	0.721674408418	0.70900080945	0.670143029341	0.722594357911	0.722677556454	0.611190855733	0.63763472671	0.645133846741	0.647377417898	0.646710386574	0.610871321569	0.605560139299	0.604588781302
DG5	0.565903581295	0.522085010832	0.524209559542	0.55918422611	0.550222125002	0.563881938605	0.0	0.57853071883	0.602732128576	0.64905053697	0.624092711677	0.655524506934	0.660019484214	0.678917681662	0.664190456175	0.571161430043	0.64824142368	0.675330873245	0.643768521867	0.644731690715	0.610842656598	0.597253601221	0.591162541359	0.658325063641	0.6376027266	0.642353225796	0.657917141134	0.633134869731	0.663615366248	0.641386945659	0.60658856326	0.647147449235	0.677625924654	0.659773771651	0.682305624597	0.661351504739	0.673870400159	0.656982528377	0.692639222819	0.703401716314	0.739449497894	0.699266575049	0.712911351047	0.696103026393	0.728969492291	0.695179145783	0.704340912874	0.735376068971	0.736363990965	0.729630803777	0.746554863823	0.694395999069	0.717663679148	0.746370459465	0.74608257359	0.613582259153	0.652375363326	0.672852504418	0.684563131926	0.683550946125	0.631546881251	0.642473836371	0.655785937855
DH5	0.51166344733	0.603085739054	0.559705976223	0.537899178875	0.543598462602	0.570516873797	0.57853071883	0.0	0.567563518726	0.576468293312	0.617357630913	0.595346204764	0.601837012133	0.632444034709	0.646742970204	0.600082467914	0.600876845524	0.599190999154	0.593992025771	0.591434516163	0.566972741875	0.562037680038	0.585190879231	0.597101116182	0.617331074725	0.631926685523	0.626787681113	0.587915094341	0.606811602458	0.66837499975	0.601885455543	0.641728224855	0.660544709152	0.686502516235	0.64373002241	0.715006144529	0.665138683209	0.611432297567	0.690913721186	0.703545767933	0.774343559221	0.711738260197	0.680622056037	0.727057097171	0.764485889479	0.658358892422	0.703286602181	0.711937685354	0.720012080366	0.704059787092	0.742268372542	0.684128515224	0.715847965661	0.687527527812	0.718815089874	0.55506031201	0.601857405663	0.61451970228	0.581129279389	0.60523800838	0.594747837294	0.618029049555	0.527605612278
DA2	0.579476467294	0.62790167912	0.600913372599	0.593001331817	0.542572952408	0.553534076364	0.602732128576	0.567563518726	0.0	0.58032809136	0.557108414922	0.572923554496	0.582646659318	0.582605925403	0.615998063739	0.423974511092	0.573240010712	0.608530996012	0.583016632415	0.578293623534	0.561279386557	0.55050995481	0.570595145902	0.601497822476	0.592158139013	0.576673870173	0.591539682969	0.557805273302	0.606040151593	0.625278839579	0.572470313152	0.641476423934	0.666802211717	0.682230615288	0.69943879718	0.685199103689	0.656828701959	0.639705601882	0.650552634534	0.664500310823	0.736913092016	0.682663090019	0.707088187803	0.702242206777	0.734836026168	0.663437645273	0.692387878075	0.731688662612	0.684656278159	0.655297162445	0.717682366221	0.690991241049	0.664019548983	0.65983785462	0.707136243465	0.564611150649	0.593150727738	0.628913130873	0.579359695986	0.57140034996	0.57377320277	0.606001201474	0.551379397023
DB2	0.616246271771	0.654640545884	0.620106242327	0.61174049366	0.595664364301	0.612324965073	0.64905053697	0.576468293312	0.58032809136	0.0	0.550940235552	0.528714351341	0.551423176787	0.550643598275	0.512643328881	0.605197646476	0.594510107737	0.638458942163	0.644362487349	0.632052787125	0.648472647488	0.601212706498	0.594610764908	0.608392415352	0.588140748216	0.614764090914	0.6663142805	0.609577382213	0.611274206023	0.71950086864	0.605111304078	0.706569054938	0.699159780018	0.692140075441	0.627809113068	0.722218945567	0.663178561135	0.674798487314	0.696546189107	0.700465469661	0.794349258517	0.743703420065	0.709914918697	0.723350240585	0.793400302024	0.682303475344	0.725007682472	0.746304460967	0.677957539138	0.657180098845	0.720956833437	0.694230374363	0.695595739932	0.665678348737	0.688958572685	0.600139189954	0.614114589147	0.602643166138	0.580475745983	0.585029176221	0.593600290046	0.663485738154	0.565372308503
