	DA5	DB5	DC5	DD5	DE5	DF5	DG5	DH5	DA2	DB2	DC2	DD2	DE2	DF2	DG2	DH2	DA1	DB1	DC1	DD1	DE1	DF1	DG1	DH1	DA4	DB4	DC4	DD4	DE4	DF4	DG4	DH4	DA6	DB6	DC6	DD6	DE6	DF6	DG6	DH6	DA7	DB7	DC7	DD7	DE7	DF7	DG7	DH7	DA8	DB8	DC8	DD8	DF8	DG8	DH8	DA3	DB3	DC3	DD3	DE3	DF3	DG3	DH3
DA5	0.0	0.595621749491	0.60472389748	0.556742758952	0.569618392629	0.574603461685	0.58299916916	0.450434571713	0.609012511346	0.630944448016	0.651230510475	0.636353684018	0.649375895079	0.685909636377	0.676620870588	0.636446912165	0.681214031578	0.663961763353	0.648427011421	0.637143167361	0.646316696793	0.627231228603	0.667731235174	0.674005714762	0.647432981315	0.650306410005	0.664042832449	0.655248801715	0.659922512952	0.669063913827	0.653453104488	0.668621017798	0.710173747443	0.683594632616	0.696890698711	0.696763971889	0.683410869715	0.682636114087	0.693229581402	0.721699471312	0.778244961822	0.766928011069	0.728287674398	0.74819798561	0.78617165392	0.729491535559	0.755185095086	0.771545956727	0.741995316033	0.719266373303	0.740597309185	0.729592941763	0.731582269287	0.780737418174	0.749734077674	0.647045566122	0.667403574703	0.683369382986	0.672846710242	0.67313142461	0.663623610396	0.654557356066	0.664790544106
DB5	0.595621749491	0.0	0.573140307445	0.586875307598	0.583062248862	0.590798892638	0.486640735654	0.597421321622	0.620159562819	0.666878409515	0.675285680706	0.678623346736	0.680538354724	0.719679716507	0.709382078501	0.661998503995	0.699757927695	0.675892241431	0.67018533894	0.654072102985	0.640988500003	0.655423761697	0.68043958669	0.695999477375	0.674197294887	0.666354870295	0.660857737046	0.663435524303	0.654078523803	0.653727537692	0.647178767353	0.660278577678	0.699464788435	0.675106745039	0.701479769115	0.693481284553	0.671045992778	0.687829909773	0.681182030907	0.717421738686	0.762313741907	0.729054176864	0.716260037764	0.710600411976	0.776162308469	0.722915045882	0.741376417323	0.74645049274	0.732025536231	0.730405342338	0.735293172564	0.708144369137	0.73262479425	0.769107038901	0.747380795205	0.635173264085	0.64046149218	0.70936252486	0.700537155547	0.713322454107	0.678540571229	0.63764077504	0.688988030477
DC5	0.60472389748	0.573140307445	0.0	0.582174645846	0.572749745526	0.483210727494	0.572149207811	0.6139144107	0.606501660089	0.683035287229	0.666479567091	0.690809570827	0.689999839394	0.731094452931	0.724805482269	0.617914469399	0.715799988837	0.706771439737	0.680830646485	0.657616382734	0.648161274831	0.654722438881	0.708894930823	0.702303226409	0.6680635379	0.674932710083	0.684936196081	0.644634451287	0.644455706718	0.690892091527	0.652828004883	0.663768889326	0.712998902107	0.672619268896	0.681654628447	0.675730129944	0.674722647649	0.696974653477	0.66972572443	0.701641608483	0.743081590918	0.711762746258	0.707262738558	0.693628654556	0.727072313181	0.659375333241	0.681761650391	0.729901303351	0.714124277899	0.693126280627	0.730037668206	0.702591944725	0.706217578638	0.745382764334	0.738318719274	0.624407732217	0.648443228767	0.716529620532	0.701392468955	0.727500904681	0.671070349882	0.632640171931	0.69170340834
DD5	0.556742758952	0.586875307598	0.582174645846	0.0	0.463620907897	0.580117903697	0.5718520815	0.546646833034	0.603816268269	0.61764416557	0.634176979027	0.635065485112	0.645442451153	0.67424673554	0.666351067864	0.666724159571	0.68561798446	0.646727892174	0.631034712121	0.634232288069	0.648697383105	0.606641258802	0.64538649976	0.66417719578	0.639700248282	0.644077826059	0.656198552403	0.634358082332	0.644405218983	0.681193020485	0.617310603813	0.653035813195	0.685926576594	0.674938753158	0.690943720553	0.703043798082	0.65201904308	0.655657055127	0.680025432271	0.712318859977	0.787278852724	0.763936958819	0.738286413583	0.735746456959	0.787696984123	0.720990844702	0.760746419546	0.763335122153	0.729669340878	0.722310934432	0.724320833205	0.7116116842	0.702674189874	0.759344343836	0.745121382548	0.636388554314	0.634017814479	0.663544265925	0.650067978627	0.662883192387	0.646581867459	0.632529129047	0.645009051895
DE5	0.569618392629	0.583062248862	0.572749745526	0.463620907897	0.0	0.572057010354	0.571013652376	0.579297377041	0.582368115573	0.640580183004	0.639748507898	0.660654988296	0.657330734482	0.703432739023	0.689613719082	0.614295322725	0.698324819304	0.656790560453	0.655866126357	0.644154691752	0.64602895487	0.627901979842	0.655413372001	0.683503182986	0.647342378697	0.658845562536	0.655821499737	0.639963287678	0.634723103402	0.676945884047	0.654424687844	0.660272614443	0.694756337364	0.670368981732	0.696603372678	0.712279080191	0.674736776669	0.678836958641	0.677834902112	0.708911706456	0.752705131497	0.749720089899	0.727347406052	0.718263239275	0.769937032349	0.721459248345	0.730221894179	0.742327405599	0.732310113916	0.712644140203	0.720532061157	0.697334535229	0.717597997829	0.76355161876	0.745956970389	0.643138941429	0.629024191068	0.684926438942	0.66976296659	0.691886363595	0.645336555948	0.634655486267	0.675152620869
DF5	0.574603461685	0.590798892638	0.483210727494	0.580117903697	0.572057010354	0.0	0.575274733595	0.599035036257	0.578137254967	0.65971675909	0.639294395861	0.665370887779	0.673851354081	0.707145921504	0.716364947795	0.584448459505	0.712370314325	0.701736658077	0.675014908796	0.655239400535	0.648423742518	0.652912246602	0.700271790391	0.69575088162	0.647278926343	0.645243070908	0.67243807209	0.650306036429	0.636377687502	0.67334422353	0.638025695935	0.664385816213	0.696939420252	0.668198429444	0.6730990708	0.683716728299	0.65697191343	0.688967473676	0.67584500566	0.702107204618	0.745139592607	0.716918285134	0.698766046854	0.699942572301	0.734714595973	0.667990387393	0.691151554949	0.736508481349	0.700997161967	0.686891855045	0.71343897209	0.690704670745	0.703282839991	0.721569213458	0.72628561555	0.642703446365	0.650182875363	0.707213340069	0.684378367976	0.714378995106	0.663770729974	0.616430027542	0.688881333447
DG5	0.58299916916	0.486640735654	0.572149207811	0.5718520815	0.571013652376	0.575274733595	0.0	0.594892364953	0.600451949916	0.623775023426	0.638486309858	0.663481864623	0.666970439311	0.705505679662	0.688086443187	0.612576521674	0.711586649636	0.68129944588	0.65781694181	0.669190990905	0.657802019894	0.633907393637	0.689115726801	0.702922962095	0.64698535575	0.66111839716	0.661856680466	0.627279240154	0.64227772553	0.675707983554	0.632076187909	0.655696126556	0.696506589639	0.67567481039	0.689414983513	0.71356910481	0.675023877702	0.698183603619	0.697634436697	0.711845669107	0.762263612012	0.752758420909	0.729554463945	0.72237130172	0.768615516205	0.722760374944	0.743793417559	0.751415890402	0.726399314562	0.718317081689	0.712070181068	0.686152903229	0.714081725381	0.748149038215	0.727653468995	0.636827631405	0.666957665738	0.702820177859	0.685498426328	0.696274885478	0.66629943246	0.658049219074	0.684312376415
DH5	0.450434571713	0.597421321622	0.6139144107	0.546646833034	0.579297377041	0.599035036257	0.594892364953	0.0	0.606142517519	0.600371481752	0.618204851277	0.617716067451	0.616590816847	0.663822385879	0.642232213262	0.655748577938	0.66403041192	0.645037246545	0.624396475856	0.623351185202	0.640192368499	0.607407771028	0.647855757303	0.642381394975	0.641578349482	0.637509267781	0.6464724326	0.633749302226	0.637212351923	0.665130727659	0.619888362323	0.652578018816	0.707246316022	0.68321058413	0.680915654071	0.703169230511	0.689596363476	0.659561180769	0.688376928479	0.733109844449	0.781621221441	0.764079524661	0.723535834051	0.755794056337	0.806925118211	0.724894149922	0.756465366011	0.773511096481	0.718610755563	0.724040758077	0.736130892964	0.725661730611	0.725663014624	0.763714257943	0.741081103118	0.618950898413	0.645787838963	0.652485264437	0.643845022139	0.645970506605	0.638831865495	0.652294019232	0.628042346759
DA2	0.609012511346	0.620159562819	0.606501660089	0.603816268269	0.582368115573	0.578137254967	0.600451949916	0.606142517519	0.0	0.571646130653	0.581129600954	0.59791029747	0.596309621838	0.660614071192	0.660935394085	0.456248944543	0.681361808866	0.644524355467	0.631967101137	0.646491396031	0.633336600268	0.613826940304	0.657132665389	0.670212984532	0.624990453863	0.616855791813	0.61443679063	0.601814898012	0.600215408547	0.646772701571	0.603668428309	0.622335785547	0.694230008019	0.665146232901	0.667066976697	0.690907537922	0.652889299889	0.669062192811	0.655675844405	0.688080470803	0.768826216793	0.723394735324	0.702157909232	0.700114081715	0.769572578549	0.690671454815	0.724462318591	0.751331736594	0.683978318806	0.652826216766	0.687116071202	0.662557499502	0.67556742135	0.699623399949	0.69709836102	0.595440998448	0.631473548499	0.659480827307	0.635984028169	0.65814316032	0.604555254943	0.623289524948	0.638581012091
DB2	0.630944448016	0.666878409515	0.683035287229	0.61764416557	0.640580183004	0.65971675909	0.623775023426	0.600371481752	0.571646130653	0.0	0.545489981729	0.530871427721	0.546820912109	0.576584615978	0.460692785041	0.652029715295	0.65042240874	0.650485229379	0.613510897738	0.643029615229	0.682350100353	0.607266717967	0.633926879364	0.638103369166	0.644622560036	0.629816690812	0.665267627437	0.62096773328	0.630073687069	0.69443790293	0.604935366831	0.68507228677	0.698108343669	0.693870487102	0.668996869911	0.710911936027	0.687731866591	0.647951803707	0.673468460051	0.713885219317	0.815268750402	0.795905863324	0.741085585821	0.757261652007	0.837029548107	0.738497991519	0.777790897381	0.804193820699	0.676396715039	0.686296114127	0.690538599674	0.679279438701	0.665150280688	0.720425827671	0.688931339017	0.648268974577	0.662263909899	0.604181974522	0.59306247468	0.603275390152	0.609257194255	0.650301384165	0.621356117959
