	DA5	DB5	DC5	DD5	DE5	DF5	DG5	DH5	DA2	DB2	DC2	DD2	DE2	DF2	DG2	DH2	DA1	DB1	DC1	DD1	DE1	DF1	DG1	DH1	DA4	DB4	DC4	DD4	DE4	DF4	DG4	DH4	DA6	DB6	DC6	DD6	DE6	DF6	DG6	DH6	DA7	DB7	DC7	DD7	DE7	DF7	DG7	DH7	DA8	DB8	DC8	DD8	DF8	DG8	DH8	DA3	DB3	DC3	DD3	DE3	DF3	DG3	DH3
DA5	0.0	0.320670360144	0.5042315006	0.251606278511	0.315488487395	0.399074345738	0.317687406963	0.328207190876	0.695422617047	0.839848895558	0.85699665066	1.1800497599	1.27157512605	1.44212098439	0.993498487395	0.829686794718	1.10265037215	1.22554304922	0.988119159664	0.765247623049	0.775776038415	0.831199615846	1.00459745498	1.14075889556	1.72537106843	1.73130303721	1.32992995198	1.05947358944	1.01567763505	1.39908312125	0.850691872749	1.30542565426	0.847800036014	0.808583877551	0.85902997599	0.9322827491	0.820644657863	0.939555246098	0.903668895558	0.896949603842	1.85404780312	2.0708854982	2.00787135654	1.98082883553	2.1608772389	1.91675619448	1.83712160864	1.98646332533	1.49664019208	1.50451244898	1.62076441777	1.49988108043	1.52024685474	1.4784735054	1.56342960384	0.847826338535	0.591551380552	0.947290948379	0.965825414166	0.743464657863	0.829536806723	0.862344921969	0.659457286915
DB5	0.320670360144	0.0	0.517960228091	0.361635630252	0.432746194478	0.450797094838	0.371588019208	0.315777022809	0.709062509004	0.904491260504	0.919545114046	1.15758897959	1.30871364946	1.47905156062	1.03341737095	0.742651008403	1.13894438175	1.14670337335	1.01919636255	0.811720816327	0.774341404562	0.898782509004	0.92888577431	1.1676059904	1.64684368547	1.65536098439	1.22088629052	1.07573883553	1.02142480192	1.26204543818	0.842853181273	1.187257503	0.970975486194	0.972637959184	1.0076887395	1.07224871549	0.958174561825	1.09437626651	1.03900540216	1.04567513806	1.84920154862	2.08271703481	2.06061921969	1.98952248499	2.20039357743	1.95972316927	1.87927115246	1.97427162065	1.56409878752	1.56983418968	1.65348418968	1.55994397359	1.59540763505	1.54823747899	1.63643684274	0.894808439376	0.660475258103	0.982792112845	1.01890146459	0.858893721489	0.868865918367	0.931101044418	0.7167027491
DC5	0.5042315006	0.517960228091	0.0	0.404201140456	0.569524477791	0.276481836735	0.439444765906	0.44720877551	0.729016878752	0.863209471789	0.856283901561	1.22487842737	1.26945776711	1.33386360144	0.953685978391	0.902498991597	0.947681920768	1.23051611044	0.800901464586	0.76033182473	0.794504081633	0.703988427371	0.999131980792	0.913773565426	1.81013402161	1.78198932773	1.35353845138	0.967163265306	0.940469711885	1.47239745498	0.802342845138	1.34700452581	1.00921141657	0.946976266507	1.0517519928	1.02786990396	0.920687010804	1.02014156062	1.05618659064	0.94605152461	1.77281272509	1.86958016807	1.82148069628	1.74814201681	1.94645073229	1.70589396158	1.62330484994	1.87456402161	1.46514208884	1.47674058824	1.64010681873	1.47794931573	1.48039415366	1.43226342137	1.47619503001	0.746688619448	0.588419543818	0.920116278511	0.976133889556	0.783327490996	0.774150516206	0.715119207683	0.69579270108
DD5	0.251606278511	0.361635630252	0.404201140456	0.0	0.246852629052	0.339521872749	0.369294837935	0.307246146459	0.677705054022	0.739236038415	0.804634861945	1.20013430972	1.27073816327	1.39919842737	0.921329255702	0.805708439376	1.0465059904	1.27807470588	0.936627238896	0.811677142857	0.815027214886	0.835664885954	1.06011218487	1.08009264106	1.776545006	1.75638256903	1.35891421369	1.0335557383	0.985441968788	1.44228010804	0.874266938776	1.34927709484	0.874960840336	0.853507466987	0.942465138055	0.947762689076	0.841516194478	0.968882845138	0.939448715486	0.938056866747	1.82893412965	1.98839283313	1.96838169268	1.90447216086	2.09613979592	1.84183863145	1.7765530012	1.94726773109	1.48572721489	1.49007313325	1.60938683073	1.48649218487	1.4855515006	1.46813767107	1.54683581032	0.861475258103	0.618446134454	0.967345102041	0.995706146459	0.773038115246	0.815107671068	0.880145054022	0.706984813926
DE5	0.315488487395	0.432746194478	0.569524477791	0.246852629052	0.0	0.512272509004	0.45860665066	0.35385027611	0.650896146459	0.727082232893	0.816696542617	1.13785145258	1.23595559424	1.38765352941	0.89982212485	0.72829002401	1.10229360144	1.266912497	0.981714513806	0.832603337335	0.819565534214	0.891339771909	1.05193989196	1.15512846339	1.71281717887	1.68702842737	1.37031284514	1.03473367347	1.02681642257	1.44672815126	0.941574645858	1.35935647059	0.857853613445	0.874877863145	0.886696782713	0.989376422569	0.85442452581	0.95589787515	0.941245522209	0.947824429772	1.84083489796	2.03064255702	2.00618258103	1.95674673469	2.14961211285	1.90001483794	1.81925048019	1.97245366146	1.48657866747	1.48627397359	1.57887552221	1.46920116447	1.47151476591	1.48350621849	1.56928783914	0.995973121249	0.760266014406	1.10811840336	1.11828240096	0.907274801921	0.845438667467	1.02726486194	0.830423061224
DF5	0.399074345738	0.450797094838	0.276481836735	0.339521872749	0.512272509004	0.0	0.309874405762	0.41325152461	0.736315330132	0.85773272509	0.847809795918	1.22707522209	1.27108716687	1.35045641056	0.97320454982	0.912518019208	0.970013961585	1.28869612245	0.850652929172	0.805331644658	0.827876170468	0.743284621849	1.03559768307	0.993110216086	1.79968855942	1.7740019928	1.3682830012	0.999725510204	0.934618919568	1.45939484994	0.742581656663	1.31799889556	0.938599903962	0.865902376951	0.984175006002	0.971890804322	0.853593553421	0.95106817527	0.974429603842	0.915862557023	1.85148903962	1.96954238896	1.92838510204	1.86341069628	2.05507364946	1.80599481393	1.72938169268	1.9641582473	1.46846078031	1.47493416567	1.6483937455	1.47966154862	1.47862513806	1.4288017527	1.49222659064	0.654882436975	0.49138027611	0.857928151261	0.853968619448	0.700794273709	0.799623469388	0.698364333733	0.545467382953
DG5	0.317687406963	0.371588019208	0.439444765906	0.369294837935	0.45860665066	0.309874405762	0.0	0.371821776711	0.742942917167	0.931574693878	0.931751836735	1.22076590636	1.31484651861	1.44820937575	1.05625151261	0.888923565426	1.08885264106	1.25965240096	0.949960516206	0.797663721489	0.812773937575	0.802813745498	1.02425842737	1.13138397359	1.76023645858	1.75922244898	1.34689445378	1.07111429772	1.01998636255	1.40976462185	0.772380648259	1.27019289316	0.920381080432	0.893749315726	0.936570972389	1.01350158463	0.891711488595	0.999405198079	0.980246842737	0.937901788715	1.89669741897	2.10857398559	2.03398097239	2.00160738295	2.16494546218	1.92881627851	1.86425417767	2.03564218487	1.52949444178	1.53071356543	1.66996687875	1.52650783914	1.55412180072	1.49994093637	1.56984452581	0.762747478992	0.551316794718	0.941592857143	0.931212076831	0.750508535414	0.880912160864	0.790231344538	0.618701212485
DH5	0.328207190876	0.315777022809	0.44720877551	0.307246146459	0.35385027611	0.41325152461	0.371821776711	0.0	0.583962509004	0.716810252101	0.742401344538	1.02942177671	1.15096253301	1.30690673469	0.839147430972	0.697840516206	0.990801932773	1.21608438175	0.85577487395	0.788475798319	0.810357106843	0.786145534214	0.947994465786	1.03199715486	1.60814339736	1.58627027611	1.22858216086	0.920353745498	0.882338847539	1.35666603842	0.758113037215	1.251410012	0.952850156062	0.92985755102	0.928432557023	1.05946268908	0.919742653061	0.960864405762	1.00997901561	0.994632280912	1.86302867947	2.05975069628	1.98409859544	1.94404226891	2.17863088836	1.88266806723	1.77108579832	1.98585495798	1.44579787515	1.45880268908	1.66288951981	1.4567730012	1.50159346939	1.43156593037	1.51014380552	0.859867911164	0.687638379352	0.901860828331	0.922501872749	0.759546686675	0.790755378151	0.942324069628	0.635110360144
DA2	0.695422617047	0.709062509004	0.729016878752	0.677705054022	0.650896146459	0.736315330132	0.742942917167	0.583962509004	0.0	0.717994513806	0.802636602641	0.87594757503	0.979121152461	1.16520595438	0.813905786315	0.447231404562	0.903415630252	1.07914504202	0.759438127251	0.709525342137	0.710744897959	0.786149003601	0.807868187275	0.969121464586	1.38971128451	1.3856657503	1.11999739496	0.764524609844	0.784219939976	1.28736009604	0.791371752701	1.20519535414	1.12952663866	1.09415434574	1.09589211285	1.19991948379	1.07736530612	1.14144415366	1.18003240096	1.16270136855	1.65197505402	1.81053543818	1.76100881152	1.68916189676	2.01125272509	1.64094330132	1.53339798319	1.69809084034	1.37464811525	1.39945122449	1.6118844898	1.39012506603	1.43764798319	1.34945941176	1.42023430972	0.923001632653	0.845246434574	1.03304307323	1.08027115246	0.929147995198	0.630079759904	0.992386338535	0.782945066026
DB2	0.839848895558	0.904491260504	0.863209471789	0.739236038415	0.727082232893	0.85773272509	0.931574693878	0.716810252101	0.717994513806	0.0	0.476810708283	0.696011308523	0.701982076831	0.861712809124	0.327147959184	0.823565342137	0.816068727491	1.39173866747	0.680890648259	1.03069719088	1.11562445378	0.937732328932	1.07218769508	0.876663733493	1.55692882353	1.58044698679	1.51131647059	0.865657346939	0.925742665066	1.68539753902	0.915251764706	1.59838885954	1.01733690276	1.03229248499	1.01493786315	1.15699704682	1.00724327731	0.940291104442	1.10213594238	1.05451561825	1.91587533013	2.01148983193	1.95516560624	1.85566207683	2.15702805522	1.83512912365	1.71507216086	1.9822537575	1.29999208884	1.38026921969	1.6033347539	1.35753028812	1.43242223289	1.15461939976	1.12520632653	1.15409372149	1.10518791116	0.899991416567	0.94706302521	0.819514945978	0.95419302521	1.22535230492	0.879841716687
DC2	0.85699665066	0.919545114046	0.856283901561	0.804634861945	0.816696542617	0.847809795918	0.931751836735	0.742401344538	0.802636602641	0.476810708283	0.0	0.809958103241	0.83532942377	0.742436386555	0.475674729892	0.922941356543	0.620307094838	1.42642651861	0.7383730012	1.04903440576	1.14153547419	0.923109735894	1.16174714286	0.846844933974	1.67488214886	1.67293666267	1.59705015606	0.801816626651	0.87686909964	1.75861871549	0.891909483794	1.66851906363	1.12216369748	1.0782989916	1.10579978391	1.12236412965	1.07210469388	0.955945534214	1.15648679472	1.11845878752	2.01766054022	2.04003309724	2.02889439376	1.88776195678	2.10870202881	1.87700271309	1.8334452461	2.10220842737	1.20320827131	1.31472662665	1.51964157263	1.27422046819	1.34898893157	1.12011834334	0.993519915966	1.04778452581	1.02871590636	0.666292761104	0.683244729892	0.62581	0.948180828331	1.09257278511	0.794408727491
DD2	1.1800497599	1.15758897959	1.22487842737	1.20013430972	1.13785145258	1.22707522209	1.22076590636	1.02942177671	0.87594757503	0.696011308523	0.809958103241	0.0	0.328811392557	0.618167959184	0.561400084034	0.901347791116	0.872201644658	1.29647254502	0.83608695078	1.03708484994	1.08085496999	1.02395132053	0.958446518607	0.957600204082	1.35330015606	1.37054376951	1.38025279712	0.883224861945	0.961783673469	1.52793653061	1.06402297719	1.43316103241	1.2322989916	1.22537430972	1.17103310924	1.37033344538	1.24534771909	1.15571235294	1.31350470588	1.28150356543	1.92515146459	2.15943264106	2.06211989196	1.9698582593	2.28066452581	1.95612187275	1.82579854742	2.02467932773	1.46436932773	1.54547457383	1.76602644658	1.52761201681	1.59804132053	1.30241567827	1.17046418968	1.43192680672	1.35593715486	0.852421404562	0.891989747899	0.989569519808	1.19457914766	1.52299684274	1.10095316927
DE2	1.27157512605	1.30871364946	1.26945776711	1.27073816327	1.23595559424	1.27108716687	1.31484651861	1.15096253301	0.979121152461	0.701982076831	0.83532942377	0.328811392557	0.0	0.456551044418	0.567494021609	1.06229378151	0.876652845138	1.47526633854	0.809558847539	1.14987888355	1.2066929892	1.01382840336	1.16616403361	0.984677839136	1.5420660024	1.56475938776	1.49894966387	0.896977214886	0.970454537815	1.65666869148	1.07211393758	1.56519228091	1.25633297719	1.25869777911	1.2144307443	1.37150887155	1.25498602641	1.17372182473	1.33410330132	1.2844357503	1.99084756303	2.18005632653	2.08429798319	1.99443848739	2.30206533013	1.97491338535	1.84523493397	2.07195456182	1.46889891957	1.55086212485	1.76421807923	1.52721903962	1.59318462185	1.3072692557	1.17538773109	1.42018096038	1.41290509004	0.84441027611	0.86786270108	1.00838156062	1.26143157263	1.50834196879	1.12446758703
DF2	1.44212098439	1.47905156062	1.33386360144	1.39919842737	1.38765352941	1.35045641056	1.44820937575	1.30690673469	1.16520595438	0.861712809124	0.742436386555	0.618167959184	0.456551044418	0.0	0.674467947179	1.25568196879	0.898663721489	1.70316643457	0.893226770708	1.37625869148	1.42868345738	1.14293421369	1.40796033613	1.08103901561	1.77820079232	1.78198481393	1.73210286915	1.03343037215	1.10577744298	1.88170211285	1.20488162065	1.78394726291	1.40165662665	1.37125398559	1.37825360144	1.41475237695	1.36433539016	1.22427505402	1.45036183673	1.39142645858	2.23120677071	2.2767057383	2.26589234094	2.08625735894	2.34387042017	2.09028587035	2.02645572629	2.30998961585	1.47071354142	1.57858781513	1.76322240096	1.52828405762	1.60591722689	1.36106937575	1.16019130852	1.45037704682	1.53492653061	0.761477022809	0.773948583433	1.00866230492	1.38923013205	1.48966247299	1.22628266507
DG2	0.993498487395	1.03341737095	0.953685978391	0.921329255702	0.89982212485	0.97320454982	1.05625151261	0.839147430972	0.813905786315	0.327147959184	0.475674729892	0.561400084034	0.567494021609	0.674467947179	0.0	0.893568427371	0.774456926771	1.43845327731	0.710176302521	1.08328853541	1.15801531813	0.956893805522	1.11959695078	0.872893061224	1.59325066026	1.60492481393	1.54681828331	0.850078967587	0.915455090036	1.6917329892	0.974885246098	1.60458887155	1.13917878752	1.11058430972	1.10986378151	1.20426366146	1.10505265306	0.993208907563	1.18938685474	1.11567651861	1.98864861945	2.06393546218	2.02421061224	1.88640729892	2.19897716687	1.87977693878	1.77207003601	2.06692627851	1.30982316927	1.39714831933	1.60508837935	1.36951366146	1.45250656663	1.16874630252	1.04427128451	1.22647887155	1.19916492197	0.761956734694	0.80664757503	0.767681464586	1.04363517407	1.311207491	0.948213109244
DH2	0.829686794718	0.742651008403	0.902498991597	0.805708439376	0.72829002401	0.912518019208	0.888923565426	0.697840516206	0.447231404562	0.823565342137	0.922941356543	0.901347791116	1.06229378151	1.25568196879	0.893568427371	0.0	1.07732427371	1.04795234094	0.921452677071	0.854321932773	0.870424345738	0.92547332533	0.740477142857	1.13675798319	1.16779234094	1.1360547539	0.870449903962	0.99639090036	1.00852591837	1.02339522209	0.987922412965	0.945789639856	1.17528517407	1.19578418968	1.16646018007	1.29382630252	1.18123697479	1.23436122449	1.25159160864	1.22884941176	1.770782497	1.98551918367	1.92680636255	1.84553911164	2.13062496999	1.8283357383	1.69209539016	1.85989314526	1.48732545018	1.48431086435	1.65230578631	1.46804513806	1.50865012005	1.46706627851	1.54990432173	1.17472852341	1.02700343337	1.2772562545	1.32516654262	1.17738338535	0.832971332533	1.21470405762	1.02192021609
DA1	1.10265037215	1.13894438175	0.947681920768	1.0465059904	1.10229360144	0.970013961585	1.08885264106	0.990801932773	0.903415630252	0.816068727491	0.620307094838	0.872201644658	0.876652845138	0.898663721489	0.774456926771	1.07732427371	0.0	1.06726957983	0.63571090036	0.950973961585	0.974221320528	0.760038367347	1.00541082833	0.578382280912	1.56315171669	1.58255535414	1.48732327731	0.636549795918	0.70308392557	1.6423552461	0.805554777911	1.52677852341	1.17918791116	1.12850582233	1.17020683073	1.14950104442	1.09658710684	1.02337440576	1.19775501801	1.09654801921	1.85843159664	1.88473056423	1.87259954382	1.73974026411	1.98218084034	1.70681669868	1.67292220888	1.94516738295	0.990869843938	1.07317828331	1.33754907563	1.07669915966	1.15649583433	0.822339603842	0.721482136855	1.0831442497	1.18513152461	0.737833421369	0.775850048019	0.771012340936	1.09079094838	1.12582902761	0.914583841537
DB1	1.22554304922	1.14670337335	1.23051611044	1.27807470588	1.266912497	1.28869612245	1.25965240096	1.21608438175	1.07914504202	1.39173866747	1.42642651861	1.29647254502	1.47526633854	1.70316643457	1.43845327731	1.04795234094	1.06726957983	0.0	1.11702069628	0.797724165666	0.874201248499	0.958150444178	0.621921536615	0.974075798319	1.31983687875	1.35981756303	1.44504589436	1.21829510204	1.23104190876	1.54655394958	1.30851384154	1.49978481393	1.34095079232	1.31535542617	1.32510863145	1.41272870348	1.31110432173	1.41150259304	1.34474178872	1.30024537815	1.24692108043	1.49984727491	1.41019517407	1.39852746699	1.62761466987	1.31614555822	1.26129166867	1.38087878752	1.1488005042	1.13791693878	1.28575906363	1.15875527011	1.21382202881	1.10945333733	1.17475983193	1.42885061224	1.26769709484	1.60579846339	1.64598783914	1.51463918367	1.11555901561	1.38449236495	1.3858564946
DC1	0.988119159664	1.01919636255	0.800901464586	0.936627238896	0.981714513806	0.850652929172	0.949960516206	0.85577487395	0.759438127251	0.680890648259	0.7383730012	0.83608695078	0.809558847539	0.893226770708	0.710176302521	0.921452677071	0.63571090036	1.11702069628	0.0	0.724039363745	0.797059183673	0.438237214886	0.823856158463	0.521358487395	1.4700079952	1.48718394958	1.46603297719	0.770734693878	0.801149687875	1.62285006002	0.80997242497	1.52364512605	0.950644669868	0.889714657863	0.951959459784	0.964917490996	0.867186626651	0.850509915966	0.98651060024	0.829090612245	1.63921205282	1.74361483794	1.66455913565	1.58768477791	1.83280696279	1.54585857143	1.44738283313	1.7146970108	1.249522497	1.31672087635	1.59281308523	1.3301542377	1.41738779112	1.08383713085	1.07211803121	0.912566458583	0.981084177671	0.840191476591	0.889873337335	0.841235198079	0.831650996399	0.950881464586	0.769839831933
DD1	0.765247623049	0.811720816327	0.76033182473	0.811677142857	0.832603337335	0.805331644658	0.797663721489	0.788475798319	0.709525342137	1.03069719088	1.04903440576	1.03708484994	1.14987888355	1.37625869148	1.08328853541	0.854321932773	0.950973961585	0.797724165666	0.724039363745	0.0	0.322497346939	0.439414561825	0.53202027611	0.673009807923	1.51144258103	1.54682391357	1.43321882353	0.944059771909	0.937287490996	1.54140162065	1.05066621849	1.43504134454	1.0198159904	0.98510422569	0.99351027611	1.10418737095	0.975855498199	1.07559062425	1.02208732293	0.953517394958	1.40098740696	1.68145751501	1.59486560624	1.60910229292	1.82590044418	1.44781483794	1.47272440576	1.54900388956	1.37185559424	1.36937390156	1.54273617047	1.38789108043	1.44334304922	1.3064929892	1.36150097239	1.09868795918	0.89927422569	1.20771184874	1.27029303721	1.05414527011	0.800212136855	1.08895926771	0.959638067227
DE1	0.775776038415	0.774341404562	0.794504081633	0.815027214886	0.819565534214	0.827876170468	0.812773937575	0.810357106843	0.710744897959	1.11562445378	1.14153547419	1.08085496999	1.2066929892	1.42868345738	1.15801531813	0.870424345738	0.974221320528	0.874201248499	0.797059183673	0.322497346939	0.0	0.627317503001	0.51600180072	0.84868607443	1.4974822569	1.53228346939	1.34669516206	0.876191788715	0.839780756303	1.41301183673	1.05958546218	1.32806661465	1.04792207683	1.03531067227	1.08041777911	1.1264187395	1.04353503001	1.1481830012	1.10003427371	1.01711507803	1.30475683073	1.72582122449	1.68490660264	1.6705865066	1.8602852581	1.52150435774	1.55695543818	1.58886627851	1.41022472989	1.40888109244	1.53363142857	1.42411594238	1.47658212485	1.34530644658	1.41172756303	1.10690813926	0.901370516206	1.22139493397	1.27934046819	1.09308626651	0.830434933974	1.07493092437	0.979389603842
DF1	0.831199615846	0.898782509004	0.703988427371	0.835664885954	0.891339771909	0.743284621849	0.802813745498	0.786145534214	0.786149003601	0.937732328932	0.923109735894	1.02395132053	1.01382840336	1.14293421369	0.956893805522	0.92547332533	0.760038367347	0.958150444178	0.438237214886	0.439414561825	0.627317503001	0.0	0.759638031212	0.489554117647	1.53279008403	1.53918903962	1.47953703481	0.900816470588	0.891600780312	1.62084535414	0.907796098439	1.50295741897	0.937397490996	0.85448877551	0.925005198079	0.951745534214	0.835225906363	0.859898703481	0.937176578631	0.822846146459	1.55603536615	1.70965188475	1.61463517407	1.57537803121	1.76454727491	1.50078217287	1.41835152461	1.67286798319	1.24273387755	1.28148015606	1.53199145258	1.29537522209	1.37769931573	1.17091833133	1.19775219688	0.978555414166	0.943906794718	1.00182705882	1.05053384154	0.945346770708	0.872643193277	0.974912557023	0.857115414166
