	PAM31	PAM32	PAM33	PAM35	PAM36	PAM37	PAM39	PAM40	PAM41	PAM42	PAM43	PAM44	PAM45	PBW46	PBW47	PBW49	PBW50	PBW51	PBW52	PBW53	PBW54	PBW55	PBW56	PBW58	PBW59	PBW60	PEP16	PEP18	PEP21	PEP23	PEP24	PEP26	PEP27	PEP28	PEP29	PEP30	PIS1	PIS2	PIS4	PIS5	PIS7	PIS9	PIS10	PIS11	PIS14	PIS15	PLL76	PLL77	PLL79	PLL80	PLL83	PLL88	PLL89	PLL90	PPO64	PPO66	PPO67	PPO69	PPO72	PPO75
PAM31	0.0	0.775757575758	0.806060606061	0.824242424242	0.769696969697	0.727272727273	0.775757575758	0.709090909091	0.836363636364	0.775757575758	0.8	0.860606060606	0.775757575758	0.909090909091	0.963636363636	0.981818181818	0.939393939394	0.957575757576	0.945454545455	0.975757575758	0.969696969697	0.951515151515	0.957575757576	0.860606060606	0.945454545455	0.963636363636	0.975757575758	0.987878787879	0.969696969697	0.951515151515	0.927272727273	0.945454545455	0.969696969697	0.921212121212	0.945454545455	0.957575757576	0.8	0.945454545455	0.89696969697	0.915151515152	0.963636363636	0.90303030303	0.921212121212	0.812121212121	0.860606060606	0.89696969697	0.933333333333	0.975757575758	0.951515151515	0.963636363636	0.993939393939	0.963636363636	0.975757575758	0.963636363636	0.836363636364	0.969696969697	0.939393939394	0.963636363636	0.927272727273	0.951515151515
PAM32	0.775757575758	0.0	0.787878787879	0.824242424242	0.793939393939	0.709090909091	0.751515151515	0.781818181818	0.739393939394	0.842424242424	0.90303030303	0.866666666667	0.8	0.945454545455	0.969696969697	0.987878787879	0.969696969697	0.987878787879	0.969696969697	0.993939393939	1.0	0.987878787879	0.987878787879	0.854545454545	0.963636363636	0.981818181818	0.975757575758	0.987878787879	0.975757575758	0.975757575758	0.981818181818	0.878787878788	0.987878787879	0.975757575758	0.969696969697	1.0	0.884848484848	0.969696969697	0.933333333333	0.957575757576	0.969696969697	0.927272727273	0.927272727273	0.812121212121	0.933333333333	0.921212121212	0.963636363636	0.969696969697	0.981818181818	0.975757575758	0.993939393939	0.963636363636	0.878787878788	0.951515151515	0.836363636364	0.987878787879	0.981818181818	0.951515151515	0.957575757576	0.969696969697
PAM33	0.806060606061	0.787878787879	0.0	0.812121212121	0.769696969697	0.715151515152	0.775757575758	0.842424242424	0.812121212121	0.854545454545	0.872727272727	0.927272727273	0.836363636364	0.945454545455	0.963636363636	0.987878787879	0.957575757576	0.969696969697	0.963636363636	0.969696969697	0.975757575758	0.969696969697	0.969696969697	0.921212121212	0.951515151515	0.969696969697	0.975757575758	0.993939393939	0.981818181818	0.951515151515	0.945454545455	0.993939393939	0.987878787879	0.933333333333	0.945454545455	0.963636363636	0.90303030303	0.957575757576	0.909090909091	0.969696969697	0.957575757576	0.927272727273	0.927272727273	0.860606060606	0.909090909091	0.921212121212	0.975757575758	0.987878787879	0.981818181818	0.975757575758	0.981818181818	0.969696969697	0.981818181818	0.957575757576	0.860606060606	0.981818181818	0.969696969697	0.975757575758	0.963636363636	0.963636363636
PAM35	0.824242424242	0.824242424242	0.812121212121	0.0	0.757575757576	0.769696969697	0.787878787879	0.793939393939	0.806060606061	0.830303030303	0.884848484848	0.848484848485	0.872727272727	0.957575757576	0.884848484848	0.963636363636	0.969696969697	0.987878787879	0.963636363636	0.987878787879	0.981818181818	0.981818181818	0.969696969697	0.866666666667	0.969696969697	0.951515151515	0.969696969697	0.981818181818	0.975757575758	0.969696969697	0.933333333333	0.921212121212	0.975757575758	0.939393939394	0.951515151515	0.963636363636	0.89696969697	0.951515151515	0.921212121212	0.933333333333	0.951515151515	0.909090909091	0.921212121212	0.830303030303	0.90303030303	0.848484848485	0.957575757576	0.969696969697	0.981818181818	0.975757575758	0.987878787879	0.963636363636	0.969696969697	0.963636363636	0.860606060606	0.987878787879	0.975757575758	0.981818181818	0.975757575758	0.963636363636
PAM36	0.769696969697	0.793939393939	0.769696969697	0.757575757576	0.0	0.751515151515	0.763636363636	0.8	0.763636363636	0.781818181818	0.884848484848	0.866666666667	0.824242424242	0.909090909091	0.951515151515	0.963636363636	0.927272727273	0.951515151515	0.951515151515	0.975757575758	0.963636363636	0.945454545455	0.945454545455	0.842424242424	0.957575757576	0.957575757576	0.963636363636	0.981818181818	0.969696969697	0.945454545455	0.939393939394	0.945454545455	0.963636363636	0.933333333333	0.939393939394	0.939393939394	0.89696969697	0.951515151515	0.878787878788	0.957575757576	0.939393939394	0.884848484848	0.951515151515	0.806060606061	0.933333333333	0.836363636364	0.927272727273	0.963636363636	0.963636363636	0.969696969697	0.975757575758	0.945454545455	0.933333333333	0.975757575758	0.818181818182	0.975757575758	0.951515151515	0.957575757576	0.921212121212	0.957575757576
PAM37	0.727272727273	0.709090909091	0.715151515152	0.769696969697	0.751515151515	0.0	0.654545454545	0.793939393939	0.666666666667	0.824242424242	0.872727272727	0.854545454545	0.854545454545	0.915151515152	0.981818181818	0.981818181818	0.963636363636	0.975757575758	0.987878787879	0.975757575758	0.969696969697	0.945454545455	0.951515151515	0.884848484848	0.957575757576	0.963636363636	0.975757575758	0.993939393939	0.975757575758	0.951515151515	0.945454545455	0.981818181818	0.981818181818	0.939393939394	0.969696969697	0.957575757576	0.909090909091	0.939393939394	0.915151515152	0.945454545455	0.963636363636	0.909090909091	0.933333333333	0.806060606061	0.890909090909	0.872727272727	0.927272727273	0.945454545455	0.969696969697	0.957575757576	0.987878787879	0.957575757576	0.963636363636	0.957575757576	0.824242424242	0.981818181818	0.951515151515	0.957575757576	0.951515151515	0.969696969697
PAM39	0.775757575758	0.751515151515	0.775757575758	0.787878787879	0.763636363636	0.654545454545	0.0	0.709090909091	0.690909090909	0.806060606061	0.793939393939	0.866666666667	0.8	0.939393939394	0.969696969697	0.975757575758	0.939393939394	0.975757575758	0.987878787879	0.969696969697	0.963636363636	0.951515151515	0.945454545455	0.878787878788	0.969696969697	0.957575757576	0.975757575758	0.993939393939	0.981818181818	0.957575757576	0.951515151515	0.957575757576	0.975757575758	0.957575757576	0.963636363636	0.969696969697	0.90303030303	0.969696969697	0.915151515152	0.945454545455	0.951515151515	0.921212121212	0.909090909091	0.787878787879	0.878787878788	0.884848484848	0.945454545455	0.975757575758	0.975757575758	0.951515151515	0.975757575758	0.957575757576	0.945454545455	0.951515151515	0.824242424242	0.987878787879	0.957575757576	0.963636363636	0.963636363636	0.957575757576
PAM40	0.709090909091	0.781818181818	0.842424242424	0.793939393939	0.8	0.793939393939	0.709090909091	0.0	0.806060606061	0.733333333333	0.8	0.890909090909	0.751515151515	0.945454545455	0.939393939394	0.981818181818	0.951515151515	0.975757575758	0.975757575758	0.987878787879	0.975757575758	0.975757575758	0.969696969697	0.878787878788	0.969696969697	0.963636363636	0.975757575758	0.993939393939	0.987878787879	0.951515151515	0.957575757576	0.939393939394	0.969696969697	0.939393939394	0.957575757576	0.981818181818	0.860606060606	0.957575757576	0.909090909091	0.927272727273	0.957575757576	0.909090909091	0.921212121212	0.860606060606	0.909090909091	0.89696969697	0.915151515152	0.963636363636	0.969696969697	0.969696969697	0.975757575758	0.945454545455	0.933333333333	0.969696969697	0.854545454545	0.987878787879	0.969696969697	0.963636363636	0.951515151515	0.981818181818
PAM41	0.836363636364	0.739393939394	0.812121212121	0.806060606061	0.763636363636	0.666666666667	0.690909090909	0.806060606061	0.0	0.830303030303	0.921212121212	0.878787878788	0.872727272727	0.951515151515	0.975757575758	0.975757575758	0.969696969697	0.981818181818	0.969696969697	0.981818181818	0.975757575758	0.975757575758	0.975757575758	0.890909090909	0.987878787879	0.981818181818	0.987878787879	0.993939393939	0.993939393939	0.975757575758	0.981818181818	0.957575757576	0.987878787879	0.957575757576	0.981818181818	0.981818181818	0.951515151515	0.987878787879	0.945454545455	0.987878787879	0.987878787879	0.951515151515	0.957575757576	0.854545454545	0.939393939394	0.945454545455	0.987878787879	0.981818181818	0.993939393939	0.987878787879	1.0	0.963636363636	0.957575757576	0.981818181818	0.866666666667	0.993939393939	0.969696969697	0.951515151515	0.975757575758	0.975757575758
PAM42	0.775757575758	0.842424242424	0.854545454545	0.830303030303	0.781818181818	0.824242424242	0.806060606061	0.733333333333	0.830303030303	0.0	0.824242424242	0.878787878788	0.854545454545	0.939393939394	0.939393939394	0.969696969697	0.951515151515	0.969696969697	0.987878787879	0.969696969697	0.951515151515	0.963636363636	0.951515151515	0.89696969697	0.951515151515	0.963636363636	0.987878787879	0.987878787879	0.981818181818	0.927272727273	0.963636363636	0.969696969697	0.981818181818	0.933333333333	0.969696969697	0.975757575758	0.830303030303	0.963636363636	0.890909090909	0.939393939394	0.981818181818	0.90303030303	0.915151515152	0.836363636364	0.927272727273	0.884848484848	0.945454545455	0.945454545455	0.969696969697	0.963636363636	0.987878787879	0.957575757576	0.957575757576	0.957575757576	0.90303030303	0.987878787879	0.945454545455	0.963636363636	0.915151515152	0.957575757576
