	PAM31	PAM32	PAM33	PAM35	PAM36	PAM37	PAM39	PAM40	PAM41	PAM42	PAM43	PAM44	PAM45	PBW46	PBW47	PBW49	PBW50	PBW51	PBW52	PBW53	PBW54	PBW55	PBW56	PBW58	PBW59	PBW60	PEP16	PEP18	PEP21	PEP23	PEP24	PEP26	PEP27	PEP28	PEP29	PEP30	PIS1	PIS2	PIS4	PIS5	PIS7	PIS9	PIS10	PIS11	PIS14	PIS15	PLL76	PLL77	PLL79	PLL80	PLL83	PLL88	PLL89	PLL90	PPO64	PPO66	PPO67	PPO69	PPO72	PPO75
PAM31	0.0	0.668720295723	0.781074398741	0.72196416722	0.862595419847	0.618724976902	0.642469408409	0.628029594353	0.752849430114	0.634032634033	0.696804260985	0.81072555205	0.668422312665	0.91959798995	0.961334745763	0.948971518987	0.919102174421	0.983914209115	0.895974491829	0.942112879884	0.902871018426	0.918900952803	0.922989807475	0.891035124054	0.892521271832	0.916230366492	0.948341126698	0.984370789545	0.951064793838	0.898876404494	0.965598123534	0.966342361294	0.965868568518	0.879212545879	0.952069587858	0.89111747851	0.836514522822	0.866845547543	0.942043984476	0.906322350846	0.910862434883	0.933531746032	0.816772593396	0.751947273817	0.857093385663	0.794623395495	0.879328076791	0.937535926423	0.931048720066	0.953961715532	0.974372116863	0.896741986337	0.893425823743	0.966675344962	0.82120838471	0.938407391113	0.932098417882	0.949144254279	0.924903005195	0.872662961091
PAM32	0.668720295723	0.0	0.752631578947	0.755011135857	0.858220211161	0.71603456553	0.72621564482	0.75845410628	0.708771929825	0.77547460236	0.835133348027	0.800791249709	0.70309575234	0.918491074436	0.955217574989	0.962082040676	0.940027894003	0.980180956484	0.919091160986	0.938618925831	0.945994277539	0.947164948454	0.948058626896	0.886382022472	0.948956533298	0.924409448819	0.957170668397	0.98696785404	0.956073211314	0.934059464233	0.965403624382	0.927318295739	0.974572904251	0.938274861514	0.978573633838	0.935329341317	0.871005570214	0.901624945103	0.925895765472	0.91250594389	0.922628510864	0.915364086923	0.857992859976	0.772457873329	0.909279386819	0.861293619506	0.913220338983	0.963008085059	0.943522561863	0.95217071376	0.972723626153	0.91649201999	0.863802188893	0.958881578947	0.84335431041	0.957284029327	0.957191780822	0.951510630362	0.945499347732	0.920810747113
PAM33	0.781074398741	0.752631578947	0.0	0.845961568505	0.750704225352	0.814647887324	0.868497812348	0.881772318491	0.889455028799	0.877833901092	0.913563292673	0.855138662316	0.838263609312	0.918249856074	0.945374449339	0.985544103868	0.940097799511	0.977961432507	0.962137147665	0.946843853821	0.970183486239	0.952991452991	0.960858110651	0.963174421924	0.969162295343	0.944415851776	0.966486486486	0.994392523364	0.961646926114	0.909468822171	0.941471571906	0.982788296041	0.96420233463	0.96094488189	0.989023685731	0.961943594971	0.892611289582	0.940397350993	0.916666666667	0.942165433759	0.9307631786	0.88785046729	0.886614173228	0.890139698901	0.943479741233	0.888196546199	0.963670529283	0.979222777992	0.970040853382	0.956931359354	0.966693100714	0.964192315429	0.964343598055	0.973333333333	0.934264447604	0.967454068241	0.987169312169	0.968253968254	0.984243195926	0.968569065343
PAM35	0.72196416722	0.755011135857	0.845961568505	0.0	0.889905205388	0.672624647225	0.642149598315	0.624826781416	0.6891564496	0.639859606287	0.702804619373	0.847479759728	0.732971084805	0.945971563981	0.96717877095	0.959217506631	0.954406806871	0.988032382964	0.941176470588	0.969170219744	0.917792918575	0.955761794277	0.937931034483	0.868103549256	0.899117971334	0.930844553244	0.964612758032	0.993642945435	0.966383914546	0.939923054158	0.973397823458	0.975673327541	0.981626403539	0.868409028603	0.932197700764	0.909501061571	0.901653868872	0.86228679722	0.960804538422	0.878948063962	0.922634898388	0.936497326203	0.865762227776	0.718201571118	0.847598298579	0.754554358472	0.880297970717	0.91218724778	0.953207769276	0.962493831222	0.975401434916	0.885194479297	0.904038577456	0.976178146038	0.807371601208	0.977531548169	0.949576421651	0.979476994373	0.916079025584	0.910694690639
PAM36	0.862595419847	0.858220211161	0.750704225352	0.889905205388	0.0	0.902264600715	0.917346938776	0.922107674685	0.932407407407	0.919261538462	0.942957217913	0.889428464699	0.889953051643	0.911045218681	0.935742971888	0.985034589863	0.929487179487	0.954350927247	0.948717948718	0.942703670546	0.97583081571	0.956873315364	0.941824592331	0.979738245274	0.972895138065	0.930546623794	0.939808481532	0.979472140762	0.95523465704	0.922341024198	0.940594059406	0.945736434109	0.950947603122	0.965112378397	0.990900227494	0.945988258317	0.876046901173	0.940013633265	0.882775119617	0.931941221964	0.921077065924	0.848454636092	0.924605493863	0.930136005727	0.970763097153	0.917383820998	0.945098039216	0.977324875152	0.95041322314	0.947176684882	0.970217640321	0.957669648702	0.961375980688	0.923645320197	0.964387587518	0.955174686882	0.987374423025	0.956644674835	0.982591558548	0.968249344597
PAM37	0.618724976902	0.71603456553	0.814647887324	0.672624647225	0.902264600715	0.0	0.465532544379	0.651492019431	0.508240223464	0.59753712423	0.736404278196	0.864784013402	0.750113584734	0.949637217243	0.974171464136	0.956279871504	0.965357967667	0.99122394609	0.938192723954	0.971457996175	0.915250725238	0.953098827471	0.947163165178	0.79771949829	0.917292583959	0.945542501728	0.972556706805	0.992769569318	0.967445152159	0.923293549685	0.97718865598	0.981716764797	0.984795499468	0.882666208555	0.945679012346	0.942683667274	0.884620532727	0.886463895983	0.966850828729	0.914347931285	0.932856778147	0.945832709861	0.855636123929	0.701381760758	0.842619011864	0.806215051792	0.900058927519	0.931545572618	0.951434289526	0.969607553851	0.977414924462	0.915034590276	0.911718923727	0.983056069008	0.714997970897	0.978324301792	0.941113070743	0.970627503338	0.930451338336	0.90801849195
PAM39	0.642469408409	0.72621564482	0.868497812348	0.642149598315	0.917346938776	0.465532544379	0.0	0.543184451023	0.487959606422	0.569811826157	0.61391563381	0.855139694254	0.674111926152	0.956356503617	0.979086697551	0.955078828018	0.964995034757	0.991743241444	0.943389791975	0.968706624606	0.930241187384	0.958031837916	0.946017406632	0.787375173118	0.929352529305	0.945474112161	0.968561064087	0.99305740988	0.970706700842	0.946185206756	0.982142857143	0.974940648905	0.982868267359	0.897572435395	0.943903347703	0.938054042508	0.898127689266	0.902484089509	0.972789115646	0.917606983181	0.928141039946	0.951862757649	0.863734115347	0.714347857609	0.827434257285	0.814405582786	0.90325600749	0.936273475417	0.961962194132	0.973690867695	0.983075120427	0.906768501449	0.904564315353	0.982677165354	0.740762910159	0.976936936937	0.936118848654	0.974583809887	0.922258506268	0.897762176393
PAM40	0.628029594353	0.75845410628	0.881772318491	0.624826781416	0.922107674685	0.651492019431	0.543184451023	0.0	0.61941486106	0.483915818745	0.509472294174	0.868722891566	0.654918221608	0.953575770974	0.975843694494	0.946011771869	0.962664878158	0.990236932968	0.933106224837	0.969370391378	0.899228791774	0.958179045959	0.950436440253	0.843617622141	0.910888905228	0.943802010159	0.971179039301	0.992840095465	0.977320268634	0.945329815303	0.982130260992	0.973559962229	0.983246073298	0.87027818448	0.918997608402	0.928801326441	0.902413320687	0.865500376223	0.968830560112	0.900427849086	0.941128704832	0.948051948052	0.854316546763	0.725805353129	0.805228461014	0.775818055233	0.870894030277	0.90600383928	0.953747503416	0.972714870396	0.979698984949	0.869391743343	0.896294950963	0.980963572268	0.811283541807	0.974606619642	0.923227819884	0.974882977509	0.896156168243	0.889316121945
PAM41	0.752849430114	0.708771929825	0.889455028799	0.6891564496	0.932407407407	0.508240223464	0.487959606422	0.61941486106	0.0	0.633127820505	0.724271646513	0.878463782207	0.759993814274	0.955342190466	0.980371035308	0.955619086516	0.966350496838	0.990612588759	0.952276753152	0.971805157593	0.93713298791	0.959304883414	0.945732509871	0.784474821163	0.93501591296	0.953508676198	0.97243660419	0.994451145959	0.973979762037	0.952051145445	0.983602661597	0.974707706991	0.984714873604	0.914517317612	0.953150242326	0.95099872085	0.929779763805	0.918611269209	0.968735196589	0.926623504022	0.951444376152	0.968180234584	0.8953762466	0.761529500445	0.877105683634	0.861649918205	0.923172956881	0.947526137045	0.965403799215	0.975419251091	0.984199976418	0.912558444754	0.902581944699	0.982897862233	0.755957657611	0.97895890411	0.93733213966	0.97762140962	0.930759122612	0.906729307724
PAM42	0.634032634033	0.77547460236	0.877833901092	0.639859606287	0.919261538462	0.59753712423	0.569811826157	0.483915818745	0.633127820505	0.0	0.608887025781	0.853019447288	0.70365598325	0.950485666904	0.977295918367	0.93848758465	0.95851816329	0.991275340005	0.946707773618	0.970280146163	0.917577948486	0.958260464032	0.939542832728	0.833712080222	0.911665127732	0.942183163737	0.971478667446	0.993054662379	0.971219627271	0.940698985344	0.98076192887	0.980170331766	0.97972465582	0.861049406358	0.932968861421	0.938225538972	0.880684376407	0.865762441408	0.962668684576	0.896270275855	0.937709527414	0.935276679842	0.842700903471	0.754936780793	0.809630668537	0.778445057621	0.883814912103	0.888153358157	0.93062415806	0.967281162251	0.97439116244	0.867762932511	0.899875084078	0.980771663504	0.795627478298	0.978164924506	0.925864833906	0.980377728722	0.907944579939	0.897986961817
