	PAM31	PAM32	PAM33	PAM35	PAM36	PAM37	PAM39	PAM40	PAM41	PAM42	PAM43	PAM44	PAM45	PBW46	PBW47	PBW49	PBW50	PBW51	PBW52	PBW53	PBW54	PBW55	PBW56	PBW58	PBW59	PBW60	PEP16	PEP18	PEP21	PEP23	PEP24	PEP26	PEP27	PEP28	PEP29	PEP30	PIS1	PIS2	PIS4	PIS5	PIS7	PIS9	PIS10	PIS11	PIS14	PIS15	PLL76	PLL77	PLL79	PLL80	PLL83	PLL88	PLL89	PLL90	PPO64	PPO66	PPO67	PPO69	PPO72	PPO75
PAM31	0.0	0.680216039261	0.621320785032	0.709025910528	0.674476163362	0.641185691002	0.642828536791	0.693689592832	0.650699989054	0.70002070872	0.531945252878	0.662366948253	0.604903768037	0.684670848553	0.765537428905	0.757363459494	0.692943837686	0.763521008266	0.733120057378	0.772554559423	0.761008710925	0.716089353192	0.722909709031	0.717177030347	0.692426894907	0.670839361417	0.728484574756	0.74823218885	0.716960667555	0.721301649613	0.695843393523	0.725543396591	0.689624015873	0.720173732136	0.674929555502	0.723411569069	0.690701765524	0.72467291576	0.658993345557	0.716885693727	0.722175837555	0.728173070564	0.719832525444	0.711145682759	0.650479597318	0.657790512489	0.693123749543	0.761396284794	0.734206977021	0.765815855911	0.72334670919	0.721322671805	0.74850935495	0.727163230294	0.660099797659	0.695220208747	0.637578005643	0.710679470616	0.678507447907	0.693661073853
PAM32	0.680216039261	0.0	0.697228671676	0.676054695483	0.65767915189	0.65379687067	0.672172599285	0.655535389499	0.585194628395	0.663052298421	0.68158274368	0.692761890329	0.635396265017	0.758763084964	0.731408840315	0.723699716615	0.784434312517	0.750452047387	0.721003666164	0.777470458614	0.701654896929	0.750343460477	0.750664164304	0.672884909049	0.75959689273	0.726029968828	0.780168083823	0.75570616929	0.763728551757	0.746938823803	0.779324903888	0.674501203414	0.752918407529	0.738144599644	0.790270522592	0.764482345819	0.697107114672	0.710128216741	0.701915069871	0.712711208513	0.687030361014	0.652752207841	0.700678374742	0.675151019819	0.728081862622	0.74105359148	0.747788496971	0.703445662067	0.721826266104	0.7249322827	0.762404130035	0.710085783384	0.698524876844	0.724559142827	0.721806347164	0.704011272608	0.73057093943	0.730550468273	0.686735613858	0.676602293086
PAM33	0.621320785032	0.697228671676	0.0	0.65164977741	0.654144018276	0.591545047731	0.634307001413	0.676545107306	0.649511451075	0.681420603169	0.64511609845	0.699459849544	0.639422806269	0.677314589596	0.765079001915	0.729473416431	0.748969311513	0.731054010004	0.715208440503	0.763473502068	0.733092566503	0.737915525564	0.673135101799	0.71069035284	0.736844114628	0.66211829917	0.735185032517	0.764230151597	0.675650621154	0.724465215852	0.677160595412	0.7350181094	0.701440568187	0.741045106905	0.693302436535	0.694320340458	0.725653112236	0.696133010642	0.668539423776	0.690857077005	0.727721742693	0.685357866065	0.668959641147	0.693834841719	0.678223882105	0.68629054425	0.688669951154	0.730207477009	0.735921564032	0.738287554186	0.689445439179	0.70616367918	0.737023906604	0.780308602208	0.740227351571	0.73649847376	0.741928504826	0.684449556694	0.743038123256	0.741521797618
PAM35	0.709025910528	0.676054695483	0.65164977741	0.0	0.607456037779	0.626524725728	0.607988486915	0.63725457161	0.623947947372	0.648666218426	0.635925325894	0.708148933376	0.660281211406	0.770796986705	0.720566351708	0.727313556772	0.731425247597	0.759380149623	0.751436115342	0.774993089862	0.727998393442	0.733307317173	0.699911792152	0.700886051398	0.751300774918	0.702988482969	0.731212975222	0.764260877733	0.710225913008	0.730931923047	0.704714095447	0.735629165338	0.723913391906	0.757884159085	0.736952219881	0.726877837507	0.725199673997	0.697560042286	0.667998659075	0.689203158323	0.688671901681	0.670584453243	0.690785028549	0.658031339123	0.734109752475	0.699853409762	0.704185395638	0.712652969561	0.697414316282	0.737283436117	0.726078819302	0.694550494457	0.712849496419	0.771397255673	0.723426947691	0.761203113426	0.746404766221	0.696767116638	0.720585327559	0.724946669802
PAM36	0.674476163362	0.65767915189	0.654144018276	0.607456037779	0.0	0.650876127832	0.64586807201	0.672038531178	0.645207363077	0.60526699518	0.683166684609	0.709565858414	0.645947081969	0.747136501611	0.760441948615	0.758884352587	0.747395328866	0.75614923275	0.74781537539	0.791478025161	0.740739444265	0.715563823828	0.683291612933	0.706523140606	0.743299953482	0.692698717328	0.679974238317	0.750525624124	0.700496931578	0.685728161718	0.739027387365	0.720660842454	0.692931719817	0.706052512867	0.721177422953	0.712974546232	0.7113648702	0.727840273687	0.68664198164	0.715972951906	0.707875346069	0.688223672612	0.68626411868	0.687754778401	0.698722791092	0.723436179298	0.718324466122	0.716663646664	0.689003971782	0.733941781007	0.72328617231	0.699597424264	0.707894211994	0.732242498374	0.685658976606	0.701321549316	0.720081340269	0.716206891305	0.692864192825	0.712846525644
PAM37	0.641185691002	0.65379687067	0.591545047731	0.626524725728	0.650876127832	0.0	0.564961438744	0.652897877861	0.624221933185	0.670560608293	0.660994703363	0.713754916761	0.637426063385	0.702037742397	0.729449925443	0.665029289699	0.7326223571	0.708321733519	0.665943371656	0.760843907551	0.656100614115	0.736703496039	0.652717888533	0.664644838024	0.751048304733	0.695597373576	0.722056907731	0.768763425248	0.698184691425	0.721538133146	0.718216034667	0.764878301669	0.727569611565	0.750832080195	0.755096471065	0.731753763808	0.675534392537	0.678540695312	0.669350075191	0.670470146525	0.68495367616	0.69879845548	0.692760077121	0.686598298659	0.673844010325	0.710595088397	0.677884364668	0.689013680936	0.677920368787	0.692104010868	0.732930985554	0.715398892947	0.701300464075	0.734129000457	0.693947071944	0.697836720518	0.771896906181	0.690378481753	0.730239373943	0.718414778116
PAM39	0.642828536791	0.672172599285	0.634307001413	0.607988486915	0.64586807201	0.564961438744	0.0	0.644687637159	0.606871939875	0.673199029986	0.648818270694	0.7040096139	0.604557309866	0.734776440203	0.737473727162	0.709251632232	0.701295174565	0.715333838342	0.708542291584	0.76595467481	0.719711035999	0.734633914535	0.689095683265	0.686816307213	0.736027814944	0.655991467807	0.720104718581	0.762495335112	0.696612083167	0.698653962568	0.703997552527	0.735273378486	0.690712549289	0.752242594841	0.732590736385	0.716217690263	0.672559289021	0.725818221082	0.68979206577	0.654482231939	0.650466462999	0.721745114816	0.660839198985	0.668013893217	0.692555570199	0.689204384495	0.706812658207	0.687595063995	0.698282893066	0.737409338816	0.715742839602	0.67257069002	0.692770732878	0.703952410377	0.685142267941	0.720517499344	0.745173328261	0.677556426905	0.726333768298	0.73287578166
PAM40	0.693689592832	0.655535389499	0.676545107306	0.63725457161	0.672038531178	0.652897877861	0.644687637159	0.0	0.628955342732	0.642157605538	0.650385240771	0.677602831963	0.607391612906	0.762525631126	0.6967511783	0.736401312813	0.77222655267	0.746230253312	0.738408818124	0.774869520069	0.698494486168	0.740889800094	0.748319151478	0.662219708517	0.746290915277	0.734955196424	0.760809106165	0.725744948523	0.729573565328	0.702635123471	0.736980438572	0.693456856289	0.716075894199	0.753079573078	0.740242479582	0.734339064532	0.666163525758	0.674378888052	0.684658838657	0.705282928428	0.674365304832	0.648309474274	0.666698148891	0.683549397195	0.693419061265	0.704287347112	0.721416419101	0.70260132065	0.763992274187	0.760522266558	0.746819816265	0.709268370965	0.664784759811	0.741634994982	0.722493951532	0.742752068689	0.734372543507	0.750541809034	0.703507302198	0.703913151368
PAM41	0.650699989054	0.585194628395	0.649511451075	0.623947947372	0.645207363077	0.624221933185	0.606871939875	0.628955342732	0.0	0.666423234778	0.649698928906	0.708983827869	0.594809308919	0.73959380501	0.751137155634	0.723594083663	0.740292541948	0.731337126335	0.711916959527	0.774069049018	0.711316445874	0.754753723584	0.722210683772	0.67119139871	0.751269932774	0.663120134488	0.750441062194	0.781853788014	0.727643080558	0.758058969671	0.742680875738	0.684465080886	0.72023760656	0.786369428496	0.775810930443	0.74251293825	0.709370838706	0.725749346848	0.702296068848	0.668544696892	0.694643807097	0.679541783117	0.681627905204	0.697460580097	0.753928483293	0.726615382258	0.740796426381	0.710117310595	0.720951382234	0.761062711501	0.737083706354	0.671446784148	0.685373404619	0.775870886319	0.735167954984	0.773059453163	0.757054783767	0.721020037483	0.73757021207	0.733115655883
PAM42	0.70002070872	0.663052298421	0.681420603169	0.648666218426	0.60526699518	0.670560608293	0.673199029986	0.642157605538	0.666423234778	0.0	0.669123442236	0.701272157753	0.692275791869	0.762398966369	0.719582945397	0.756713862568	0.766332717537	0.772280107077	0.732381993255	0.763738725115	0.727459978845	0.731160377004	0.714641847156	0.693286059375	0.777521799248	0.729345083447	0.735816709783	0.711884631883	0.735630607315	0.714852904971	0.765806670667	0.712992319878	0.733194814694	0.751865942036	0.767671656646	0.754572189801	0.679671810474	0.688798526063	0.699015600865	0.730078439121	0.717492852637	0.655510071919	0.672759991642	0.684997185512	0.710667076887	0.726079965773	0.739126892054	0.678468903443	0.709699982033	0.735834068804	0.739921664317	0.717391227414	0.6896078897	0.725573554455	0.718328712333	0.737341386474	0.731599215261	0.726154419924	0.705726977953	0.681226671988
PAM43	0.531945252878	0.68158274368	0.64511609845	0.635925325894	0.683166684609	0.660994703363	0.648818270694	0.650385240771	0.649698928906	0.669123442236	0.0	0.663858934585	0.597804760544	0.706666319048	0.787162430128	0.773477776682	0.709990618361	0.782285862523	0.728084606954	0.748906809307	0.767126801755	0.725164329993	0.72353266688	0.737114411327	0.701472494802	0.675188515202	0.740577360319	0.736569921413	0.718740032004	0.725037974213	0.721472416466	0.709696166202	0.694499374827	0.738905064535	0.713210364575	0.718912273902	0.707166697442	0.6771867016	0.618336981929	0.694908430748	0.726998852089	0.734164186628	0.727815037887	0.6871072148	0.710084080331	0.68932985224	0.702911479749	0.756238713172	0.733321103275	0.781369811353	0.737709270452	0.733015481324	0.769641367016	0.724124520967	0.712217631285	0.671371459075	0.64203297522	0.668454967863	0.655091562991	0.687880018617
PAM44	0.662366948253	0.692761890329	0.699459849544	0.708148933376	0.709565858414	0.713754916761	0.7040096139	0.677602831963	0.708983827869	0.701272157753	0.663858934585	0.0	0.610324713746	0.651865624563	0.720988436495	0.674020004416	0.698811227256	0.706304190005	0.631331171274	0.704393549437	0.694799457045	0.709494299436	0.720476170477	0.624394173169	0.710476713901	0.65032904571	0.735360016016	0.705150733597	0.689085096003	0.657393717406	0.693601977884	0.694419910212	0.693400906185	0.739802843912	0.71550613367	0.682557477633	0.712552271678	0.664834099627	0.69178145447	0.745922851905	0.735271706927	0.709412442709	0.720834393349	0.727229074263	0.703959377654	0.682525086152	0.727886935048	0.718860713999	0.714024424663	0.727794325795	0.68799264129	0.72291113769	0.671478612705	0.717055058969	0.654526561963	0.683767652949	0.681526383385	0.679003454456	0.650445669964	0.677896183018
PAM45	0.604903768037	0.635396265017	0.639422806269	0.660281211406	0.645947081969	0.637426063385	0.604557309866	0.607391612906	0.594809308919	0.692275791869	0.597804760544	0.610324713746	0.0	0.671407021003	0.756748280089	0.704154299419	0.684665011088	0.710626830454	0.731077117697	0.765441530399	0.70700871867	0.742126537506	0.703118730064	0.684358594575	0.706369545004	0.676369010895	0.712832076109	0.732433378352	0.708957456859	0.731531764782	0.705969184537	0.679672731291	0.670307165614	0.753950195254	0.718976165126	0.713790741695	0.704292537407	0.746370086045	0.680143962639	0.691929611331	0.687452943495	0.70340993265	0.700130741412	0.712164215764	0.72684559149	0.687124786863	0.728410123968	0.74147480314	0.697867960541	0.738732375695	0.697440593274	0.714936635597	0.688571434488	0.688713833726	0.639285563207	0.711607730136	0.668907175559	0.691355579453	0.661191210892	0.662915400276
PBW46	0.684670848553	0.758763084964	0.677314589596	0.770796986705	0.747136501611	0.702037742397	0.734776440203	0.762525631126	0.73959380501	0.762398966369	0.706666319048	0.651865624563	0.671407021003	0.0	0.708866985868	0.661385418309	0.665716920349	0.657334456491	0.659158423098	0.674819462583	0.697334153708	0.695006453061	0.699568709306	0.710157517732	0.681535071055	0.691046540331	0.734051666492	0.757139477084	0.684890744989	0.746561085138	0.718282110684	0.710348708787	0.707199591384	0.745662559422	0.713184702255	0.724917018216	0.763259905548	0.741450409875	0.719274894914	0.714262337569	0.765920921867	0.726376048612	0.741608470147	0.752640502546	0.741339373078	0.630270956828	0.711455011761	0.701929120094	0.672449021653	0.668432797101	0.682552500656	0.755701370058	0.727722676687	0.68830043052	0.655586913068	0.664095437559	0.710285021916	0.730157230673	0.640860816075	0.686562226651
PBW47	0.765537428905	0.731408840315	0.765079001915	0.720566351708	0.760441948615	0.729449925443	0.737473727162	0.6967511783	0.751137155634	0.719582945397	0.787162430128	0.720988436495	0.756748280089	0.708866985868	0.0	0.642346728609	0.73722971117	0.659646498723	0.7036568994	0.702312629639	0.655735610535	0.757963756835	0.751693691891	0.693132803903	0.720962709109	0.712738869148	0.769782985763	0.755967604377	0.70383305241	0.714938448231	0.744169105424	0.751463300275	0.733797620002	0.728204467717	0.743685648368	0.73930558743	0.730896557761	0.683727187603	0.728528143815	0.699951013254	0.701604474095	0.702137007304	0.706454705188	0.722726771993	0.742330025698	0.697076821554	0.717171909281	0.629675523394	0.686817190987	0.69384315164	0.693215521794	0.69342861732	0.657411645653	0.704859577059	0.726355899609	0.751444522415	0.7396865219	0.75614864555	0.690582086722	0.675380715681
PBW49	0.757363459494	0.723699716615	0.729473416431	0.727313556772	0.758884352587	0.665029289699	0.709251632232	0.736401312813	0.723594083663	0.756713862568	0.773477776682	0.674020004416	0.704154299419	0.661385418309	0.642346728609	0.0	0.676794003625	0.52069872157	0.585072258003	0.739386826112	0.640424554176	0.754649368157	0.680830447927	0.729764997451	0.740671862311	0.704633323499	0.754124995655	0.808415519575	0.728311408587	0.756075399023	0.744932625675	0.747340858998	0.712549367941	0.801329479859	0.736958669918	0.72250300119	0.75451923416	0.679302895888	0.694361064998	0.690288690983	0.742083649417	0.750294478137	0.745576068529	0.757906771431	0.759563851515	0.728252203586	0.659574258909	0.620057428022	0.62549017502	0.590953323929	0.667679934144	0.718468776481	0.680729011041	0.711632077711	0.721310769492	0.730439248859	0.743230405922	0.700034118352	0.695071241246	0.671260170532
PBW50	0.692943837686	0.784434312517	0.748969311513	0.731425247597	0.747395328866	0.7326223571	0.701295174565	0.77222655267	0.740292541948	0.766332717537	0.709990618361	0.698811227256	0.684665011088	0.665716920349	0.73722971117	0.676794003625	0.0	0.654802451829	0.672691459298	0.708955480715	0.710082432505	0.733590858903	0.671860131378	0.738671305145	0.687966717239	0.705809744266	0.705733871819	0.759413307048	0.719945185131	0.742815887634	0.711424880312	0.736156946365	0.697605794162	0.758544381626	0.704303039739	0.691608089062	0.73301496288	0.763019635269	0.728670432161	0.697508231594	0.704503227793	0.764804862183	0.700560342715	0.737256798285	0.759791688033	0.686814814724	0.694016198984	0.682852700606	0.656869195334	0.713004962024	0.650151291322	0.726414815177	0.7283985344	0.653591093798	0.672108688923	0.723157596721	0.693927324793	0.676691572895	0.691452874293	0.663672218744
PBW51	0.763521008266	0.750452047387	0.731054010004	0.759380149623	0.75614923275	0.708321733519	0.715333838342	0.746230253312	0.731337126335	0.772280107077	0.782285862523	0.706304190005	0.710626830454	0.657334456491	0.659646498723	0.52069872157	0.654802451829	0.0	0.653290735251	0.709518189118	0.66474076665	0.734899680815	0.672892466257	0.712655003855	0.723942812658	0.674409003389	0.719185841211	0.769047775865	0.715708666927	0.742882234872	0.742148227788	0.729678908722	0.699780763865	0.770478847163	0.690283552404	0.704596462295	0.758504528101	0.735258432465	0.724352120782	0.721126839832	0.752240206547	0.737431008744	0.738483014375	0.77085644166	0.761910427502	0.744402956765	0.66576833279	0.655617992857	0.621627907526	0.643148702706	0.68601529152	0.716027222093	0.698985582929	0.725313519067	0.723995112177	0.743020328152	0.751365377229	0.721824054519	0.729139930714	0.73818395174
PBW52	0.733120057378	0.721003666164	0.715208440503	0.751436115342	0.74781537539	0.665943371656	0.708542291584	0.738408818124	0.711916959527	0.732381993255	0.728084606954	0.631331171274	0.731077117697	0.659158423098	0.7036568994	0.585072258003	0.672691459298	0.653290735251	0.0	0.618225196218	0.588399388387	0.697307644065	0.700507007599	0.713529963114	0.75446651188	0.664078044374	0.71681058927	0.74910029868	0.719345007518	0.690326324337	0.727615506499	0.724519099124	0.708611041391	0.750337002637	0.719005908675	0.681538068412	0.753369409319	0.646030278552	0.678311648811	0.708859273516	0.737104312429	0.693132042108	0.747449457164	0.74890602608	0.721051898421	0.734178966242	0.657244564087	0.653584146306	0.639843969667	0.630085269003	0.633087087706	0.717783667149	0.688704130834	0.733462050588	0.700574715432	0.712818013906	0.742610188206	0.698028666701	0.689959712628	0.686988477988
PBW53	0.772554559423	0.777470458614	0.763473502068	0.774993089862	0.791478025161	0.760843907551	0.76595467481	0.774869520069	0.774069049018	0.763738725115	0.748906809307	0.704393549437	0.765441530399	0.674819462583	0.702312629639	0.739386826112	0.708955480715	0.709518189118	0.618225196218	0.0	0.646231361722	0.669338753007	0.737524035213	0.733543618724	0.735453313257	0.666817798566	0.741721553811	0.686880648683	0.749414894337	0.700147437421	0.702826916657	0.725266803321	0.723131072503	0.753029485319	0.744227154849	0.699087955081	0.700320880882	0.680200473659	0.756046896513	0.736221226563	0.753739862953	0.749616174673	0.752373935687	0.73656850773	0.751829592091	0.747399570352	0.719724563021	0.756932523021	0.720382805112	0.747746670164	0.704626113607	0.742084119645	0.727689329045	0.732378768712	0.744081896721	0.745751671919	0.701446638882	0.678896016434	0.692388125326	0.692257743618
PBW54	0.761008710925	0.701654896929	0.733092566503	0.727998393442	0.740739444265	0.656100614115	0.719711035999	0.698494486168	0.711316445874	0.727459978845	0.767126801755	0.694799457045	0.70700871867	0.697334153708	0.655735610535	0.640424554176	0.710082432505	0.66474076665	0.588399388387	0.646231361722	0.0	0.66000769701	0.68318955515	0.671729111861	0.729733483183	0.689284856785	0.7137249744	0.748724637407	0.695191518001	0.705391568308	0.734537369099	0.719832943281	0.723855812536	0.76083578977	0.745551403586	0.730886896575	0.725128392569	0.63222035573	0.700589008585	0.69844058168	0.706273477945	0.708318693016	0.704544257796	0.703164488495	0.722139358024	0.720398421951	0.660814888129	0.682446964489	0.683510581476	0.676084057731	0.751634588524	0.706213807731	0.652159538037	0.684943855231	0.731858025541	0.741306826991	0.726094866683	0.720741624926	0.665299015701	0.662418106117
