	PAM31	PAM32	PAM33	PAM35	PAM36	PAM37	PAM39	PAM40	PAM41	PAM42	PAM43	PAM44	PAM45	PBW46	PBW47	PBW49	PBW50	PBW51	PBW52	PBW53	PBW54	PBW55	PBW56	PBW58	PBW59	PBW60	PEP16	PEP18	PEP21	PEP23	PEP24	PEP26	PEP27	PEP28	PEP29	PEP30	PIS1	PIS2	PIS4	PIS5	PIS7	PIS9	PIS10	PIS11	PIS14	PIS15	PLL76	PLL77	PLL79	PLL80	PLL83	PLL88	PLL89	PLL90	PPO64	PPO66	PPO67	PPO69	PPO72	PPO75
PAM31	0.0	0.637918101108	0.668171452019	0.560080849234	0.668203407649	0.556636867253	0.533721930823	0.556434747147	0.565568441768	0.574018042921	0.565084504481	0.631394017837	0.571444575762	0.715790450473	0.836647373763	0.722194727572	0.690766209745	0.842360277035	0.700066421127	0.730423727552	0.679110935795	0.688437181853	0.667824683802	0.663683522056	0.631270785418	0.675653208515	0.662917442555	0.78899833914	0.697751690193	0.678118307039	0.752233688856	0.770608572676	0.724165374453	0.64367135079	0.6888354282	0.640797184161	0.680784250617	0.681249418056	0.740937885025	0.64455791106	0.654960406121	0.729083705742	0.610971424356	0.618285175628	0.627591339905	0.591175519522	0.660981670425	0.682928839231	0.701572249468	0.750615763638	0.784699229723	0.648973043965	0.67785149584	0.790215446214	0.649919205269	0.723253615607	0.665289979294	0.697506976699	0.665724381969	0.617957319658
PAM32	0.637918101108	0.0	0.694853394537	0.645715319378	0.653205144633	0.651532357711	0.658644717196	0.664068269085	0.622912233163	0.682148598831	0.700121307118	0.676179631987	0.602217662878	0.701925801476	0.814135224779	0.742781668657	0.733274361134	0.79249209585	0.682226534862	0.713158529712	0.674671787242	0.705617160491	0.745474652623	0.747705201675	0.712236358175	0.696604082529	0.749426954507	0.78162177081	0.734327978437	0.722116695528	0.775874997965	0.708896326129	0.741106871928	0.748651886322	0.78795140462	0.69929873101	0.720482676437	0.689655672943	0.701657553393	0.656080106428	0.682004951121	0.691637069781	0.680896333187	0.688234494084	0.729848970579	0.687417542871	0.685819351347	0.708902059788	0.716015576	0.714437545258	0.766235057266	0.69221239309	0.688113248447	0.742405616579	0.714587312672	0.691754936838	0.744558517891	0.712604139064	0.705642120688	0.72658677962
PAM33	0.668171452019	0.694853394537	0.0	0.717493141076	0.681937726117	0.633739245431	0.712615115815	0.71103997515	0.724326876016	0.726142793073	0.756473738503	0.705124648709	0.69569115348	0.710257615341	0.78743254789	0.765202553522	0.744147692733	0.792750191861	0.756488307538	0.729066893881	0.742742402335	0.742596735252	0.712471261416	0.794308310815	0.752529650112	0.704618801929	0.70363022665	0.77784277997	0.718345769478	0.694354241457	0.729764279867	0.752834360875	0.712791585492	0.758915283695	0.815019148643	0.717040427453	0.704099820991	0.69140267507	0.697841214344	0.690448804584	0.692855047466	0.683655262723	0.694436218326	0.747304292737	0.76515508773	0.711016251925	0.718469393321	0.73182349451	0.709235702677	0.727685552681	0.73088967643	0.767125066776	0.759035468262	0.768844947463	0.763101777259	0.722150611343	0.796743963291	0.726706149677	0.777242467413	0.767698811128
PAM35	0.560080849234	0.645715319378	0.717493141076	0.0	0.678380174209	0.575527902858	0.533157431721	0.522259123674	0.547807467593	0.518820276556	0.540249490825	0.650305347967	0.564966867568	0.759720540246	0.854768285394	0.762654805187	0.73573577007	0.852590991841	0.737570963047	0.764286829673	0.684535184552	0.719325179383	0.701951196146	0.647933441421	0.624934005585	0.691094933765	0.706296736458	0.835384682787	0.708558248368	0.71684346102	0.783417769856	0.810825302352	0.770013852071	0.655836574081	0.676865294756	0.67047146942	0.715660204814	0.706583214906	0.767404631501	0.65762021434	0.669009819593	0.747027080831	0.637898595631	0.604750011913	0.60202307952	0.595416854133	0.700614501765	0.679772460246	0.729808314185	0.77409477871	0.805639771012	0.641309934052	0.713292317686	0.806261924104	0.619596356445	0.754251860117	0.656935301372	0.75886325036	0.650386566379	0.646021881777
PAM36	0.668203407649	0.653205144633	0.681937726117	0.678380174209	0.0	0.673845953501	0.700034959522	0.713144275448	0.690880659559	0.715719746807	0.732158011025	0.705512942091	0.6701483033	0.713320060361	0.786783700517	0.754189128992	0.70336580425	0.772763971278	0.704571246784	0.71035342167	0.719907536567	0.745954054634	0.711430626434	0.782963496024	0.759436737664	0.699264389045	0.713865328953	0.775810590701	0.716874578698	0.713816672347	0.743659826349	0.742610152543	0.710556987238	0.748157898673	0.813375565009	0.725006100692	0.6884824786	0.739506224759	0.712941466121	0.681963790705	0.703824722311	0.70226032747	0.667775122968	0.73018991439	0.768048979117	0.708458699726	0.713880866793	0.740234026748	0.701056679596	0.723038833391	0.746919836938	0.724064660529	0.708268607684	0.695617025565	0.765847376506	0.68499649341	0.77745490552	0.69529036076	0.754790004248	0.751353459183
PAM37	0.556636867253	0.651532357711	0.633739245431	0.575527902858	0.673845953501	0.0	0.556623344522	0.566747091394	0.569982669769	0.548848753389	0.595910797305	0.654599652083	0.583223851189	0.757552977061	0.840902087919	0.742682034979	0.711869547573	0.863665840716	0.746780170612	0.765401944939	0.694752301069	0.719169793416	0.701078096829	0.668140541653	0.647807518232	0.679806468586	0.690286215758	0.818931423658	0.71810033845	0.687253934567	0.768096326301	0.805060016126	0.769517566895	0.652981815573	0.695771090934	0.683503432348	0.674255035186	0.69867498242	0.75514473109	0.672953695881	0.674153296688	0.742251119905	0.622377485258	0.602955274667	0.625234486004	0.604713745067	0.688573685805	0.661965603689	0.737156381085	0.772135968967	0.77087662638	0.655182172566	0.702491724805	0.811662532468	0.63886486219	0.756277313299	0.685163174397	0.744128472037	0.66625648707	0.656784446249
PAM39	0.533721930823	0.658644717196	0.712615115815	0.533157431721	0.700034959522	0.556623344522	0.0	0.506259149836	0.536009561102	0.515107478172	0.507600661001	0.652194503209	0.527885064914	0.760223204341	0.86795482661	0.742989434055	0.7357574881	0.851185893899	0.734118245002	0.767930495669	0.682947505837	0.723994894564	0.704102432715	0.630620855259	0.636795965455	0.680952286259	0.696365915848	0.82653170519	0.715142316141	0.703114657094	0.787408058009	0.803680085716	0.764378756791	0.641766723847	0.668659449678	0.666347870028	0.705503828313	0.704766239288	0.783618653004	0.668807658894	0.665252963267	0.756553031473	0.635444680366	0.574464544501	0.597773707087	0.608249887217	0.680077942618	0.681443984902	0.743788199231	0.778682561623	0.811646657263	0.619222228118	0.681524133689	0.809068420658	0.622127632363	0.743671920735	0.654899291042	0.742070226027	0.647009442545	0.624280187464
PAM40	0.556434747147	0.664068269085	0.71103997515	0.522259123674	0.713144275448	0.566747091394	0.506259149836	0.0	0.504053576702	0.512893690533	0.50246232762	0.669853947817	0.546964482508	0.78142669548	0.861600144954	0.761139635846	0.760508861819	0.871228290377	0.754314968886	0.785068302422	0.686388277243	0.737136842373	0.69190339223	0.652595740564	0.648233745973	0.700456061592	0.718798798862	0.839526828787	0.733625561779	0.720172799916	0.800354243321	0.806093046521	0.779675076798	0.666656872142	0.691480407474	0.687507793313	0.723479475615	0.707577224189	0.765063906361	0.675541917906	0.701382242994	0.749145321963	0.659269510072	0.599506700781	0.608482023772	0.629349769921	0.690928007626	0.709629279251	0.751903844438	0.80316653807	0.808906388186	0.65159279321	0.704324524441	0.828444242954	0.644953364438	0.764156119528	0.669405545475	0.761054767075	0.657714038876	0.650443076927
PAM41	0.565568441768	0.622912233163	0.724326876016	0.547807467593	0.690880659559	0.569982669769	0.536009561102	0.504053576702	0.0	0.540699690247	0.534801061033	0.668690665903	0.53182316197	0.758948754188	0.867926933596	0.745322180299	0.741513443277	0.855411617794	0.738852746539	0.768153168236	0.679365217843	0.732599687059	0.688521662419	0.648073656087	0.645785401013	0.702910710707	0.709950615619	0.83149888523	0.732098217043	0.71981129852	0.793604162132	0.801424371212	0.77439671958	0.666664032103	0.702331919727	0.692148705505	0.712839178682	0.718796721417	0.776339830655	0.659776109533	0.699995092099	0.770069475984	0.642077978981	0.591037884275	0.62857430586	0.633271490243	0.687271481971	0.697869093102	0.739704440528	0.778964764876	0.81429432153	0.634296950993	0.701698845836	0.8049835784	0.640035430705	0.741263447526	0.657647591407	0.749555560834	0.641824095799	0.626043359747
PAM42	0.574018042921	0.682148598831	0.726142793073	0.518820276556	0.715719746807	0.548848753389	0.515107478172	0.512893690533	0.540699690247	0.0	0.521011448521	0.656256150141	0.57513717915	0.774862207983	0.872874086805	0.76451957957	0.750533541818	0.871279388621	0.76977527309	0.787100421452	0.702836546007	0.750969090537	0.716148226044	0.613254465403	0.628420166185	0.700459084381	0.720933200374	0.84673800808	0.734862778201	0.725923373978	0.80992198219	0.826067564749	0.787078782544	0.656781038081	0.664850287504	0.686520149327	0.724902776783	0.708768954935	0.776091537078	0.691589297334	0.710065927334	0.767821976394	0.652669916053	0.593073754745	0.58381106231	0.590107063667	0.706810126955	0.692664819126	0.751954513677	0.795326595482	0.811680145042	0.644514586742	0.703735072172	0.831251839591	0.619765415564	0.778725660656	0.654888502655	0.769570119752	0.645332462738	0.643129718655
