No	Tree1	Tree2	MatchingSplit	R-F	Quartet
1	1	2	58.0000	14.0000	1561.0000
2	1	3	68.0000	14.0000	1633.0000
3	1	4	62.0000	14.0000	1632.0000
4	1	5	66.0000	14.0000	1661.0000
5	1	6	64.0000	14.0000	1663.0000
6	1	7	67.0000	14.0000	1643.0000
7	1	8	62.0000	14.0000	1682.0000
8	1	9	61.0000	13.0000	1622.0000
9	1	10	65.0000	14.0000	1671.0000
10	1	11	68.0000	14.0000	1655.0000
11	2	3	54.0000	14.0000	1429.0000
12	2	4	48.0000	14.0000	1434.0000
13	2	5	48.0000	14.0000	1431.0000
14	2	6	50.0000	14.0000	1463.0000
15	2	7	54.0000	14.0000	1468.0000
16	2	8	50.0000	14.0000	1469.0000
17	2	9	45.0000	13.0000	1395.0000
18	2	10	49.0000	14.0000	1454.0000
19	2	11	52.0000	14.0000	1444.0000
20	3	4	24.0000	10.0000	552.0000
21	3	5	20.0000	10.0000	476.0000
22	3	6	24.0000	11.0000	554.0000
23	3	7	23.0000	11.0000	543.0000
24	3	8	22.0000	10.0000	487.0000
25	3	9	27.0000	11.0000	568.0000
26	3	10	21.0000	10.0000	483.0000
27	3	11	20.0000	9.0000	448.0000
28	4	5	8.0000	2.0000	104.0000
29	4	6	14.0000	7.0000	258.0000
30	4	7	19.0000	6.0000	259.0000
31	4	8	14.0000	6.0000	230.0000
32	4	9	15.0000	7.0000	303.0000
33	4	10	11.0000	4.0000	144.0000
34	4	11	16.0000	4.0000	180.0000
35	5	6	10.0000	6.0000	244.0000
36	5	7	13.0000	5.0000	200.0000
37	5	8	10.0000	5.0000	216.0000
38	5	9	13.0000	6.0000	244.0000
39	5	10	3.0000	2.0000	40.0000
40	5	11	8.0000	2.0000	76.0000
41	6	7	9.0000	2.0000	98.0000
42	6	8	8.0000	4.0000	186.0000
43	6	9	15.0000	5.0000	207.0000
44	6	10	7.0000	4.0000	204.0000
45	6	11	12.0000	5.0000	194.0000
46	7	8	13.0000	4.0000	196.0000
47	7	9	16.0000	4.0000	153.0000
48	7	10	10.0000	3.0000	160.0000
49	7	11	7.0000	4.0000	150.0000
50	8	9	13.0000	6.0000	254.0000
51	8	10	7.0000	4.0000	190.0000
52	8	11	12.0000	4.0000	152.0000
53	9	10	14.0000	6.0000	257.0000
54	9	11	15.0000	5.0000	194.0000
55	10	11	9.0000	3.0000	90.0000
