No	Tree1	Tree2	MatchingSplit	R-F	Quartet	PathDiffernce
1	1	2	59.0000	14.0000	1636.0000	44.9889
2	1	3	52.0000	14.0000	1609.0000	34.8712
3	1	4	50.0000	14.0000	1578.0000	35.8887
4	1	5	55.0000	14.0000	1681.0000	37.4166
5	1	6	57.0000	14.0000	1724.0000	39.8999
6	1	7	52.0000	14.0000	1658.0000	35.2136
7	1	8	56.0000	14.0000	1709.0000	38.8072
8	1	9	60.0000	14.0000	1726.0000	42.5676
9	1	10	63.0000	14.0000	1713.0000	45.8476
10	1	11	61.0000	14.0000	1720.0000	44.9667
11	2	3	33.0000	10.0000	775.0000	30.8221
12	2	4	37.0000	11.0000	852.0000	33.4365
13	2	5	27.0000	9.0000	546.0000	25.2190
14	2	6	53.0000	14.0000	1327.0000	42.8719
15	2	7	38.0000	14.0000	1033.0000	31.4960
16	2	8	33.0000	14.0000	878.0000	28.8444
17	2	9	34.0000	13.0000	858.0000	30.0333
18	2	10	28.0000	12.0000	674.0000	26.4575
19	2	11	31.0000	12.0000	780.0000	30.4302
20	3	4	14.0000	6.0000	368.0000	14.9666
21	3	5	12.0000	5.0000	388.0000	13.4907
22	3	6	47.0000	13.0000	1306.0000	37.6563
23	3	7	32.0000	12.0000	850.0000	24.5357
24	3	8	26.0000	12.0000	718.0000	24.7386
25	3	9	26.0000	9.0000	615.0000	22.6274
26	3	10	27.0000	8.0000	543.0000	25.2982
27	3	11	26.0000	8.0000	506.0000	23.7908
28	4	5	16.0000	6.0000	401.0000	17.6635
29	4	6	48.0000	13.0000	1335.0000	38.2361
30	4	7	28.0000	11.0000	661.0000	23.7487
31	4	8	28.0000	12.0000	686.0000	27.4955
32	4	9	27.0000	9.0000	606.0000	24.8193
33	4	10	25.0000	8.0000	502.0000	27.1662
34	4	11	24.0000	8.0000	511.0000	25.8070
35	5	6	43.0000	13.0000	1166.0000	36.1386
36	5	7	28.0000	12.0000	731.0000	23.1084
37	5	8	22.0000	11.0000	536.0000	20.5913
38	5	9	24.0000	9.0000	552.0000	20.1990
39	5	10	23.0000	8.0000	366.0000	20.3470
40	5	11	24.0000	8.0000	460.0000	21.6333
41	6	7	37.0000	11.0000	1089.0000	31.7490
42	6	8	40.0000	12.0000	1006.0000	34.5254
43	6	9	45.0000	12.0000	1154.0000	39.0896
44	6	10	47.0000	12.0000	1131.0000	41.0366
45	6	11	48.0000	12.0000	1198.0000	42.2847
46	7	8	20.0000	5.0000	364.0000	17.5499
47	7	9	20.0000	9.0000	468.0000	22.0000
48	7	10	22.0000	8.0000	502.0000	24.0416
49	7	11	25.0000	9.0000	541.0000	25.3772
50	8	9	18.0000	8.0000	468.0000	19.0788
51	8	10	14.0000	6.0000	302.0000	17.5499
52	8	11	16.0000	8.0000	408.0000	19.7484
53	9	10	10.0000	3.0000	196.0000	11.9164
54	9	11	7.0000	2.0000	116.0000	9.8995
55	10	11	9.0000	3.0000	132.0000	13.2665
